environment,result_id,paper_use,status,dataset_path,metrics_path,final_step,final_epoch,critic_score_mean,critic_rewards_mean,val_core_acc_mean_at1,actor_pg_loss,actor_continuation_loss,actor_prefix_loss,actor_prefix_loss_share,actor_prefix_token_count,response_length_mean,prompt_length_mean,num_turns_mean,notes
TextCraft,textcraft_main_prefix_grpo,paper-main,available,data/textcraft/main/main_change_top3_w11_fullflow.parquet,results/training/textcraft/training_metrics_main-change-top3.csv,1540,4,0.8671875,0.8671875,0.8441926345609065,0.0024583059857832,0.0068361209632712,-0.0043778150720754,0.1240617997452602,2713.0,332.984375,1315.9375,9.046875,"TextCraft main Prefix-GRPO, Entropy-Change Top-3 w=11"
TextCraft,textcraft_ablation_fixed_gp1,paper-ablation,available,data/textcraft/ablations/main_fixed_gp1_fullflow.parquet,results/training/textcraft/training_metrics_main-fixed-gp1.csv,1675,4,0.9921875,0.9921875,0.9748603351955308,0.000430884771049,0.0054814326140331,-0.0050505479011917,0.1668850436627684,2084.5,401.1484375,1190.375,9.96875,TextCraft fixed-ratio group 1 ablation
TextCraft,textcraft_ablation_fixed_gp2,paper-ablation,available,data/textcraft/ablations/main_fixed_gp2_fullflow.parquet,results/training/textcraft/training_metrics_main-fixed-gp2.csv,1640,4,0.8671875,0.8671875,0.901729709180764,0.0019847806543111,0.0019847806543111,0.0,0.0,1955.5,474.09375,1226.375,10.828125,TextCraft fixed-ratio group 2 ablation
TextCraft,textcraft_ablation_raw_top3,paper-ablation,available,data/textcraft/ablations/main_raw_top3_fullflow.parquet,results/training/textcraft/training_metrics_main-raw-top3.csv,1540,4,0.875,0.875,0.8450020234722785,0.0,0.0,0.0,0.0,2713.0,340.8203125,1315.8125,8.328125,TextCraft raw-entropy Top-3 ablation
TextCraft,textcraft_ablation_no_prefix_opt,paper-ablation,available,data/textcraft/main/main_change_top3_w11_fullflow.parquet,results/training/textcraft/training_metrics_no_prefix_opt.csv,1530.0,4.0,0.625,0.625,0.8423202614379085,0.0,,,,,756.140625,1141.5,15.765625,TextCraft response-only/no-prefix-optimization ablation
TextCraft,textcraft_ablation_joint,paper-ablation,available,data/textcraft/main/main_change_top3_w11_fullflow.parquet,results/training/textcraft/training_metrics_main-joint-gp1.csv,2448,7,0.828125,0.828125,0.8513071895424836,0.0021132250258233,0.0026981391856679,,nan,1719.0,569.6796875,1136.0625,14.296875,TextCraft joint objective variant
TextCraft,textcraft_artifact_w5,artifact-only,available,data/textcraft/ablations/main_change_top3_w5_fullflow.parquet,results/training/textcraft/training_metrics_prefix_grpo_w5.csv,618,1,0.7890625,0.7890625,,-0.0123610843438655,0.0021169929532334,-0.0144780774135142,0.1572075335982183,1263.0,570.5234375,1111.125,10.453125,TextCraft w5 window ablation included as artifact-only; not reported in the current manuscript
BabyAI,babyai_main_prefix_grpo,paper-main,available,data/babyai/main/main_change_top3_w11_fullflow.parquet,results/training/babyai/prefix_grpo/training_metrics_prefix_grpo_new.csv,790,1,0.3444521427154541,0.3444521427154541,,-0.0228924675466259,-0.0062086555699352,-0.016683811933035,0.2197182927517384,439.5,1932.1015625,465.0625,18.34375,"BabyAI main Prefix-GRPO, Entropy-Change Top-3 w=11"
BabyAI,babyai_ablation_fixed_gp1,paper-ablation,available,data/babyai/ablations/main_fixed_gp1_fullflow.parquet,results/training/babyai/prefix_grpo_fixedgp1/training_metrics_prefix_grpo.csv,946,1,0.2852955460548401,0.2852955460548401,,-0.0021586620132438,-0.0001791492832126,-0.0098975636065006,0.1214298222069422,905.5,1340.7109375,655.5,13.71875,BabyAI fixed-ratio group 1 ablation
BabyAI,babyai_ablation_fixed_gp2,paper-ablation,available,data/babyai/ablations/main_fixed_gp2_fullflow.parquet,results/training/babyai/prefix_grpo_fixedgp2/training_metrics_prefix_grpo.csv,770,1,0.2560720145702362,0.2560720145702362,,-0.0067763243368972,9.325130486104172e-05,-0.0343478781433077,0.2316842883723267,460.0,2222.4453125,452.125,17.2578125,BabyAI fixed-ratio group 2 ablation
BabyAI,babyai_ablation_raw_top3,paper-ablation,available,data/babyai/ablations/main_raw_top3_fullflow.parquet,results/training/babyai/prefix_grpo_raw/training_metrics_prefix_grpo.csv,812,1,0.4167456030845642,0.4167456030845642,,0.0020926403813064,0.0024429843761026,-0.0017517203086754,0.0293088937860635,523.0,2154.3515625,468.25,18.09375,BabyAI raw-entropy Top-3 ablation
ALFWorld,alfworld_main_prefix_grpo,paper-main,available,data/alfworld/main/main_change_top3_w11_fullflow.parquet,results/training/alfworld/prefix_grpo/training_metrics_prefix_grpo.csv,1120,0,0.9921875,0.9921875,,0.0009365330042783,0.0009365330042783,0.0,0.0,394.5,1548.515625,624.0,14.234375,ALFWorld main Prefix-GRPO metrics recovered from sanitized training metric lines; raw local logs are not included
