step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_adv,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput
1,0.043138764798641205,0.0,0.0,0.0,0.0,0.0,0.35065264427287623,196.75527667999268,200.7890625,146.69643020629883,5e-06,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3462.296875,4096.0,1202.0,0.1484375,2615.765625,3905.0,1042.0,3462.296875,4096.0,1202.0,0.1484375,0.0,176.0,176.0,176.0,0.0,28,41,40.2734375,1.0,0.0,0.0,0,0.0,8.0,8,8,0.00012602098286151886,11.4313596021384,41.37782862223685,28.431710399818257,0.0,0.0,0.0,41.37782862223685,0.0,176,4096,50.48451812751591,0.0001445077359676361,3.778296647593379,0.004131138324737549,20.672737253829837,74.97946613840759,3.937631845474243e-05,0.11391579408430078,8.870776429428151e-06,0.04439048415903268,465702,74.97946613840759,3105.530247043518
2,0.04134274646639824,0.0,0.0,0.0,0.0,0.0,0.35076616193814625,196.75527667999268,200.7890625,147.28388595581055,5e-06,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3318.5625,4096.0,1880.0,0.0859375,2561.3515625,3921.0,1648.0,3318.5625,4096.0,1880.0,0.0859375,0.0,176.0,176.0,176.0,0.0,36,41,40.7890625,1.0,0.0,0.0,0,0.0,8.0,8,8,5.439296364784241e-05,17.62948731146753,39.75693585909903,27.282929749912,0.0,0.0,0.0,39.75693585909903,0.0,176,4096,42.08859531581402,9.971112012863159e-05,3.0029165111482143,0.0030919406563043594,19.760311905294657,64.88623659871519,4.2943283915519714e-05,0.09908421218669138,6.912392145619891e-06,0.044176470376510506,447304,64.88623659871519,3446.8326678146186
3,0.04126755893230438,0.0,0.0,0.0,0.0,0.0,0.3502112406169331,196.75527667999268,200.7890625,147.93734741210938,5e-06,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3346.453125,4096.0,1959.0,0.078125,2581.7890625,4016.0,1370.0,3346.453125,4096.0,1959.0,0.078125,0.0,176.0,176.0,176.0,0.0,22,41,40.40625,1.0,0.0,0.0,0,0.0,8.0,8,8,4.9114227294921875e-05,16.531687535345554,42.45928034000099,27.602464599418454,0.0,0.0,0.0,42.45928034000099,0.0,176,4096,45.229927791282535,9.31229442358017e-05,3.0948987249284983,0.003200724720954895,19.914507508277893,68.27279867604375,3.818050026893616e-05,0.1055920395924849,7.098933894957117e-06,0.044168675745946524,450874,68.27279867604375,3302.003204375795
4,0.04454224184155464,0.0,0.0,0.0,0.0,0.0,0.3487068015350997,196.75527667999268,200.7890625,147.94342041015625,5e-06,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3225.90625,4096.0,1824.0,0.078125,2473.1953125,4008.0,1400.0,3225.90625,4096.0,1824.0,0.078125,0.0,176.0,176.0,176.0,0.0,24,41,40.625,1.0,0.0,0.0,0,0.0,8.0,8,8,3.127008676528931e-05,16.12330325320363,41.91769974119961,26.336463407817064,0.0,0.0,0.0,41.91769974119961,0.0,176,4096,44.36563104763627,9.856000542640686e-05,2.9168687406927347,0.0031257569789886475,19.270518919453025,66.60083036124706,3.392808139324188e-05,0.10744468862343981,7.178321389176673e-06,0.04425487300193142,435444,66.60083036124706,3269.058340850441
5,0.04389537498354912,0.0,0.0,0.0,0.0,0.0,0.3478166225403867,196.75527667999268,200.7890625,148.00759506225586,5e-06,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3306.609375,4096.0,1612.0,0.0703125,2565.84375,3866.0,1452.0,3306.609375,4096.0,1612.0,0.0703125,0.0,176.0,176.0,176.0,0.0,20,41,40.6796875,1.0,0.0,0.0,0,0.0,8.0,8,8,3.062933683395386e-05,15.766591155901551,41.12175063788891,27.393328991398448,0.0,0.0,0.0,41.12175063788891,0.0,176,4096,43.64332765340805,9.612925350666046e-05,2.998717376962304,0.0030893608927726746,19.829170294106007,66.50568269006908,3.4442171454429626e-05,0.10311574746933946,6.930329926762607e-06,0.044482563572810455,445774,66.50568269006908,3351.397820223902
6,0.04554830864071846,0.0,0.0,0.0,0.0,0.0,0.3508352786457704,196.75527667999268,200.7890625,148.4607696533203,5e-06,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3348.1015625,4096.0,1683.0,0.0703125,2549.203125,3824.0,1523.0,3348.1015625,4096.0,1683.0,0.0703125,0.0,176.0,176.0,176.0,0.0,18,41,40.6640625,1.0,0.0,0.0,0,0.0,8.0,8,8,3.312155604362488e-05,16.178354335948825,39.05353139899671,27.093865344984806,0.0,0.0,0.0,39.05353139899671,0.0,176,4023,43.68109278008342,9.6956267952919e-05,3.048713156953454,0.0030820555984973907,19.900420220568776,66.66051857173443,4.1203573346138e-05,0.10192598132823269,6.832538431775366e-06,0.044116785573824834,451085,66.66051857173443,3383.4495265333135
7,0.04469107836484909,0.0,0.0,0.0,0.0,0.0,0.34932035323940414,196.75527667999268,200.7890625,148.86444854736328,5e-06,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3304.84375,4096.0,1669.0,0.0625,2555.8515625,3516.0,1509.0,3304.84375,4096.0,1669.0,0.0625,0.0,176.0,176.0,176.0,0.0,24,41,40.734375,1.0,0.0,0.0,0,0.0,8.0,8,8,3.250502049922943e-05,15.89063347876072,36.25643780641258,27.007137060005334,0.0,0.0,0.0,36.25643780641258,0.0,176,4096,45.176875691860914,9.196065366268158e-05,3.003274254500866,0.003039255738258362,19.74756706506014,67.95675255171955,4.103034734725952e-05,0.10679607510723113,6.821387904913414e-06,0.04432197443386602,445548,67.95675255171955,3278.1731268052336
8,0.04271797090768814,0.0,0.0,0.0,0.0,0.0,0.3475240252341495,196.75527667999268,200.7890625,148.74518585205078,5e-06,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3370.4296875,4096.0,1546.0,0.1015625,2586.1328125,4016.0,1386.0,3370.4296875,4096.0,1546.0,0.1015625,0.0,176.0,176.0,176.0,0.0,22,41,40.4765625,1.0,0.0,0.0,0,0.0,8.0,8,8,2.8226524591445923e-05,14.608498053625226,41.47582810558379,27.587770140497014,0.0,0.0,0.0,41.47582810558379,0.0,176,4096,44.640377067029476,9.074434638023376e-05,3.0612687170505524,0.0030409563332796097,20.245001723989844,67.9795945994556,3.464147448539734e-05,0.10347432765905097,6.698982764971835e-06,0.044598114133249864,453943,67.9795945994556,3338.8180870648744
9,0.041862327605485916,0.0,0.0,0.0,0.0,0.0,0.3505608542556192,196.75527667999268,200.7890625,149.04785919189453,5e-06,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3424.1328125,4096.0,1922.0,0.109375,2615.8046875,3913.0,1587.0,3424.1328125,4096.0,1922.0,0.109375,0.0,176.0,176.0,176.0,0.0,30,41,40.625,1.0,0.0,0.0,0,0.0,8.0,8,8,5.186349153518677e-05,16.643474904820323,42.17706095613539,27.798837706970517,0.0,0.0,0.0,42.17706095613539,0.0,176,4096,45.15426034480333,9.112246334552765e-05,3.1211894880980253,0.003041837364435196,20.426221154630184,68.73584374040365,3.478489816188812e-05,0.10302394161113633,6.60096603301353e-06,0.0443261015861615,460817,68.73584374040365,3352.0865892064908
10,0.042381275445222855,0.0,0.0,0.0,0.0,0.0,0.3508165581368316,196.75527667999268,200.7890625,150.65003204345703,5e-06,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3323.515625,4096.0,1732.0,0.078125,2540.2890625,3882.0,1431.0,3323.515625,4096.0,1732.0,0.078125,0.0,176.0,176.0,176.0,0.0,22,41,40.390625,1.0,0.0,0.0,0,0.0,8.0,8,8,5.6726858019828796e-05,16.11877311579883,40.09929210692644,27.05091212784464,0.0,0.0,0.0,40.09929210692644,0.0,176,4096,633.6291252449155,9.746477007865906e-05,3.007085958495736,0.0033619366586208344,19.766214229166508,656.4316048063338,3.4207478165626526e-05,1.4894551732326826,7.5053615871411545e-06,0.04412712078271214,447938,656.4316048063338,341.1916768786252
