step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_agent_loop_response_length_min,timing_s_agent_loop_response_length_max,timing_s_agent_loop_response_length_mean,timing_s_agent_loop_llm_response_length_min,timing_s_agent_loop_llm_response_length_max,timing_s_agent_loop_llm_response_length_mean,timing_s_agent_loop_num_turns_min,timing_s_agent_loop_num_turns_max,timing_s_agent_loop_num_turns_mean,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_update_actor,timing_per_token_ms_adv,timing_per_token_ms_gen,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,0.07573520392179489,0.0017732549749780446,0.0009435181127628312,2.9517332222894765e-06,0.005075326120277168,0.27783203125,0.3444963745270576,221.41516208648682,225.4765625,136.66552734375,5e-06,1,0,0.0859375,1.0,0.0,0.0859375,1.0,0.0,-0.01983507350087166,2.4748666286468506,-2.4748666286468506,-0.01983507350087166,2.4748666286468506,-2.4748666286468506,3747.5703125,4096.0,1730.0,0.640625,1463.1953125,3118.0,511.0,3747.5703125,4096.0,1730.0,0.640625,0.0,727.9375,1000.0,326.0,0.0,13,31,26.0546875,0.8125,0.1875,0.6875,7,0.6875,8.0,8,8,0.00011174380779266357,4.892137229442596,31.16166338697076,14.72760031503276,1.279677003622055,40.85542946122587,12.057684248517035,27.084791542962193,35.7406237795949,326,4096,1730.0,4096.0,3747.5703125,511.0,3118.0,1463.1953125,13.0,31.0,26.0546875,77.66717682220042,0.00013602711260318756,6.255820510908961,0.004058092832565308,26.762987742200494,110.72974389791489,3.7029385566711426e-05,0.046717791699965074,7.083855415438729e-06,0.16191152355422037,572865,110.72974389791489,2586.7710871260647,
2,0.080277219414711,0.0021269336284603924,0.00010730001167758019,1.207028094540874e-05,0.011468297278042883,0.603515625,0.34223528458477537,221.41516208648682,225.4765625,137.16633987426758,5e-06,2,0,0.171875,1.0,0.0,0.171875,1.0,0.0,-0.06521590799093246,2.4748666286468506,-1.20761239528656,-0.06521590799093246,2.4748666286468506,-1.20761239528656,3628.6953125,4096.0,1038.0,0.5078125,1601.515625,2785.0,508.0,3628.6953125,4096.0,1038.0,0.5078125,0.0,544.8125,895.0,330.0,0.0,9,31,26.734375,0.5625,0.4375,1.375,5,1.375,8.0,8,8,3.3058226108551025e-05,5.207714268937707,28.8279215618968,16.66532677966461,1.0304894968867302,23.53045477718115,7.215585591693525,27.67452809587121,19.60007186047733,357,4096,1038.0,4096.0,3628.6953125,508.0,2785.0,1601.515625,9.0,31.0,26.734375,52.9074901342392,9.483285248279572e-05,3.9020995628088713,0.0033358167856931686,24.844475204125047,81.70110954716802,3.99518758058548e-05,0.04650703227411939,6.244403942451679e-06,0.11390864514027553,534209,81.70110954716802,3269.2885259507293,
3,0.08304046839475632,0.00215969613782363,0.0002650663254826213,6.818253496021498e-06,0.010618702188367024,0.736328125,0.3461569588411638,221.41516208648682,225.4765625,138.04838943481445,5e-06,3,0,0.15625,1.0,0.0,0.15625,1.0,0.0,-0.04256024211645126,2.4748666286468506,-1.6201815605163574,-0.04256024211645126,2.4748666286468506,-1.6201815605163574,3562.265625,4096.0,1393.0,0.5078125,1358.78125,2281.0,544.0,3562.265625,4096.0,1393.0,0.5078125,0.0,629.3125,949.0,428.0,0.0,11,31,26.5078125,0.625,0.375,1.25,6,1.25,8.0,8,8,3.269873559474945e-05,5.043635850772262,23.283752052113414,13.778190479875775,1.1362428162246943,38.1360234208405,10.190100303967483,16.7661725692451,38.1360234208405,481,4096,1393.0,4096.0,3562.265625,544.0,2281.0,1358.78125,11.0,31.0,26.5078125,60.99582631327212,8.393637835979462e-05,3.9098879899829626,0.004957892000675201,24.746476501226425,89.68258193135262,3.9847567677497864e-05,0.04612388029051265,9.2407990738035e-06,0.13377157776448476,536522,89.68258193135262,2991.227440411338,
4,0.0828346312046051,0.0026819499325938523,0.0002271917910547927,1.7534801827423507e-05,0.011212453158805147,0.802734375,0.3405198868544699,221.41516208648682,225.4765625,138.59455490112305,5e-06,4,0,0.234375,1.0,0.0,0.234375,1.0,0.0,-0.08356812596321106,2.4748666286468506,-2.4748666286468506,-0.08356812596321106,2.4748666286468506,-2.4748666286468506,3482.7109375,4096.0,895.0,0.390625,1592.8515625,2704.0,418.0,3482.7109375,4096.0,895.0,0.390625,0.0,533.375,859.0,346.0,0.0,11,31,25.7421875,0.375,0.625,1.875,8,1.875,8.0,8,8,3.625266253948212e-05,4.156344495713711,27.382380539551377,15.702294599759625,0.4052996523678303,36.98471067287028,7.961356943647843,17.833792405202985,36.98471067287028,439,4096,895.0,4096.0,3482.7109375,418.0,2704.0,1592.8515625,11.0,31.0,25.7421875,61.61542199924588,0.00020959973335266113,3.8044227361679077,0.0036088526248931885,24.015799595043063,89.47389238141477,5.979090929031372e-05,0.04671798294562115,7.020308223167357e-06,0.13821717995196334,514059,89.47389238141477,2872.675963445504,
5,0.08013060688972473,0.0015411380954901688,5.9906255273745046e-05,8.384804004890611e-06,0.006670275906799361,0.650390625,0.3451635584626632,221.41516208648682,225.4765625,139.00784301757812,5e-06,5,0,0.265625,1.0,0.0,0.265625,1.0,0.0,-0.05891217663884163,2.4748666286468506,-2.4748666286468506,-0.05891217663884163,2.4748666286468506,-2.4748666286468506,3430.6953125,4096.0,932.0,0.4140625,1525.4609375,2887.0,421.0,3430.6953125,4096.0,932.0,0.4140625,0.0,574.6875,939.0,384.0,0.0,11,31,26.109375,0.5625,0.4375,2.125,8,2.125,8.0,8,8,3.680959343910217e-05,4.093633124604821,26.614757189527154,15.533264683021116,1.1204054448753595,29.46380572579801,5.403051081317244,14.420600291341543,29.46380572579801,416,3659,932.0,4096.0,3430.6953125,421.0,2887.0,1525.4609375,11.0,31.0,26.109375,57.772521233186126,0.00012165866792201996,3.7704403158277273,0.0033420640975236893,23.641448095440865,85.21906491741538,4.379637539386749e-05,0.04611264937504191,6.518696709942459e-06,0.1315616168214491,512689,85.21906491741538,3008.0651582884643,
6,0.07881389558315277,0.0010965955480060074,3.3711241542278e-05,4.7526984872092726e-06,0.022471409087302163,0.42578125,0.34823364026153725,221.41516208648682,225.7890625,139.58503341674805,5e-06,6,0,0.1015625,1.0,0.0,0.1015625,1.0,0.0,-0.08739946037530899,2.4748666286468506,-1.6201815605163574,-0.08739946037530899,2.4748666286468506,-1.6201815605163574,3763.796875,4096.0,509.0,0.75,1600.265625,3316.0,276.0,3763.796875,4096.0,509.0,0.75,0.0,653.5,933.0,305.0,0.0,5,31,23.7421875,0.6875,0.3125,0.8125,6,0.8125,8.0,8,8,3.410317003726959e-05,2.6438925024122,33.721736170351505,15.969291300323675,0.7204319033771753,52.230295641347766,15.055978907781537,22.20062773860991,45.20423999428749,305,4096,509.0,4096.0,3763.796875,276.0,3316.0,1600.265625,5.0,31.0,23.7421875,80.99808263033628,0.0006548482924699783,4.12499700114131,0.0038320086896419525,26.168397238478065,111.33927234821022,6.85080885887146e-05,0.046281834617604205,6.777350206471634e-06,0.1681274366193054,565414,111.33927234821022,2539.1489816445214,
7,0.08020149916410446,0.0012175681622466072,-5.931389296165435e-06,2.664336307134363e-06,0.015298279991839081,0.529296875,0.3449633079556693,221.41516208648682,225.7890625,139.7603931427002,5e-06,7,0,0.2578125,1.0,0.0,0.2578125,1.0,0.0,-0.08349695056676865,2.4748666286468506,-0.935412585735321,-0.08349695056676865,2.4748666286468506,-0.935412585735321,3436.09375,4096.0,1140.0,0.4296875,1504.78125,3258.0,400.0,3436.09375,4096.0,1140.0,0.4296875,0.0,614.25,1024.0,359.0,0.0,11,31,24.25,0.5625,0.4375,2.0625,8,2.0625,8.0,8,8,3.3739954233169556e-05,3.942784560844302,33.724127396941185,14.731064668638282,0.71141791716218,43.97024591639638,10.252165460478864,16.51545356027782,43.97024591639638,420,4042,1140.0,4096.0,3436.09375,400.0,3258.0,1504.78125,11.0,31.0,24.25,68.77550010755658,0.00011031888425350189,3.8128125593066216,0.003340471535921097,23.991106217727065,96.61045479215682,3.901869058609009e-05,0.046275212400427174,6.443263951209961e-06,0.15637192512290615,518444,96.61045479215682,2683.1671640266886,
8,0.0814385786652565,0.002275967002788093,6.492623697340605e-05,1.1225019761695876e-05,0.019971975299995393,0.71484375,0.343039697419773,221.41516208648682,225.7890625,140.23583602905273,5e-06,8,0,0.25,1.0,0.0,0.25,1.0,0.0,-0.09324339777231216,2.4748666286468506,-2.4748666286468506,-0.09324339777231216,2.4748666286468506,-2.4748666286468506,3646.015625,4096.0,1236.0,0.484375,1685.9375,3082.0,579.0,3646.015625,4096.0,1236.0,0.484375,0.0,586.1875,952.0,342.0,0.0,11,31,25.1015625,0.4375,0.5625,2.0,7,2.0,8.0,8,8,3.5779550671577454e-05,5.680695179849863,34.588887033984065,17.562775506812613,0.9694937709718943,28.335133720189333,9.045440462985425,34.588887033984065,19.922161074355245,402,4096,1236.0,4096.0,3646.015625,579.0,3082.0,1685.9375,11.0,31.0,25.1015625,61.19125406257808,0.00011215917766094208,3.9467245619744062,0.003379451110959053,25.233048044145107,90.40560447238386,3.9128586649894714e-05,0.046579330439127646,6.238349395001593e-06,0.13111755997038307,541722,90.40560447238386,2996.0642548741516,
9,0.08031339198350906,0.0020990485209040344,1.0880732304485718e-05,1.3527973351301625e-05,0.012865413501003786,0.703125,0.34055742643309705,221.41516208648682,225.7890625,140.2096824645996,5e-06,9,0,0.2421875,1.0,0.0,0.2421875,1.0,0.0,-0.07817345857620239,2.4748666286468506,-2.4748666286468506,-0.07817345857620239,2.4748666286468506,-2.4748666286468506,3535.875,4096.0,1035.0,0.4765625,1668.171875,2647.0,450.0,3535.875,4096.0,1035.0,0.4765625,0.0,578.5,869.0,329.0,0.0,7,31,25.71875,0.375,0.625,1.9375,8,1.9375,8.0,8,8,5.848705768585205e-05,4.257461642846465,26.73622665926814,16.63650853539002,0.7312580794095993,33.07732448540628,7.732013894725242,18.3193287756294,33.07732448540628,520,4096,1035.0,4096.0,3535.875,450.0,2647.0,1668.171875,7.0,31.0,25.71875,61.1062286067754,0.00011841952800750732,3.8391383662819862,0.003317607566714287,24.744027772918344,89.72008951567113,3.822147846221924e-05,0.046984710187069616,6.299573839272154e-06,0.13501393883845805,526640,89.72008951567113,2934.9056763257763,
10,0.07514077425003052,0.0021892100739933085,7.681785655222484e-05,0.0,0.015385357051854953,0.884765625,0.34159563919662106,221.41516208648682,225.7890625,140.5454559326172,5e-06,10,0,0.3671875,1.0,0.0,0.3671875,1.0,0.0,-0.0708828940987587,2.4748666286468506,-1.6201815605163574,-0.0708828940987587,2.4748666286468506,-1.6201815605163574,3149.515625,4096.0,336.0,0.546875,1363.640625,2678.0,49.0,3149.515625,4096.0,336.0,0.546875,0.0,630.8125,995.0,381.0,0.0,5,31,21.8203125,0.4375,0.5625,2.9375,8,2.9375,8.0,8,8,3.908015787601471e-05,0.4555509276688099,26.86817849241197,13.545848185676732,0.27085164189338684,33.70776724629104,8.440575182554312,25.373280676081777,27.367143649607897,381,4096,336.0,4096.0,3149.515625,49.0,2678.0,1363.640625,5.0,31.0,21.8203125,60.409391140565276,0.00010239332914352417,3.5998561829328537,0.003371596336364746,22.577734898775816,86.61800585500896,3.833509981632233e-05,0.04665958828552377,6.9678068958232505e-06,0.14984792091185964,483882,86.61800585500896,2793.195220921944,
