step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_adv,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput
1,0.12544003129005432,0.0,0.0,0.0,0.0,0.0,0.332464265373596,178.89682722091675,182.791015625,133.80379104614258,5e-06,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.359375,4096.0,388.0,0.03125,1043.796875,3586.0,189.0,1994.359375,4096.0,388.0,0.03125,0.0,176.0,176.0,176.0,0.0,28,41,40.7890625,1.0,0.0,0.0,0,0.0,8.0,8,8,0.00011857226490974426,2.450790511444211,34.23052705824375,11.324803601339227,0.0,0.0,0.0,34.23052705824375,0.0,176,4096,43.60348438285291,0.0001413058489561081,2.8664076533168554,0.0036960523575544357,12.365616373717785,58.88096962496638,3.72324138879776e-05,0.17080784236343483,1.3304436756421516e-05,0.044511696557013834,277806,58.88096962496638,2359.0474288165105
2,0.09158094972372055,0.0,0.0,0.0,0.0,0.0,0.3302206521987499,178.89682722091675,182.791015625,140.10974502563477,5e-06,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1823.140625,4096.0,397.0,0.0234375,914.859375,3359.0,198.0,1823.140625,4096.0,397.0,0.0234375,0.0,176.0,176.0,176.0,0.0,38,41,40.9609375,1.0,0.0,0.0,0,0.0,8.0,8,8,5.585514008998871e-05,2.3165241796523333,31.49341499246657,9.723349369422067,0.0,0.0,0.0,31.49341499246657,0.0,176,4096,34.02157647162676,0.0001024436205625534,2.0707161277532578,0.003153415396809578,11.31796315126121,47.44541756249964,3.687851130962372e-05,0.14578884510600165,1.2323324072099644e-05,0.04422979855117906,255890,47.44541756249964,2696.6777103702084
3,0.09940718114376068,0.0,0.0,0.0,0.0,0.0,0.32790608428578444,178.89682722091675,182.791015625,145.22954750061035,5e-06,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778.8828125,4096.0,391.0,0.0078125,969.7109375,3492.0,192.0,1778.8828125,4096.0,391.0,0.0078125,0.0,176.0,176.0,176.0,0.0,36,41,40.9609375,1.0,0.0,0.0,0,0.0,8.0,8,8,3.2627955079078674e-05,2.166702063754201,33.431445475667715,9.928111021465156,0.0,0.0,0.0,33.431445475667715,0.0,176,4096,36.25959409214556,9.775720536708832e-05,1.9714011456817389,0.0031882543116807938,11.198514327406883,49.46281651780009,3.5528093576431274e-05,0.15924493555973757,1.2741549851856504e-05,0.044753778908609786,250225,49.46281651780009,2529.425309918937
4,0.11325263231992722,0.0,0.0,0.0,0.0,0.0,0.329875849455971,178.89682722091675,182.791015625,146.4250946044922,5e-06,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1832.1953125,4096.0,386.0,0.0234375,1029.3984375,3921.0,187.0,1832.1953125,4096.0,386.0,0.0234375,0.0,176.0,176.0,176.0,0.0,36,41,40.9140625,1.0,0.0,0.0,0,0.0,8.0,8,8,3.094971179962158e-05,1.990045391023159,37.59595216624439,10.373729894447024,0.0,0.0,0.0,37.59595216624439,0.0,176,4096,40.205400908365846,9.653344750404358e-05,2.079303475096822,0.003175247460603714,11.493338905274868,53.81908420100808,4.215724766254425e-05,0.17143625052070324,1.2352693302069698e-05,0.044712638077856234,257049,53.81908420100808,2388.0841138057235
5,0.13124088943004608,0.0,0.0,0.0,0.0,0.0,0.32873479021932783,178.89682722091675,182.791015625,147.13986587524414,5e-06,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788.40625,4096.0,396.0,0.015625,944.5234375,3297.0,197.0,1788.40625,4096.0,396.0,0.015625,0.0,176.0,176.0,176.0,0.0,34,41,40.9453125,1.0,0.0,0.0,0,0.0,8.0,8,8,4.130415618419647e-05,2.2050899155437946,30.42516609095037,9.647704523536959,0.0,0.0,0.0,30.42516609095037,0.0,176,3496,33.72809805162251,0.00013015232980251312,2.03469754755497,0.0030856747180223465,11.167777856811881,46.95974802412093,3.61371785402298e-05,0.14733831646377935,1.2271816857918051e-05,0.044414572854440275,251444,46.95974802412093,2677.229016122973
6,0.09901706129312515,0.0,0.0,0.0,0.0,0.0,0.32749450118451795,178.89682722091675,182.791015625,147.75664901733398,5e-06,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754.3125,3562.0,391.0,0.0,906.7890625,2661.0,133.0,1754.3125,3562.0,391.0,0.0,0.0,176.0,176.0,176.0,0.0,41,41,41.0,1.0,0.0,0.0,0,0.0,8.0,8,8,4.7810375690460205e-05,1.5312630720436573,25.162318170070648,9.341051609619171,0.0,0.0,0.0,25.162318170070648,0.0,176,3562,28.418006194755435,8.722208440303802e-05,1.9349188636988401,0.00295853428542614,11.071544736623764,41.45304894261062,3.5937875509262085e-05,0.1265542332945395,1.1973993384434758e-05,0.04480955454356388,247080,41.45304894261062,2980.239165785708
7,0.1140841692686081,0.0,0.0,0.0,0.0,0.0,0.3299835012836624,178.89682722091675,182.791015625,147.69368743896484,5e-06,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1817.078125,4096.0,391.0,0.0078125,1006.9296875,3671.0,192.0,1817.078125,4096.0,391.0,0.0078125,0.0,176.0,176.0,176.0,0.0,40,41,40.9921875,1.0,0.0,0.0,0,0.0,8.0,8,8,3.345869481563568e-05,2.0998870451003313,34.51051223091781,10.374098433938343,0.0,0.0,0.0,34.51051223091781,0.0,176,4096,37.495314072817564,9.531714022159576e-05,1.993393748998642,0.002982005476951599,11.305667761713266,50.8346425127238,4.752539098262787e-05,0.16121053749072414,1.1688913493385699e-05,0.04431614008526881,255114,50.8346425127238,2509.2534085997113
8,0.11397625505924225,0.0,0.0,0.0,0.0,0.0,0.3227485633045195,178.89682722091675,182.791015625,147.60602569580078,5e-06,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1791.09375,4096.0,374.0,0.0078125,960.6171875,3033.0,175.0,1791.09375,4096.0,374.0,0.0078125,0.0,176.0,176.0,176.0,0.0,41,41,41.0,1.0,0.0,0.0,0,0.0,8.0,8,8,3.388337790966034e-05,1.9433957859873772,28.317931504920125,9.787725195099483,0.0,0.0,0.0,28.317931504920125,0.0,176,3817,31.179599948227406,9.696558117866516e-05,2.041005067527294,0.0030137132853269577,11.400716347619891,44.6502668838948,4.118122160434723e-05,0.1360010466205505,1.1969249071945279e-05,0.045279029769567616,251788,44.6502668838948,2819.5576149044145
9,0.09630709141492844,0.0,0.0,0.0,0.0,0.0,0.32420464071129024,178.89682722091675,182.791015625,148.38540267944336,5e-06,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1777.6484375,4096.0,376.0,0.0234375,949.8828125,3765.0,177.0,1777.6484375,4096.0,376.0,0.0234375,0.0,176.0,176.0,176.0,0.0,32,41,40.890625,1.0,0.0,0.0,0,0.0,8.0,8,8,4.6119093894958496e-05,1.9190917406231165,34.54149461723864,9.646600154068437,0.0,0.0,0.0,34.54149461723864,0.0,176,4096,37.04861333966255,9.283609688282013e-05,1.994316155090928,0.003912987187504768,11.277971651405096,50.351109059527516,3.579817712306976e-05,0.16282313510942104,1.5647755151638433e-05,0.045099799859258105,250067,50.351109059527516,2483.2322929010234
10,0.10751165449619293,0.0,0.0,0.0,0.0,0.0,0.3273299058861665,178.89682722091675,182.791015625,148.2071304321289,5e-06,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1759.875,4096.0,376.0,0.0234375,943.578125,3633.0,177.0,1759.875,4096.0,376.0,0.0234375,0.0,176.0,176.0,176.0,0.0,30,41,40.875,1.0,0.0,0.0,0,0.0,8.0,8,8,6.302446126937866e-05,1.9459068048745394,33.99980350770056,9.555314010038273,0.0,0.0,0.0,33.99980350770056,0.0,176,4096,38.17006643302739,9.09566879272461e-05,2.0318127628415823,0.0029379241168498993,11.057230455800891,51.287389447912574,3.579631447792053e-05,0.16944592315251167,1.185641230084062e-05,0.04462303244576456,247792,51.287389447912574,2415.720537420386
