step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_agent_loop_response_length_min,timing_s_agent_loop_response_length_max,timing_s_agent_loop_response_length_mean,timing_s_agent_loop_llm_response_length_min,timing_s_agent_loop_llm_response_length_max,timing_s_agent_loop_llm_response_length_mean,timing_s_agent_loop_num_turns_min,timing_s_agent_loop_num_turns_max,timing_s_agent_loop_num_turns_mean,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_update_actor,timing_per_token_ms_adv,timing_per_token_ms_gen,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,0.3319357633590698,0.0019531228190317051,0.007714977255091071,0.0,0.020099803572520614,0.611328125,0.3454781906038419,225.31404161453247,229.447265625,188.75490951538086,5e-06,1,0,0.125,1.0,0.0,0.125,1.0,0.0,-0.10305965691804886,1.6201815605163574,-1.6201815605163574,-0.10305965691804886,1.6201815605163574,-1.6201815605163574,3008.90625,4096.0,912.0,0.25,381.09375,3208.0,46.0,3008.90625,4096.0,912.0,0.25,0.0,504.0,874.0,281.0,0.0,12,32,29.234375,0.75,0.25,1.0,6,1.0,8.0,8,8,0.00012961030006408691,0.4830939695239067,32.8969860188663,3.8760706460889196,0.0005408953875303268,37.12837650999427,14.801538135056035,26.545696642249823,22.955454198643565,493,4096,912.0,4096.0,3008.90625,46.0,3208.0,381.09375,12.0,32.0,29.234375,61.50629657693207,0.00013989582657814026,3.977463562041521,0.0037374719977378845,20.39778575859964,85.92141821794212,3.6831945180892944e-05,0.04536349389883652,8.311921214045271e-06,0.1596985422883421,449652,85.92141821794212,2616.6467530799187,
2,0.20109349489212036,0.0003728852352651302,0.00013002577361476142,0.0,0.001977854175493121,0.29248046875,0.34537595939595367,225.31404161453247,229.447265625,164.2020034790039,5e-06,2,0,0.0078125,1.0,0.0,0.0078125,1.0,0.0,-0.009252969175577164,2.4748666286468506,-0.35355237126350403,-0.009252969175577164,2.4748666286468506,-0.35355237126350403,2987.9921875,4096.0,1660.0,0.1875,223.5859375,1135.0,92.0,2987.9921875,4096.0,1660.0,0.1875,0.0,459.375,685.0,322.0,0.0,26,32,31.6171875,0.9375,0.0625,0.0625,1,0.0625,8.0,8,8,5.931966006755829e-05,1.0449965447187424,13.597214110195637,2.317868038197048,2.3667949605733156,31.071037620306015,13.844842538863304,6.25550820492208,27.63561357371509,649,4096,1660.0,4096.0,2987.9921875,92.0,1135.0,223.5859375,26.0,32.0,31.6171875,38.32147689908743,9.607896208763123e-05,3.2883823830634356,0.00321284681558609,19.917177986353636,61.56051768921316,4.077516496181488e-05,0.04513675061438108,7.281024730344692e-06,0.1001965599262868,441263,61.56051768921316,3583.977332904395,
3,0.2952822744846344,0.0006767822442270699,0.0004983767598787381,0.0,-0.013402730895904824,0.76171875,0.3423026104969761,225.31404161453247,229.466796875,166.50341415405273,5e-06,3,0,0.09375,1.0,0.0,0.09375,1.0,0.0,0.07173536717891693,1.20761239528656,-1.6201815605163574,0.07173536717891693,1.20761239528656,-1.6201815605163574,2904.6328125,4096.0,883.0,0.265625,216.7734375,1083.0,82.0,2904.6328125,4096.0,883.0,0.265625,0.0,483.4375,835.0,279.0,0.0,16,32,30.015625,0.8125,0.1875,0.75,6,0.75,8.0,8,8,5.040690302848816e-05,0.8173150848597288,12.333737356588244,2.2510922493529506,0.8040820118039846,41.11905570700765,16.144122927551507,1.2774024605751038,41.11905570700765,334,1823,883.0,4096.0,2904.6328125,82.0,1083.0,216.7734375,16.0,32.0,30.015625,46.96473556011915,0.00010290928184986115,3.2337703686207533,0.0029963310807943344,19.832579305395484,70.06873917579651,7.064826786518097e-05,0.04573164413139735,6.9091944409597425e-06,0.12631957987406742,433673,70.06873917579651,3094.625400008635,
4,0.3270987868309021,0.0008366531960746215,1.8167972939409083e-05,1.1115062989119906e-05,0.007490920426789671,0.732421875,0.332961146475274,225.31404161453247,229.466796875,167.34758377075195,5e-06,4,0,0.078125,1.0,0.0,0.078125,1.0,0.0,-0.04046435281634331,2.4748666286468506,-1.20761239528656,-0.04046435281634331,2.4748666286468506,-1.20761239528656,2911.015625,4096.0,863.0,0.1484375,264.5390625,2600.0,57.0,2911.015625,4096.0,863.0,0.1484375,0.0,452.75,683.0,318.0,0.0,14,32,30.9765625,0.75,0.25,0.625,5,0.625,8.0,8,8,4.982203245162964e-05,0.5733523070812225,24.050758158788085,2.697147557293647,1.5290855299681425,30.043429570272565,13.393267020321218,1.4153306540101767,30.043429570272565,366,1994,863.0,4096.0,2911.015625,57.0,2600.0,264.5390625,14.0,32.0,30.9765625,50.88406422175467,8.915364742279053e-05,3.2784832157194614,0.002959359437227249,20.06045975163579,74.25115161947906,3.797560930252075e-05,0.04659133818505997,6.873248073975988e-06,0.13656118789553331,430562,74.25115161947906,2899.362438218711,
5,0.2941342294216156,0.0007213333210529527,2.9485618142643943e-05,0.0,-0.02006350929150358,0.974609375,0.3419785742144758,227.65885877609253,231.986328125,168.67636489868164,5e-06,5,0,0.1796875,1.0,0.0,0.1796875,1.0,0.0,0.09365206211805344,2.4748666286468506,-2.4748666286468506,0.09365206211805344,2.4748666286468506,-2.4748666286468506,3047.8671875,4096.0,719.0,0.2421875,238.265625,1632.0,67.0,3047.8671875,4096.0,719.0,0.2421875,0.0,508.25,874.0,359.0,0.0,12,32,29.3828125,0.625,0.375,1.4375,7,1.4375,8.0,8,8,5.118921399116516e-05,0.6621573735028505,15.871741689741611,2.4323404232854955,0.8910352531820536,37.319205010309815,16.956839170627063,1.361471002921462,37.319205010309815,680,4096,719.0,4096.0,3047.8671875,67.0,1632.0,238.265625,12.0,32.0,29.3828125,50.219578796997666,9.673647582530975e-05,3.4117590729147196,0.003015618771314621,21.118073899298906,74.7865872811526,3.693625330924988e-05,0.04639468938712322,6.625068975147624e-06,0.1287262322192457,455183,74.7865872811526,3043.21280424781,
6,0.2962648868560791,0.0009159579094557557,0.00025983677278418327,0.0,0.01615788333583623,0.845703125,0.34113097365584055,227.65885877609253,231.986328125,169.5759162902832,5e-06,6,0,0.21875,1.0,0.0,0.21875,1.0,0.0,-0.05618465319275856,1.6201815605163574,-2.4748666286468506,-0.05618465319275856,1.6201815605163574,-2.4748666286468506,2624.328125,4096.0,674.0,0.2421875,197.3515625,2570.0,43.0,2624.328125,4096.0,674.0,0.2421875,0.0,460.125,844.0,282.0,0.0,10,32,27.6328125,0.6875,0.3125,1.75,8,1.75,8.0,8,8,4.8844143748283386e-05,0.4232008494436741,24.307915054261684,1.9755776309611974,1.2561797853559256,33.61433380842209,14.789600021307706,24.307915054261684,15.607658810913563,328,4096,674.0,4096.0,2624.328125,43.0,2570.0,197.3515625,10.0,32.0,27.6328125,43.01322111673653,9.560026228427887e-05,3.0489968210458755,0.004610056057572365,18.057339657098055,64.15510879643261,3.520771861076355e-05,0.045736783914029674,1.1676644607716027e-05,0.1280483133085746,394810,64.15510879643261,3076.995795087434,
7,0.18631790578365326,0.0009851374525169376,-6.018638600835402e-06,0.0,0.0036828867450822145,1.02734375,0.3392075330362372,227.74542617797852,232.025390625,171.1195068359375,5e-06,7,0,0.203125,1.0,0.0,0.203125,1.0,0.0,-0.009692049585282803,2.4748666286468506,-2.4748666286468506,-0.009692049585282803,2.4748666286468506,-2.4748666286468506,2812.453125,4096.0,441.0,0.3515625,205.78125,1099.0,30.0,2812.453125,4096.0,441.0,0.3515625,0.0,487.0625,847.0,281.0,0.0,8,32,28.3359375,0.625,0.375,1.625,7,1.625,8.0,8,8,3.4028664231300354e-05,0.3072974868118763,10.46892356313765,2.1049834337318316,0.9394794218242168,42.17624559253454,18.56429836495954,1.6461421344429255,42.17624559253454,389,2614,441.0,4096.0,2812.453125,30.0,1099.0,205.78125,8.0,32.0,28.3359375,51.21965474076569,9.310431778430939e-05,3.209848904982209,0.003135690465569496,19.579057082533836,74.04320630803704,3.6446377635002136e-05,0.046358738930747025,7.424599409879045e-06,0.1422791900441832,422338,74.04320630803704,2851.9699582090975,
8,0.3468475937843323,0.000403745307266945,7.481301554435049e-05,0.0,0.00287434937490616,0.609375,0.3409653381205511,227.74542617797852,232.025390625,171.42987442016602,5e-06,8,0,0.046875,1.0,0.0,0.046875,1.0,0.0,-0.01969238743185997,2.4748666286468506,-0.7245674133300781,-0.01969238743185997,2.4748666286468506,-0.7245674133300781,3042.78125,4096.0,1239.0,0.109375,302.8671875,2249.0,87.0,3042.78125,4096.0,1239.0,0.109375,0.0,462.75,605.0,315.0,0.0,18,32,31.1640625,0.8125,0.1875,0.375,3,0.375,8.0,8,8,3.08547168970108e-05,0.8984973188489676,22.222115447744727,3.0048889559693635,2.613102540373802,32.07213742285967,14.609080898022512,20.057056551799178,21.578499579802155,340,4014,1239.0,4096.0,3042.78125,87.0,2249.0,302.8671875,18.0,32.0,31.1640625,47.13497297652066,9.132549166679382e-05,3.353825595229864,0.0031223203986883163,20.446997048333287,70.96701871044934,3.861822187900543e-05,0.04556860374304288,6.958468310545648e-06,0.12102150832534138,448708,70.96701871044934,3161.3840355247394,
9,0.24920815229415894,0.0007739863813185366,0.00028672066855506273,0.0,-0.004573151207296178,0.7734375,0.33832455323827987,227.74542617797852,232.025390625,172.03279495239258,5e-06,9,0,0.09375,1.0,0.0,0.09375,1.0,0.0,0.005438065622001886,2.4748666286468506,-1.20761239528656,0.005438065622001886,2.4748666286468506,-1.20761239528656,3072.0234375,4096.0,851.0,0.25,287.8359375,2460.0,72.0,3072.0234375,4096.0,851.0,0.25,0.0,482.0625,681.0,298.0,0.0,14,32,30.796875,0.6875,0.3125,0.75,5,0.75,8.0,8,8,5.050934851169586e-05,0.7098410334438086,24.562228282913566,2.919509263942018,1.6482774075120687,38.88253938779235,18.187840110243997,6.307104958221316,34.34705839678645,316,2256,851.0,4096.0,3072.0234375,72.0,2460.0,287.8359375,14.0,32.0,30.796875,46.90488902851939,9.652413427829742e-05,3.424476617947221,0.0030074194073677063,21.05288650467992,71.4184012953192,3.6349520087242126e-05,0.046277911876691044,6.610831739366236e-06,0.11928439121334267,454923,71.4184012953192,3184.9144740643746,
10,0.38840439915657043,0.0004964672825735761,3.649048721854342e-05,0.0,-0.02930651535280049,1.00390625,0.33975690591189595,228.06283473968506,232.318359375,173.11304473876953,5e-06,10,0,0.1953125,1.0,0.0,0.1953125,1.0,0.0,0.12461024522781372,2.4748666286468506,-2.4748666286468506,0.12461024522781372,2.4748666286468506,-2.4748666286468506,3053.328125,4096.0,595.0,0.2578125,291.703125,2264.0,50.0,3053.328125,4096.0,595.0,0.2578125,0.0,502.5,695.0,298.0,0.0,12,32,28.8125,0.625,0.375,1.5625,8,1.5625,8.0,8,8,5.2776187658309937e-05,0.531152630224824,21.334856271743774,3.034656635732972,1.5477547459304333,45.16498031467199,17.759743042261107,3.6175838597118855,45.16498031467199,695,4096,595.0,4096.0,3053.328125,50.0,2264.0,291.703125,12.0,32.0,28.8125,59.360835472121835,9.051710367202759e-05,3.4469982143491507,0.0039731357246637344,21.08220185339451,83.91985958814621,3.54573130607605e-05,0.046319646560432276,8.729365356750876e-06,0.15188558456223955,455146,83.91985958814621,2711.789570631562,
