step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_update_actor,timing_per_token_ms_adv,timing_per_token_ms_gen,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,0.13806286454200745,0.0042331596778240055,0.0008487395034535439,1.2903398783237208e-05,0.02482113376026973,0.5205078125,0.33362610209524635,204.74738597869873,209.298828125,152.77484893798828,5e-06,1,0,0.22543223202228546,0.9897959232330322,0.0,0.22543223202228546,0.9897959232330322,0.0,-0.11486229300498962,2.4748663902282715,-2.474865436553955,-0.11486229300498962,2.4748663902282715,-2.474865436553955,3545.2265625,4096.0,673.0,0.7578125,2757.1015625,3700.0,494.0,3545.2265625,4096.0,673.0,0.7578125,0.0,268.125,559.0,174.0,0.0,4,37,18.2734375,0.375,0.625,1.9375,8,1.8034579753875732,8.0,8,8,0.00012156926095485687,5.1551926378160715,41.895155139267445,29.709167179084034,0.0,0.0,0.0,41.895155139267445,0.0,216,4096,50.58276109583676,0.00013302452862262726,5.451732214540243,0.003700466826558113,23.13147509843111,79.19841837696731,6.0731545090675354e-05,0.04738997866958222,7.58123047630368e-06,0.11146757875540561,488109,79.19841837696731,3081.557750791859,
2,0.14361174404621124,0.002913363219704479,7.903459078306696e-05,8.132912171276985e-06,0.02541085926350206,0.53515625,0.33762098641179805,205.0058298110962,209.611328125,152.98302841186523,5e-06,2,0,0.28071683645248413,0.9979591965675354,0.0,0.28071683645248413,0.9979591965675354,0.0,-0.13954849541187286,2.4748666286468506,-2.4740846157073975,-0.13954849541187286,2.4748666286468506,-2.4740846157073975,3536.375,4096.0,724.0,0.703125,2699.9765625,3699.0,526.0,3536.375,4096.0,724.0,0.703125,0.0,276.75,445.0,178.0,0.0,6,33,17.15625,0.3125,0.6875,2.375,8,2.245734691619873,8.0,8,8,3.674253821372986e-05,5.2427004259079695,40.745619336143136,28.81340915444889,0.0,0.0,0.0,40.745619336143136,0.0,299,4096,43.171633115038276,9.898655116558075e-05,3.2932039238512516,0.0032847467809915543,22.835949882864952,69.32976186089218,3.6269426345825195e-05,0.046787309217474496,6.729935217569977e-06,0.09537404367784427,488080,69.32976186089218,3519.9890126502673,
3,0.13351589441299438,0.002805427211569622,8.323515521624358e-05,6.713402854074957e-06,0.024884614045731723,0.5185546875,0.3400756809408373,205.0058298110962,209.611328125,153.12838745117188,5e-06,3,0,0.1944534182548523,0.9959183931350708,0.0,0.1944534182548523,0.9959183931350708,0.0,-0.11886819452047348,2.4748666286468506,-1.2076109647750854,-0.11886819452047348,2.4748666286468506,-1.2076109647750854,3746.71875,4096.0,1008.0,0.7890625,2887.4453125,3635.0,800.0,3746.71875,4096.0,1008.0,0.7890625,0.0,254.0,428.0,160.0,0.0,8,42,20.2890625,0.3125,0.6875,1.625,5,1.5556272268295288,8.0,8,8,3.296695649623871e-05,8.312771696597338,42.13520975224674,31.18838464228611,0.0,0.0,0.0,42.13520975224674,0.0,205,4096,44.24983049556613,9.342469274997711e-05,3.4374806005507708,0.0030366554856300354,23.819342631846666,71.535904340446,3.832392394542694e-05,0.04651379563017322,5.929902216066713e-06,0.0922678812618669,512092,71.535904340446,3579.265578043906,
4,0.14075271785259247,0.003254175346228294,0.00019363832097951672,6.632715439991443e-06,0.012406570604071021,0.60546875,0.3369846408699139,205.0058298110962,209.611328125,153.3344841003418,5e-06,4,0,0.2816162109375,0.9937499761581421,0.0,0.2816162109375,0.9937499761581421,0.0,-0.10528228431940079,2.4748666286468506,-2.469921827316284,-0.10528228431940079,2.4748666286468506,-2.469921827316284,3409.6484375,4096.0,687.0,0.6953125,2629.90625,3565.0,525.0,3409.6484375,4096.0,687.0,0.6953125,0.0,265.3125,482.0,174.0,0.0,6,31,17.7578125,0.3125,0.6875,2.4375,8,2.2529296875,8.0,8,8,4.082731902599335e-05,5.157573752105236,40.50408085435629,27.658104562855442,0.0,0.0,0.0,40.50408085435629,0.0,174,4096,42.530713154003024,9.848736226558685e-05,3.168554499745369,0.003112535923719406,22.021929677575827,67.75522906705737,3.944896161556244e-05,0.04681582431270704,6.61685588435125e-06,0.09745028046330616,470395,67.75522906705737,3471.2818957076356,
5,0.13799820840358734,0.002266584662720561,3.890711241183453e-05,2.653646106409724e-06,0.009170419536530972,0.4970703125,0.3388277245918475,205.0058298110962,209.611328125,153.65449905395508,5e-06,5,0,0.36794036626815796,0.9897959232330322,0.0,0.36794036626815796,0.9897959232330322,0.0,-0.13538780808448792,2.474865436553955,-2.4748666286468506,-0.13538780808448792,2.474865436553955,-2.4748666286468506,3265.0078125,4096.0,614.0,0.625,2406.71875,3576.0,511.0,3265.0078125,4096.0,614.0,0.625,0.0,275.125,442.0,178.0,0.0,4,39,17.7265625,0.375,0.625,3.0625,8,2.9435229301452637,8.0,8,8,4.7443434596061707e-05,5.124200716614723,39.39674378558993,24.977607985856594,0.0,0.0,0.0,39.39674378558993,0.0,178,4096,41.35055903159082,9.214691817760468e-05,3.071743592619896,0.003045355901122093,21.0604674462229,65.5120640527457,3.6580488085746765e-05,0.046477042144479265,6.720607456734041e-06,0.09894348221695205,453137,65.5120640527457,3458.424082281746,
6,0.13045185804367065,0.0024498616985511035,0.00011411738250899361,7.985503884810896e-06,0.021016732091084123,0.5048828125,0.33907667450829243,205.0058298110962,209.611328125,153.45346450805664,5e-06,6,0,0.2257065623998642,0.9959183931350708,0.0,0.2257065623998642,0.9959183931350708,0.0,-0.11589909344911575,2.4748666286468506,-2.1112565994262695,-0.11589909344911575,2.4748666286468506,-2.1112565994262695,3638.1796875,4096.0,691.0,0.7734375,2732.640625,3607.0,525.0,3638.1796875,4096.0,691.0,0.7734375,0.0,264.1875,477.0,174.0,0.0,6,37,19.7734375,0.375,0.625,2.0,7,1.805652379989624,8.0,8,8,4.884786903858185e-05,5.188625417649746,39.758611714467406,29.1903766374744,0.0,0.0,0.0,39.758611714467406,0.0,217,4096,41.76169406436384,8.839927613735199e-05,3.361718663945794,0.0030161887407302856,23.28321974724531,68.43352754972875,3.914348781108856e-05,0.04661277259044553,6.0383796308136e-06,0.08967760333520979,499503,68.43352754972875,3649.548824127362,
7,0.13103541731834412,0.0022225581342354417,7.034130631922153e-05,4.5332110403251136e-06,0.030782005691435188,0.513671875,0.3406920545507568,205.21283674240112,209.826171875,153.49243545532227,5e-06,7,0,0.21246172487735748,0.996874988079071,0.0,0.21246172487735748,0.996874988079071,0.0,-0.14705778658390045,2.4748661518096924,-1.2076122760772705,-0.14705778658390045,2.4748661518096924,-1.2076122760772705,3617.9609375,4096.0,691.0,0.765625,2742.1171875,3589.0,525.0,3617.9609375,4096.0,691.0,0.765625,0.0,276.125,510.0,160.0,0.0,6,42,19.25,0.375,0.625,1.8125,5,1.6996939182281494,8.0,8,8,3.4285709261894226e-05,5.160270182415843,41.61138650216162,29.05868721130537,0.0,0.0,0.0,41.61138650216162,0.0,178,4096,43.594619669020176,9.431503713130951e-05,3.3496822975575924,0.0029996223747730255,23.125450871884823,70.10562996938825,3.52710485458374e-05,0.04639537694758442,6.017984754070226e-06,0.09413671735205685,498443,70.10562996938825,3554.9427358234,
8,0.13149693608283997,0.0023564133734907955,0.00016203175891860155,2.8924897605975275e-06,0.02743117162026465,0.513671875,0.3402859197500679,205.23416471481323,209.826171875,154.12628173828125,5e-06,8,0,0.20695367455482483,0.9918367266654968,0.0,0.20695367455482483,0.9918367266654968,0.0,-0.13416330516338348,2.4748663902282715,-1.6201814413070679,-0.13416330516338348,2.4748663902282715,-1.6201814413070679,3609.96875,4096.0,735.0,0.7734375,2740.5234375,3596.0,525.0,3609.96875,4096.0,735.0,0.7734375,0.0,292.75,472.0,177.0,0.0,6,42,18.9140625,0.375,0.625,1.75,6,1.6556293964385986,8.0,8,8,3.2398849725723267e-05,5.138868056237698,41.267638340592384,29.21562181302579,0.0,0.0,0.0,41.267638340592384,0.0,358,4096,43.4263252671808,9.649060666561127e-05,3.3703633323311806,0.00302734412252903,23.221517307683825,70.04475755989552,3.766454756259918e-05,0.04648505710699237,6.06016663569673e-06,0.09398091497325288,499548,70.04475755989552,3565.9199731888198,
9,0.13040436804294586,0.00281686287780758,-8.06109845541414e-06,3.924673819710733e-06,0.009640376083552837,0.650390625,0.33403967738996165,205.23416471481323,209.826171875,153.22918319702148,5e-06,9,0,0.3666556179523468,0.9921875,0.0,0.3666556179523468,0.9921875,0.0,-0.14597643911838531,2.474865674972534,-2.4402577877044678,-0.14597643911838531,2.474865674972534,-2.4402577877044678,3221.8046875,4096.0,570.0,0.6015625,2369.71875,3547.0,467.0,3221.8046875,4096.0,570.0,0.6015625,0.0,259.8125,396.0,174.0,0.0,4,39,17.6484375,0.25,0.75,3.1875,8,2.9332451820373535,8.0,8,8,5.040690302848816e-05,4.5335909854620695,37.41681104712188,24.550995616213186,0.0,0.0,0.0,37.41681104712188,0.0,174,4096,39.364720325917006,9.305961430072784e-05,3.0375995878130198,0.0030173640698194504,21.02243508026004,63.45015636831522,3.726780414581299e-05,0.04717284101600603,6.7707492024392635e-06,0.09545484825303414,445647,63.45015636831522,3511.788035738715,
10,0.13222099840641022,0.002971992173115723,7.50368626540876e-05,6.350876333272026e-06,0.012663813773542643,0.70703125,0.3363269750409404,205.23416471481323,209.826171875,153.3992156982422,5e-06,10,0,0.36236244440078735,0.9859374761581421,0.0,0.36236244440078735,0.9859374761581421,0.0,-0.14835421741008759,2.4748661518096924,-2.474853992462158,-0.14835421741008759,2.4748661518096924,-2.474853992462158,3181.0703125,4096.0,600.0,0.609375,2383.1328125,3549.0,421.0,3181.0703125,4096.0,600.0,0.609375,0.0,268.5,434.0,178.0,0.0,4,42,17.15625,0.3125,0.6875,3.0625,8,2.898899793624878,8.0,8,8,3.2452866435050964e-05,4.421345556154847,40.33125195465982,24.809811789906234,0.0,0.0,0.0,40.33125195465982,0.0,250,4096,42.31971059553325,9.627640247344971e-05,3.005686057731509,0.0030044037848711014,20.667402639985085,66.01819558441639,3.7439167499542236e-05,0.046807013192279576,6.804298055398887e-06,0.10393443292605735,441545,66.01819558441639,3344.11593721464,
