step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_adv,timing_per_token_ms_gen,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1001,0.03134256973862648,0.0020969309262000024,0.0001123904457926983,5.534279557650734e-05,0.010416684672236443,0.912109375,0.24701986761601313,166.85452795028687,171.935546875,229.3920669555664,5e-06,1001,21,0.6227566003799438,0.9781249761581421,0.0,0.6227566003799438,0.9781249761581421,0.0,-0.1660461127758026,2.4748663902282715,-2.474865198135376,-0.1660461127758026,2.4748663902282715,-2.474865198135376,2155.640625,4096.0,677.0,0.21875,883.0,2161.0,303.0,2155.640625,4096.0,677.0,0.21875,0.0,130.0,130.0,130.0,0.0,7,41,21.4140625,0.0625,0.9375,5.5,8,4.982052803039551,8.0,8,8,0.0001485738903284073,3.2416191324591637,21.60529912263155,9.618927042378346,0.0,0.0,0.0,21.60529912263155,0.0,130,3023,24.394987979903817,0.00014158710837364197,4.397676872089505,0.00373726524412632,18.107201335951686,46.943464089185,4.01865690946579e-05,1.2774267485614399e-05,0.08841262378463413,0.06189184287758385,292562,46.943464089185,3116.1100450978593,
1002,0.030060838907957077,0.0016758776182541624,7.736350789855351e-05,4.9605481308390154e-05,0.02358192257452174,0.890625,0.3045590580517824,166.85452795028687,171.935546875,229.59447860717773,5e-06,1002,21,0.7745600342750549,0.9955000281333923,0.0,0.7745600342750549,0.9955000281333923,0.0,-0.13024264574050903,2.4748663902282715,-2.4748663902282715,-0.13024264574050903,2.4748663902282715,-2.4748663902282715,1722.96875,4096.0,456.0,0.0859375,738.828125,2330.0,208.0,1722.96875,4096.0,456.0,0.0859375,0.0,130.0,130.0,130.0,0.0,5,41,17.59375,0.0,1.0,6.5625,8,6.196479797363281,8.0,8,8,5.290471017360687e-05,2.131153179332614,21.582660207524896,7.296205584731069,0.0,0.0,0.0,21.582660207524896,0.0,130,3375,24.69016449339688,0.0001027565449476242,1.7084290198981762,0.0030975081026554108,11.695998387411237,38.12769659049809,3.7044286727905273e-05,1.3059735655010585e-05,0.11195322614218227,0.04931275144367669,237180,38.12769659049809,3110.3373821316586,
1003,0.03035799041390419,0.0016610667953500524,-1.9096584765065927e-05,2.2329546254695742e-05,0.011350525412126444,0.90234375,0.30976571048537616,166.85452795028687,171.935546875,229.48920059204102,5e-06,1003,21,0.7474536299705505,0.995312511920929,0.0,0.7474536299705505,0.995312511920929,0.0,-0.10205298662185669,1.2257161140441895,-2.474841594696045,-0.10205298662185669,1.2257161140441895,-2.474841594696045,1774.6953125,4096.0,564.0,0.09375,727.0390625,2020.0,296.0,1774.6953125,4096.0,564.0,0.09375,0.0,130.0,130.0,130.0,0.0,7,41,17.671875,0.125,0.875,6.4375,8,5.979628562927246,8.0,8,8,3.3156946301460266e-05,2.920301303267479,21.40031902305782,7.33345821077819,0.0,0.0,0.0,21.40031902305782,0.0,130,4096,24.456035574898124,9.657628834247589e-05,1.8300545439124107,0.0030175000429153442,11.772917322814465,38.096656657755375,3.662705421447754e-05,1.2376897727717869e-05,0.10765948193086897,0.048289044437120704,243801,38.096656657755375,3199.768974351312,
1004,0.030306437984108925,0.0016512828806298785,4.8607607823214494e-05,8.141040098053054e-06,-0.004510477767325938,0.875,0.2543076848521065,178.32664442062378,183.794921875,254.41349411010742,5e-06,1004,21,0.5080506205558777,0.995312511920929,0.0,0.5080506205558777,0.995312511920929,0.0,-0.09667830914258957,1.6657179594039917,-2.474379062652588,-0.09667830914258957,1.6657179594039917,-2.474379062652588,2602.3671875,4096.0,555.0,0.296875,1008.90625,2333.0,291.0,2602.3671875,4096.0,555.0,0.296875,0.0,130.0,130.0,130.0,0.0,7,41,24.7890625,0.25,0.75,4.4375,8,4.06440544128418,8.0,8,8,3.4188851714134216e-05,2.890824420377612,23.07616695202887,10.353442435633042,0.0,0.0,0.0,23.07616695202887,0.0,130,4096,26.135653115808964,0.0001008063554763794,2.480544250458479,0.003450179472565651,21.133114529773593,49.77920735999942,5.483999848365784e-05,9.86489929052376e-06,0.07846117602005676,0.060424696219148324,349743,49.77920735999942,3512.9426375824487,
1005,0.027905793860554695,0.0011559854610823095,-7.17280115622998e-05,2.4939545482993708e-05,0.012656527454964817,0.744140625,0.31504037141376573,178.32664442062378,183.794921875,230.11335372924805,5e-06,1005,21,0.6300160884857178,0.9938775300979614,0.0,0.6300160884857178,0.9938775300979614,0.0,-0.14978182315826416,1.620158314704895,-2.4748663902282715,-0.14978182315826416,1.620158314704895,-2.4748663902282715,1991.5,4096.0,555.0,0.0859375,839.8984375,2464.0,299.0,1991.5,4096.0,555.0,0.0859375,0.0,130.0,130.0,130.0,0.0,7,41,20.59375,0.1875,0.8125,5.5,8,5.040128707885742,8.0,8,8,4.4208019971847534e-05,2.888405963778496,22.830061176791787,8.221679157955805,0.0,0.0,0.0,22.830061176791787,0.0,130,4096,35.956242710351944,0.00011449307203292847,1.9292319547384977,0.003134826198220253,13.120640203356743,51.03274284861982,3.598257899284363e-05,1.1544110145461101e-05,0.14105355067769249,0.048317229125017465,271552,51.03274284861982,2660.56638191596,
1006,0.034321196377277374,0.001723135072097648,-4.307392373448238e-06,3.459537310845917e-06,0.008382700965739787,1.005859375,0.3125331128111355,178.32664442062378,183.794921875,229.9824447631836,5e-06,1006,21,0.7486473321914673,0.9984375238418579,0.0,0.7486473321914673,0.9984375238418579,0.0,-0.11402563005685806,1.2076122760772705,-2.4747025966644287,-0.11402563005685806,1.2076122760772705,-2.4747025966644287,1780.59375,4096.0,465.0,0.140625,734.8125,2536.0,232.0,1780.59375,4096.0,465.0,0.140625,0.0,130.0,130.0,130.0,0.0,5,41,16.734375,0.125,0.875,6.5,8,5.989178657531738,8.0,8,8,3.3989548683166504e-05,2.326707448810339,23.611230444163084,7.256578966247616,0.0,0.0,0.0,23.611230444163084,0.0,130,4096,25.924988079816103,0.00010479800403118134,1.829030741006136,0.003034895285964012,11.732678811997175,39.52439833804965,3.682263195514679e-05,1.2409817325945845e-05,0.11374799522550459,0.047975428171859104,244556,39.52439833804965,3093.734633331141,
1007,0.0316142700612545,0.0018550729946582578,0.00011941865068365587,1.3553821190726012e-05,0.020179421117063612,1.00390625,0.3044904634308315,178.32664442062378,183.794921875,230.06135177612305,5e-06,1007,21,0.7673323154449463,0.9938775300979614,0.0,0.7673323154449463,0.9938775300979614,0.0,-0.174971804022789,2.2386319637298584,-2.4747653007507324,-0.174971804022789,2.2386319637298584,-2.4747653007507324,1729.7734375,4096.0,474.0,0.140625,712.5234375,1941.0,232.0,1729.7734375,4096.0,474.0,0.140625,0.0,130.0,130.0,130.0,0.0,5,41,16.671875,0.0625,0.9375,6.6875,8,6.13865852355957,8.0,8,8,3.347918391227722e-05,2.317268319427967,19.37516624107957,7.068057598575251,0.0,0.0,0.0,19.37516624107957,0.0,130,4096,21.8732841424644,0.00016209110617637634,1.729446168988943,0.0031249485909938812,11.749000178650022,35.383122488856316,3.8819387555122375e-05,1.312722312023004e-05,0.09879041304390658,0.04935497090392404,238051,35.383122488856316,3363.9060554219404,
1008,0.03181519731879234,0.001686862378846854,-8.460420940537006e-05,2.200620519943186e-05,-0.005053597269579768,1.001953125,0.30470057466985145,178.32664442062378,183.794921875,236.8852424621582,5e-06,1008,21,0.7760045528411865,2.9203124046325684,0.0,0.7760045528411865,2.9203124046325684,0.0,-0.04070504382252693,2.4748661518096924,-2.4748661518096924,-0.04070504382252693,2.4748661518096924,-2.4748661518096924,1642.859375,4096.0,494.0,0.0546875,708.7109375,2361.0,232.0,1642.859375,4096.0,494.0,0.0546875,0.0,130.0,130.0,130.0,0.0,5,41,16.6484375,0.0625,0.9375,6.6875,8,6.20803689956665,8.0,8,8,4.3783336877822876e-05,2.2654414009302855,21.977617716416717,6.84594894714246,0.0,0.0,0.0,21.977617716416717,0.0,130,3445,24.69248297996819,0.0001024790108203888,1.6483933441340923,0.0030835773795843124,11.126937795430422,37.496871111914515,3.826618194580078e-05,1.3588471041592028e-05,0.11742333288934209,0.04903333155050731,226926,37.496871111914515,3025.9324747751416,
1009,0.032839447259902954,0.00131494969537016,-7.267072425065635e-05,1.365036996503477e-05,-0.003086104290559888,0.60546875,0.3189038827129504,178.32664442062378,183.794921875,229.93819046020508,5e-06,1009,21,0.5985390543937683,1.765625,0.0,0.5985390543937683,1.765625,0.0,-0.06952431052923203,2.4748661518096924,-2.4747273921966553,-0.06952431052923203,2.4748661518096924,-2.4747273921966553,2279.2421875,4096.0,564.0,0.203125,958.375,2066.0,269.0,2279.2421875,4096.0,564.0,0.203125,0.0,130.0,130.0,130.0,0.0,7,41,22.7421875,0.25,0.75,5.125,8,4.7883124351501465,8.0,8,8,6.133317947387695e-05,2.7546352446079254,20.25792747363448,9.526307917985832,0.0,0.0,0.0,20.25792747363448,0.0,130,4096,23.24734961055219,0.00010522454977035522,2.1786750834435225,0.0030417684465646744,14.818513683974743,40.2734840977937,3.839470446109772e-05,9.863606121493969e-06,0.07968434413354285,0.04805230406337166,308383,40.2734840977937,3828.6108950888374,
1010,0.03058750368654728,0.001299172916333191,0.00013163200287635846,1.157578367383394e-05,-0.00039349368307739496,0.91796875,0.3139514347650334,178.32664442062378,183.794921875,230.05652618408203,5e-06,1010,21,0.6889955401420593,2.9625000953674316,0.0,0.6889955401420593,2.9625000953674316,0.0,-0.053474776446819305,2.4748172760009766,-2.474367141723633,-0.053474776446819305,2.4748172760009766,-2.474367141723633,1982.6640625,4096.0,398.0,0.09375,874.0078125,3265.0,232.0,1982.6640625,4096.0,398.0,0.09375,0.0,130.0,130.0,130.0,0.0,5,41,19.9375,0.1875,0.8125,5.9375,8,5.511963844299316,8.0,8,8,4.9972906708717346e-05,2.312330538406968,31.337550595402718,8.860480127405026,0.0,0.0,0.0,31.337550595402718,0.0,130,4096,34.46688654087484,9.776465594768524e-05,1.907778488472104,0.0029451102018356323,13.005760179832578,49.40864324942231,3.65525484085083e-05,1.0890833928709798e-05,0.13581350274793952,0.04809449036810225,270421,49.40864324942231,2736.575852071811,
