step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_adv,timing_per_token_ms_gen,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,True,37504,0.11784902215003967,0.0036406888357305434,0.0005606997802942715,8.660909998070565e-06,-0.00038251542719081044,-0.045294692623429,-0.045677208341658115,1.0,2344.0,1.0,0.0,1.1167681589722633,1.1167681589722633,7867472.4375,0.32774377265013754,0.32774377265013754,0.08656207157834916,-0.045294692623429,0.44716517460840755,0.0036406888357305434,0.0005606997802942715,8.660909998070565e-06,0.18916729697957635,-0.9906803891062737,0.0,0.0,0.2,0.2,0.2,3.0,0.580078125,0.17541112177777435,206.09259748458862,215.18359375,156.00610733032227,5e-06,1,0,0.13543574512004852,0.9918367266654968,0.0,0.13543574512004852,0.9918367266654968,0.0,-0.04649663716554642,2.4748663902282715,-2.4748666286468506,-0.04649663716554642,2.4748663902282715,-2.4748666286468506,3664.046875,4096.0,246.0,0.796875,2721.84375,3656.0,235.0,3664.046875,4096.0,246.0,0.796875,0.0,1133.5,3543.0,249.0,0.0,3,36,19.75,0.625,0.375,1.125,7,1.0834858417510986,8.0,8,8,0.00013518333435058594,2.5436509046703577,42.81274845264852,31.055898171427543,0.0,0.0,0.0,42.81274845264852,0.0,2722,4096,51.64815585501492,0.00015021488070487976,4.861399007961154,0.0036766324192285538,56.96515171043575,113.52311455085874,4.061311483383179e-05,5.987162090046922e-06,0.11012446930480496,0.09276412702852002,614086,113.52311455085874,2704.6738561990715,
2,True,43048,0.11649347096681595,0.001827389924073941,0.0002133497508509663,2.560006578278262e-06,0.004758880448207492,-0.05891379964305088,-0.054154919693246484,1.0,2690.5,1.0,0.0,1.0208825841546059,1.1064329147338867,8641639.03125,0.43095800862647593,0.43095800862647593,0.16506395469096546,-0.05891379964305088,0.5576253125503352,0.001827389924073941,0.0002133497508509663,2.560006578278262e-06,0.22552896686829627,-0.8942064195871353,0.0,0.0,0.2,0.2,0.2,3.0,0.66015625,0.17354182217260472,212.1059889793396,221.19921875,156.37931060791016,5e-06,2,0,0.18758359551429749,0.9862244725227356,0.0,0.18758359551429749,0.9862244725227356,0.0,-0.03949626907706261,2.4748663902282715,-2.4731547832489014,-0.03949626907706261,2.4748663902282715,-2.4731547832489014,2959.6796875,4096.0,254.0,0.609375,2184.1015625,3683.0,136.0,2959.6796875,4096.0,254.0,0.609375,0.0,1394.0,4473.0,254.0,0.0,3,38,17.328125,0.625,0.375,1.625,8,1.5006688833236694,8.0,8,8,8.647143840789795e-05,1.4678929913789034,39.77317324467003,23.43338964418217,0.0,0.0,0.0,39.77317324467003,0.0,311,4096,41.947885792702436,0.00012937374413013458,3.9006740283221006,0.0034211333841085434,52.76853574067354,98.66812134720385,3.9964914321899414e-05,6.139083828350199e-06,0.1107274747127472,0.09469097753278664,557271,98.66812134720385,2823.966811119347,
3,True,32008,0.10398205369710922,0.0013002166415390093,-8.010003284653067e-06,4.0246418393508065e-06,-0.0001450440613552928,-0.052568881306797266,-0.05271392501890659,1.0,2000.5,1.0,0.0,1.1112914606928825,1.1112914606928825,9196126.46875,0.3873156439512968,0.3873156439512968,0.09329386614733853,-0.052568881306797266,0.42976109400511026,0.0013002166415390093,-8.010003284653067e-06,4.0246418393508065e-06,0.14833281747996807,-0.9694920890033245,0.0,0.0,0.2,0.2,0.2,3.0,0.4921875,0.17435185157370706,212.1059889793396,221.19921875,156.6460952758789,5e-06,3,0,0.13812068104743958,0.9906250238418579,0.0,0.13812068104743958,0.9906250238418579,0.0,-0.05309901386499405,2.4656240940093994,-0.7245673537254333,-0.05309901386499405,2.4656240940093994,-0.7245673537254333,3485.4765625,4096.0,177.0,0.7890625,2509.1484375,3610.0,166.0,3485.4765625,4096.0,177.0,0.7890625,0.0,1021.5625,2426.0,259.0,0.0,3,40,21.1796875,0.6875,0.3125,1.1875,8,1.1049654483795166,8.0,8,8,3.534555435180664e-05,1.7495717164129019,41.435320334509015,27.19136480067391,0.0,0.0,0.0,41.435320334509015,0.0,356,4096,43.53389730490744,0.00011960417032241821,3.9568369798362255,0.003386266529560089,53.229255052283406,100.76321138069034,5.382858216762543e-05,5.869753267129177e-06,0.09757878631398469,0.09226757286307946,576901,100.76321138069034,2862.6568769251926,
4,True,54904,0.10917521268129349,0.0015790046054462437,0.00022372368130163522,6.586123618035344e-06,0.004967656510416418,-0.014642358146375045,-0.009674701635958627,1.0,3431.5,1.0,0.0,1.080049391835928,1.1268055997788906,8191997.9375,0.1078702649101615,0.1078702649101615,0.12138949205269747,-0.014642358146375045,0.14749090055020872,0.0015790046054462437,0.00022372368130163522,6.586123618035344e-06,0.02353215718176216,-0.9633388463407755,0.0,0.0,0.2,0.2,0.2,3.0,0.431640625,0.17744846443196202,224.1425495147705,233.26953125,156.70721054077148,5e-06,4,0,0.07236120849847794,0.981632649898529,0.0,0.07236120849847794,0.981632649898529,0.0,-0.05587036535143852,2.4748666286468506,-0.9354124069213867,-0.05587036535143852,2.4748666286468506,-0.9354124069213867,3716.8671875,4096.0,231.0,0.78125,2691.3203125,3629.0,220.0,3716.8671875,4096.0,231.0,0.78125,0.0,1680.8125,5199.0,220.0,0.0,3,41,22.90625,0.6875,0.3125,0.625,4,0.5788896679878235,8.0,8,8,7.073208689689636e-05,2.421543186530471,44.572351502254605,32.03500282332243,0.0,0.0,0.0,44.572351502254605,0.0,329,4096,46.859223160892725,0.00010825134813785553,4.796755829825997,0.003354087471961975,65.8106764703989,117.51387568749487,4.166364669799805e-05,4.854643085877432e-06,0.09849361370124943,0.09525313462294838,690903,117.51387568749487,2939.6656180301684,
5,True,78432,0.0993204116821289,0.0013650787186634261,0.00020825234196308884,1.6374973483834765e-06,0.007119527144823223,-0.038719451025826856,-0.03159992425935343,1.0,4902.0,1.0,0.0,0.7039139964617789,1.2860148400068283,8099714.25,0.28310742625035346,0.28310742625035346,0.1738643178873932,-0.038719451025826856,0.43733563397221065,0.0013650787186634261,0.00020825234196308884,1.6374973483834765e-06,0.1487310384400189,-0.61316485889256,0.0,0.0,0.2,0.2,0.2,3.0,0.4423828125,0.1653538228471492,241.24926805496216,247.677734375,156.83327102661133,5e-06,5,0,0.14566774666309357,0.9862244725227356,0.0,0.14566774666309357,0.9862244725227356,0.0,-0.0772382840514183,2.4748661518096924,-1.6201815605163574,-0.0772382840514183,2.4748661518096924,-1.6201815605163574,3455.3359375,4096.0,174.0,0.7109375,2448.875,3634.0,163.0,3455.3359375,4096.0,174.0,0.7109375,0.0,2274.0,5755.0,218.0,0.0,3,41,23.46875,0.6875,0.3125,1.3125,6,1.1653419733047485,8.0,8,8,7.668137550354004e-05,1.700146023184061,44.29040833748877,29.162715063081123,0.0,0.0,0.0,44.29040833748877,0.0,276,4096,47.041091330349445,0.00014709867537021637,5.164310866966844,0.003414211794734001,76.5134823359549,128.77045175991952,4.6741217374801636e-05,4.655605804465779e-06,0.10635970934978158,0.10433348424154046,733355,128.77045175991952,2847.528256588211,
6,True,55128,0.10331012308597565,0.0016830689419293776,1.2447595622688823e-05,0.0,-0.003910159139195457,-0.025193876586854458,-0.029104035755153745,1.0,3445.5,1.0,0.0,1.0635855048894882,1.1452448815107346,8267052.46875,0.18403854966163635,0.18403854966163635,0.16602271227092133,-0.025193876586854458,0.3416655673764274,0.0016830689419293776,1.2447595622688823e-05,0.0,0.11685919808223844,-0.9437147565186024,0.0,0.0,0.2,0.2,0.2,3.0,0.59765625,0.17596041342856245,241.24926805496216,247.677734375,157.1000099182129,5e-06,6,0,0.1564205139875412,0.9877551198005676,0.0,0.1564205139875412,0.9877551198005676,0.0,-0.08648338913917542,1.0483810901641846,-1.20761239528656,-0.08648338913917542,1.0483810901641846,-1.20761239528656,3103.9296875,4096.0,141.0,0.609375,2174.1796875,3567.0,104.0,3103.9296875,4096.0,141.0,0.609375,0.0,1643.9375,4641.0,220.0,0.0,3,41,20.625,0.6875,0.3125,1.5625,8,1.25136399269104,8.0,8,8,3.2879412174224854e-05,1.04978421702981,39.482058968394995,23.807469763152767,0.0,0.0,0.0,39.482058968394995,0.0,2085,4096,42.92316855490208,0.00010778196156024933,4.1563986744731665,0.0034374743700027466,56.49418016336858,103.61786513961852,3.951229155063629e-05,5.656280484498379e-06,0.1080363565210987,0.09295979965242383,607727,103.61786513961852,2932.5396695884747,
7,True,65008,0.09645052254199982,0.0025914963480317965,-0.00011857726917696709,7.275188522726239e-06,-0.0033882144416566007,-0.05771931045455858,-0.061107524554245174,1.0,4063.0,1.0,0.0,1.0919319801032543,1.1462324559688568,8304569.875,0.4215111108496785,0.4215111108496785,0.1894614084044594,-0.05771931045455858,0.5510942229670309,0.0025914963480317965,-0.00011857726917696709,7.275188522726239e-06,0.20189678482711315,-0.9772424921393394,0.0,0.0,0.2,0.2,0.2,3.0,0.7421875,0.17530607709998697,241.24926805496216,247.677734375,157.27255249023438,5e-06,7,0,0.2659723162651062,5.925000190734863,0.0,0.2659723162651062,5.925000190734863,0.0,-0.13417468965053558,2.4748728275299072,-2.4748666286468506,-0.13417468965053558,2.4748728275299072,-2.4748666286468506,3209.6875,4096.0,153.0,0.5703125,2273.7890625,3724.0,142.0,3209.6875,4096.0,153.0,0.5703125,0.0,1952.5,4490.0,216.0,0.0,3,41,21.90625,0.4375,0.5625,1.9375,7,2.1277785301208496,8.0,8,8,3.2570213079452515e-05,1.687591340392828,43.689669182524085,25.579715873580426,0.0,0.0,0.0,43.689669182524085,0.0,469,4096,46.04966413229704,0.00012627430260181427,4.568328406661749,0.0031125470995903015,63.33707946166396,114.00327432714403,3.9093196392059326e-05,4.710556177114688e-06,0.1120866131153175,0.09585489354934312,660760,114.00327432714403,2897.986938971076,
8,True,46112,0.10388153791427612,0.0016217986085393932,4.7110692776186625e-05,4.113201725886029e-06,0.002941921047749929,-0.03944852692075074,-0.036506606396869756,1.0,2882.0,1.0,0.0,1.0535936579108238,1.0535936579108238,8188034.21875,0.2876085927709937,0.2876085927709937,0.10649857024834916,-0.03944852692075074,0.4122019230010794,0.0016217986085393932,4.7110692776186625e-05,4.113201725886029e-06,0.1359750779811293,-0.9374145902693272,0.0,0.0,0.2,0.2,0.2,3.0,0.509765625,0.17639726910847237,241.24926805496216,247.677734375,157.53162002563477,5e-06,8,0,0.12089753150939941,0.995312511920929,0.0,0.12089753150939941,0.995312511920929,0.0,-0.05227891355752945,2.4748666286468506,-2.444934606552124,-0.05227891355752945,2.4748666286468506,-2.444934606552124,3612.28125,4096.0,138.0,0.7890625,2647.6796875,3586.0,127.0,3612.28125,4096.0,138.0,0.7890625,0.0,1252.375,4123.0,216.0,0.0,3,41,21.875,0.625,0.375,1.125,7,0.9671802520751953,8.0,8,8,3.4332275390625e-05,1.393856555223465,41.777434131130576,30.142039199563442,0.0,0.0,0.0,41.777434131130576,0.0,263,4096,43.95413940399885,0.00010306388139724731,4.241868374869227,0.003295913338661194,57.64455212280154,105.88020684197545,3.781169652938843e-05,5.293143366150604e-06,0.09506228621975131,0.09257551619590532,622676,105.88020684197545,2940.474044073857,
9,True,32624,0.10059836506843567,0.0009350745003757766,-4.930377178880008e-05,2.694885552045889e-06,-0.00028182045207358897,-0.02065576839959249,-0.020937589230015874,1.0,2039.0,1.0,0.0,1.1889047548174858,1.1889047548174858,8873106.59375,0.15021648351103067,0.15021648351103067,0.0929551054256823,-0.02065576839959249,0.2976804969358413,0.0009350745003757766,-4.930377178880008e-05,2.694885552045889e-06,0.06429082318209112,-1.0477243028581142,0.0,0.0,0.2,0.2,0.2,3.0,0.447265625,0.17625169856858514,241.24926805496216,247.677734375,157.00101852416992,5e-06,9,0,0.07664619386196136,0.9897959232330322,0.0,0.07664619386196136,0.9897959232330322,0.0,-0.047453489154577255,2.4748666286468506,-1.6201814413070679,-0.047453489154577255,2.4748666286468506,-1.6201814413070679,3431.1484375,4096.0,167.0,0.78125,2322.1484375,3499.0,156.0,3431.1484375,4096.0,167.0,0.78125,0.0,1190.75,3725.0,219.0,0.0,3,41,20.46875,0.8125,0.1875,0.625,6,0.6131695508956909,8.0,8,8,8.300691843032837e-05,1.6696693878620863,38.46652362681925,25.498262197244912,0.0,0.0,0.0,38.46652362681925,0.0,260,4096,40.657062811776996,0.0001100488007068634,4.065794479101896,0.0032776053994894028,54.90871975570917,99.67346850410104,3.9516016840934753e-05,5.54021091760759e-06,0.09257346599916891,0.09281345726054326,591603,99.67346850410104,2967.705493140628,
10,True,46816,0.10171549767255783,0.001984032194741303,-4.379784093089256e-05,4.735026095659123e-06,-0.003951261893234914,-0.0057142948571708985,-0.00966555602644803,1.0,2926.0,1.0,0.0,0.9303196556866169,1.016447078436613,7142487.34375,0.04157594556454569,0.04157594556454569,0.14052348054800262,-0.0057142948571708985,0.13410591664313126,0.001984032194741303,-4.379784093089256e-05,4.735026095659123e-06,0.120939448941499,-0.8221873641014099,0.0,0.0,0.2,0.2,0.2,3.0,0.87890625,0.1761077849392171,241.24926805496216,247.677734375,157.1424674987793,5e-06,10,0,0.191306009888649,0.9795918464660645,0.0,0.191306009888649,0.9795918464660645,0.0,-0.10439583659172058,2.474865198135376,-1.6201808452606201,-0.10439583659172058,2.474865198135376,-1.6201808452606201,3071.3046875,4096.0,125.0,0.65625,2105.0546875,3561.0,114.0,3071.3046875,4096.0,125.0,0.65625,0.0,1561.9375,4610.0,215.0,0.0,3,41,18.640625,0.625,0.375,1.6875,8,1.5304479598999023,8.0,8,8,7.66366720199585e-05,1.3025709725916386,39.00009091757238,22.859430912300013,0.0,0.0,0.0,39.00009091757238,0.0,215,4096,41.19369746558368,8.9278444647789e-05,4.1249413806945086,0.0031534601002931595,55.957441905513406,101.32100497931242,3.684870898723602e-05,5.317314752077227e-06,0.10478470689009832,0.09435455717515813,593055,101.32100497931242,2926.6142796406784,
