step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_adv,timing_per_token_ms_gen,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,True,8536,0.12238693237304688,0.004955184143909719,-8.441823956673034e-05,9.85966312327946e-06,-0.0032104642523336224,-0.029631551238708198,-0.032842015847563744,1.0,533.5,1.0,0.0,0.7446459606289864,0.7446459606289864,4902581.625,0.2192905500996858,0.2192905500996858,0.06363485577865081,-0.029631551238708198,0.31346893457802333,0.004955184143909719,-8.441823956673034e-05,9.85966312327946e-06,0.12084505357779562,-0.6578192487359047,0.0,0.0,0.2,0.2,0.2,3.0,0.7734375,0.16414750918055948,186.40285348892212,195.732421875,131.8356819152832,5e-06,1,0,0.2838062644004822,0.9921875,0.0,0.2838062644004822,0.9921875,0.0,-0.14866864681243896,1.6896737813949585,-2.4748611450195312,-0.14866864681243896,1.6896737813949585,-2.4748611450195312,2592.0546875,4096.0,280.0,0.5078125,1998.8828125,3605.0,181.0,2592.0546875,4096.0,280.0,0.5078125,0.0,491.5625,1023.0,209.0,0.0,3,38,13.9609375,0.5,0.5,2.4375,8,2.2704501152038574,8.0,8,8,0.00013953261077404022,1.7986552733927965,40.14461868070066,20.37144909433846,0.0,0.0,0.0,40.14461868070066,0.0,353,4096,48.27138624899089,9.3851238489151e-05,5.845519933849573,0.0034579727798700333,36.90246529877186,91.08893237821758,3.6930665373802185e-05,8.760948814349101e-06,0.14549083662813012,0.09349426099819828,394703,91.08893237821758,2166.5804488800154,
2,True,7144,0.12480799853801727,0.0021142177956789965,-3.8390078543670825e-05,1.2636984365599346e-06,-0.003446039365371689,-0.01798750867601484,-0.021433547837659717,1.0,446.5,1.0,0.0,0.7087622173130512,0.7087622173130512,4971111.5625,0.13024051673710346,0.13024051673710346,0.06192611001043227,-0.01798750867601484,0.22034437145016472,0.0021142177956789965,-3.8390078543670825e-05,1.2636984365599346e-06,0.0832274619024247,-0.6101237758994102,0.0,0.0,0.2,0.2,0.2,3.0,0.576171875,0.1656685695099511,186.40285348892212,195.732421875,132.16751098632812,5e-06,2,0,0.17922426760196686,0.9979591965675354,0.0,0.17922426760196686,0.9979591965675354,0.0,-0.0770888477563858,2.4748661518096924,-2.4748663902282715,-0.0770888477563858,2.4748661518096924,-2.4748663902282715,2458.796875,4096.0,140.0,0.5,1904.453125,3589.0,129.0,2458.796875,4096.0,140.0,0.5,0.0,499.9375,1021.0,216.0,0.0,3,38,14.390625,0.6875,0.3125,1.5,8,1.4337940216064453,8.0,8,8,3.1637027859687805e-05,1.292136374861002,39.78456805832684,19.365506060348707,0.0,0.0,0.0,39.78456805832684,0.0,265,4096,41.86877181939781,9.625963866710663e-05,2.9090409837663174,0.0030744168907403946,34.988219659775496,79.79544168151915,3.5313889384269714e-05,8.11795819248199e-06,0.13303245305248948,0.09238594326062002,378718,79.79544168151915,2373.05535265752,
3,True,8360,0.11776909232139587,0.0027079463616246358,1.0173255077461363e-05,1.3450115829982678e-06,0.0013655380316777155,-0.07411911795497872,-0.0727535789628746,1.0,522.5,1.0,0.0,0.9242833778262138,0.9242833778262138,6190845.8125,0.5423682737164199,0.5423682737164199,0.02379789583913096,-0.07411911795497872,0.5022595612877391,0.0027079463616246358,1.0173255077461363e-05,1.3450115829982678e-06,0.23987974174087867,-0.8175939284265041,0.0,0.0,0.2,0.2,0.2,3.0,0.595703125,0.17173333779721667,187.9633674621582,196.982421875,132.3708610534668,5e-06,3,0,0.25261619687080383,0.9921875,0.0,0.25261619687080383,0.9921875,0.0,-0.13546080887317657,1.7202792167663574,-2.474865436553955,-0.13546080887317657,1.7202792167663574,-2.474865436553955,3448.515625,4096.0,426.0,0.71875,2612.4921875,3655.0,323.0,3448.515625,4096.0,426.0,0.71875,0.0,447.125,929.0,216.0,0.0,3,40,18.9140625,0.5,0.5,2.3125,7,2.0209298133850098,8.0,8,8,3.182701766490936e-05,3.3533377964049578,41.570918975397944,27.52951596607454,0.0,0.0,0.0,41.570918975397944,0.0,263,4096,43.50439574755728,0.00010042078793048859,3.7065216097980738,0.0034008603543043137,45.178953202441335,92.4193059541285,4.216097295284271e-05,6.8202444926506665e-06,0.09855779376896147,0.09060398683312143,498642,92.4193059541285,2697.7155630637203,
4,True,11376,0.11623107641935349,0.0004296106217225315,8.237095626384416e-05,4.319559252508043e-06,0.00020762202620971948,-0.007415999716613442,-0.007208377865026705,1.0,711.0,1.0,0.0,0.7655120231211185,0.7655120231211185,5022567.9375,0.05415566440206021,0.05415566440206021,0.04747771122292827,-0.007415999716613442,0.2895264093173654,0.0004296106217225315,8.237095626384416e-05,4.319559252508043e-06,0.03845801902934909,-0.67253178358078,0.0,0.0,0.2,0.2,0.2,3.0,0.42578125,0.17230301410537077,189.76968622207642,199.2109375,132.22393798828125,5e-06,4,0,0.06742715835571289,0.995312511920929,0.0,0.06742715835571289,0.995312511920929,0.0,-0.026355236768722534,2.4748666286468506,-0.35355237126350403,-0.026355236768722534,2.4748666286468506,-0.35355237126350403,3369.359375,4096.0,187.0,0.796875,2565.28125,3617.0,176.0,3369.359375,4096.0,187.0,0.796875,0.0,561.6875,1007.0,215.0,0.0,3,38,17.296875,0.8125,0.1875,0.625,8,0.5394172668457031,8.0,8,8,7.096678018569946e-05,1.7280200514942408,41.37856218777597,26.82453019497916,0.0,0.0,0.0,41.37856218777597,0.0,347,4096,43.25615282356739,0.00010727159678936005,3.7534448970109224,0.0034026578068733215,45.696619875729084,92.73835947178304,4.165619611740112e-05,6.762387974882091e-06,0.1002976104126976,0.09081673511693586,503174,92.73835947178304,2712.868778712318,
5,True,5840,0.11963197588920593,0.001066536684447783,-1.089067963278012e-05,2.5937154077837477e-06,0.001098549161270057,-0.03926943591795862,-0.03817088672758473,1.0,365.0,1.0,0.0,0.8172379769384861,0.8172379769384861,5593882.03125,0.2865399047732353,0.2865399047732353,0.01601608290405067,-0.03926943591795862,0.3172215874382811,0.001066536684447783,-1.089067963278012e-05,2.5937154077837477e-06,0.12188166566193104,-0.7182023487985134,0.0,0.0,0.2,0.2,0.2,3.0,0.373046875,0.17418324568454097,189.76968622207642,199.2109375,132.32284545898438,5e-06,5,0,0.07993427664041519,0.9918367266654968,0.0,0.07993427664041519,0.9918367266654968,0.0,-0.04014435037970543,2.4748661518096924,-0.9354122877120972,-0.04014435037970543,2.4748661518096924,-0.9354122877120972,3760.7578125,4096.0,176.0,0.8515625,2887.3671875,3655.0,165.0,3760.7578125,4096.0,176.0,0.8515625,0.0,439.4375,775.0,216.0,0.0,3,40,19.6015625,0.75,0.25,0.6875,4,0.6394742131233215,8.0,8,8,3.623589873313904e-05,1.663050713017583,42.00043227337301,31.06766005094687,0.0,0.0,0.0,42.00043227337301,0.0,367,4096,43.96587396226823,0.00011371634900569916,3.8359840027987957,0.003333909437060356,48.219867965206504,96.05401417426765,4.0475279092788696e-05,6.20118007358355e-06,0.09133355761132798,0.08969052399945408,537625,96.05401417426765,2798.5556076011803,
6,True,7328,0.11348679661750793,0.0016803162325231824,2.6731883906450093e-05,0.0,0.0019298956322018057,-0.01905303285457194,-0.01712313696043566,1.0,458.0,1.0,0.0,0.7200164198875427,0.7200164198875427,3867161.125,0.13769198209047318,0.13769198209047318,0.0671583376630569,-0.01905303285457194,0.1986309996342175,0.0016803162325231824,2.6731883906450093e-05,0.0,0.06531950645148754,-0.6479776799678802,0.0,0.0,0.2,0.2,0.2,3.0,0.734375,0.17039945710296306,189.76968622207642,199.2109375,132.48944091796875,5e-06,6,0,0.1773078292608261,0.9729999899864197,0.0,0.1773078292608261,0.9729999899864197,0.0,-0.0674838051199913,1.2841757535934448,-2.4748663902282715,-0.0674838051199913,1.2841757535934448,-2.4748663902282715,3121.7578125,4096.0,156.0,0.65625,2441.1640625,3664.0,145.0,3121.7578125,4096.0,156.0,0.65625,0.0,416.375,992.0,209.0,0.0,3,41,18.8359375,0.6875,0.3125,1.5,8,1.4184625148773193,8.0,8,8,3.4671276807785034e-05,1.4971054028719664,38.13925391994417,25.256786803438445,0.0,0.0,0.0,38.13925391994417,0.0,219,4096,39.94757345505059,0.00011077523231506348,3.416396640241146,0.0034630000591278076,40.89650110155344,84.29335931502283,4.207342863082886e-05,7.6466004516149e-06,0.09997265526746646,0.09030297385307275,452881,84.29335931502283,2686.3385424436824,
7,True,8512,0.11797912418842316,0.0022907492948434083,-0.00021322309135030082,0.0,0.0026364072982687503,-0.045602309925016016,-0.04296590230660513,1.0,532.0,1.0,0.0,1.000419244170189,1.000419244170189,5503394.84375,0.33246450731530786,0.33246450731530786,0.06150952835789864,-0.045602309925016016,0.47384522416287217,0.0022907492948434083,-0.00021322309135030082,0.0,0.2173630972392857,-0.8894007951021194,0.0,0.0,0.2,0.2,0.2,3.0,0.744140625,0.16991179929312955,189.76968622207642,199.2109375,132.6768913269043,5e-06,7,0,0.228621244430542,0.9819999933242798,0.0,0.228621244430542,0.9819999933242798,0.0,-0.12757320702075958,2.4748661518096924,-2.4748663902282715,-0.12757320702075958,2.4748661518096924,-2.4748663902282715,2996.953125,4096.0,152.0,0.6328125,2237.3984375,3624.0,141.0,2996.953125,4096.0,152.0,0.6328125,0.0,516.4375,1009.0,214.0,0.0,3,38,16.2109375,0.5625,0.4375,1.9375,7,1.8289698362350464,8.0,8,8,3.577582538127899e-05,1.3596638310700655,39.38275452144444,22.9758835707471,0.0,0.0,0.0,39.38275452144444,0.0,258,4096,41.22925254702568,0.00011801719665527344,3.380281984806061,0.0033378414809703827,40.88081188313663,85.52209212258458,4.334747791290283e-05,7.422142697292908e-06,0.10747700150419874,0.09090402318615082,449714,85.52209212258458,2629.227073604529,
8,True,8944,0.1132955551147461,0.0016398271327489056,8.440025669642637e-05,4.9220403752769926e-06,0.0010646390146575868,-0.055575409380253404,-0.054510770132765174,1.0,559.0,1.0,0.0,1.1402129232883453,1.1402129232883453,6093798.953125,0.3999406988732517,0.3999406988732517,0.05624202103399521,-0.055575409380253404,0.5041771860831028,0.0016398271327489056,8.440025669642637e-05,4.9220403752769926e-06,0.2718706061132252,-1.0292051769793034,0.0,0.0,0.2,0.2,0.2,3.0,0.43359375,0.1704970559139466,189.76968622207642,199.2109375,132.57762145996094,5e-06,8,0,0.15232665836811066,0.989062488079071,0.0,0.15232665836811066,0.989062488079071,0.0,-0.07478798925876617,2.4748663902282715,-2.474822998046875,-0.07478798925876617,2.4748663902282715,-2.474822998046875,3043.0625,4096.0,156.0,0.65625,2322.7265625,3636.0,145.0,3043.0625,4096.0,156.0,0.65625,0.0,487.0,880.0,219.0,0.0,3,41,17.96875,0.6875,0.3125,1.25,7,1.2186132669448853,8.0,8,8,3.618001937866211e-05,1.4287990666925907,40.22862652875483,24.001706094451947,0.0,0.0,0.0,40.22862652875483,0.0,674,4096,42.2797486204654,0.00011533312499523163,3.390410529449582,0.0034225527197122574,41.17707296088338,86.88152426294982,3.975629806518555e-05,7.574566490749671e-06,0.1085454327991574,0.09113036454932495,451848,86.88152426294982,2600.3687425675625,
9,True,17496,0.11049629747867584,0.0022251531154324766,5.053043608427288e-06,3.852064082821016e-06,-0.004397498380058096,-0.048404898727312684,-0.05280239705462009,1.0,1093.5,1.0,0.0,1.045348722487688,1.045348722487688,6559225.71875,0.35288651566952467,0.35288651566952467,0.06833687440884556,-0.048404898727312684,0.5886361501167845,0.0022251531154324766,5.053043608427288e-06,3.852064082821016e-06,0.1937348241917789,-0.9266619756817818,0.0,0.0,0.2,0.2,0.2,3.0,0.580078125,0.17197140050274945,189.78957223892212,199.23046875,132.6473731994629,5e-06,9,0,0.1789848357439041,0.9921875,0.0,0.1789848357439041,0.9921875,0.0,-0.05909285694360733,2.4748659133911133,-2.4744105339050293,-0.05909285694360733,2.4748659133911133,-2.4744105339050293,3308.96875,4096.0,193.0,0.6875,2426.171875,3584.0,182.0,3308.96875,4096.0,193.0,0.6875,0.0,644.75,976.0,266.0,0.0,3,40,19.625,0.625,0.375,1.5,7,1.431878685951233,8.0,8,8,6.936118006706238e-05,1.9352115038782358,39.889697609469295,25.52478418860119,0.0,0.0,0.0,39.889697609469295,0.0,734,4096,41.80154533684254,0.00011521577835083008,3.7769192438572645,0.003291953355073929,46.061696181073785,91.67235962301493,3.943033516407013e-05,6.50485965561285e-06,0.09869376159689701,0.0910173495306511,506076,91.67235962301493,2760.2431206153137,
10,True,12200,0.10893160104751587,0.0013171000537113287,-0.0001441408985556336,1.3342156535145477e-06,-0.00046556083543691784,-0.04683565555023961,-0.04730121584725566,1.0,762.5,1.0,0.0,1.0174980834126472,1.0174980834126472,7288664.90625,0.34236802940722555,0.34236802940722555,0.07555889696251863,-0.04683565555023961,0.5136104137517123,0.0013171000537113287,-0.0001441408985556336,1.3342156535145477e-06,0.16015232726931572,-0.8905328847467899,0.0,0.0,0.2,0.2,0.2,3.0,0.646484375,0.170325905267186,189.78957223892212,199.23046875,132.71768951416016,5e-06,10,0,0.11777441203594208,0.9459999799728394,0.0,0.11777441203594208,0.9459999799728394,0.0,-0.08750549703836441,1.6201810836791992,-1.619882583618164,-0.08750549703836441,1.6201810836791992,-1.619882583618164,3010.65625,4096.0,131.0,0.6796875,2228.53125,3611.0,120.0,3010.65625,4096.0,131.0,0.6796875,0.0,565.3125,996.0,263.0,0.0,3,40,18.5078125,0.75,0.25,1.0625,6,0.9421952962875366,8.0,8,8,3.483891487121582e-05,1.2521325554698706,40.95219483785331,22.967616668829578,0.0,0.0,0.0,40.95219483785331,0.0,263,4096,42.757371347397566,0.00010746903717517853,3.416865337640047,0.0032857004553079605,41.84125512838364,88.04788910411298,4.159845411777496e-05,7.17834427582552e-06,0.11095320618271963,0.09141153867479887,457724,88.04788910411298,2599.2900264693476,
