step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_agent_loop_response_length_min,timing_s_agent_loop_response_length_max,timing_s_agent_loop_response_length_mean,timing_s_agent_loop_llm_response_length_min,timing_s_agent_loop_llm_response_length_max,timing_s_agent_loop_llm_response_length_mean,timing_s_agent_loop_num_turns_min,timing_s_agent_loop_num_turns_max,timing_s_agent_loop_num_turns_mean,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_adv,timing_per_token_ms_gen,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,True,17528,0.11646078526973724,0.0035210857313359156,-0.000154395260324236,0.0,-0.002111562935169786,-0.03827269631437957,-0.009766102652065456,0.2,1095.5,1.0,0.0,0.8417082317173481,0.8417082317173481,6118555.71875,0.2776417853310704,0.2776417853310704,0.10432902232007786,-0.007654539262875915,0.10705956447241362,0.0035210857313359156,-0.000154395260324236,0.0,0.15656301751732826,-0.7398453094065189,0.0,0.0,0.2,0.2,0.2,3.0,0.583984375,0.1655024132767464,188.0968246459961,197.4765625,129.69420623779297,5e-06,1,0,0.218805730342865,0.9595000147819519,0.0,0.218805730342865,0.9595000147819519,0.0,-0.1393878161907196,1.4716424942016602,-2.4748663902282715,-0.1393878161907196,1.4716424942016602,-2.4748663902282715,2544.9375,4096.0,215.0,0.3984375,1949.40625,3576.0,204.0,2544.9375,4096.0,215.0,0.3984375,0.0,635.6875,1024.0,219.0,0.0,3,31,15.703125,0.625,0.375,1.9375,7,1.7504456043243408,8.0,8,8,0.00014695897698402405,2.21665065176785,37.63684440590441,19.969629292099853,3.2801181077957153e-06,0.06499302573502064,0.020582502329489216,37.63684440590441,0.024049704894423485,726,4096,215.0,4096.0,2544.9375,204.0,3576.0,1949.40625,3.0,31.0,15.703125,46.21703411638737,0.0001191999763250351,5.971914554014802,0.003346400335431099,37.84588574618101,90.08151762932539,3.896281123161316e-05,8.219690350341666e-06,0.14187797501285446,0.09296002590435501,407120,90.08151762932539,2259.731023156436,
2,True,10208,0.1231108158826828,0.0011247563015786,-6.779072327844915e-05,1.3134666687619756e-06,9.520618186797947e-05,-0.015491005149669945,-0.003002994752023369,0.2,638.0,1.0,0.0,0.7143359817564487,0.7143359817564487,5177707.125,0.11340186279267073,0.11340186279267073,0.06271622069808026,-0.003098201029933989,0.15584916964416715,0.0011247563015786,-6.779072327844915e-05,1.3134666687619756e-06,0.06906917691230774,-0.6180255636572838,0.0,0.0,0.2,0.2,0.2,3.0,0.482421875,0.1707277166992146,189.0911979675293,198.55078125,130.13180923461914,5e-06,2,0,0.08233642578125,0.9593750238418579,0.0,0.08233642578125,0.9593750238418579,0.0,-0.04352373629808426,0.7245673537254333,-1.6201738119125366,-0.04352373629808426,0.7245673537254333,-1.6201738119125366,2951.6640625,4096.0,137.0,0.65625,2323.265625,3655.0,126.0,2951.6640625,4096.0,137.0,0.65625,0.0,562.75,1021.0,216.0,0.0,3,31,15.2109375,0.875,0.125,0.6875,6,0.65869140625,8.0,8,8,3.512948751449585e-05,1.2746364120393991,40.59900529123843,24.129282162626623,3.2242387533187866e-06,0.05869831517338753,0.01917741417128127,40.59900529123843,0.0004467051476240158,353,4096,137.0,4096.0,2951.6640625,126.0,3655.0,2323.265625,3.0,31.0,15.2109375,42.519807264208794,8.908845484256744e-05,3.41982383094728,0.0031154323369264603,40.916256787255406,86.8939933180809,4.017539322376251e-05,6.925568444523026e-06,0.11254193811279335,0.09095634449033646,449845,86.8939933180809,2588.4700588757282,
3,True,14272,0.1310529261827469,0.0012386144080664963,0.0002122113422728944,0.0,0.001626956756808795,-0.02700031391577795,-0.0037731061165686697,0.2,892.0,1.0,0.0,1.0584931448101997,1.0584931448101997,6851024.75,0.19485351722687483,0.19485351722687483,0.11033449656168731,-0.005400062783155591,0.25324569947747716,0.0012386144080664963,0.0002122113422728944,0.0,0.14594382932409644,-0.9359876587986946,0.0,0.0,0.2,0.2,0.2,3.0,0.490234375,0.16503681466890618,189.0911979675293,198.55078125,130.3774070739746,5e-06,3,0,0.10608597099781036,0.9897959232330322,0.0,0.10608597099781036,0.9897959232330322,0.0,-0.08022336661815643,2.4748666286468506,-2.4748663902282715,-0.08022336661815643,2.4748666286468506,-2.4748663902282715,2165.6796875,4096.0,141.0,0.40625,1694.234375,3644.0,130.0,2165.6796875,4096.0,141.0,0.40625,0.0,583.5,954.0,219.0,0.0,3,31,12.6875,0.75,0.25,0.875,7,0.8486878871917725,8.0,8,8,2.9841437935829163e-05,1.3529120441526175,39.48388526029885,16.9558829402813,3.037974238395691e-06,0.07354169897735119,0.016238933603744954,39.48388526029885,0.01412091962993145,387,4096,141.0,4096.0,2165.6796875,130.0,3644.0,1694.234375,3.0,31.0,12.6875,41.39741775020957,8.844956755638123e-05,2.818752458319068,0.0030055828392505646,32.74965025857091,77.00307378172874,3.7979334592819214e-05,8.541135393371785e-06,0.14933756272464105,0.09306654046965973,351895,77.00307378172874,2284.9412544067654,
4,True,12936,0.12280797958374023,0.0026238584105158225,-0.00017068133319142476,2.675819587238948e-06,-0.0017588371702004224,-0.06394525821087882,-0.014547889120876789,0.2,808.5,1.0,0.0,0.9517718888819218,0.9517718888819218,7354769.0,0.4684524745680392,0.4684524745680392,0.04197323769733448,-0.012789051642175763,0.28335676481356353,0.0026238584105158225,-0.00017068133319142476,2.675819587238948e-06,0.20030204998329282,-0.8249211236834526,0.0,0.0,0.2,0.2,0.2,3.0,0.65234375,0.17101298955266578,189.5012845993042,198.865234375,130.18255233764648,5e-06,4,0,0.23770056664943695,0.9984375238418579,0.0,0.23770056664943695,0.9984375238418579,0.0,-0.0643424540758133,2.4748663902282715,-1.6201814413070679,-0.0643424540758133,2.4748663902282715,-1.6201814413070679,3213.53125,4096.0,300.0,0.59375,2364.5859375,3664.0,289.0,3213.53125,4096.0,300.0,0.59375,0.0,546.25,948.0,216.0,0.0,3,31,17.9921875,0.5,0.5,2.0,8,1.9016046524047852,8.0,8,8,3.112293779850006e-05,2.956052927300334,39.00675265863538,24.68698449411022,4.816800355911255e-06,0.08167763240635395,0.028377454611472785,39.00675265863538,0.010054251179099083,254,4096,300.0,4096.0,3213.53125,289.0,3664.0,2364.5859375,3.0,31.0,17.9921875,40.840523751452565,8.356757462024689e-05,3.6154771093279123,0.0030394960194826126,43.83581285178661,88.33268051035702,4.13600355386734e-05,6.315809637118625e-06,0.0992884671055317,0.09108702478490814,481252,88.33268051035702,2724.0880567615804,
5,True,14688,0.12061355262994766,0.0004939394148095744,-5.6745207530184416e-05,0.0,0.0017824486421886832,-0.038310549047309905,-0.005879661592189223,0.2,918.0,1.0,0.0,1.0926543921232224,1.0926543921232224,8042359.125,0.2797409426420927,0.2797409426420927,0.0879123180418591,-0.007662109809461982,0.22992406127341483,0.0004939394148095744,-5.6745207530184416e-05,0.0,0.11887591774575412,-0.9585876129567623,0.0,0.0,0.2,0.2,0.2,3.0,0.220703125,0.17033841473199857,189.5477418899536,198.865234375,130.1755599975586,5e-06,5,0,0.05275879055261612,0.981249988079071,0.0,0.05275879055261612,0.981249988079071,0.0,-0.03494362160563469,1.6201815605163574,-1.6196224689483643,-0.03494362160563469,1.6201815605163574,-1.6196224689483643,2794.875,4096.0,139.0,0.5625,2145.78125,3655.0,128.0,2794.875,4096.0,139.0,0.5625,0.0,601.625,1001.0,214.0,0.0,3,31,15.7265625,0.875,0.125,0.5,6,0.42207032442092896,8.0,8,8,3.203004598617554e-05,1.3571337219327688,40.61686751432717,22.123644886247348,3.470107913017273e-06,0.08417193405330181,0.023940028957440518,40.61150323227048,0.01767858676612377,309,4096,139.0,4096.0,2794.875,128.0,3655.0,2145.78125,3.0,31.0,15.7265625,42.548327239230275,9.046867489814758e-05,3.2876245547086,0.0029851719737052917,39.73383514024317,85.60179812461138,3.98438423871994e-05,6.866378932599026e-06,0.11893512466800359,0.09139425497810975,434752,85.60179812461138,2539.3859096693695,
6,True,16256,0.12001166492700577,0.0022997404412308242,-1.1508525403769454e-05,0.0,-0.006791157211409882,-0.02065067837247625,-0.010921292938292027,0.2,1016.0,1.0,0.0,1.0490841269493103,1.0490841269493103,7117589.5625,0.15027121687307954,0.15027121687307954,0.10178777025782412,-0.00413013567449525,0.11806712285535219,0.0022997404412308242,-1.1508525403769454e-05,0.0,0.07000601943582296,-0.9298474453389645,0.0,0.0,0.2,0.2,0.2,3.0,0.82421875,0.16757865579021344,189.67729234695435,199.1171875,130.44153213500977,5e-06,6,0,0.24567751586437225,0.9879999756813049,0.0,0.24567751586437225,0.9879999756813049,0.0,-0.10168102383613586,2.4748663902282715,-2.454906702041626,-0.10168102383613586,2.4748663902282715,-2.454906702041626,2452.6640625,4096.0,122.0,0.4609375,1851.90625,3655.0,111.0,2452.6640625,4096.0,122.0,0.4609375,0.0,609.625,1014.0,258.0,0.0,3,31,14.09375,0.625,0.375,2.0625,8,1.9654202461242676,8.0,8,8,5.761533975601196e-05,1.1301378849893808,39.79077146202326,18.701277686210233,3.168359398841858e-06,0.2819936405867338,0.03245218463416677,39.79077146202326,0.009228862822055817,308,4096,122.0,4096.0,2452.6640625,111.0,3655.0,1851.90625,3.0,31.0,14.09375,41.55384469591081,9.092502295970917e-05,3.0761591028422117,0.003039723262190819,36.166108241304755,80.83405897580087,4.051625728607178e-05,7.754930217619118e-06,0.1323619555773563,0.09226683532106741,391973,80.83405897580087,2424.5534924662397,
7,True,7448,0.12089627981185913,0.002702435780520318,2.8177293188491603e-05,2.4212548623836483e-06,0.0006649630195170175,-0.025630389412981458,-0.004461114982404979,0.2,465.5,1.0,0.0,0.7241947762668133,0.7241947762668133,4956100.09375,0.1852129295002669,0.1852129295002669,0.05077869647507188,-0.005126077882596292,0.12576247130116147,0.002702435780520318,2.8177293188491603e-05,2.4212548623836483e-06,0.14488828415051103,-0.6343567259609699,0.0,0.0,0.2,0.2,0.2,3.0,0.53515625,0.16939107884089272,189.67729234695435,199.1171875,130.2708282470703,5e-06,7,0,0.345544695854187,0.9898979663848877,0.0,0.345544695854187,0.9898979663848877,0.0,-0.0949762687087059,1.0582938194274902,-2.4748568534851074,-0.0949762687087059,1.0582938194274902,-2.4748568534851074,2906.359375,4096.0,222.0,0.5,2200.8125,3663.0,137.0,2906.359375,4096.0,222.0,0.5,0.0,479.4375,835.0,216.0,0.0,3,31,16.25,0.5,0.5,2.9375,8,2.764357566833496,8.0,8,8,3.195367753505707e-05,1.3657344784587622,40.09875681065023,22.420049896623823,2.808868885040283e-06,0.08524246886372566,0.023820841961423866,40.09875681065023,0.003839675337076187,262,4096,222.0,4096.0,2906.359375,137.0,3663.0,2200.8125,3.0,31.0,16.25,41.92844372801483,8.20402055978775e-05,3.287030829116702,0.0030006766319274902,39.3302864190191,84.58924859017134,3.8331374526023865e-05,6.923860778545233e-06,0.1127066285892865,0.09075200727999572,433382,84.58924859017134,2561.684890355888,
8,True,6960,0.12414243817329407,0.0014788239313929807,-2.9740706111169857e-05,0.0,0.0006071118550607935,-0.03147796029224992,-0.005688480247044936,0.2,435.0,1.0,0.0,0.8672953732311726,0.8672953732311726,6656760.34375,0.23209303990006447,0.23209303990006447,0.052720326824688385,-0.0062955920584499845,0.1933919363301948,0.0014788239313929807,-2.9740706111169857e-05,0.0,0.07391779311001301,-0.7480284534394741,0.0,0.0,0.2,0.2,0.2,3.0,0.3916015625,0.16812360915369368,189.67729234695435,199.1171875,130.23676300048828,5e-06,8,0,0.17738884687423706,0.9918367266654968,0.0,0.17738884687423706,0.9918367266654968,0.0,-0.04373849183320999,1.2497144937515259,-2.4748663902282715,-0.04373849183320999,1.2497144937515259,-2.4748663902282715,2808.5234375,4096.0,194.0,0.4453125,2051.40625,3635.0,183.0,2808.5234375,4096.0,194.0,0.4453125,0.0,478.625,1020.0,219.0,0.0,3,31,16.203125,0.6875,0.3125,1.5625,8,1.4191107749938965,8.0,8,8,3.142841160297394e-05,1.8459643814712763,37.19439798593521,20.69749904650962,3.462657332420349e-06,0.14319850504398346,0.02772328900755383,37.19439798593521,0.0031789615750312805,237,4096,194.0,4096.0,2808.5234375,183.0,3635.0,2051.40625,3.0,31.0,16.203125,39.05976084060967,9.628757834434509e-05,3.1845720298588276,0.00308811292052269,38.38581403158605,80.66438809037209,3.891065716743469e-05,7.339456264388278e-06,0.10865295887966506,0.0912307970947132,420755,80.66438809037209,2608.0592065522674,
9,True,9768,0.11255035549402237,0.0007638886345375795,-0.0001072457629085477,5.401901489676675e-06,-0.0011320900273119605,-0.0017156803660327569,-0.0014752260249224491,0.2,610.5,1.0,0.0,1.18065145611763,1.18065145611763,7670865.96875,0.012669123127125204,0.012669123127125204,0.06645902261423209,-0.00034313607320655135,0.13297452844018479,0.0007638886345375795,-0.0001072457629085477,5.401901489676675e-06,0.040244945557788014,-1.0497694686055183,0.0,0.0,0.2,0.2,0.2,3.0,0.21337890625,0.16788486292024266,189.67729234695435,199.1171875,130.21662139892578,5e-06,9,0,0.1506640613079071,0.9700000286102295,0.0,0.1506640613079071,0.9700000286102295,0.0,-0.013071900233626366,0.6432840824127197,-1.6036803722381592,-0.013071900233626366,0.6432840824127197,-1.6036803722381592,2582.796875,4096.0,169.0,0.375,1994.65625,3635.0,151.0,2582.796875,4096.0,169.0,0.375,0.0,475.0625,944.0,209.0,0.0,3,31,16.9921875,0.8125,0.1875,1.375,8,1.2053124904632568,8.0,8,8,5.4467469453811646e-05,1.5486722122877836,39.57802069745958,19.90372489739093,2.9671937227249146e-06,0.08883484452962875,0.021544144008657895,39.57802069745958,0.00668749026954174,298,4096,169.0,4096.0,2582.796875,151.0,3635.0,1994.65625,3.0,31.0,16.9921875,41.74064450711012,9.107217192649841e-05,3.0005260594189167,0.0031542927026748657,35.772713515907526,80.54928682371974,3.774277865886688e-05,8.058876723082594e-06,0.1262580067245117,0.09139541426525788,391406,80.54928682371974,2429.6056205723025,
10,True,10592,0.11288343369960785,0.0017327194882454933,-7.28198566548599e-05,2.717703523558157e-06,0.00023196310212370008,-0.011083186487667263,-0.001984674308914691,0.2,662.0,1.0,0.0,0.8762110099196434,0.8762110099196434,6479647.71875,0.08084489684551954,0.08084489684551954,0.0661424285516807,-0.0022166372975334523,0.08881992089912555,0.0017327194882454933,-7.28198566548599e-05,2.717703523558157e-06,0.033064853167161345,-0.7596672028303146,0.0,0.0,0.2,0.2,0.2,3.0,0.603515625,0.1675678086425384,189.67729234695435,199.1171875,130.3761100769043,5e-06,10,0,0.17819713056087494,0.9703124761581421,0.0,0.17819713056087494,0.9703124761581421,0.0,-0.1215427964925766,2.4748663902282715,-2.4748661518096924,-0.1215427964925766,2.4748663902282715,-2.4748661518096924,2645.859375,4096.0,164.0,0.3828125,1952.5078125,3584.0,130.0,2645.859375,4096.0,164.0,0.3828125,0.0,500.625,1018.0,219.0,0.0,3,31,16.9921875,0.5625,0.4375,1.5625,7,1.425577163696289,8.0,8,8,3.122352063655853e-05,1.3271394111216068,38.27957317046821,19.619236965183518,4.1369348764419556e-06,0.09100173227488995,0.026155756539083086,38.27957317046821,0.015194850042462349,372,4096,164.0,4096.0,2645.859375,130.0,3584.0,1952.5078125,3.0,31.0,16.9921875,40.1719721481204,0.00010105781257152557,3.0734367836266756,0.0030978918075561523,37.033313665539026,80.31286525167525,4.197843372821808e-05,7.691848063454134e-06,0.118616860507634,0.0919511202123874,402750,80.31286525167525,2507.381592836392,
