step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_agent_loop_response_length_min,timing_s_agent_loop_response_length_max,timing_s_agent_loop_response_length_mean,timing_s_agent_loop_llm_response_length_min,timing_s_agent_loop_llm_response_length_max,timing_s_agent_loop_llm_response_length_mean,timing_s_agent_loop_num_turns_min,timing_s_agent_loop_num_turns_max,timing_s_agent_loop_num_turns_mean,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_adv,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,True,8576,0.12115395814180374,0.004511756371357478,0.00047494646696577547,1.0618949090712704e-05,-0.0031074225989868864,-0.033125597692560405,-0.00973254228301812,0.2,536.0,1.0,0.0,0.8616303205490112,0.8616303205490112,6545065.65625,0.2425617219414562,0.2425617219414562,0.0859108224678754,-0.006625119538512081,0.18774346692223243,0.004511756371357478,0.00047494646696577547,1.0618949090712704e-05,0.14998210570774972,-0.752874381840229,0.0,0.0,0.2,0.2,0.2,3.0,0.669921875,0.16260837523734029,184.0259656906128,193.27734375,253.8699951171875,5e-06,1,0,0.21335972845554352,0.9897959232330322,0.0,0.21335972845554352,0.9897959232330322,0.0,-0.09746723622083664,2.4748666286468506,-2.474865198135376,-0.09746723622083664,2.4748666286468506,-2.474865198135376,2479.2578125,4096.0,150.0,0.5,1931.4921875,3649.0,139.0,2479.2578125,4096.0,150.0,0.5,0.0,444.875,942.0,216.0,0.0,3,31,13.03125,0.5625,0.4375,1.9375,8,1.7068777084350586,8.0,8,8,0.0001411084085702896,1.408917099237442,39.452178079634905,19.712822652043542,3.037974238395691e-06,0.09970642626285553,0.02149778392049484,39.452178079634905,0.00827237032353878,253,4096,150.0,4096.0,2479.2578125,139.0,3649.0,1931.4921875,3.0,31.0,13.03125,47.55079134553671,0.00013429485261440277,5.647928822785616,0.0032830368727445602,35.188952032476664,88.43301825970411,4.070252180099487e-05,0.14983942190844887,8.771395559967191e-06,0.09401545872968926,374289,88.43301825970411,2116.2287987322416,
2,True,7496,0.12889932096004486,0.0009555241449561436,-2.2756431235393393e-05,1.2785369563061977e-06,0.0020534012364805676,-0.04556016135029495,-0.00705863130860962,0.2,468.5,1.0,0.0,0.8051126599311829,0.8051126599311829,6885743.34375,0.3340718038380146,0.3340718038380146,0.06811770989958839,-0.00911203227005899,0.27865487676592837,0.0009555241449561436,-2.2756431235393393e-05,1.2785369563061977e-06,0.1758257495239377,-0.6804201789200306,0.0,0.0,0.2,0.2,0.2,3.0,0.3994140625,0.16829850791000717,184.5323348045349,193.62890625,254.42797470092773,5e-06,2,0,0.06903231143951416,0.9877551198005676,0.0,0.06903231143951416,0.9877551198005676,0.0,-0.06416769325733185,2.4748663902282715,-1.6201770305633545,-0.06416769325733185,2.4748663902282715,-1.6201770305633545,2746.8515625,4096.0,134.0,0.5859375,2158.4140625,3619.0,123.0,2746.8515625,4096.0,134.0,0.5859375,0.0,475.4375,945.0,216.0,0.0,3,31,13.7734375,0.8125,0.1875,0.5625,6,0.5522584319114685,8.0,8,8,6.194040179252625e-05,1.2381574008613825,39.56044615805149,22.22212270835007,2.7604401111602783e-06,0.08581979759037495,0.023840688343625516,39.56044615805149,0.011422520503401756,264,4096,134.0,4096.0,2746.8515625,123.0,3619.0,2158.4140625,3.0,31.0,13.7734375,42.212112752720714,0.00010198540985584259,3.0722235664725304,0.0031498130410909653,37.68930083885789,83.00733483955264,3.7804245948791504e-05,0.12005822789364162,7.636780532790319e-06,0.09137841363466356,412453,83.00733483955264,2484.4370729239936,
3,True,4224,0.1237504705786705,0.001509535708464682,5.073617987250145e-05,3.983865553891519e-06,0.00014496123185381293,-0.020358063047751784,-0.003926651552319527,0.2,264.0,1.0,0.0,0.45965905487537384,0.45965905487537384,3277183.8125,0.14865150675177574,0.14865150675177574,0.01809567340352591,-0.004071612609550357,0.07841330329192771,0.001509535708464682,5.073617987250145e-05,3.983865553891519e-06,0.11132359132170677,-0.39864467084407806,0.0,0.0,0.2,0.2,0.2,3.0,0.5517578125,0.17238173534312523,185.19467115402222,194.56640625,254.35731887817383,5e-06,3,0,0.05728311464190483,0.989062488079071,0.0,0.05728311464190483,0.989062488079071,0.0,-0.043296363204717636,2.4748666286468506,-1.2076120376586914,-0.043296363204717636,2.4748666286468506,-1.2076120376586914,3489.6015625,4096.0,127.0,0.8046875,2723.625,3655.0,116.0,3489.6015625,4096.0,127.0,0.8046875,0.0,423.4375,793.0,260.0,0.0,3,31,16.8828125,0.75,0.25,0.5,5,0.45826488733291626,8.0,8,8,3.55597585439682e-05,1.1440053172409534,40.91682415641844,28.953881606154027,2.8796494007110596e-06,0.10405806452035904,0.028941156080691144,40.91682415641844,0.002101551741361618,496,4096,127.0,4096.0,3489.6015625,116.0,3655.0,2723.625,3.0,31.0,16.8828125,43.27964781597257,9.976141154766083e-05,3.680907180532813,0.0034194402396678925,45.22437344864011,92.21622646413743,3.690645098686218e-05,0.09689422775248017,6.82701512704498e-06,0.09029181971461621,500869,92.21622646413743,2715.731380500514,
4,True,14800,0.12391672283411026,0.002649508409376722,-0.00014669612988882363,1.3454748568619834e-06,-0.00460107811341004,-0.04825452179647982,-0.01425198229844682,0.2,925.0,1.0,0.0,0.9748807065188885,0.9748807065188885,7844766.6875,0.3535649161785841,0.3535649161785841,0.11806443156278897,-0.009650904359295963,0.28471553062406907,0.002649508409376722,-0.00014669612988882363,1.3454748568619834e-06,0.1945317261852324,-0.8435836471617222,0.0,0.0,0.2,0.2,0.2,3.0,0.734375,0.16369694117073652,185.8920865058899,194.95703125,254.28080368041992,5e-06,4,0,0.2372889518737793,0.9906250238418579,0.0,0.2372889518737793,0.9906250238418579,0.0,-0.15910369157791138,1.6201813220977783,-2.474813461303711,-0.15910369157791138,1.6201813220977783,-2.474813461303711,2271.65625,4096.0,138.0,0.390625,1760.765625,3589.0,120.0,2271.65625,4096.0,138.0,0.390625,0.0,567.8125,1018.0,216.0,0.0,3,31,12.75,0.5625,0.4375,2.0,8,1.8983114957809448,8.0,8,8,5.5942684412002563e-05,1.210685845464468,36.122548956424,17.519481936629745,3.63960862159729e-06,0.1023760549724102,0.01766639662673697,36.122548956424,0.024211224168539047,270,4096,138.0,4096.0,2271.65625,120.0,3589.0,1760.765625,3.0,31.0,12.75,38.160807183012366,9.108521044254303e-05,2.84732479788363,0.003259841352701187,33.85618314705789,74.90846455097198,4.100427031517029e-05,0.1312396213631724,8.969111059235296e-06,0.09315173158232144,363452,74.90846455097198,2425.9741684645437,
5,True,4304,0.12446758151054382,0.0008606368464825209,0.00011639561861898073,5.889612793907872e-06,0.0024295298499055207,-0.05539076356217265,-0.008648622781038284,0.2,269.0,1.0,0.0,0.7715118825435638,0.7715118825435638,5374875.6875,0.4075689949095249,0.4075689949095249,0.054050658801996984,-0.01107815271243453,0.22638057995687422,0.0008606368464825209,0.00011639561861898073,5.889612793907872e-06,0.15606725588440895,-0.6745789460837841,0.0,0.0,0.2,0.2,0.2,3.0,0.2939453125,0.16969627565317774,185.8920865058899,194.95703125,254.61738204956055,5e-06,5,0,0.049282897263765335,0.9921875,0.0,0.049282897263765335,0.9921875,0.0,-0.03211066126823425,1.6244382858276367,-0.7245671153068542,-0.03211066126823425,1.6244382858276367,-0.7245671153068542,3090.7578125,4096.0,143.0,0.6796875,2473.75,3655.0,132.0,3090.7578125,4096.0,143.0,0.6796875,0.0,386.125,810.0,218.0,0.0,3,31,15.4296875,0.8125,0.1875,0.4375,3,0.39426320791244507,8.0,8,8,3.2281503081321716e-05,1.3786622378975153,40.17505377903581,25.56641207911889,4.079192876815796e-06,0.08783374354243279,0.0216397310141474,40.17505377903581,0.008049830794334412,253,4096,143.0,4096.0,3090.7578125,132.0,3655.0,2473.75,3.0,31.0,15.4296875,42.788996294140816,0.00010346807539463043,3.3135206680744886,0.003135841339826584,40.58722437545657,86.72346437908709,4.123523831367493e-05,0.10815762794354342,7.046185272427898e-06,0.09119884319749545,445041,86.72346437908709,2565.862671575418,
6,True,10712,0.11836689710617065,0.0017670160395937273,-5.1072299243060115e-06,3.9036731322994456e-06,0.003524622312397696,-0.020005038124509156,-0.0004763851029565558,0.2,669.5,1.0,0.0,0.7666226848959923,0.7666226848959923,5609095.4375,0.1455407701432705,0.1455407701432705,0.0769185897375947,-0.004001007624901831,0.07868130201001336,0.0017670160395937273,-5.1072299243060115e-06,3.9036731322994456e-06,0.06591126648709178,-0.6687555052340031,0.0,0.0,0.2,0.2,0.2,3.0,0.4775390625,0.1668446719050108,186.4731421470642,195.599609375,254.8723373413086,5e-06,6,0,0.08373850584030151,0.9795918464660645,0.0,0.08373850584030151,0.9795918464660645,0.0,-0.08903571218252182,2.4748666286468506,-1.2076122760772705,-0.08903571218252182,2.4748666286468506,-1.2076122760772705,2773.625,4096.0,179.0,0.515625,2119.5390625,3586.0,168.0,2773.625,4096.0,179.0,0.515625,0.0,486.9375,996.0,214.0,0.0,3,31,16.0859375,0.625,0.375,0.75,5,0.6699081063270569,8.0,8,8,3.454461693763733e-05,1.6812465954571962,38.17017723992467,21.596272745766328,4.950910806655884e-06,0.1685427501797676,0.0317801035271259,38.17017723992467,0.007193746045231819,346,4096,179.0,4096.0,2773.625,168.0,3586.0,2119.5390625,3.0,31.0,16.0859375,40.553534829989076,9.759142994880676e-05,3.170808447524905,0.00302702933549881,38.543612191453576,82.30024582706392,4.0218234062194824e-05,0.11422758695183727,7.252940768221573e-06,0.09235276742762363,417352,82.30024582706392,2535.5452818268277,
7,True,11288,0.12152455002069473,0.0019566558476071805,7.199636684163124e-06,3.654318106782739e-06,-0.004721047545899637,-0.06796559039503336,-0.018314165718038566,0.2,705.5,1.0,0.0,0.9208786673843861,0.9208786673843861,5844021.84375,0.48813122138381004,0.48813122138381004,0.08749356337892691,-0.013593118079006672,0.19059713311273108,0.0019566558476071805,7.199636684163124e-06,3.654318106782739e-06,0.24342594854533672,-0.8236694000661373,0.0,0.0,0.2,0.2,0.2,3.0,0.501953125,0.16608021916123272,186.4731421470642,195.599609375,255.1021957397461,5e-06,7,0,0.16538414359092712,0.9836734533309937,0.0,0.16538414359092712,0.9836734533309937,0.0,-0.07265692949295044,1.6271165609359741,-2.4748666286468506,-0.07265692949295044,1.6271165609359741,-2.4748666286468506,2561.2578125,4096.0,170.0,0.4296875,2047.15625,3611.0,159.0,2561.2578125,4096.0,170.0,0.4296875,0.0,467.4375,980.0,209.0,0.0,3,31,14.625,0.6875,0.3125,1.5,7,1.3230730295181274,8.0,8,8,3.452785313129425e-05,1.5528719071298838,38.342002756893635,20.66594008251559,2.8759241104125977e-06,0.06420080550014973,0.01920203935878817,38.342002756893635,0.011316942051053047,220,4096,170.0,4096.0,2561.2578125,159.0,3611.0,2047.15625,3.0,31.0,14.625,40.58215572312474,0.00011007674038410187,2.9870845787227154,0.0030512306839227676,35.710974253714085,79.3127126712352,3.9989128708839417e-05,0.12378609058392558,7.870629845056962e-06,0.09211622747448,387673,79.3127126712352,2443.9524695553605,
8,True,4528,0.11962693184614182,0.0015738083930045832,0.00010644818240734821,4.285069053366897e-06,0.0008525503908458631,-0.04622408002614975,-0.00839226582684205,0.2,283.0,1.0,0.0,0.6112634539604187,0.6112634539604187,4098655.5625,0.33753684908151627,0.33753684908151627,0.051508671550935775,-0.009244816005229951,0.20782924879493858,0.0015738083930045832,0.00010644818240734821,4.285069053366897e-06,0.15286624431610107,-0.5371164046227932,0.0,0.0,0.2,0.2,0.2,3.0,0.5068359375,0.16801347679850942,186.4731421470642,195.599609375,254.55093002319336,5e-06,8,0,0.1303972452878952,0.989062488079071,0.0,0.1303972452878952,0.989062488079071,0.0,-0.06753618270158768,2.4748663902282715,-0.9354125261306763,-0.06753618270158768,2.4748663902282715,-0.9354125261306763,2999.21875,4096.0,139.0,0.6484375,2353.09375,3584.0,128.0,2999.21875,4096.0,139.0,0.6484375,0.0,405.4375,912.0,215.0,0.0,3,31,15.2734375,0.6875,0.3125,1.0625,8,1.0431780815124512,8.0,8,8,3.2475218176841736e-05,1.2990704532712698,38.463754234835505,24.034105717233615,4.284083843231201e-06,0.07522998563945293,0.021752614731667563,38.463754234835505,0.007596274837851524,307,4096,139.0,4096.0,2999.21875,128.0,3584.0,2353.09375,3.0,31.0,15.2734375,40.64665397629142,8.900277316570282e-05,3.278762197121978,0.0037767719477415085,39.93940692208707,83.9121467731893,3.83034348487854e-05,0.10587823385332487,8.666375890879009e-06,0.09164702503484905,435796,83.9121467731893,2596.739666176916,
9,True,13232,0.1204160749912262,0.002329008697415702,5.201219187256356e-05,2.5187283654304338e-06,-0.00472792607251904,-0.03583929024171084,-0.011895784289663425,0.2,827.0,1.0,0.0,1.0097648426890373,1.0097648426890373,7381129.84375,0.2624222245067358,0.2624222245067358,0.16148829531982514,-0.007167858048342169,0.1707591455018863,0.002329008697415702,5.201219187256356e-05,2.5187283654304338e-06,0.1031433898024261,-0.8735684491693974,0.0,0.0,0.2,0.2,0.2,3.0,0.74609375,0.15731531089682893,186.4731421470642,195.599609375,254.85779190063477,5e-06,9,0,0.2292170524597168,0.9752500057220459,0.0,0.2292170524597168,0.9752500057220459,0.0,-0.10722940415143967,0.9564050436019897,-1.6201809644699097,-0.10722940415143967,0.9564050436019897,-1.6201809644699097,1525.0078125,4096.0,137.0,0.25,1179.8984375,3383.0,126.0,1525.0078125,4096.0,137.0,0.25,0.0,616.0,982.0,269.0,0.0,3,31,9.3828125,0.6875,0.3125,2.0,8,1.8337364196777344,8.0,8,8,6.0733407735824585e-05,1.265808006748557,34.054794531315565,11.533550161882886,3.5725533962249756e-06,0.10712447762489319,0.015932915717712604,34.054794531315565,0.062911631539464,269,4096,137.0,4096.0,1525.0078125,126.0,3383.0,1179.8984375,3.0,31.0,9.3828125,36.579958237707615,9.66191291809082e-05,2.313844984397292,0.0039332956075668335,26.074239974841475,65.00360799580812,3.8525089621543884e-05,0.18739636701506454,1.4352526765530375e-05,0.09514444487971668,274049,65.00360799580812,2107.952223341761,
10,True,6640,0.11695076525211334,0.0011634962120297132,0.00024177604888109272,8.825190889183432e-06,0.0017929504974745214,-0.000894718490599189,0.0016140067564265337,0.2,415.0,1.0,0.0,0.8089924901723862,0.8089924901723862,6114543.8125,0.006559771514730528,0.006559771514730528,0.07161027959315061,-0.0001789436981198378,0.048856883367082715,0.0011634962120297132,0.00024177604888109272,8.825190889183432e-06,0.03925613104365766,-0.7133626490831375,0.0,0.0,0.2,0.2,0.2,3.0,0.3662109375,0.16908673764432944,186.4731421470642,195.599609375,255.21716690063477,5e-06,10,0,0.17464780807495117,0.9959183931350708,0.0,0.17464780807495117,0.9959183931350708,0.0,-0.03603721037507057,2.474865436553955,-2.4748613834381104,-0.03603721037507057,2.474865436553955,-2.4748613834381104,2949.6328125,4096.0,145.0,0.578125,2312.7578125,3693.0,134.0,2949.6328125,4096.0,145.0,0.578125,0.0,459.6875,1009.0,219.0,0.0,3,31,15.7578125,0.6875,0.3125,1.5,8,1.3971824645996094,8.0,8,8,5.731731653213501e-05,1.3430373761802912,40.15340691059828,23.809150050466997,3.332272171974182e-06,0.09315425716340542,0.02879043426946737,40.15340691059828,0.006881384178996086,382,4096,145.0,4096.0,2949.6328125,134.0,3693.0,2312.7578125,3.0,31.0,15.7578125,42.763578997924924,9.996071457862854e-05,3.2590861078351736,0.003498278558254242,39.622200490906835,85.68118383176625,4.1913241147994995e-05,0.11326510184775362,8.016348929185945e-06,0.09079476639383957,436393,85.68118383176625,2546.6093048903904,
