step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_agent_loop_response_length_min,timing_s_agent_loop_response_length_max,timing_s_agent_loop_response_length_mean,timing_s_agent_loop_llm_response_length_min,timing_s_agent_loop_llm_response_length_max,timing_s_agent_loop_llm_response_length_mean,timing_s_agent_loop_num_turns_min,timing_s_agent_loop_num_turns_max,timing_s_agent_loop_num_turns_mean,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_adv,timing_per_token_ms_update_actor,timing_per_token_ms_gen,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,True,12392,0.11717084050178528,0.003364373009389965,-2.4381213734159246e-05,2.7532912554306677e-06,-0.004211093197227456,-0.027151329530170187,-0.009641359720262699,0.2,774.5,1.0,0.0,1.1501231081783772,1.1501231081783772,7282775.34375,0.19996793055906892,0.19996793055906892,0.06197652441031,-0.005430265906034038,0.18886159611897346,0.003364373009389965,-2.4381213734159246e-05,2.7532912554306677e-06,0.13089668098837137,-1.021483812481165,0.0,0.0,0.2,0.2,0.2,3.0,0.634765625,0.16822716082651706,187.40276622772217,196.7734375,152.8468894958496,5e-06,1,0,0.16073265671730042,0.9752500057220459,0.0,0.16073265671730042,0.9752500057220459,0.0,-0.0684480145573616,2.4748661518096924,-1.6201815605163574,-0.0684480145573616,2.4748661518096924,-1.6201815605163574,3116.453125,4096.0,194.0,0.625,2304.59375,3542.0,180.0,3116.453125,4096.0,194.0,0.625,0.0,520.3125,801.0,216.0,0.0,3,31,17.8515625,0.6875,0.3125,1.375,8,1.2858612537384033,8.0,8,8,0.00012730248272418976,1.8325704112648964,39.269267830997705,25.122466685483232,4.157423973083496e-06,0.18470106832683086,0.039769294380676,39.269267830997705,0.0296369306743145,559,4096,194.0,4096.0,3116.453125,180.0,3542.0,2304.59375,3.0,31.0,17.8515625,47.714928325265646,0.0001331828534603119,6.273700563237071,0.003265783190727234,43.132203383371234,97.16458146460354,4.1233375668525696e-05,7.015555526088244e-06,0.09265660030884937,0.11961446637870989,465506,97.16458146460354,2395.4510634596877,
2,True,5264,0.12021144479513168,0.0008598012427682988,0.00010405616058051237,1.3206829407863552e-06,0.003348792452015914,-0.007875290611991659,0.0017737343005137518,0.2,329.0,1.0,0.0,0.5686059072613716,0.5686059072613716,4003759.96875,0.05761700542643666,0.05761700542643666,0.017833877620233675,-0.0015750581223983318,0.08406843866562407,0.0008598012427682988,0.00010405616058051237,1.3206829407863552e-06,0.03125251899473369,-0.49163344129920006,0.0,0.0,0.2,0.2,0.2,3.0,0.3427734375,0.17212079310269035,187.40276622772217,196.7734375,153.61886978149414,5e-06,2,0,0.030883289873600006,0.8530611991882324,0.0,0.030883289873600006,0.8530611991882324,0.0,-0.025953225791454315,2.474865436553955,-0.9354120492935181,-0.025953225791454315,2.474865436553955,-0.9354120492935181,3563.2734375,4096.0,335.0,0.8125,2636.4609375,3655.0,324.0,3563.2734375,4096.0,335.0,0.8125,0.0,426.1875,889.0,216.0,0.0,3,31,18.4296875,0.875,0.125,0.3125,4,0.24706631898880005,8.0,8,8,3.131851553916931e-05,3.2540222574025393,41.54477934911847,28.122026680619456,4.060566425323486e-06,0.14719311520457268,0.03439772244018968,41.54477934911847,0.00048528052866458893,260,4096,335.0,4096.0,3563.2734375,324.0,3655.0,2636.4609375,3.0,31.0,18.4296875,43.53721524402499,9.061209857463837e-05,3.7241029031574726,0.0037573985755443573,46.266039814800024,93.56028010696173,3.674067556858063e-05,7.358055845468544e-06,0.09060207424405323,0.09545562530070224,510651,93.56028010696173,2728.9946086961477,
3,True,13880,0.11375252157449722,0.0017366394313285127,2.996825395484848e-05,0.0,0.0003247811837354675,-0.028351795946946368,-0.0053455782908713445,0.2,867.5,1.0,0.0,1.0249711200594902,1.0249711200594902,6576080.21875,0.20633189368527383,0.20633189368527383,0.04558780943947145,-0.005670359189389274,0.16206761523380178,0.0017366394313285127,2.996825395484848e-05,0.0,0.13334177632350475,-0.9152903333306313,0.0,0.0,0.2,0.2,0.2,3.0,0.4873046875,0.17277516007578086,187.9456706047058,197.283203125,153.59225463867188,5e-06,3,0,0.10972900688648224,0.9918367266654968,0.0,0.10972900688648224,0.9918367266654968,0.0,-0.057799044996500015,2.4748661518096924,-2.4597058296203613,-0.057799044996500015,2.4748661518096924,-2.4597058296203613,3546.734375,4096.0,149.0,0.6875,2641.1953125,3773.0,138.0,3546.734375,4096.0,149.0,0.6875,0.0,542.1875,950.0,218.0,0.0,3,31,19.921875,0.6875,0.3125,1.0625,7,0.8778320550918579,8.0,8,8,3.133900463581085e-05,1.5412245877087116,42.03409485518932,28.82283880210889,5.0924718379974365e-06,0.186554666608572,0.03737770135921892,42.03409485518932,0.008895037695765495,259,4096,149.0,4096.0,3546.734375,138.0,3773.0,2641.1953125,3.0,31.0,19.921875,43.96915708296001,9.069405496120453e-05,3.8826397582888603,0.0030426010489463806,47.37103939987719,95.25442957878113,3.777258098125458e-05,5.813346750454506e-06,0.0905094928749502,0.09685220357406243,523382,95.25442957878113,2747.284311681966,
4,True,7096,0.1176421195268631,0.000743298312954721,-9.684299129730789e-06,0.0,0.0012055138649884611,-0.018764585547614843,-0.0025474031717749313,0.2,443.5,1.0,0.0,0.5617578998208046,0.5617578998208046,3764662.0,0.13728796411305666,0.13728796411305666,0.019571109840090944,-0.0037529171095229694,0.1720551889799308,0.000743298312954721,-9.684299129730789e-06,0.0,0.06299241818487644,-0.49798376858234406,0.0,0.0,0.2,0.2,0.2,3.0,0.3173828125,0.17259116646126263,187.9456706047058,197.283203125,166.58436393737793,5e-06,4,0,0.0977819412946701,0.991406261920929,0.0,0.0977819412946701,0.991406261920929,0.0,-0.015761055052280426,1.6269007921218872,-2.4660263061523438,-0.015761055052280426,1.6269007921218872,-2.4660263061523438,3803.40625,4096.0,564.0,0.8359375,2938.3046875,3655.0,428.0,3803.40625,4096.0,564.0,0.8359375,0.0,405.125,888.0,220.0,0.0,3,31,20.9140625,0.8125,0.1875,0.8125,8,0.7822554707527161,8.0,8,8,3.041885793209076e-05,4.308218160644174,41.494642024859786,31.72868440041202,0.0005115494132041931,0.0768714677542448,0.030125958466669545,41.494642024859786,0.0005115494132041931,263,4096,564.0,4096.0,3803.40625,428.0,3655.0,2938.3046875,3.0,31.0,20.9140625,44.33739696443081,8.633360266685486e-05,3.8969417233020067,0.0030292682349681854,48.747378554195166,97.01283363066614,3.577210009098053e-05,5.623377059559425e-06,0.09049211526103072,0.0910725520800245,538692,97.01283363066614,2776.3955542770445,
5,True,7784,0.11488950997591019,0.0016949001110333484,4.05838152346405e-05,5.215737019170774e-06,0.0008280029724119231,-0.004687266104156151,-0.00010945020767394453,0.2,486.5,1.0,0.0,0.9699065014719963,0.9699065014719963,5511958.5625,0.03459026734344661,0.03459026734344661,0.02292053957595576,-0.0009374532208312302,0.029226283093461224,0.0016949001110333484,4.05838152346405e-05,5.215737019170774e-06,0.021355080883949995,-0.8751042038202286,0.0,0.0,0.2,0.2,0.2,3.0,0.78515625,0.17238998371512418,187.9456706047058,197.283203125,171.3398895263672,5e-06,5,0,0.085518479347229,0.9938775300979614,0.0,0.085518479347229,0.9938775300979614,0.0,-0.0763029232621193,2.4748666286468506,-0.935013473033905,-0.0763029232621193,2.4748666286468506,-0.935013473033905,3664.59375,4096.0,218.0,0.78125,2670.5234375,3664.0,207.0,3664.59375,4096.0,218.0,0.78125,0.0,445.0,998.0,216.0,0.0,3,31,20.3515625,0.625,0.375,0.75,4,0.6841477751731873,8.0,8,8,3.110803663730621e-05,2.09168285317719,41.7003227788955,29.205246917612385,6.040558218955994e-06,0.7727185878902674,0.06949783772870433,41.7003227788955,0.008417394012212753,313,4096,218.0,4096.0,3664.59375,207.0,3664.0,2670.5234375,3.0,31.0,20.3515625,44.719005482271314,0.00010593980550765991,3.8447483461350203,0.0030039995908737183,47.68608363159001,96.28488209657371,3.731623291969299e-05,5.710721845365111e-06,0.09065312803042805,0.09533586917519701,526028,96.28488209657371,2731.6230157107843,
6,True,5400,0.12306869775056839,0.001876549420558149,-2.391279322466744e-05,5.087898102829058e-06,0.004132017521442322,-0.04861289937980473,-0.005590562826000678,0.2,337.5,1.0,0.0,0.46714677661657333,0.46714677661657333,3157281.21875,0.3554265033453703,0.3554265033453703,0.01369709419060371,-0.009722579875960948,0.10828898613589019,0.001876549420558149,-2.391279322466744e-05,5.087898102829058e-06,0.1019017118960619,-0.41783641651272774,0.0,0.0,0.2,0.2,0.2,3.0,0.4873046875,0.1719826581404479,187.9456706047058,197.283203125,171.69183349609375,5e-06,6,0,0.17718440294265747,0.9937499761581421,0.0,0.17718440294265747,0.9937499761581421,0.0,-0.07961779832839966,2.4748666286468506,-2.4748544692993164,-0.07961779832839966,2.4748666286468506,-2.4748544692993164,3751.6796875,4096.0,910.0,0.75,2897.625,3673.0,744.0,3751.6796875,4096.0,910.0,0.75,0.0,387.25,892.0,220.0,0.0,5,31,20.6171875,0.5625,0.4375,1.5,7,1.4174753427505493,8.0,8,8,3.396160900592804e-05,7.5159688256680965,42.2288046143949,31.563342584922793,0.003265669569373131,0.07776953093707561,0.03380009488319047,42.2288046143949,0.012528497725725174,220,4096,910.0,4096.0,3751.6796875,744.0,3673.0,2897.625,5.0,31.0,20.6171875,44.15306350775063,0.00010398589074611664,3.8500609565526247,0.0030051562935113907,47.97568096593022,96.02489974722266,3.894045948982239e-05,5.672428699130381e-06,0.09055722997138493,0.09194436556073973,529783,96.02489974722266,2758.570961253844,
7,True,5496,0.12176603823900223,0.0009360250242025359,7.811004707036773e-06,1.1961722066189395e-06,1.8186532543040812e-05,0.0,1.8186532543040812e-05,0.2,343.5,1.0,0.0,0.5327813848853111,0.5327813848853111,3592476.03125,0.0,0.0,0.016971494949193977,0.0,0.0,0.0009360250242025359,7.811004707036773e-06,1.1961722066189395e-06,0.0,-0.4670436978340149,0.0,0.0,0.2,0.2,0.2,3.0,0.4228515625,0.17217870046824557,187.9456706047058,197.283203125,171.93584442138672,5e-06,7,0,0.09771118313074112,0.9937499761581421,0.0,0.09771118313074112,0.9937499761581421,0.0,-0.03473661094903946,2.4748661518096924,-1.6201813220977783,-0.03473661094903946,2.4748661518096924,-1.6201813220977783,3648.6953125,4096.0,175.0,0.78125,2797.15625,3599.0,164.0,3648.6953125,4096.0,175.0,0.78125,0.0,411.6875,785.0,220.0,0.0,3,31,18.8203125,0.8125,0.1875,0.8125,6,0.781689465045929,8.0,8,8,3.1266361474990845e-05,1.7582491990178823,41.0229259673506,30.191140461174655,4.692003130912781e-06,0.11755053140223026,0.03222186824132223,41.0229259673506,0.006854282692074776,382,4096,175.0,4096.0,3648.6953125,164.0,3599.0,2797.15625,3.0,31.0,18.8203125,43.227435579523444,8.816830813884735e-05,3.7381919659674168,0.0030585750937461853,47.07832845300436,94.08672853186727,3.690272569656372e-05,5.884942140512046e-06,0.09058245441952317,0.09255756141326939,519729,94.08672853186727,2761.967644692669,
8,True,7936,0.11914721131324768,0.001434604957466945,2.2871020519232843e-05,2.6872473881667247e-06,-0.0010719298152253032,-0.05085941730067134,-0.011243813671171665,0.2,496.0,1.0,0.0,0.5031069703400135,0.5031069703400135,3414253.5625,0.371610552072525,0.371610552072525,0.030276497769159146,-0.010171883460134269,0.13238680381177165,0.001434604957466945,2.2871020519232843e-05,2.6872473881667247e-06,0.16507136449217796,-0.4443098455667496,0.0,0.0,0.2,0.2,0.2,3.0,0.5390625,0.1713482043861862,187.9456706047058,197.283203125,172.4635009765625,5e-06,8,0,0.20684516429901123,0.9921875,0.0,0.20684516429901123,0.9921875,0.0,-0.061273422092199326,1.6307849884033203,-1.6201810836791992,-0.061273422092199326,1.6307849884033203,-1.6201810836791992,3553.4140625,4096.0,363.0,0.765625,2707.0625,3603.0,152.0,3553.4140625,4096.0,363.0,0.765625,0.0,468.1875,936.0,221.0,0.0,3,31,18.2890625,0.625,0.375,1.75,8,1.6547613143920898,8.0,8,8,4.141591489315033e-05,1.5527398120611906,40.00942520238459,28.927951396792196,0.004490824416279793,0.09032619558274746,0.030179275607224554,40.00942520238459,0.0113898366689682,452,4096,363.0,4096.0,3553.4140625,152.0,3603.0,2707.0625,3.0,31.0,18.2890625,42.232030529528856,0.0012603048235177994,3.7596821393817663,0.003001119941473007,46.72120641171932,92.74576293677092,3.734603524208069e-05,5.830077688795872e-06,0.09076220491237617,0.09285091258962849,514765,92.74576293677092,2775.1402527732675,
9,True,10096,0.11386553943157196,0.0019769832251768094,-0.00012781545325424304,8.090995379461674e-06,-0.0045911909255664796,-0.04148934467229992,-0.012889060395536944,0.2,631.0,1.0,0.0,1.143396034836769,1.143396034836769,8237196.625,0.3009967836551368,0.3009967836551368,0.047666698229074086,-0.008297868934459985,0.1939692465789543,0.0019769832251768094,-0.00012781545325424304,8.090995379461674e-06,0.17108286544680595,-1.0130646713078022,0.0,0.0,0.2,0.2,0.2,3.0,0.802734375,0.1696951125873815,187.9456706047058,197.283203125,172.5618553161621,5e-06,9,0,0.14426057040691376,0.98828125,0.0,0.14426057040691376,0.98828125,0.0,-0.11275973916053772,2.4748663902282715,-1.2032777070999146,-0.11275973916053772,2.4748663902282715,-1.2032777070999146,3267.8671875,4096.0,218.0,0.6953125,2428.59375,3657.0,207.0,3267.8671875,4096.0,218.0,0.6953125,0.0,499.25,935.0,234.0,0.0,3,31,17.4296875,0.5625,0.4375,1.3125,5,1.1540846824645996,8.0,8,8,5.5400654673576355e-05,2.094425054267049,39.666263638064265,25.42632562929066,3.909692168235779e-06,0.09848200343549252,0.03145589218183886,39.666263638064265,0.014637252315878868,269,4096,218.0,4096.0,3267.8671875,207.0,3657.0,2428.59375,3.0,31.0,17.4296875,41.70178599283099,9.152851998806e-05,3.606482606381178,0.0031321104615926743,44.20902957953513,89.56504672765732,3.937818109989166e-05,6.495580509782792e-06,0.09168364730891934,0.09969658629799873,482191,89.56504672765732,2691.8480903951863,
10,True,8944,0.11687985807657242,0.0021499300391951692,-6.087895201289939e-06,5.561203806792037e-06,0.004473932436667383,-0.05542202154174447,-0.006610471958993003,0.2,559.0,1.0,0.0,0.8170182034373283,0.8170182034373283,5027483.46875,0.40389098040759563,0.40389098040759563,0.02572750423518192,-0.011084404308348894,0.2052052923759467,0.0021499300391951692,-6.087895201289939e-06,5.561203806792037e-06,0.18494405318051577,-0.726736631244421,0.0,0.0,0.2,0.2,0.2,3.0,0.58203125,0.170967926483418,189.9096646308899,199.294921875,173.07130432128906,5e-06,10,0,0.17696033418178558,0.9836734533309937,0.0,0.17696033418178558,0.9836734533309937,0.0,-0.08503930270671844,2.474864959716797,-2.474865436553955,-0.08503930270671844,2.474864959716797,-2.474865436553955,3649.25,4096.0,296.0,0.75,2746.0234375,3602.0,155.0,3649.25,4096.0,296.0,0.75,0.0,520.0625,930.0,220.0,0.0,3,31,20.0546875,0.5,0.5,1.5625,7,1.4156826734542847,8.0,8,8,5.8669596910476685e-05,1.5763187408447266,40.165426002815366,29.448682609858224,0.0029298271983861923,0.1481381095945835,0.03176007310685236,40.165426002815366,0.00548214465379715,262,4096,296.0,4096.0,3649.25,155.0,3602.0,2746.0234375,3.0,31.0,20.0546875,42.324296936392784,8.608028292655945e-05,3.9051904045045376,0.0030074194073677063,48.84695915877819,95.10923608578742,4.314631223678589e-05,5.635332952389682e-06,0.09152992691911548,0.0906100074852555,533672,95.10923608578742,2805.574000818565,
