step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_update_actor,timing_per_token_ms_adv,timing_per_token_ms_gen,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,0.11468326300382614,0.0037675084022339433,-0.0001417909297742881,9.626928886063979e-06,-0.010301020316546783,0.896484375,0.34696633045993175,187.1552324295044,191.544921875,132.41616439819336,5e-06,1,0,0.11197135597467422,0.98828125,0.0,0.11197135597467422,0.98828125,0.0,-0.08470096439123154,2.4748663902282715,-1.2076122760772705,-0.08470096439123154,2.4748663902282715,-1.2076122760772705,3321.8203125,4096.0,182.0,0.703125,2443.5625,3669.0,171.0,3321.8203125,4096.0,182.0,0.703125,0.0,1192.25,5927.0,254.0,0.0,3,41,19.6796875,0.6875,0.3125,0.9375,5,0.8957709074020386,8.0,8,8,0.00013535469770431519,1.7855689246207476,41.382496662437916,26.62620886962395,0.0,0.0,0.0,41.382496662437916,0.0,293,4096,49.49338255263865,0.0001353491097688675,4.662266317754984,0.0035549793392419815,27.578597920015454,81.76899790391326,5.0518661737442017e-05,0.047730270318008194,6.152601569124978e-06,0.11640215749703935,577801,81.76899790391326,3533.1300053289992,
2,0.1182081401348114,0.0011550194703886518,-6.0979019281148794e-05,3.966296617363696e-06,2.3591695935465395e-05,0.4248046875,0.3498552772845954,189.9027738571167,193.8515625,132.7793846130371,5e-06,2,0,0.09132422506809235,0.995312511920929,0.0,0.09132422506809235,0.995312511920929,0.0,-0.058770716190338135,2.474864959716797,-1.6201815605163574,-0.058770716190338135,2.474864959716797,-1.6201815605163574,3353.7890625,4096.0,177.0,0.765625,2413.5078125,3584.0,166.0,3353.7890625,4096.0,177.0,0.765625,0.0,1381.4375,4435.0,256.0,0.0,3,41,19.171875,0.8125,0.1875,0.75,6,0.7305938005447388,8.0,8,8,5.644373595714569e-05,1.7456647399812937,41.662650652229786,26.75448203716951,0.0,0.0,0.0,41.662650652229786,0.0,302,4096,43.812925374135375,0.00010906346142292023,4.165991982445121,0.0030405446887016296,28.878004690632224,76.89040724746883,3.466382622718811e-05,0.04764490329401514,5.016498168978896e-06,0.1020602289251555,606109,76.89040724746883,3941.3824279097744,
3,0.11310451477766037,0.0009267509740311652,9.013431036919428e-05,2.534160557843279e-06,0.0046683317923452705,0.3583984375,0.35130289434077744,190.12859773635864,194.0859375,132.93097686767578,5e-06,3,0,0.08280627429485321,0.981632649898529,0.0,0.08280627429485321,0.981632649898529,0.0,-0.0654984563589096,2.4748637676239014,-1.2076120376586914,-0.0654984563589096,2.4748637676239014,-1.2076120376586914,3619.1015625,4096.0,340.0,0.8359375,2609.265625,3705.0,329.0,3619.1015625,4096.0,340.0,0.8359375,0.0,1456.4375,4741.0,209.0,0.0,3,41,20.734375,0.75,0.25,0.75,5,0.6624501943588257,8.0,8,8,6.662681698799133e-05,3.3418371733278036,42.24926273152232,29.134787256727577,0.0,0.0,0.0,42.24926273152232,0.0,269,4096,44.40000832825899,0.00010307133197784424,4.447132471948862,0.002992190420627594,31.013038393110037,79.8885154016316,3.5803765058517456e-05,0.04773667574273982,4.605715249808124e-06,0.095845628831955,649669,79.8885154016316,4066.0975907103384,
4,0.11243517696857452,0.002361806054977933,-0.0001371582642946123,6.502987957901496e-06,0.0014693904886371456,0.529296875,0.34356258625635017,190.12859773635864,194.0859375,133.1001853942871,5e-06,4,0,0.19616027176380157,0.989062488079071,0.0,0.19616027176380157,0.989062488079071,0.0,-0.07872450351715088,1.6201812028884888,-1.6201814413070679,-0.07872450351715088,1.6201812028884888,-1.6201814413070679,3096.5703125,4096.0,122.0,0.6171875,2361.3046875,3655.0,111.0,3096.5703125,4096.0,122.0,0.6171875,0.0,1138.8125,5166.0,216.0,0.0,3,41,17.9609375,0.625,0.375,1.75,8,1.569282054901123,8.0,8,8,3.301538527011871e-05,1.1643185764551163,40.44011835567653,24.653972124826396,0.0,0.0,0.0,40.44011835567653,0.0,263,4096,42.45378736406565,9.905360639095306e-05,3.738809382542968,0.0030033662915229797,26.065646342933178,72.29076865129173,3.569386899471283e-05,0.048080154986973905,5.5399476720909224e-06,0.10710889155104979,542129,72.29076865129173,3749.641967531583,
5,0.10666744410991669,0.000901853307368583,-3.308728491902002e-05,1.390867055306444e-06,0.0019088007684331387,0.39453125,0.35448877271995416,196.34381103515625,200.453125,133.07199478149414,5e-06,5,0,0.09049231559038162,0.993571400642395,0.0,0.09049231559038162,0.993571400642395,0.0,-0.053588807582855225,2.474865674972534,-1.2073806524276733,-0.053588807582855225,2.474865674972534,-1.2073806524276733,3615.515625,4096.0,234.0,0.7734375,2544.65625,3655.0,182.0,3615.515625,4096.0,234.0,0.7734375,0.0,1634.3125,4902.0,252.0,0.0,3,41,22.1484375,0.75,0.25,0.8125,5,0.7239385843276978,8.0,8,8,6.058439612388611e-05,1.9050088953226805,43.01134801656008,29.14371210767422,0.0,0.0,0.0,43.01134801656008,0.0,252,4096,45.58042472973466,9.443983435630798e-05,4.630733158439398,0.0030244961380958557,32.15703609958291,82.40205634571612,3.551878035068512e-05,0.04785429894964256,4.500885651160984e-06,0.098491364755491,671978,82.40205634571612,4077.4346527271737,
6,0.11061108857393265,0.0012653834419324994,-0.00012350196018928727,2.741649836934812e-06,-0.002958867757115513,0.654296875,0.347610661652912,196.34381103515625,200.453125,133.29541015625,5e-06,6,0,0.10263971239328384,0.995312511920929,0.0,0.10263971239328384,0.995312511920929,0.0,-0.07778876274824142,1.20761239528656,-0.9354125261306763,-0.07778876274824142,1.20761239528656,-0.9354125261306763,3097.28125,4096.0,245.0,0.625,2192.578125,3605.0,234.0,3097.28125,4096.0,245.0,0.625,0.0,1314.8125,4533.0,291.0,0.0,3,41,18.2734375,0.75,0.25,0.875,4,0.821117639541626,8.0,8,8,3.218837082386017e-05,2.3853795249015093,39.748098684474826,23.03961530646484,0.0,0.0,0.0,39.748098684474826,0.0,298,4096,42.33430032245815,9.593181312084198e-05,3.872443288564682,0.003022812306880951,26.773537252098322,73.0123625639826,3.3877789974212646e-05,0.04740793637533612,5.35249758632337e-06,0.10678291526454185,564748,73.0123625639826,3867.4820274792287,
7,0.1160193681716919,0.0011747751414077356,1.3517438560484152e-05,1.211897938446782e-06,-0.004406019463203847,0.419921875,0.34454198867411145,196.34381103515625,200.453125,133.42050552368164,5e-06,7,0,0.15094970166683197,0.9954081773757935,0.0,0.15094970166683197,0.9954081773757935,0.0,-0.020711489021778107,1.6231733560562134,-1.2076122760772705,-0.020711489021778107,1.6231733560562134,-1.2076122760772705,3585.890625,4096.0,130.0,0.7890625,2778.921875,3647.0,119.0,3585.890625,4096.0,130.0,0.7890625,0.0,702.5625,1997.0,220.0,0.0,3,41,18.8046875,0.75,0.25,1.25,8,1.2075974941253662,8.0,8,8,3.203563392162323e-05,1.2216405496001244,40.968039182946086,29.658418335646274,0.0,0.0,0.0,40.968039182946086,0.0,307,4096,43.121908547356725,0.00010024942457675934,3.7009192500263453,0.002987464889883995,25.426495227962732,72.28129011020064,3.4868717193603516e-05,0.04632078005247145,5.442421491366706e-06,0.09394874126319021,548922,72.28129011020064,3797.1237035414633,
8,0.11065010726451874,0.0008399752496188739,7.936229849292431e-06,1.2603347840922652e-06,0.0018619352631503716,0.3330078125,0.3549404880049871,196.34381103515625,200.453125,133.66168975830078,5e-06,8,0,0.08545494824647903,0.9750000238418579,-0.48750001192092896,0.08545494824647903,0.9750000238418579,-0.48750001192092896,-0.016140945255756378,2.4748666286468506,-2.4748594760894775,-0.016140945255756378,2.4748666286468506,-2.4748594760894775,3867.734375,4096.0,615.0,0.8828125,2768.984375,3724.0,374.0,3867.734375,4096.0,615.0,0.8828125,0.0,1488.6875,4133.0,218.0,0.0,5,41,22.9375,0.75,0.1875,0.75,8,0.6836395859718323,8.0,8,8,3.0079856514930725e-05,3.8087195213884115,43.36696105636656,31.965521082354826,0.0,0.0,0.0,43.36696105636656,0.0,220,4096,45.51883555203676,9.756721556186676e-05,4.6299684680998325,0.002988481894135475,32.26979754678905,82.44864387996495,3.578886389732361e-05,0.04706645578290815,4.358789382685321e-06,0.09194424132352347,685622,82.44864387996495,4157.8731179507395,
9,0.10731004178524017,0.0009266573360946495,0.00011451073892487784,2.5451637384321657e-06,0.0026754392456496134,0.3681640625,0.35092406154160055,196.34381103515625,200.453125,133.09050750732422,5e-06,9,0,0.06302490830421448,0.957812488079071,0.0,0.06302490830421448,0.957812488079071,0.0,-0.04698392003774643,2.4748644828796387,-0.9354125261306763,-0.04698392003774643,2.4748644828796387,-0.9354125261306763,3730.5625,4096.0,235.0,0.859375,2788.375,3683.0,224.0,3730.5625,4096.0,235.0,0.859375,0.0,1281.9375,3632.0,263.0,0.0,3,41,21.28125,0.75,0.25,0.5625,4,0.504199206829071,8.0,8,8,6.015971302986145e-05,2.26969132758677,43.14029678888619,31.264059254186577,0.0,0.0,0.0,43.14029678888619,0.0,295,4096,45.407682593911886,0.00010112300515174866,4.355255087837577,0.0030899494886398315,30.365334490314126,80.15667585283518,3.5157427191734314e-05,0.04732751635024022,4.816006060847618e-06,0.09509223348085888,641600,80.15667585283518,4002.161973245715,
10,0.10960107296705246,0.0016721706742828246,-9.586207482925602e-05,2.4887508516258094e-06,-0.003861193254124373,0.556640625,0.34417792089901944,196.34381103515625,200.453125,133.13421249389648,5e-06,10,0,0.2016548216342926,4.9375,0.0,0.2016548216342926,4.9375,0.0,-0.04901847243309021,2.4748661518096924,-1.6201717853546143,-0.04901847243309021,2.4748661518096924,-1.6201717853546143,3272.9453125,4096.0,122.0,0.7265625,2400.7734375,3720.0,111.0,3272.9453125,4096.0,122.0,0.7265625,0.0,1138.625,2812.0,220.0,0.0,3,41,19.5,0.6875,0.3125,1.25,8,1.6132384538650513,8.0,8,8,6.107240915298462e-05,1.1811347641050816,40.63089941628277,25.43978457484627,0.0,0.0,0.0,40.63089941628277,0.0,571,4096,43.01127927005291,0.00010690465569496155,3.865959817543626,0.0030040815472602844,26.870739549398422,73.77780196629465,3.495998680591583e-05,0.047585698030212495,5.319962150772355e-06,0.10266765473102855,564681,73.77780196629465,3826.903112795189,
