step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_update_actor,timing_per_token_ms_adv,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,0.27439355850219727,0.008145387590047903,0.010517357310163788,0.0,0.0854925146777532,4.15234375,0.29399877016257725,166.34705781936646,170.1953125,169.73194885253906,5e-06,1,0,0.6592366695404053,0.9937499761581421,0.0,0.6592366695404053,0.9937499761581421,0.0,-0.8399415612220764,1.64494788646698,-2.4748666286468506,-0.8399415612220764,1.64494788646698,-2.4748666286468506,1232.546875,4096.0,86.0,0.0546875,131.6875,2732.0,12.0,1232.546875,4096.0,86.0,0.0546875,0.0,268.125,559.0,174.0,0.0,4,42,20.296875,0.0,1.0,5.8125,8,5.273893356323242,8.0,8,8,0.00013261474668979645,0.17443185672163963,24.520899979397655,1.6487769645173103,0.0,0.0,0.0,24.520899979397655,0.0,380,4096,34.10025830194354,0.0001382790505886078,4.254418911412358,0.00368444062769413,9.715735586360097,48.105064099654555,3.774277865886688e-05,0.2161445324210764,0.050580133827348675,1.9181203355237392e-05,192086,48.105064099654555,1996.5257670385204,
2,0.12497276812791824,0.005597833762294613,0.00029405541135929525,0.0,0.021690671565011144,3.45703125,0.30410871893820696,166.34705781936646,170.1953125,170.1283073425293,5e-06,2,0,0.7617241144180298,0.9979591965675354,0.0,0.7617241144180298,0.9979591965675354,0.0,-0.28497540950775146,1.6201801300048828,-2.4748666286468506,-0.28497540950775146,1.6201801300048828,-2.4748666286468506,957.609375,4096.0,146.0,0.0078125,67.6875,521.0,13.0,957.609375,4096.0,146.0,0.0078125,0.0,276.75,445.0,178.0,0.0,4,42,16.3046875,0.0625,0.9375,6.4375,8,6.093792915344238,8.0,8,8,3.3775344491004944e-05,0.11741598509252071,4.909272912889719,0.8118398664373672,0.0,0.0,0.0,4.909272912889719,0.0,297,1294,8.538007276132703,0.00011921301484107971,1.178779961541295,0.0030487794429063797,7.51413107663393,17.260355038568377,3.732740879058838e-05,0.06965594070628929,0.04755839362924803,1.9296316680631272e-05,157998,17.260355038568377,4576.904694224204,
3,0.13290873169898987,0.00366889571887441,0.0001382382935730675,0.0,0.03908325842348859,3.921875,0.2882099367040656,166.34705781936646,170.1953125,170.35211944580078,5e-06,3,0,0.8209066987037659,0.9959183931350708,0.0,0.8209066987037659,0.9959183931350708,0.0,-0.3396974802017212,1.6252650022506714,-2.4748408794403076,-0.3396974802017212,1.6252650022506714,-2.4748408794403076,766.5859375,3862.0,69.0,0.0,62.3359375,290.0,12.0,766.5859375,3862.0,69.0,0.0,0.0,254.0,428.0,160.0,0.0,4,42,14.640625,0.0,1.0,6.9375,8,6.567254066467285,8.0,8,8,3.200024366378784e-05,0.10534779913723469,2.917712176218629,0.6880859755765414,0.0,0.0,0.0,2.917712176218629,0.0,160,1265,6.958974223583937,0.00010100565850734711,1.0262296665459871,0.0031145568937063217,6.489359576255083,14.503821860998869,3.864802420139313e-05,0.07092092805543998,0.04967550485134216,2.3841672551049274e-05,130635,14.503821860998869,4503.468163494227,
4,0.12715497612953186,0.0025187655410263687,-0.0007920972948340932,0.0,0.014601434930227697,1.7578125,0.2990731287924703,166.34705781936646,170.1953125,169.86130142211914,5e-06,4,0,0.7226438522338867,0.996874988079071,0.0,0.7226438522338867,0.996874988079071,0.0,-0.2503372132778168,2.4748663902282715,-2.474863290786743,-0.2503372132778168,2.4748663902282715,-2.474863290786743,932.5,3875.0,112.0,0.0,81.671875,870.0,12.0,932.5,3875.0,112.0,0.0,0.0,265.3125,482.0,174.0,0.0,4,42,17.078125,0.0,1.0,6.25,8,5.78115177154541,8.0,8,8,3.387965261936188e-05,0.11718043684959412,8.081242298707366,0.9262864624033682,0.0,0.0,0.0,8.081242298707366,0.0,284,2450,10.769158503040671,0.00010305456817150116,1.133210090920329,0.0030171405524015427,7.408391835168004,19.345553319901228,4.073046147823334e-05,0.09022418316890643,0.0483198006468041,1.9678714795209645e-05,153320,19.345553319901228,3962.667737248851,
5,0.14603495597839355,0.000761679228162393,-0.00046161235968611436,0.0,0.026414331048727036,2.328125,0.30105863688043816,166.34705781936646,170.1953125,169.99256134033203,5e-06,5,0,0.6965755224227905,0.9938775300979614,0.0,0.6965755224227905,0.9938775300979614,0.0,-0.4679812788963318,2.4748661518096924,-2.4748666286468506,-0.4679812788963318,2.4748661518096924,-2.4748666286468506,962.953125,3400.0,116.0,0.0,92.390625,930.0,12.0,962.953125,3400.0,116.0,0.0,0.0,275.125,442.0,178.0,0.0,4,42,17.953125,0.0,1.0,5.9375,8,5.572604179382324,8.0,8,8,5.0049275159835815e-05,0.11610477045178413,8.491180209442973,1.0062678838003194,0.0,0.0,0.0,8.491180209442973,0.0,342,3110,11.12910334020853,0.00010124966502189636,1.179162299260497,0.0030436888337135315,7.595280263572931,19.93233390711248,3.7882477045059204e-05,0.09029112382326933,0.047927611239527816,1.920623467391201e-05,158474,19.93233390711248,3975.299649767846,
6,0.09140361845493317,0.0010535158762650099,-0.00037662947579519823,0.0,0.014888515346683562,2.6015625,0.3042406349317175,166.34705781936646,170.1953125,170.5143928527832,5e-06,6,0,0.6990295052528381,0.9959183931350708,0.0,0.6990295052528381,0.9959183931350708,0.0,-0.28435400128364563,2.4748661518096924,-2.473780870437622,-0.28435400128364563,2.4748661518096924,-2.473780870437622,1059.40625,4096.0,86.0,0.0078125,88.078125,674.0,12.0,1059.40625,4096.0,86.0,0.0078125,0.0,264.1875,477.0,174.0,0.0,4,42,18.2109375,0.0625,0.9375,6.0,8,5.592236518859863,8.0,8,8,3.047846257686615e-05,0.11300413869321346,6.646802676841617,1.0066054488997906,0.0,0.0,0.0,6.646802676841617,0.0,477,4096,9.908672412857413,0.00010231882333755493,1.2586288712918758,0.002991408109664917,8.273304969072342,19.470204202458262,5.175173282623291e-05,0.07307064992815414,0.04883310688863382,1.7656758999320725e-05,169420,19.470204202458262,4350.750465642508,
7,0.09877827018499374,0.001137598152126884,-0.0001119058761105407,0.0,0.03406935869134031,2.84375,0.30553003063678047,166.34705781936646,170.1953125,170.3442268371582,5e-06,7,0,0.683718740940094,0.996874988079071,0.0,0.683718740940094,0.996874988079071,0.0,-0.42892032861709595,1.2787069082260132,-2.474684238433838,-0.42892032861709595,1.2787069082260132,-2.474684238433838,984.3984375,4096.0,115.0,0.0078125,84.421875,947.0,12.0,984.3984375,4096.0,115.0,0.0078125,0.0,276.125,510.0,160.0,0.0,4,42,18.890625,0.125,0.875,5.8125,8,5.469749450683594,8.0,8,8,3.666616976261139e-05,0.10876107215881348,8.42710980027914,0.9158580123475986,0.0,0.0,0.0,8.42710980027914,0.0,510,4096,12.403975740075111,9.715370833873749e-05,1.2065815012902021,0.003061950206756592,7.678566941991448,21.327989995479584,3.999657928943634e-05,0.09844190805040444,0.047590391776676656,1.897742261558375e-05,161347,21.327989995479584,3782.5177157856206,
8,0.12072192877531052,0.0014803508965997025,-0.0007512143561143603,0.0,0.0444021166767925,2.90625,0.2946992674833752,166.34705781936646,170.1953125,170.30755996704102,5e-06,8,0,0.8046391010284424,0.9918367266654968,0.0,0.8046391010284424,0.9918367266654968,0.0,-0.5891502499580383,1.2306019067764282,-2.4748663902282715,-0.5891502499580383,1.2306019067764282,-2.4748663902282715,812.6796875,4081.0,69.0,0.0,73.40625,943.0,12.0,812.6796875,4081.0,69.0,0.0,0.0,292.75,472.0,177.0,0.0,4,42,14.28125,0.0,1.0,6.875,8,6.437112808227539,8.0,8,8,3.3549964427948e-05,0.1082032062113285,8.054972141981125,0.7494053157279268,0.0,0.0,0.0,8.054972141981125,0.0,413,4081,12.594991462305188,0.00010371766984462738,1.0976126790046692,0.0037367474287748337,6.908476423472166,20.633187521249056,4.5105814933776855e-05,0.12107891007089959,0.048824880196983396,2.6409042218981828e-05,141495,20.633187521249056,3428.8206767442402,
9,0.09730549901723862,0.002006965449254494,-0.00011490375163702993,0.0,0.01968971424503252,6.828125,0.3042244308435628,166.34705781936646,170.1953125,170.27904510498047,5e-06,9,0,0.6807646751403809,0.9921875,0.0,0.6807646751403809,0.9921875,0.0,-0.21522890031337738,2.4748663902282715,-1.527504801750183,-0.21522890031337738,2.4748663902282715,-1.527504801750183,1058.6640625,4096.0,116.0,0.0078125,81.59375,1057.0,12.0,1058.6640625,4096.0,116.0,0.0078125,0.0,259.8125,396.0,174.0,0.0,4,42,17.1015625,0.0,1.0,6.0,8,5.446117877960205,8.0,8,8,4.9775466322898865e-05,0.11788604781031609,9.206915957853198,0.8531649399810703,0.0,0.0,0.0,9.206915957853198,0.0,298,3679,13.608949296176434,9.162724018096924e-05,1.2808553278446198,0.0032098405063152313,8.21633861027658,23.13771278038621,4.108995199203491e-05,0.10042837963660298,0.04868508642358652,1.9019586444554446e-05,168765,23.13771278038621,3646.968081976144,
10,0.07986070960760117,0.0004855571751249954,1.9034655451832805e-05,0.0,0.032094121241243556,2.8515625,0.29046913537906893,166.34705781936646,170.1953125,170.75088500976562,5e-06,10,0,0.8258669376373291,0.9921875,0.0,0.8258669376373291,0.9921875,0.0,-0.30136236548423767,1.6546753644943237,-2.4747486114501953,-0.30136236548423767,1.6546753644943237,-2.4747486114501953,773.90625,3293.0,69.0,0.0,56.1953125,223.0,12.0,773.90625,3293.0,69.0,0.0,0.0,268.5,434.0,178.0,0.0,4,42,13.421875,0.0,1.0,7.125,8,6.606935501098633,8.0,8,8,2.8578564524650574e-05,0.11547676473855972,2.3013655357062817,0.6069449998467462,0.0,0.0,0.0,2.3013655357062817,0.0,250,2428,5.871277302503586,0.00010924413800239563,1.0571025386452675,0.0030228085815906525,6.597492827102542,13.554227760061622,3.551319241523743e-05,0.05926991018073476,0.04944608947973845,2.2654979326608e-05,133428,13.554227760061622,4922.006711188443,
