step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_adv,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,0.21899528801441193,0.0076057627447880805,0.0025964594824472442,7.02326087775873e-06,0.05064361821496277,1.353515625,0.31270984131643836,168.38508558273315,172.716796875,166.3118133544922,5e-06,1,0,0.3559266924858093,0.993571400642395,0.0,0.3559266924858093,0.993571400642395,0.0,-0.3426169753074646,2.4748663902282715,-2.3690438270568848,-0.3426169753074646,2.4748663902282715,-2.3690438270568848,2121.5625,4096.0,334.0,0.1015625,325.6875,3529.0,51.0,2121.5625,4096.0,334.0,0.1015625,0.0,130.0,130.0,130.0,0.0,5,41,31.171875,0.125,0.875,3.375,8,2.8474135398864746,8.0,8,8,0.00013154186308383942,0.8376484960317612,34.36276853457093,4.011159050758579,0.0,0.0,0.0,34.36276853457093,0.0,130,4096,44.116579718887806,0.00014311634004116058,4.19447654299438,0.003550628200173378,13.933258147910237,62.2843609508127,3.707036375999451e-05,0.16245610442954708,1.2320014573814636e-05,0.04834579510031311,288200,62.2843609508127,2313.5823792717224,
2,0.145913228392601,0.003216343800886534,0.0002103189754052437,0.0,0.02376058913068846,1.064453125,0.3200045287391401,168.38508558273315,172.716796875,166.98811721801758,5e-06,2,0,0.46763384342193604,0.9979591965675354,0.0,0.46763384342193604,0.9979591965675354,0.0,-0.2051994800567627,2.4748663902282715,-2.4746086597442627,-0.2051994800567627,2.4748663902282715,-2.4746086597442627,2129.4453125,4096.0,378.0,0.0625,161.4765625,260.0,47.0,2129.4453125,4096.0,378.0,0.0625,0.0,130.0,130.0,130.0,0.0,7,41,29.6015625,0.0625,0.9375,4.0625,8,3.7410707473754883,8.0,8,8,5.7285651564598083e-05,0.5827752482146025,3.2183250933885574,2.080762769866851,0.0,0.0,0.0,3.2183250933885574,0.0,130,2904,9.06875503435731,0.00010183639824390411,2.029621882364154,0.0030355416238307953,13.593048116192222,24.718616612255573,3.6850571632385254e-05,0.0332714103010882,1.0496013691934882e-05,0.0470007783858463,289209,24.718616612255573,5850.023982665139,
3,0.1582944244146347,0.0022347859339788556,0.0003262964692112291,0.0,0.04032013705000281,1.23828125,0.3130623171114938,168.38508558273315,172.716796875,167.28741836547852,5e-06,3,0,0.5671567916870117,0.995312511920929,0.0,0.5671567916870117,0.995312511920929,0.0,-0.319715291261673,1.7666471004486084,-2.4748005867004395,-0.319715291261673,1.7666471004486084,-2.4748005867004395,1740.4921875,4096.0,412.0,0.0390625,173.046875,1580.0,61.0,1740.4921875,4096.0,412.0,0.0390625,0.0,130.0,130.0,130.0,0.0,11,41,28.5234375,0.0,1.0,4.875,8,4.537254333496094,8.0,8,8,3.235042095184326e-05,0.6975693218410015,15.428728388622403,2.010335224636947,0.0,0.0,0.0,15.428728388622403,0.0,130,4096,18.35552717745304,9.514391422271729e-05,1.7124851010739803,0.003047201782464981,11.372427036985755,31.470572298392653,3.629550337791443e-05,0.08239195619707536,1.2727272578093923e-05,0.0474993089092767,239423,31.470572298392653,3803.918748758001,
4,0.1420869380235672,0.0013894236835767515,0.00023686880558670964,0.0,0.02442169762798585,0.8828125,0.31651540418846313,168.38508558273315,172.716796875,167.13143920898438,5e-06,4,0,0.45793455839157104,0.9937499761581421,0.0,0.45793455839157104,0.9937499761581421,0.0,-0.17276646196842194,2.4748666286468506,-2.474414587020874,-0.17276646196842194,2.4748666286468506,-2.474414587020874,1960.5234375,4096.0,358.0,0.0078125,172.65625,315.0,43.0,1960.5234375,4096.0,358.0,0.0078125,0.0,130.0,130.0,130.0,0.0,7,41,30.6484375,0.125,0.875,4.3125,8,3.6634764671325684,8.0,8,8,5.1530078053474426e-05,0.5467575043439865,3.577689154073596,2.108584264453384,0.0,0.0,0.0,3.577689154073596,0.0,130,2820,7.6537300776690245,9.535998106002808e-05,1.8427907712757587,0.0030117761343717575,12.56549165584147,22.089518623426557,3.779865801334381e-05,0.030499388626558693,1.1255315595943591e-05,0.04695852808933719,267587,22.089518623426557,6056.877122623588,
5,0.1393895447254181,0.0018567887018434703,-2.9275524866534397e-05,0.0,0.022166029317304492,0.947265625,0.3193067093280324,168.38508558273315,172.716796875,166.93029403686523,5e-06,5,0,0.4761582016944885,0.9877551198005676,0.0,0.4761582016944885,0.9877551198005676,0.0,-0.1832563877105713,1.5276107788085938,-2.3684399127960205,-0.1832563877105713,1.5276107788085938,-2.3684399127960205,1943.1875,4096.0,282.0,0.0234375,169.5546875,260.0,41.0,1943.1875,4096.0,282.0,0.0234375,0.0,130.0,130.0,130.0,0.0,7,41,30.0859375,0.1875,0.8125,4.3125,8,3.809265375137329,8.0,8,8,3.26354056596756e-05,0.4545373506844044,3.288808235898614,2.1349347685754765,0.0,0.0,0.0,3.288808235898614,0.0,130,2799,8.318629302084446,9.686313569545746e-05,1.8506361171603203,0.0029977988451719284,12.425629014149308,22.625121664255857,3.617629408836365e-05,0.03344468375930513,1.1296760894953154e-05,0.046824142376433134,265368,22.625121664255857,5864.454652176298,
6,0.13796578347682953,0.0011647723149508238,6.327941082417965e-05,0.0,0.00408628597506322,1.033203125,0.315629937775202,168.38508558273315,172.716796875,167.53670501708984,5e-06,6,0,0.4720267653465271,0.9959183931350708,0.0,0.4720267653465271,0.9959183931350708,0.0,-0.11792732775211334,2.4748661518096924,-2.396160125732422,-0.11792732775211334,2.4748661518096924,-2.396160125732422,1958.1953125,4096.0,259.0,0.03125,178.546875,327.0,46.0,1958.1953125,4096.0,259.0,0.03125,0.0,130.0,130.0,130.0,0.0,7,41,30.28125,0.1875,0.8125,4.3125,8,3.7762138843536377,8.0,8,8,3.052130341529846e-05,0.4917328394949436,3.598093094304204,2.0913871321972692,0.0,0.0,0.0,3.598093094304204,0.0,130,2002,8.439924312755466,9.729340672492981e-05,1.887296611443162,0.0030243583023548126,12.624956266954541,22.981023034080863,5.305744707584381e-05,0.03367228400175331,1.1314937398676386e-05,0.04723335515847843,267289,22.981023034080863,5815.428660499803,
7,0.1274285614490509,0.0015760980677441694,0.00011136274588352535,0.0,0.027766825711296406,0.935546875,0.3156049602966856,168.38508558273315,172.716796875,167.63349533081055,5e-06,7,0,0.5727030634880066,0.996874988079071,0.0,0.5727030634880066,0.996874988079071,0.0,-0.19712942838668823,1.6604620218276978,-2.4739434719085693,-0.19712942838668823,1.6604620218276978,-2.4739434719085693,1695.65625,4014.0,371.0,0.0,163.859375,269.0,48.0,1695.65625,4014.0,371.0,0.0,0.0,130.0,130.0,130.0,0.0,7,41,28.046875,0.1875,0.8125,5.0,8,4.581624507904053,8.0,8,8,5.748867988586426e-05,0.5611867420375347,3.0968544986099005,1.9069598985515768,0.0,0.0,0.0,3.0968544986099005,0.0,130,2199,7.7208317294716835,9.286031126976013e-05,1.6546189207583666,0.0030031315982341766,10.92732577957213,20.329432232305408,3.783591091632843e-05,0.035572656832124745,1.2851250398975439e-05,0.04676112091359327,233684,20.329432232305408,5747.430556094278,
8,0.1341065764427185,0.0009515479250694625,2.44135987941263e-05,0.0,0.015446286939550191,0.90625,0.3141394952510822,168.38508558273315,172.716796875,167.0832176208496,5e-06,8,0,0.602806031703949,1.4812500476837158,0.0,0.602806031703949,1.4812500476837158,0.0,-0.13702569901943207,2.4748666286468506,-2.4733238220214844,-0.13702569901943207,2.4748666286468506,-2.4733238220214844,1754.9296875,4096.0,170.0,0.0078125,162.484375,362.0,33.0,1754.9296875,4096.0,170.0,0.0078125,0.0,130.0,130.0,130.0,0.0,5,41,26.6640625,0.0625,0.9375,5.25,8,4.822447776794434,8.0,8,8,4.7292560338974e-05,0.3224730435758829,3.684485211968422,1.844330016465392,0.0,0.0,0.0,3.684485211968422,0.0,130,3338,8.701052751392126,0.0008625611662864685,1.6996205803006887,0.00305204838514328,11.362856714054942,21.800846757367253,3.819167613983154e-05,0.03873487074977241,1.264987663309424e-05,0.047095824670411866,241271,21.800846757367253,5533.523598537893,
9,0.13157692551612854,0.0022304285084828734,0.00013827041311742505,0.0,0.020485658198595047,1.5703125,0.3085071566289235,168.38508558273315,172.716796875,167.21023178100586,5e-06,9,0,0.5998201370239258,1.524999976158142,0.0,0.5998201370239258,1.524999976158142,0.0,-0.21865205466747284,2.4748663902282715,-2.4635493755340576,-0.21865205466747284,2.4748663902282715,-2.4635493755340576,1507.609375,4033.0,254.0,0.0,147.7578125,273.0,41.0,1507.609375,4033.0,254.0,0.0,0.0,130.0,130.0,130.0,0.0,7,41,24.671875,0.0625,0.9375,5.5,8,4.798561096191406,8.0,8,8,5.068071186542511e-05,0.47827672213315964,3.072086514905095,1.6508331378863659,0.0,0.0,0.0,3.072086514905095,0.0,130,2467,7.680112479254603,9.750388562679291e-05,1.5266478918492794,0.0030349474400281906,10.00525438413024,19.238914769142866,3.6014243960380554e-05,0.039798690389661835,1.4478743977158924e-05,0.04773180409767592,209614,19.238914769142866,5447.656547036586,
10,0.1262199729681015,0.00041977794899139553,0.00013311972588780918,0.0,0.028796780679840595,0.939453125,0.31291363974370595,168.38508558273315,172.716796875,167.34576416015625,5e-06,10,0,0.618569016456604,0.9859374761581421,0.0,0.618569016456604,0.9859374761581421,0.0,-0.20017777383327484,1.6608166694641113,-2.471510648727417,-0.20017777383327484,1.6608166694641113,-2.471510648727417,1689.9609375,4012.0,242.0,0.0,159.6015625,293.0,46.0,1689.9609375,4012.0,242.0,0.0,0.0,130.0,130.0,130.0,0.0,7,41,26.515625,0.0625,0.9375,5.75,8,4.948551654815674,8.0,8,8,3.417395055294037e-05,0.5071693081408739,3.255189597606659,1.86084040509013,0.0,0.0,0.0,3.255189597606659,0.0,130,2404,7.120586117729545,9.948387742042542e-05,1.6586374379694462,0.003044804558157921,11.004999723285437,19.81215289235115,4.233419895172119e-05,0.03291767153331736,1.3070355039204657e-05,0.04724088224457701,232955,19.81215289235115,5879.0935358149945,
