step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,rollout_corr_training_ppl,rollout_corr_training_log_ppl,rollout_corr_kl,rollout_corr_k3_kl,rollout_corr_rollout_ppl,rollout_corr_rollout_log_ppl,rollout_corr_log_ppl_diff,rollout_corr_log_ppl_abs_diff,rollout_corr_log_ppl_diff_max,rollout_corr_log_ppl_diff_min,rollout_corr_ppl_ratio,rollout_corr_chi2_token,rollout_corr_chi2_seq,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob_entropy,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_update_actor,timing_per_token_ms_adv,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,0.20749087259173393,0.015768477373057976,0.021620750474539818,8.296052692458034e-05,1.1787952557206154,0.15302416682243347,0.021620750474539818,0.020548498947391636,1.1389401704072952,0.11989924497902393,0.03312491844553733,0.0400021614623256,0.36123016476631165,-0.1276496946811676,1.0366554260253906,0.0418061725795269,53.080233566462994,0.04561867972370237,8.625,0.21976882083820348,179.66792964935303,185.08984375,131.34209442138672,5e-06,1,0,0.7557058930397034,0.9937499761581421,0.0,0.7557058930397034,0.9937499761581421,0.0,-0.5913694500923157,1.5218513011932373,-2.4692249298095703,-0.5913694500923157,1.5218513011932373,-2.4692249298095703,1113.328125,4096.0,86.0,0.03125,130.2109375,3592.0,12.0,1113.328125,4096.0,86.0,0.03125,0.0,268.125,559.0,174.0,0.0,4,42,17.7734375,0.0,1.0,6.6875,8,6.045646667480469,8.0,8,8,0.0001238808035850525,0.22454342804849148,31.826555393636227,1.6820642403617967,0.0,0.0,0.0,31.826555393636227,0.0,328,4096,40.72021682932973,0.00014853477478027344,4.401855414733291,0.0036326684057712555,11.768778147175908,56.95034708455205,3.633834421634674e-05,0.2857438762531383,0.06655569965489186,2.0543745861871305e-05,176826,56.95034708455205,1552.4576148541557,
2,0.11249872867483646,0.004819063462491613,0.0005459564263219363,0.0,1.0668451637029648,0.05811642808839679,0.0005459564263219363,0.0014943470822572635,1.0659920275211334,0.05759835476055741,0.0005180714179005008,0.00549598662473727,0.10956514626741409,-0.045598529279232025,1.0006260238587856,0.003897331655025482,0.11243655532598495,0.06983825820498168,3.2265625,0.285094981906443,179.66792964935303,185.08984375,131.62853622436523,5e-06,2,0,0.7945727109909058,0.9979591965675354,0.0,0.7945727109909058,0.9979591965675354,0.0,-0.6593539714813232,2.474865436553955,-2.4748666286468506,-0.6593539714813232,2.474865436553955,-2.4748666286468506,730.8125,4096.0,146.0,0.0078125,74.015625,1374.0,13.0,730.8125,4096.0,146.0,0.0078125,0.0,276.75,445.0,178.0,0.0,4,42,12.7421875,0.0,1.0,6.6875,8,6.356582164764404,8.0,8,8,5.437247455120087e-05,0.16280566900968552,12.750584414228797,0.8389022807095898,0.0,0.0,0.0,12.750584414228797,0.0,216,4096,15.021780509501696,0.00013230741024017334,1.324945928528905,0.0031778085976839066,6.591216975823045,22.96812861226499,3.973953425884247e-05,0.16058518461367588,0.05110738303938221,2.4640287495222898e-05,128968,22.96812861226499,2807.542620845719,
3,0.07851822697557509,0.0026224518078379333,0.001770548626211621,0.0,1.072463370859623,0.06770946574397385,0.001770548626211621,0.0011972391193921794,1.0708456486463547,0.06635539955459535,0.001354066725980374,0.00388753495644778,0.1086665540933609,-0.01093735545873642,1.0013918653130531,0.00023201853036880493,0.08683483302593231,0.06185626011574641,8.96875,0.27366130369175035,179.66792964935303,185.08984375,131.81912231445312,5e-06,3,0,0.8198315501213074,0.9959183931350708,0.0,0.8198315501213074,0.9959183931350708,0.0,-0.5230657458305359,1.2196661233901978,-2.4748668670654297,-0.5230657458305359,1.2196661233901978,-2.4748668670654297,690.890625,3154.0,69.0,0.0,55.21875,278.0,12.0,690.890625,3154.0,69.0,0.0,0.0,254.0,428.0,160.0,0.0,4,42,13.75,0.0,1.0,6.875,8,6.558652877807617,8.0,8,8,3.1620264053344727e-05,0.14130570366978645,2.9962487909942865,0.6958630968292709,0.0,0.0,0.0,2.9962487909942865,0.0,324,3154,5.1474954802542925,0.0001045074313879013,1.27381282299757,0.0030415914952754974,6.372844396159053,12.823233656585217,4.6133995056152344e-05,0.058207199496283016,0.052691650787616395,2.5148343023130137e-05,120946,12.823233656585217,4715.893168564766,
4,0.04599616094492376,0.0020933589185005985,-0.00021310294096110738,0.0,1.0394897907972336,0.037557478179223835,-0.00021310294096110738,0.0004756269588597206,1.0392113626003265,0.03734259062912315,0.000214887666516006,0.002198787191446172,0.01881912350654602,-0.02958594262599945,1.0002243742346764,0.002601172775030136,-0.01199716329574585,0.015536982333287597,2.2734375,0.290152000216912,179.66792964935303,185.08984375,131.72643661499023,5e-06,4,0,0.690520703792572,0.996874988079071,0.0,0.690520703792572,0.996874988079071,0.0,-0.28209906816482544,2.4748661518096924,-2.4748663902282715,-0.28209906816482544,2.4748661518096924,-2.4748663902282715,882.015625,3804.0,112.0,0.0,70.453125,237.0,12.0,882.015625,3804.0,112.0,0.0,0.0,265.3125,482.0,174.0,0.0,4,42,16.90625,0.0,1.0,5.9375,8,5.524165630340576,8.0,8,8,3.07764858007431e-05,0.14655309729278088,2.7812222503125668,0.890794179023942,0.0,0.0,0.0,2.7812222503125668,0.0,482,3417,4.821060132235289,9.527988731861115e-05,1.4127838183194399,0.003078322857618332,7.3924141600728035,13.661600651219487,3.684870898723602e-05,0.04270279484344531,0.05033715670969783,2.0961220073937628e-05,146858,13.661600651219487,5374.846028268689,
5,0.04718685243278742,0.0029808821782353334,0.0006842355796834454,0.0,1.0453510954976082,0.04305050295079127,0.0006842355796834454,0.00040330943556909915,1.0446775406599045,0.04244924010708928,0.0006012619869579794,0.0018454624732839875,0.025535210967063904,-0.01235729455947876,1.0006083138287067,0.00023366138339042664,0.009113188832998276,-0.012763939332216978,2.671875,0.29561781431019224,179.66792964935303,185.08984375,131.88309860229492,5e-06,5,0,0.6324248313903809,1.326562523841858,0.0,0.6324248313903809,1.326562523841858,0.0,-0.26834872364997864,2.4748666286468506,-2.474781036376953,-0.26834872364997864,2.4748666286468506,-2.474781036376953,1053.5,3764.0,116.0,0.0,83.546875,244.0,12.0,1053.5,3764.0,116.0,0.0,0.0,275.125,442.0,178.0,0.0,4,42,20.375,0.0,1.0,5.3125,8,5.059398651123047,8.0,8,8,3.129616379737854e-05,0.12933782674372196,2.76214518584311,1.0322885677305749,0.0,0.0,0.0,2.76214518584311,0.0,260,2677,5.249657344073057,0.00010158494114875793,1.5809030197560787,0.003030005842447281,8.480239860713482,15.339176896959543,3.814511001110077e-05,0.03893018319940272,0.04986499118398651,1.781685625674617e-05,170064,15.339176896959543,5543.45259665495,
6,0.04842358233872801,0.0022561334480997175,0.0006349512959786807,0.0,1.0441801249980927,0.041720694629475474,0.0006349512959786807,0.0005189653888919565,1.043804794549942,0.04138927118037827,0.0003314238929306157,0.0019596557576733176,0.02349036931991577,-0.02309492975473404,1.000338353216648,0.000727679580450058,0.054578207433223724,0.00712124421261251,1.359375,0.29198057542452427,179.66792964935303,185.08984375,131.99486541748047,5e-06,6,0,0.7010287046432495,0.9959183931350708,0.0,0.7010287046432495,0.9959183931350708,0.0,-0.05851656198501587,2.4748661518096924,-2.165801525115967,-0.05851656198501587,2.4748661518096924,-2.165801525115967,901.3984375,2903.0,86.0,0.0,75.859375,245.0,12.0,901.3984375,2903.0,86.0,0.0,0.0,264.1875,477.0,174.0,0.0,4,42,17.46875,0.0625,0.9375,6.0,8,5.608229637145996,8.0,8,8,3.109686076641083e-05,0.14271714352071285,2.7100307047367096,0.951346775967977,0.0,0.0,0.0,2.7100307047367096,0.0,265,2543,5.172737006098032,8.93808901309967e-05,1.4224187266081572,0.0030137617141008377,7.482173457741737,14.105948941782117,3.6640092730522156e-05,0.04483256923788585,0.05015029630846702,2.0200152244383776e-05,149195,14.105948941782117,5288.371615966979,
7,0.0509494966827333,0.0009202105611620937,0.00031733026366964623,0.0,1.045400582253933,0.043176131788641214,0.00031733026366964623,0.00021406842694204897,1.0454692989587784,0.04325821215752512,-8.208045619539917e-05,0.0017811560501286294,0.009357891976833344,-0.013737082481384277,0.9999221339821815,0.00021688267588615417,0.0293755941092968,0.02270956980646588,1.34375,0.2886636584784197,179.66792964935303,185.08984375,131.8900375366211,5e-06,7,0,0.747105598449707,0.996874988079071,0.0,0.747105598449707,0.996874988079071,0.0,-0.20955094695091248,1.0009326934814453,-2.3878438472747803,-0.20955094695091248,1.0009326934814453,-2.3878438472747803,779.6171875,3101.0,115.0,0.0,67.859375,283.0,12.0,779.6171875,3101.0,115.0,0.0,0.0,276.125,510.0,160.0,0.0,4,42,16.390625,0.125,0.875,6.375,8,5.97684383392334,8.0,8,8,4.781410098075867e-05,0.12936413288116455,3.00702759437263,0.7843485953490017,0.0,0.0,0.0,3.00702759437263,0.0,216,2994,5.295290431007743,9.800121188163757e-05,1.3367546144872904,0.0030436143279075623,6.775891279801726,13.445331562310457,3.841705620288849e-05,0.053063807668103764,0.05014164561217839,2.252276854928451e-05,135135,13.445331562310457,5025.350225605678,
8,0.0546360471053049,0.0017206035226990934,-0.00012162290931883035,0.0,1.0394541025161743,0.03742552921175957,-0.00012162290931883035,0.0002628917756624105,1.0394971072673798,0.037508448818698525,-8.292027541756397e-05,0.0016808533109724522,0.02745676040649414,-0.01165442168712616,0.9999215640127659,0.0012651681900024414,0.08707964792847633,0.03553653974086046,2.75,0.2883239238629605,179.66792964935303,185.08984375,131.95850372314453,5e-06,8,0,0.7607055306434631,0.9918367266654968,0.0,0.7607055306434631,0.9918367266654968,0.0,-0.44710028171539307,2.4748666286468506,-2.4748666286468506,-0.44710028171539307,2.4748666286468506,-2.4748666286468506,794.046875,3323.0,69.0,0.0,63.3203125,294.0,12.0,794.046875,3323.0,69.0,0.0,0.0,292.75,472.0,177.0,0.0,4,42,14.4375,0.0,1.0,6.5,8,6.085643291473389,8.0,8,8,4.8765912652015686e-05,0.11307895928621292,2.9026413038372993,0.70122989579977,0.0,0.0,0.0,2.9026413038372993,0.0,413,2167,5.4742088355124,9.51867550611496e-05,1.375232856720686,0.0030884668231010437,7.012018300592899,13.889434847980738,3.745034337043762e-05,0.053859863786304335,0.05040628495861476,2.2201616153411285e-05,139110,13.889434847980738,5007.763149564864,
9,0.05463805410545319,0.004309360130719142,0.001129664948507525,0.0,1.0423208847641945,0.040364972897805274,0.001129664948507525,0.0009449743092773133,1.0407891124486923,0.039028806844726205,0.0013361660712689627,0.004454283858649433,0.0791703462600708,-0.04857531562447548,1.0014193877577782,0.00136503204703331,0.018032487481832504,0.01496331364614889,4.1640625,0.29478864678819217,179.66792964935303,185.08984375,131.8058738708496,5e-06,9,0,0.7391628623008728,0.9959183931350708,0.0,0.7391628623008728,0.9959183931350708,0.0,-0.17236003279685974,2.4748663902282715,-2.4742984771728516,-0.17236003279685974,2.4748663902282715,-2.4742984771728516,927.9921875,4062.0,116.0,0.0,66.015625,250.0,12.0,927.9921875,4062.0,116.0,0.0,0.0,259.8125,396.0,174.0,0.0,4,42,15.0,0.0625,0.9375,6.5,8,5.913303375244141,8.0,8,8,4.949234426021576e-05,0.13325431942939758,2.74789378978312,0.7916429204051383,0.0,0.0,0.0,2.74789378978312,0.0,298,1902,5.115025956183672,0.00011005997657775879,1.4362601265311241,0.0030499640852212906,7.663921844214201,14.25320647098124,3.6947429180145264e-05,0.043061936103513734,0.05040760491856827,2.006040611436073e-05,152039,14.25320647098124,5333.501633809319,
10,0.05508860445115715,0.0011220982669328805,0.0005522954497791943,0.0,1.0483820289373398,0.04474942822707817,0.0005522954497791943,0.0002766635135458273,1.0477534532546997,0.04418868548236787,0.0005607412840618053,0.0021380904927355004,0.023930862545967102,-0.012539699673652649,1.0005681216716766,5.960464477539062e-07,0.06293976679444313,0.030411086307140067,2.3828125,0.29138366241374053,179.66792964935303,185.08984375,131.95897674560547,5e-06,10,0,0.8080812096595764,0.9859374761581421,0.0,0.8080812096595764,0.9859374761581421,0.0,-0.27158185839653015,1.7553586959838867,-2.474865436553955,-0.27158185839653015,1.7553586959838867,-2.474865436553955,843.9296875,3562.0,69.0,0.0,62.25,221.0,12.0,843.9296875,3562.0,69.0,0.0,0.0,268.5,434.0,178.0,0.0,4,42,14.265625,0.0625,0.9375,7.0,8,6.464649200439453,8.0,8,8,5.168840289115906e-05,0.1407899484038353,2.4825484789907932,0.7310399662092095,0.0,0.0,0.0,2.4825484789907932,0.0,250,2404,4.898419514298439,0.00010558217763900757,1.3807946015149355,0.0030772872269153595,7.157011371105909,13.46581518650055,4.061870276927948e-05,0.04534607920811715,0.050263088054061766,2.1611529007559184e-05,142391,13.46581518650055,5287.128852872816,
