step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_update_actor,timing_per_token_ms_adv,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,0.2625490128993988,0.0013417082373052835,0.0002455964147429768,0.0,0.0244173314422369,0.2890625,0.2585573323175767,196.36933183670044,201.67578125,138.19406127929688,5e-06,1,0,0.9140625,1.0,0.0,0.9140625,1.0,0.0,-0.15354739129543304,1.6201815605163574,-2.4748666286468506,-0.15354739129543304,1.6201815605163574,-2.4748666286468506,1750.890625,8192.0,274.0,0.0078125,1750.890625,8192.0,274.0,0.0078125,0.0,974.6875,1132.0,788.0,0.0,6,62,19.7265625,0.0,1.0,7.3125,8,7.3125,8.0,8,8,0.00013919919729232788,3.0305139739066362,73.43412736430764,18.160762137340498,0.0,0.0,0.0,73.43412736430764,0.0,1132,8192,81.84512459300458,0.00015009939670562744,4.849169068038464,0.0043930672109127045,21.158651012927294,107.89082870259881,3.596395254135132e-05,0.36519416276093675,0.06064840318546895,1.2592131287836596e-05,348874,107.89082870259881,1616.7917338074749,,,,,,,
2,0.21174503862857819,0.00043803162407130003,6.569776894593815e-05,0.0,0.004007253097370267,0.21435546875,0.3232636002640066,196.36933183670044,201.67578125,139.01353073120117,5e-06,2,0,0.984375,1.0,0.0,0.984375,1.0,0.0,-0.018407830968499184,0.5400605201721191,-1.6201815605163574,-0.018407830968499184,0.5400605201721191,-1.6201815605163574,1511.1875,6963.0,288.0,0.0,1511.1875,6963.0,288.0,0.0,0.0,933.4375,1086.0,784.0,0.0,6,62,18.265625,0.0,1.0,7.875,8,7.875,8.0,8,8,3.692694008350372e-05,3.185498094186187,61.37330533750355,15.601919750348316,0.0,0.0,0.0,61.37330533750355,0.0,1086,6963,63.594313165172935,0.00010921061038970947,2.4320066273212433,0.003683546558022499,14.757302731275558,80.81429702229798,3.840401768684387e-05,0.3287683173682376,0.04716119142530666,1.1771829006310078e-05,312912,80.81429702229798,1935.9940723957698,,,,,,,
3,0.250375896692276,0.0005779603234259412,2.4282466711156303e-05,1.4011253597345785e-06,0.01116039016051218,0.23095703125,0.26764925694963915,200.08550357818604,205.46875,139.67406845092773,5e-06,3,0,0.9375,1.0,0.0,0.9375,1.0,0.0,-0.07312539219856262,2.4748666286468506,-2.4748666286468506,-0.07312539219856262,2.4748666286468506,-2.4748666286468506,2094.5625,8192.0,255.0,0.015625,2094.5625,8192.0,255.0,0.015625,0.0,1010.75,1260.0,786.0,0.0,6,62,23.0625,0.0,1.0,7.5,8,7.5,8.0,8,8,3.234855830669403e-05,2.7938677351921797,76.46358520165086,22.05433932878077,0.0,0.0,0.0,76.46358520165086,0.0,1049,8192,78.61411166004837,0.00010433048009872437,3.0085151959210634,0.0036678779870271683,23.2214769795537,104.87303544767201,3.884360194206238e-05,0.29322244972118416,0.058421749470548706,9.227830298448144e-06,397480,104.87303544767201,1895.0533771778194,,,,,,,
4,0.3025592267513275,0.0011885802014148794,0.00010709010007303732,1.8953504650198738e-06,0.015941990131977946,0.263671875,0.3259850846929804,226.86913394927979,232.8515625,139.5781707763672,5e-06,4,0,0.875,1.0,0.0,0.875,1.0,0.0,-0.12909828126430511,1.20761239528656,-2.4748666286468506,-0.12909828126430511,1.20761239528656,-2.4748666286468506,2599.4453125,8192.0,228.0,0.015625,2599.4453125,8192.0,228.0,0.015625,0.0,922.9375,1154.0,785.0,0.0,6,62,24.71875,0.0,1.0,7.0,8,7.0,8.0,8,8,3.115832805633545e-05,2.484972348436713,84.44214148819447,27.273020013119094,0.0,0.0,0.0,84.44214148819447,0.0,867,8192,86.65538182109594,0.0001026596873998642,3.4883969593793154,0.0036361627280712128,23.284878730773926,113.46181029640138,3.933534026145935e-05,0.26043832013769747,0.05164490197902682,8.06485916642723e-06,450865,113.46181029640138,1986.8579516851755,,,,,,,
5,0.26779547333717346,0.001062225781424786,-3.3451699493980414e-05,0.0,0.02447770448634401,0.3408203125,0.325787318196404,226.86913394927979,232.8515625,139.40811920166016,5e-06,5,0,0.9453125,1.0,0.0,0.9453125,1.0,0.0,-0.17394521832466125,0.7245674133300781,-2.4748666286468506,-0.17394521832466125,0.7245674133300781,-2.4748666286468506,1804.2734375,8192.0,206.0,0.0078125,1804.2734375,8192.0,206.0,0.0078125,0.0,953.0,1204.0,779.0,0.0,6,62,20.0390625,0.0,1.0,7.5625,8,7.5625,8.0,8,8,3.423914313316345e-05,2.170803338289261,73.99865653552115,18.23192001582356,0.0,0.0,0.0,73.99865653552115,0.0,1086,8192,76.26019293814898,0.00010304339230060577,2.7102210726588964,0.003712669014930725,17.06316144578159,96.06281503476202,3.933906555175781e-05,0.3302064670168869,0.048347018102069775,1.0519532188815166e-05,352931,96.06281503476202,1836.9803126854324,,,,,,,
6,0.24568121135234833,0.0007922236945887562,2.3993890408746665e-05,0.0,0.015199625137029216,0.3017578125,0.3264647491325343,226.86913394927979,232.8515625,139.81182479858398,5e-06,6,0,0.9765625,1.0,0.0,0.9765625,1.0,0.0,-0.11498620361089706,0.35355237126350403,-2.4748666286468506,-0.11498620361089706,0.35355237126350403,-2.4748666286468506,1784.796875,7663.0,214.0,0.0,1784.796875,7663.0,214.0,0.0,0.0,955.8125,1099.0,800.0,0.0,6,62,19.890625,0.0,1.0,7.8125,8,7.8125,8.0,8,8,6.0753896832466125e-05,2.3186010476201773,63.25205199792981,18.52312018618977,0.0,0.0,0.0,63.25205199792981,0.0,1080,7663,65.38122866488993,0.00010517425835132599,2.680148871615529,0.003729000687599182,16.66417557001114,84.75465820729733,3.79122793674469e-05,0.28618990547283013,0.047503621942004054,1.063005116220498e-05,350798,84.75465820729733,2069.490972059613,,,,,,,
7,0.2524625062942505,0.0005771110954810865,7.332878431043355e-05,0.0,0.008767221588641405,0.21484375,0.3320082607870708,226.86913394927979,232.8515625,140.2508201599121,5e-06,7,0,0.9140625,1.0,0.0,0.9140625,1.0,0.0,-0.054241836071014404,0.5400605201721191,-2.4748666286468506,-0.054241836071014404,0.5400605201721191,-2.4748666286468506,2085.21875,7957.0,228.0,0.0,2085.21875,7957.0,228.0,0.0,0.0,969.875,1109.0,784.0,0.0,6,62,22.578125,0.0625,0.9375,7.3125,8,7.3125,8.0,8,8,3.228895366191864e-05,2.791972305625677,74.23831093683839,21.726901467176504,0.0,0.0,0.0,74.23831093683839,0.0,1076,7668,76.46591310761869,0.00010884366929531097,2.9969142265617847,0.0037110764533281326,18.972445188090205,98.46638900600374,3.624334931373596e-05,0.2864879026017155,0.048516425406570494,9.489982031361898e-06,391052,98.46638900600374,1985.7131146352722,,,,,,,
8,0.20685620605945587,0.0,-6.295414277701639e-05,0.0,0.0,0.0,0.3255226523958893,226.86913394927979,232.8515625,139.70672988891602,5e-06,8,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1389.8671875,4494.0,256.0,0.0,1389.8671875,4494.0,256.0,0.0,0.0,942.625,1121.0,781.0,0.0,6,40,15.828125,0.0,1.0,8.0,8,8.0,8.0,8,8,3.386847674846649e-05,2.810554340481758,41.494290022179484,14.592231350354268,0.0,0.0,0.0,41.494290022179484,0.0,1121,4494,43.61843570508063,0.00010456517338752747,2.4043613728135824,0.0036757048219442368,13.710806736722589,59.76743673719466,3.805011510848999e-05,0.24518100147316588,0.04592327391477929,1.2311485575528579e-05,298559,59.76743673719466,2497.6727821941195,,,,,,,
9,0.2093391865491867,0.00031639167355024256,5.739716891639546e-05,0.0,0.006686852662824094,0.2236328125,0.32515760593426696,226.86913394927979,232.8515625,139.2798080444336,5e-06,9,0,0.9921875,1.0,0.0,0.9921875,1.0,0.0,-0.045734211802482605,0.35355237126350403,-2.4748666286468506,-0.045734211802482605,0.35355237126350403,-2.4748666286468506,1384.4765625,6858.0,219.0,0.0,1384.4765625,6858.0,219.0,0.0,0.0,944.375,1085.0,783.0,0.0,6,62,16.3125,0.0,1.0,7.9375,8,7.9375,8.0,8,8,6.652437150478363e-05,2.394765131175518,56.9181610327214,14.40220641749329,0.0,0.0,0.0,56.9181610327214,0.0,970,6858,59.02842187136412,0.00010559149086475372,2.360033169388771,0.0036230329424142838,13.822141043841839,75.23970332928002,3.645755350589752e-05,0.33309306806703864,0.04636855291416383,1.2154035627855345e-05,298093,75.23970332928002,1980.9554451286306,,,,,,,
10,0.2292214334011078,0.0008064986614044756,8.894272241377621e-05,0.0,0.021544289775192738,0.3388671875,0.32445870213073646,226.86913394927979,232.8515625,139.29123306274414,5e-06,10,0,0.96875,1.0,0.0,0.96875,1.0,0.0,-0.1470375955104828,0.5400605201721191,-2.4748666286468506,-0.1470375955104828,0.5400605201721191,-2.4748666286468506,1649.2109375,7959.0,267.0,0.0,1649.2109375,7959.0,267.0,0.0,0.0,956.4375,1069.0,786.0,0.0,6,62,17.515625,0.0,1.0,7.75,8,7.75,8.0,8,8,2.8409063816070557e-05,2.8888388499617577,71.81201892346144,16.845431841851678,0.0,0.0,0.0,71.81201892346144,0.0,1012,7959,73.9997830092907,0.00010692141950130463,2.5768819581717253,0.00359533354640007,16.031976921483874,92.64075742289424,3.7124380469322205e-05,0.35054539817474595,0.048068579742578096,1.077986689493699e-05,333523,92.64075742289424,1800.087830011506,,,,,,,
11,0.2644560933113098,0.0009591411107976455,5.028219720770721e-05,0.0,0.013806467701215297,0.2294921875,0.3320138586324707,226.86913394927979,232.8515625,139.44971084594727,5e-06,11,0,0.90625,1.0,0.0,0.90625,1.0,0.0,-0.10669687390327454,1.6201815605163574,-2.4748666286468506,-0.10669687390327454,1.6201815605163574,-2.4748666286468506,2510.5234375,8192.0,241.0,0.0078125,2510.5234375,8192.0,241.0,0.0078125,0.0,988.6875,1132.0,798.0,0.0,6,62,24.6796875,0.0,1.0,7.25,8,7.25,8.0,8,8,2.7017667889595032e-05,2.596325332298875,79.63668522797525,25.89580414943339,0.0,0.0,0.0,79.63668522797525,0.0,1132,8192,81.79587594605982,9.568966925144196e-05,3.4345582127571106,0.003646496683359146,22.20525342039764,107.46466257609427,3.747083246707916e-05,0.25454065526069897,0.049576474652539164,8.141336960696823e-06,447899,107.46466257609427,2083.936194760063,,,,,,,
