step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_adv,timing_per_token_ms_gen,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,True,27136,0.079725481569767,0.0017046979355654912,-3.858876675622014e-05,0.0,0.005330629814125132,-0.01940772325906437,-0.01407709343766328,1.0,1696.0,1.0,0.0,-1.3652368187904358,2.622084341943264,5339545.1953125,0.20984396699350327,0.20984396699350327,0.21733311279823525,-0.01940772325906437,0.31433351656146347,0.0017046979355654912,-3.858876675622014e-05,0.0,0.03632517094956711,1.3282437324523926,0.0,1.0,0.2,0.2,0.2,3.0,0.78125,0.17434158863797747,238.6962103843689,248.640625,138.67347717285156,5e-06,1,0,0.4296875,1.0,0.0,0.4296875,1.0,0.0,-0.16432343423366547,0.935412585735321,-2.4748666286468506,-0.16432343423366547,0.935412585735321,-2.4748666286468506,2954.8359375,8192.0,127.0,0.09375,2954.8359375,8192.0,127.0,0.09375,0.0,1214.5,1824.0,785.0,0.0,3,62,26.28125,0.5,0.5,3.4375,8,3.4375,8.0,8,8,0.0001447591930627823,1.4478027280420065,88.29913076944649,30.83475051196001,0.0,0.0,0.0,88.29913076944649,0.0,1167,8192,96.61766405031085,0.0001255180686712265,6.908984855748713,0.004086398519575596,52.57615444250405,156.1467528352514,3.83695587515831e-05,7.657091899705993e-06,0.25545428455553754,0.09851717701317103,533675,156.1467528352514,1708.8892029764918,,,,,,,
2,True,18728,0.08454491198062897,0.0035787694814644055,-0.0006056718145828199,7.506786232625018e-07,-0.007135976527933963,-0.027771371533162892,-0.034907347362604924,1.0,1170.5,1.0,0.0,-1.0214774562045932,2.211397048085928,4478068.68359375,0.23694970703218132,0.23694970703218132,0.13560950346962788,-0.027771371533162892,0.13372827527143882,0.0035787694814644055,-0.0006056718145828199,7.506786232625018e-07,0.03878314275061712,0.9756252164952457,0.0,1.0,0.2,0.2,0.2,3.0,0.87109375,0.17804619138991845,241.56665706634521,251.00390625,139.1184196472168,5e-06,2,0,0.4140625,1.0,0.0,0.4140625,1.0,0.0,-0.22484903037548065,2.4748666286468506,-2.4748666286468506,-0.22484903037548065,2.4748666286468506,-2.4748666286468506,3930.078125,8192.0,176.0,0.1328125,3930.078125,8192.0,176.0,0.1328125,0.0,1109.375,1831.0,787.0,0.0,3,62,34.2890625,0.4375,0.5625,3.3125,8,3.3125,8.0,8,8,3.860983997583389e-05,2.006500266492367,91.32308916375041,41.29274701916438,0.0,0.0,0.0,91.32308916375041,0.0,1164,8192,93.57253950834274,0.00010392442345619202,4.903103140182793,0.0038093989714980125,63.2484897505492,161.75975060556084,3.841705620288849e-05,5.90558711960005e-06,0.18601041548224378,0.09805207309596031,645050,161.75975060556084,1993.85198600147,,,,,,,
3,True,40560,0.07835646718740463,0.000946169699091115,-0.00031974824136993263,5.880028766114265e-07,0.007007111446000636,-0.01819715519377496,-0.011190043645910919,1.0,2535.0,1.0,0.0,-1.2382900926750153,2.5201402492821217,5174889.265625,0.2010886617936194,0.2010886617936194,0.2921962695412599,-0.01819715519377496,0.29208877252872756,0.000946169699091115,-0.00031974824136993263,5.880028766114265e-07,0.040001458837650716,1.1966067415778525,0.0,1.0,0.2,0.2,0.2,3.0,0.859375,0.1743807878723284,244.00875520706177,253.89453125,139.10244750976562,5e-06,3,0,0.390625,1.0,0.0,0.390625,1.0,0.0,-0.20361466705799103,1.20761239528656,-1.6201815605163574,-0.20361466705799103,1.20761239528656,-1.6201815605163574,2772.140625,8192.0,140.0,0.15625,2772.140625,8192.0,140.0,0.15625,0.0,1278.0,1684.0,880.0,0.0,3,62,23.046875,0.5,0.5,3.125,8,3.125,8.0,8,8,6.97476789355278e-05,1.5015054177492857,85.60050558578223,28.069324381722254,0.0,0.0,0.0,85.60050558578223,0.0,1021,8192,88.12976518832147,9.347125887870789e-05,4.090455352328718,0.0036964043974876404,51.35306928586215,143.61111894715577,3.9033591747283936e-05,7.130162142301464e-06,0.24836899842833965,0.09905726515256444,518418,143.61111894715577,1804.9368454219793,,,,,,,
4,True,23984,0.08077602833509445,0.0016134287197928643,-0.00018974397377746755,3.9415031665157585e-06,-0.004062260290083941,-0.029358698608120903,-0.03342095873085782,1.0,1499.0,1.0,0.0,-1.5390828307718039,2.7801086753606796,5370916.171875,0.31855505309067667,0.31855505309067667,0.1900529873395786,-0.029358698608120903,0.4430929070310231,0.0016134287197928643,-0.00018974397377746755,3.9415031665157585e-06,0.05207120248815045,1.5093417707830667,0.0,1.0,0.2,0.2,0.2,3.0,1.71875,0.17682626971929127,244.00875520706177,253.89453125,139.3028106689453,5e-06,4,0,0.265625,1.0,0.0,0.265625,1.0,0.0,-0.18127983808517456,2.4748666286468506,-2.4748666286468506,-0.18127983808517456,2.4748666286468506,-2.4748666286468506,3881.0234375,8192.0,111.0,0.15625,3881.0234375,8192.0,111.0,0.15625,0.0,1146.9375,1888.0,786.0,0.0,3,62,34.203125,0.4375,0.5625,2.125,8,2.125,8.0,8,8,3.159046173095703e-05,1.2037609945982695,91.0402895566076,40.563641006316175,0.0,0.0,0.0,91.0402895566076,0.0,976,8192,93.2703598877415,9.922590106725693e-05,4.874936542473733,0.0038386983796954155,63.49981481395662,161.67920266650617,3.748387098312378e-05,5.9646109952242314e-06,0.18775323013569936,0.09866669797174336,643579,161.67920266650617,1990.2961833857598,,,,,,,
5,True,38112,0.09009886533021927,0.0033315694890916348,-0.00028631282577862294,3.746301217688597e-06,-0.0005522964056581259,-0.03756720335513819,-0.03811949925147928,1.0,2382.0,1.0,0.0,-1.1340970712481067,2.4811582788825035,5669190.7578125,0.3760079597122967,0.3760079597122967,0.21813443271374333,-0.03756720335513819,0.40030776196984363,0.0033315694890916348,-0.00028631282577862294,3.746301217688597e-06,0.0954509328585118,1.0750361979880836,0.0,1.0,0.2,0.2,0.2,3.0,1.25390625,0.17271480511236098,244.00875520706177,253.89453125,139.49925994873047,5e-06,5,0,0.484375,1.0,0.0,0.484375,1.0,0.0,-0.33495771884918213,2.4748666286468506,-2.4748666286468506,-0.33495771884918213,2.4748666286468506,-2.4748666286468506,2907.828125,8192.0,107.0,0.046875,2907.828125,8192.0,107.0,0.046875,0.0,1271.4375,1932.0,791.0,0.0,3,62,28.609375,0.25,0.75,3.875,8,3.875,8.0,8,8,3.215670585632324e-05,1.4081198833882809,85.6980905327946,29.44504192081513,0.0,0.0,0.0,85.6980905327946,0.0,1508,8192,88.2259232364595,0.00011336430907249451,4.121896268799901,0.0041616372764110565,52.34090279787779,144.72852680739015,3.9126724004745483e-05,7.779546489572885e-06,0.23703774626804663,0.09784333894987118,534946,144.72852680739015,1848.1014482788355,,,,,,,
6,True,33984,0.08063634485006332,0.002040102622231643,0.00014808420695544555,3.079057762533921e-06,0.0005579519202001393,-0.031708980532130226,-0.031151028437307104,1.0,2124.0,1.0,0.0,-1.411281044333009,2.655301757156849,4928732.78125,0.32507056277245283,0.32507056277245283,0.26753900508560874,-0.031708980532130226,0.33173319609359175,0.002040102622231643,0.00014808420695544555,3.079057762533921e-06,0.06389557884540409,1.322977868374437,0.0,1.0,0.2,0.2,0.2,3.0,1.19921875,0.17301244345565964,244.00875520706177,253.89453125,139.76105117797852,5e-06,6,0,0.484375,1.0,0.0,0.484375,1.0,0.0,-0.27352312207221985,1.20761239528656,-2.4748666286468506,-0.27352312207221985,1.20761239528656,-2.4748666286468506,2820.65625,8192.0,109.0,0.09375,2820.65625,8192.0,109.0,0.09375,0.0,1255.25,1759.0,868.0,0.0,3,62,27.171875,0.375,0.625,3.875,8,3.875,8.0,8,8,3.7365593016147614e-05,1.1661909958347678,87.38616166170686,28.745120801286248,0.0,0.0,0.0,87.38616166170686,0.0,1040,8192,89.545310578309,0.0001798318699002266,4.0871264189481735,0.004301915876567364,51.6106972778216,145.2825651122257,4.1394494473934174e-05,8.2457043229791e-06,0.24801772243357872,0.09892488878589424,521716,145.2825651122257,1795.5217117655948,,,,,,,
7,True,37880,0.0961383655667305,0.0021923850836174097,-2.1453421254591376e-05,1.7721986296237446e-06,-0.000331365066813305,-0.029039297660347074,-0.02937066266895272,1.0,2367.5,1.0,0.0,-1.2391528540756553,2.6450705602765083,5636776.2109375,0.2873562313616276,0.2873562313616276,0.30757920886883683,-0.029039297660347074,0.3144650669481699,0.0021923850836174097,-2.1453421254591376e-05,1.7721986296237446e-06,0.07807705458253622,1.1941670773085207,0.0,1.0,0.2,0.2,0.2,3.0,1.33203125,0.16296793089534967,244.00875520706177,253.89453125,139.9054069519043,5e-06,7,0,0.5703125,1.0,0.0,0.5703125,1.0,0.0,-0.4010774493217468,2.4748666286468506,-2.4748666286468506,-0.4010774493217468,2.4748666286468506,-2.4748666286468506,1548.53125,8192.0,137.0,0.0390625,1548.53125,8192.0,137.0,0.0390625,0.0,1254.375,2031.0,800.0,0.0,3,62,15.4296875,0.25,0.75,4.5625,8,4.5625,8.0,8,8,4.111696034669876e-05,1.5673373909667134,76.69468455016613,14.636999313079286,0.0,0.0,0.0,76.69468455016613,0.0,989,8192,78.94633742514998,0.00010947417467832565,2.9501466024667025,0.004279375076293945,35.12535910308361,117.06021405756474,4.035700112581253e-05,1.1927840177867685e-05,0.39829242137282295,0.0979044047558996,358772,117.06021405756474,1532.4250125818696,,,,,,,
8,True,37008,0.0829256996512413,0.003414501919905888,-5.917896248774923e-05,1.193371758745343e-06,0.005641655006911606,-0.05357439327053726,-0.04793273832183331,1.0,2313.0,1.0,0.0,-1.7621784135699272,2.907931849360466,4526763.3125,0.5477920221164823,0.5477920221164823,0.19314940578154302,-0.05357439327053726,0.46502526229062696,0.003414501919905888,-5.917896248774923e-05,1.193371758745343e-06,0.1304212687537074,1.6415315680205822,0.0,1.0,0.2,0.2,0.2,3.0,1.49609375,0.17217831534680328,244.00875520706177,253.89453125,140.16944122314453,5e-06,8,0,0.59375,1.0,0.0,0.59375,1.0,0.0,-0.4589424431324005,2.4748666286468506,-2.4748666286468506,-0.4589424431324005,2.4748666286468506,-2.4748666286468506,2920.0625,8192.0,119.0,0.09375,2920.0625,8192.0,119.0,0.09375,0.0,1272.9375,1935.0,876.0,0.0,3,62,26.0,0.1875,0.8125,4.75,8,4.75,8.0,8,8,5.300436168909073e-05,1.420423936098814,87.15301811881363,30.30756690374983,0.0,0.0,0.0,87.15301811881363,0.0,963,8192,89.28549648355693,0.00043222494423389435,4.13444497436285,0.004373790696263313,52.99533403292298,146.48860557097942,4.096515476703644e-05,8.149353640485842e-06,0.23887945592869622,0.09874220060391385,536704,146.48860557097942,1831.8967468768283,,,,,,,
9,True,35768,0.08235795050859451,0.002913719195930753,-0.00017796313372286932,5.763533295066736e-06,0.0010594171762932092,-0.036596465099137276,-0.03553704806836322,1.0,2235.5,1.0,0.0,-1.954617753624916,3.1095100194215775,4716559.453125,0.3848432661034167,0.3848432661034167,0.27723107113958073,-0.036596465099137276,0.33669596551084036,0.002913719195930753,-0.00017796313372286932,5.763533295066736e-06,0.07984419062267989,1.8454235196113586,0.0,1.0,0.2,0.2,0.2,3.0,1.1640625,0.16923770820146394,244.00875520706177,253.89453125,139.5135612487793,5e-06,9,0,0.5234375,1.0,0.0,0.5234375,1.0,0.0,-0.3199526369571686,2.4748666286468506,-2.4748666286468506,-0.3199526369571686,2.4748666286468506,-2.4748666286468506,2551.09375,8192.0,106.0,0.078125,2551.09375,8192.0,106.0,0.078125,0.0,1261.0,1782.0,880.0,0.0,3,62,24.5625,0.25,0.75,4.1875,8,4.1875,8.0,8,8,8.278246968984604e-05,1.1330578243359923,84.80578004382551,25.67101660859771,0.0,0.0,0.0,84.80578004382551,0.0,1081,8192,87.11005710158497,0.00012150779366493225,3.909622753970325,0.004138617776334286,48.529843610711396,139.59249440021813,4.118122160434723e-05,8.481677917184385e-06,0.2667668803257946,0.09945699871853435,487948,139.59249440021813,1747.758724767216,,,,,,,
10,True,19984,0.07492821663618088,0.0008656588252051733,0.00018867956367785155,2.6553283873909095e-06,0.006094789021972247,-0.018807117856340483,-0.012712328811176121,1.0,1249.0,1.0,0.0,-1.5208409732131258,2.703279461711645,4753317.8359375,0.17720514861866832,0.17720514861866832,0.1668093221147478,-0.018807117856340483,0.29310901030353687,0.0008656588252051733,0.00018867956367785155,2.6553283873909095e-06,0.04870818788185716,1.4232229746085068,0.0,1.0,0.2,0.2,0.2,3.0,1.1640625,0.1729361409346375,244.00875520706177,253.89453125,139.4803237915039,5e-06,10,0,0.4921875,1.0,0.0,0.4921875,1.0,0.0,-0.14322710037231445,2.4748666286468506,-0.5400605201721191,-0.14322710037231445,2.4748666286468506,-0.5400605201721191,3172.765625,8192.0,98.0,0.09375,3172.765625,8192.0,98.0,0.09375,0.0,1092.4375,1485.0,819.0,0.0,3,62,29.5,0.25,0.75,3.9375,8,3.9375,8.0,8,8,3.988109529018402e-05,1.0912416968494654,89.49126597307622,32.58252958802041,0.0,0.0,0.0,89.49126597307622,0.0,978,8192,91.59446721430868,0.00011074263602495193,4.2754439022392035,0.003961540758609772,54.49154525343329,150.40002078935504,7.709953933954239e-05,7.256286809702373e-06,0.2255388073651947,0.09981123637398806,545946,150.40002078935504,1814.9798023121043,,,,,,,
