step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_adv,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,True,33704,0.08398140966892242,0.0022533266492246184,-0.00040558175783189654,2.3292877813219093e-06,0.005011808651033789,-0.025410795613424852,-0.020398987020598724,1.0,2106.5,1.0,0.0,-1.7325586080551147,2.9009881243109703,4933602.328125,0.3446174585260451,0.3446174585260451,0.29883724819081814,-0.025410795613424852,0.3508359851174544,0.0022533266492246184,-0.00040558175783189654,2.3292877813219093e-06,0.049639176460914314,1.7496067732572556,0.0,1.0,0.2,0.1,0.2,3.0,1.87109375,0.17105247337543844,239.60263967514038,248.796875,468.8872528076172,5e-06,1,0,0.3515625,1.0,0.0,0.3515625,1.0,0.0,-0.3130356967449188,1.6201815605163574,-1.6201815605163574,-0.3130356967449188,1.6201815605163574,-1.6201815605163574,2643.5859375,8192.0,159.0,0.1484375,2643.5859375,8192.0,159.0,0.1484375,0.0,1200.4375,1760.0,891.0,0.0,3,62,21.8671875,0.5,0.5,2.8125,8,2.8125,8.0,8,8,0.00027018412947654724,9.687060071155429,122.37549418769777,45.56643694914237,0.0,0.0,0.0,122.37549418769777,0.0,1133,8192,155.17557371221483,0.00014068745076656342,6.628724664449692,0.004080763086676598,49.215569864958525,211.0663023851812,3.7085264921188354e-05,0.45858511820241454,8.293643921014964e-06,0.10002453050079471,492035,211.0663023851812,1165.593452009385,,,,,,,
2,True,29720,0.08706341683864594,0.002901092142565176,-0.00011747083647151157,2.370844867982669e-06,0.004063000014866702,-0.03355983929941431,-0.029496839037165046,1.0,1857.5,1.0,0.0,-1.7135185524821281,2.8074371963739395,4217329.7734375,0.3811920993030071,0.3811920993030071,0.18725939314180132,-0.03355983929941431,0.41752973918731473,0.002901092142565176,-0.00011747083647151157,2.370844867982669e-06,0.07919799507362768,1.6309526674449444,0.0,1.0,0.2,0.1,0.2,3.0,1.359375,0.16905103673289917,239.60263967514038,249.01171875,461.87381744384766,5e-06,2,0,0.5234375,1.0,0.0,0.5234375,1.0,0.0,-0.3514363765716553,2.4748666286468506,-1.6201815605163574,-0.3514363765716553,2.4748666286468506,-1.6201815605163574,2962.7734375,8192.0,147.0,0.09375,2962.7734375,8192.0,147.0,0.09375,0.0,1203.1875,1904.0,784.0,0.0,3,62,25.0625,0.1875,0.8125,4.1875,8,4.1875,8.0,8,8,6.383657455444336e-05,1.736042259261012,89.22843587957323,31.497157846417394,0.0,0.0,0.0,89.22843587957323,0.0,1860,8192,92.04259115457535,8.865445852279663e-05,4.117360858246684,0.00381544791162014,54.663316985592246,150.8624794445932,4.1116029024124146e-05,0.24270595054405672,7.1551767423484975e-06,0.10251108216252675,533243,150.8624794445932,1767.3148484737803,,,,,,,
3,True,36336,0.07846441864967346,0.0022526001594087575,-0.00041751745391849227,6.002458690090862e-07,0.004625073989700468,-0.022371744649717584,-0.01774667072459124,1.0,2271.0,1.0,0.0,-1.1735361674800515,2.3962522707879543,4712109.8203125,0.22928360162768513,0.22928360162768513,0.28017821916513025,-0.022371744649717584,0.4149906857007618,0.0022526001594087575,-0.00041751745391849227,6.002458690090862e-07,0.05791325698373839,1.1369227105751634,0.0,1.0,0.2,0.1,0.2,3.0,1.0,0.17279348131946157,241.2795295715332,251.1796875,245.91077041625977,5e-06,3,0,0.53125,1.0,0.0,0.53125,1.0,0.0,-0.2523004412651062,2.4748666286468506,-2.4748666286468506,-0.2523004412651062,2.4748666286468506,-2.4748666286468506,2672.1015625,8192.0,154.0,0.109375,2672.1015625,8192.0,154.0,0.109375,0.0,1230.8125,2029.0,781.0,0.0,3,62,22.890625,0.3125,0.6875,4.25,8,4.25,8.0,8,8,5.370192229747772e-05,1.8034585621207952,91.41689782962203,27.97645710495999,0.0,0.0,0.0,91.41689782962203,0.0,1393,8192,94.17648320272565,0.00015999935567378998,3.941715333610773,0.0037695150822401047,49.88410907238722,148.03935186564922,4.201754927635193e-05,0.2753464858322705,7.545473999275591e-06,0.09985349302782019,499573,148.03935186564922,1687.2979843000785,,,,,,,
4,True,23816,0.07937103509902954,0.001547982601550757,-0.0001828862334605219,2.4254889012809144e-06,0.0010865220247069374,-0.0038901908410480246,-0.002803668859996833,1.0,1488.5,1.0,0.0,-1.0728726551460568,2.4350645542144775,5000783.88671875,0.029068899457342923,0.029068899457342923,0.29080943444694046,-0.0038901908410480246,0.11653225343909444,0.001547982601550757,-0.0001828862334605219,2.4254889012809144e-06,0.012228408304508775,1.0598455178551376,0.0,1.0,0.2,0.1,0.2,3.0,0.3876953125,0.16819705911794025,241.2795295715332,251.1796875,259.0902900695801,5e-06,4,0,0.6171875,1.0,0.0,0.6171875,1.0,0.0,-0.19571594893932343,2.4748666286468506,-2.4748666286468506,-0.19571594893932343,2.4748666286468506,-2.4748666286468506,1696.921875,8192.0,154.0,0.0625,1696.921875,8192.0,154.0,0.0625,0.0,1099.375,1668.0,797.0,0.0,3,62,14.90625,0.3125,0.6875,4.9375,8,4.9375,8.0,8,8,3.5820528864860535e-05,1.7477502916008234,77.27965151332319,15.48418791552831,0.0,0.0,0.0,77.27965151332319,0.0,1310,8192,79.78989662230015,9.780749678611755e-05,3.005600970238447,0.003676408901810646,35.13393080979586,117.96423671022058,4.316866397857666e-05,0.367346650747678,1.0271421751453223e-05,0.0981597615423184,357926,117.96423671022058,1517.0953925605693,,,,,,,
5,True,35000,0.09734432399272919,0.001704797126876656,-0.00011517637733504671,0.0,0.00599589517514687,-0.02665843619615771,-0.020662541151978076,1.0,2187.5,1.0,0.0,-2.2965580634772778,3.3164567947387695,3586618.62890625,0.2796028300654143,0.2796028300654143,0.30892276889421855,-0.02665843619615771,0.2258123861567523,0.001704797126876656,-0.00011517637733504671,0.0,0.0562117321533151,2.1715289875864983,0.0,1.0,0.2,0.1,0.2,3.0,1.58203125,0.1639905249241207,241.2795295715332,251.1796875,273.198055267334,5e-06,5,0,0.46875,1.0,0.0,0.46875,1.0,0.0,-0.4257943034172058,2.4748666286468506,-2.4748666286468506,-0.4257943034172058,2.4748666286468506,-2.4748666286468506,1667.0703125,8192.0,120.0,0.046875,1667.0703125,8192.0,120.0,0.046875,0.0,1218.8125,1844.0,783.0,0.0,3,62,14.71875,0.375,0.625,3.75,8,3.75,8.0,8,8,3.146566450595856e-05,1.4988256134092808,79.08511790819466,16.380414799816208,0.0,0.0,0.0,79.08511790819466,0.0,1024,8192,81.36879073642194,9.052827954292297e-05,3.045703362673521,0.003798598423600197,36.00972008518875,120.45797990076244,3.573484718799591e-05,0.3813238547059163,1.028335248258683e-05,0.09748349342079776,369393,120.45797990076244,1533.2857163316164,,,,,,,
6,True,28784,0.0767073705792427,0.000699662556144176,0.00019552480245010884,0.0,-0.0047752304235473275,-0.010233319029794075,-0.015008549496997148,1.0,1799.0,1.0,0.0,-1.5878896154463291,2.8827431350946426,5651932.5078125,0.11830172804184258,0.11830172804184258,0.2946190918231735,-0.010233319029794075,0.19660294202623946,0.000699662556144176,0.00019552480245010884,0.0,0.02515751647297293,1.5267431167885661,0.0,1.0,0.2,0.1,0.2,3.0,0.7890625,0.1670446380725884,241.2795295715332,251.1796875,292.5142288208008,5e-06,6,0,0.6796875,1.0,0.0,0.6796875,1.0,0.0,-0.13594768941402435,2.4748666286468506,-1.6201815605163574,-0.13594768941402435,2.4748666286468506,-1.6201815605163574,2142.8203125,8192.0,125.0,0.1171875,2142.8203125,8192.0,125.0,0.1171875,0.0,1162.6875,1582.0,899.0,0.0,3,62,17.2109375,0.25,0.75,5.4375,8,5.4375,8.0,8,8,5.854293704032898e-05,1.461559010669589,84.02900865860283,21.07031733551412,0.0,0.0,0.0,84.02900865860283,0.0,1304,8192,87.03435411863029,9.775348007678986e-05,3.225818866863847,0.004755152389407158,42.97161512635648,133.26773182302713,4.092417657375336e-05,0.3173182032974588,1.1238705260885968e-05,0.10156253205789693,423105,133.26773182302713,1587.4247809734702,,,,,,,
7,True,36384,0.07822766900062561,0.0021069085341878235,4.004849367333918e-05,1.5206757666419435e-06,0.0065965883259195834,-0.04829273530776845,-0.04169614682905376,1.0,2274.0,1.0,0.0,-1.952550906687975,3.0102836340665817,3984771.7421875,0.5145044170785695,0.5145044170785695,0.23445010038027186,-0.04829273530776845,0.49210782548200155,0.0021069085341878235,4.004849367333918e-05,1.5206757666419435e-06,0.09663044667104259,1.836370762437582,0.0,1.0,0.2,0.1,0.2,3.0,1.5,0.17016027999413366,245.109525680542,253.875,349.00811767578125,5e-06,7,0,0.578125,1.0,0.0,0.578125,1.0,0.0,-0.30163902044296265,2.4748666286468506,-2.4748666286468506,-0.30163902044296265,2.4748666286468506,-2.4748666286468506,3320.9921875,8192.0,140.0,0.1484375,3320.9921875,8192.0,140.0,0.1484375,0.0,1252.5,1888.0,874.0,0.0,3,62,27.7734375,0.125,0.875,4.625,8,4.625,8.0,8,8,3.993138670921326e-05,1.7111570481210947,99.39461822807789,37.720241677132435,0.0,0.0,0.0,99.39461822807789,0.0,1262,8192,102.70272236131132,0.00018296949565410614,4.4169672299176455,0.005505461245775223,60.022637167945504,167.2285600360483,3.9910897612571716e-05,0.24160400661820125,9.404501903419711e-06,0.10253146472103256,585407,167.2285600360483,1750.3200406491808,,,,,,,
8,True,28656,0.07646463811397552,0.001294552004765137,-4.352664879103685e-05,1.1185682069481118e-06,0.004005458584288135,-0.027416779252234846,-0.023411320755258203,1.0,1791.0,1.0,0.0,-1.392686918261461,2.629478871822357,5266454.75,0.28816691040992737,0.28816691040992737,0.19927047440272133,-0.027416779252234846,0.4381215170291396,0.001294552004765137,-4.352664879103685e-05,1.1185682069481118e-06,0.04691132775042206,1.3044560488779098,0.0,1.0,0.2,0.1,0.2,3.0,0.955078125,0.1753424420281611,245.109525680542,253.875,351.20659255981445,5e-06,8,0,0.5,1.0,0.0,0.5,1.0,0.0,-0.1921263039112091,2.4748666286468506,-2.4748666286468506,-0.1921263039112091,2.4748666286468506,-2.4748666286468506,3368.4453125,8192.0,145.0,0.1328125,3368.4453125,8192.0,145.0,0.1328125,0.0,1204.0625,1860.0,878.0,0.0,3,62,29.2578125,0.375,0.625,4.0,8,4.0,8.0,8,8,4.892610013484955e-05,1.9228677283972502,96.80526242218912,39.02095475343231,0.0,0.0,0.0,96.80526242218912,0.0,1475,8192,127.8001957423985,0.0001936051994562149,4.9540725611150265,0.004140749573707581,58.113783275708556,190.9138612728566,5.28581440448761e-05,0.2964094520200076,7.0748060738475716e-06,0.09929210631424659,585281,190.9138612728566,1532.8405074881093,,,,,,,
9,True,23840,0.08276911079883575,0.0010537880189076532,5.276125534692255e-05,1.5997748050722294e-06,0.007518174970755354,-0.04054450248077046,-0.03302632755367085,1.0,1490.0,1.0,0.0,-1.7226714789867401,2.8433185815811157,4278360.333984375,0.3750947405351326,0.3750947405351326,0.26004605953572446,-0.04054450248077046,0.3681615137196943,0.0010537880189076532,5.276125534692255e-05,1.5997748050722294e-06,0.08484973618760705,1.61374107375741,0.0,1.0,0.2,0.1,0.2,3.0,1.0546875,0.17360183420077552,245.109525680542,253.875,255.5549087524414,5e-06,9,0,0.53125,1.0,0.0,0.53125,1.0,0.0,-0.2027960866689682,0.935412585735321,-1.6201815605163574,-0.2027960866689682,0.935412585735321,-1.6201815605163574,2778.2109375,8192.0,141.0,0.125,2778.2109375,8192.0,141.0,0.125,0.0,1109.75,1853.0,824.0,0.0,3,62,23.4375,0.375,0.625,4.25,8,4.25,8.0,8,8,5.725771188735962e-05,1.5545353777706623,88.96667024865746,28.773522841525846,0.0,0.0,0.0,88.96667024865746,0.0,1066,8192,91.80451838672161,0.0001012943685054779,3.979218076914549,0.0039764996618032455,49.146227018907666,144.96863086149096,3.7843361496925354e-05,0.2581599511452728,7.99041042521736e-06,0.0987548241243656,497659,144.96863086149096,1716.4368492777035,,,,,,,
10,True,44440,0.07026731222867966,0.0008614583430244238,6.352875431048233e-05,0.0,0.0024667044344823807,-0.0174910527166503,-0.01502434813301079,1.0,2777.5,1.0,0.0,-2.455451399087906,3.443396106362343,3999586.078125,0.19043638091534376,0.19043638091534376,0.2676544015750105,-0.0174910527166503,0.3752887349353517,0.0008614583430244238,6.352875431048233e-05,0.0,0.037457057973369956,2.243517082184553,0.0,1.0,0.2,0.1,0.2,3.0,0.74609375,0.1766522256979764,245.109525680542,253.875,272.0387649536133,5e-06,10,0,0.4453125,1.0,0.0,0.4453125,1.0,0.0,-0.15577922761440277,0.935412585735321,-2.4748666286468506,-0.15577922761440277,0.935412585735321,-2.4748666286468506,3197.8671875,8192.0,107.0,0.1328125,3197.8671875,8192.0,107.0,0.1328125,0.0,1335.75,1928.0,867.0,0.0,3,62,28.2734375,0.5,0.5,3.5625,8,3.5625,8.0,8,8,5.225278437137604e-05,1.2304961495101452,89.06005057319999,33.376035425433656,0.0,0.0,0.0,89.06005057319999,0.0,1247,8192,91.36922735720873,7.911026477813721e-05,4.564223678782582,0.004022402688860893,57.12606002762914,153.09753791056573,3.6640092730522156e-05,0.22321817851548695,6.931555909345451e-06,0.0984417796007071,580303,153.09753791056573,1895.2068332378828,,,,,,,
