step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_update_actor,timing_per_token_ms_gen,timing_per_token_ms_adv,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,True,33704,0.09101295471191406,0.0023846496878832113,-0.0004443869036236947,0.0,-0.005565870873397216,-0.026144058640056755,-0.03170992975356057,1.0,2106.5,1.0,0.0,-1.7725351639091969,2.9488783106207848,4916250.578125,0.3611548659391701,0.3611548659391701,0.34537984344979933,-0.026144058640056755,0.2805106684439704,0.0023846496878832113,-0.0004443869036236947,0.0,0.044849695928860456,1.7905242964625359,0.0,1.0,0.5,0.2,0.28,3.0,1.953125,0.16841472063567303,227.29573249816895,236.94140625,137.2896957397461,5e-06,1,0,0.4375,1.0,0.0,0.4375,1.0,0.0,-0.23304976522922516,0.7245674133300781,-2.4748666286468506,-0.23304976522922516,0.7245674133300781,-2.4748666286468506,2071.5625,8192.0,148.0,0.046875,2071.5625,8192.0,148.0,0.046875,0.0,1201.25,1760.0,891.0,0.0,3,62,18.8984375,0.5,0.5,3.5,8,3.5,8.0,8,8,0.00015196576714515686,1.692084202542901,83.8697634935379,20.582989341084613,0.0,0.0,0.0,83.8697634935379,0.0,1031,8192,92.83473142609,0.00012480467557907104,6.226982433348894,0.004098877310752869,41.159933568909764,140.2652345970273,3.767944872379303e-05,0.09825249109354951,0.350108355053892,9.784391556270573e-06,418920,140.2652345970273,1493.3137252560455,,,,,,,
2,True,29720,0.08496711403131485,0.0030152610706863925,-0.0004577183476044411,2.4435704517600243e-06,0.0024555347044952214,-0.038197331596165895,-0.0357417966297362,1.0,1857.5,1.0,0.0,-1.7869098298251629,2.8491855561733246,4061124.54296875,0.4265556391328573,0.4265556391328573,0.19966706912794657,-0.038197331596165895,0.3999518228561374,0.0030152610706863925,-0.0004577183476044411,2.4435704517600243e-06,0.09879298391751945,1.7004915066063404,0.0,1.0,0.5,0.2,0.28,3.0,1.421875,0.17403038123760664,241.18984937667847,251.0625,137.73856353759766,5e-06,2,0,0.484375,1.0,0.0,0.484375,1.0,0.0,-0.31952929496765137,2.4748666286468506,-2.4748666286468506,-0.31952929496765137,2.4748666286468506,-2.4748666286468506,3317.9296875,8192.0,133.0,0.1484375,3317.9296875,8192.0,133.0,0.1484375,0.0,1203.0,1904.0,784.0,0.0,3,62,27.3828125,0.25,0.75,3.875,8,3.875,8.0,8,8,3.5762786865234375e-05,1.520059835165739,93.91900952905416,35.46519420921686,0.0,0.0,0.0,93.91900952905416,0.0,880,8192,96.14949946478009,8.625537157058716e-05,4.4282817132771015,0.0036515556275844574,57.24978292733431,157.86302773840725,3.7960708141326904e-05,0.09893184810116543,0.2263965892341094,6.310157492468981e-06,578679,157.86302773840725,1832.8515811787208,,,,,,,
3,True,36336,0.07893019169569016,0.001018198872998255,2.335688407129055e-05,0.0,0.000499419700645376,-0.011724779265932739,-0.01122535957256332,1.0,2271.0,1.0,0.0,-1.1587879434227943,2.407203946262598,4877744.78125,0.1264823554083705,0.1264823554083705,0.265090742684863,-0.011724779265932739,0.3397356020348843,0.001018198872998255,2.335688407129055e-05,0.0,0.020191310672089458,1.1217114911414683,0.0,1.0,0.5,0.2,0.28,3.0,0.66796875,0.17420952358305405,242.6027054786682,251.8828125,137.6591682434082,5e-06,3,0,0.5234375,1.0,0.0,0.5234375,1.0,0.0,-0.1100892648100853,0.935412585735321,-2.4748666286468506,-0.1100892648100853,0.935412585735321,-2.4748666286468506,2668.578125,8192.0,137.0,0.109375,2668.578125,8192.0,137.0,0.109375,0.0,1230.8125,2029.0,781.0,0.0,3,62,22.71875,0.4375,0.5625,4.1875,8,4.1875,8.0,8,8,5.3377822041511536e-05,1.6187891066074371,88.4671383369714,27.473819463164546,0.0,0.0,0.0,88.4671383369714,0.0,1393,8192,91.01602300070226,0.00010948255658149719,3.977990673854947,0.004098078235983849,49.52190735191107,144.5555248800665,4.1875988245010376e-05,0.09921804158484512,0.2664575089751163,8.210574240333723e-06,499122,144.5555248800665,1726.4023648148589,,,,,,,
4,True,23816,0.08996044099330902,0.0013217173873272259,3.137323294311045e-05,8.00973964487639e-07,0.0005917201342526823,-0.01679755789518822,-0.016205837950110435,1.0,1488.5,1.0,0.0,-1.1241570874117315,2.5288807153701782,5087464.046875,0.19205326889641583,0.19205326889641583,0.3004127147382104,-0.01679755789518822,0.2332161102761776,0.0013217173873272259,3.137323294311045e-05,8.00973964487639e-07,0.048848504840862006,1.1037572470959276,0.0,1.0,0.5,0.2,0.28,3.0,1.171875,0.16531491387799796,242.6027054786682,251.8828125,137.82860946655273,5e-06,4,0,0.6171875,1.0,0.0,0.6171875,1.0,0.0,-0.212810680270195,2.4748666286468506,-2.4748666286468506,-0.212810680270195,2.4748666286468506,-2.4748666286468506,1591.7421875,8192.0,149.0,0.0390625,1591.7421875,8192.0,149.0,0.0390625,0.0,1099.875,1668.0,797.0,0.0,3,62,15.6640625,0.25,0.75,4.9375,8,4.9375,8.0,8,8,3.5317614674568176e-05,1.616159925237298,76.20578650385141,14.577969579520868,0.0,0.0,0.0,76.20578650385141,0.0,891,8192,78.52457947656512,0.00010860152542591095,2.843007192015648,0.00437290221452713,33.51580743677914,114.9205084964633,3.991834819316864e-05,0.09728064110150769,0.3854099501654787,1.2692480457343344e-05,344527,114.9205084964633,1498.9796186404922,,,,,,,
5,True,35000,0.1006818637251854,0.0029783066056552343,4.378987227937614e-06,0.0,0.0012898932618554682,-0.037754541262984276,-0.03646464817575179,1.0,2187.5,1.0,0.0,-2.4637124240398407,3.47305840998888,3482870.060974121,0.39254090329632163,0.39254090329632163,0.3065673595899562,-0.037754541262984276,0.2601855031699,0.0029783066056552343,4.378987227937614e-06,0.0,0.0684511155122891,2.310074381530285,0.0,1.0,0.5,0.2,0.28,3.0,1.91796875,0.16580680739997794,242.6027054786682,251.8828125,138.07683944702148,5e-06,5,0,0.453125,1.0,0.0,0.453125,1.0,0.0,-0.4330557882785797,0.935412585735321,-2.4748666286468506,-0.4330557882785797,0.935412585735321,-2.4748666286468506,1718.4453125,8192.0,129.0,0.046875,1718.4453125,8192.0,129.0,0.046875,0.0,1219.375,1844.0,783.0,0.0,3,62,15.6875,0.4375,0.5625,3.625,8,3.625,8.0,8,8,4.1540712118148804e-05,1.5290948301553726,79.17307396233082,16.959023009811062,0.0,0.0,0.0,79.17307396233082,0.0,1027,8192,81.43307437188923,0.00010676309466362,3.016137920320034,0.004213858395814896,36.00893440283835,120.49580516666174,4.2377039790153503e-05,0.09575800086383758,0.37021596724823597,1.1205848287327435e-05,376041,120.49580516666174,1560.3904197323934,,,,,,,
6,True,28784,0.07717462629079819,0.002580904998467304,-7.120425470930059e-05,7.333442795243172e-07,-0.003417811240069568,-0.015560971340164542,-0.018978782696649432,1.0,1799.0,1.0,0.0,-1.6906004913616925,2.9939035959541798,5903777.71875,0.14959629508666694,0.14959629508666694,0.3067746818320206,-0.015560971340164542,0.20372676560866423,0.002580904998467304,-7.120425470930059e-05,7.333442795243172e-07,0.02907800319371745,1.607628574827686,0.0,1.0,0.5,0.2,0.28,3.0,0.966796875,0.16706734838011783,242.6027054786682,251.8828125,137.84206771850586,5e-06,6,0,0.703125,1.0,0.0,0.703125,1.0,0.0,-0.3227463662624359,2.4748666286468506,-2.4748666286468506,-0.3227463662624359,2.4748666286468506,-2.4748666286468506,1864.6171875,8192.0,138.0,0.0625,1864.6171875,8192.0,138.0,0.0625,0.0,1160.875,1582.0,899.0,0.0,3,62,17.078125,0.1875,0.8125,5.625,8,5.625,8.0,8,8,7.221102714538574e-05,1.5424414351582527,83.36450611054897,17.949824826879194,0.0,0.0,0.0,83.36450611054897,0.0,899,8192,85.57460768148303,0.00011035054922103882,3.149327989667654,0.00430046021938324,37.96275798603892,126.72389205358922,4.28762286901474e-05,0.09802836311767177,0.35854631556193683,1.1104753667102821e-05,387263,126.72389205358922,1527.9794272584113,,,,,,,
7,True,36384,0.07200649380683899,0.002383430488407612,-0.00015366873071798182,2.4973153358587297e-06,-0.006946449284441769,-0.04227615176932886,-0.049222601199289784,1.0,2274.0,1.0,0.0,-2.0330312494188547,3.1091935858130455,4034632.359375,0.45418078475631773,0.45418078475631773,0.2394517060124053,-0.04227615176932886,0.45717131991635274,0.002383430488407612,-0.00015366873071798182,2.4973153358587297e-06,0.08953602869587485,1.9023869410157204,0.0,1.0,0.5,0.2,0.28,3.0,1.6640625,0.17272977879199114,245.15767288208008,254.0703125,137.56147384643555,5e-06,7,0,0.5390625,1.0,0.0,0.5390625,1.0,0.0,-0.2763115465641022,2.4748666286468506,-2.4748666286468506,-0.2763115465641022,2.4748666286468506,-2.4748666286468506,3454.7734375,8192.0,134.0,0.125,3454.7734375,8192.0,134.0,0.125,0.0,1251.8125,1888.0,874.0,0.0,3,62,30.0,0.25,0.75,4.3125,8,4.3125,8.0,8,8,7.534772157669067e-05,1.4605848472565413,94.55036344379187,36.373983454250265,0.0,0.0,0.0,94.55036344379187,0.0,1826,8192,96.98971906676888,0.00013113953173160553,4.612933333963156,0.004368430003523827,60.7918956130743,162.43552296608686,4.178285598754883e-05,0.10090895837958828,0.21932905121484741,7.251192234823588e-06,602443,162.43552296608686,1854.406563907137,,,,,,,
8,True,28656,0.07327684760093689,0.0009614447999410913,-3.0232129688556597e-05,2.270975528517738e-06,0.002979984143166803,-0.014156048418954015,-0.01117606415937189,1.0,1791.0,1.0,0.0,-1.4991987803950906,2.670586347579956,5035435.3515625,0.14390894584357738,0.14390894584357738,0.22166178629329525,-0.014156048418954015,0.2344954827358099,0.0009614447999410913,-3.0232129688556597e-05,2.270975528517738e-06,0.021142871817573905,1.3972230572253466,0.0,1.0,0.5,0.2,0.28,3.0,0.705078125,0.1748461718577223,245.15767288208008,254.0703125,137.77154922485352,5e-06,8,0,0.5390625,1.0,0.0,0.5390625,1.0,0.0,-0.10592428594827652,2.4748666286468506,-2.4748666286468506,-0.10592428594827652,2.4748666286468506,-2.4748666286468506,2960.34375,8192.0,147.0,0.046875,2960.34375,8192.0,147.0,0.046875,0.0,1203.875,1860.0,878.0,0.0,3,62,28.015625,0.375,0.625,4.3125,8,4.3125,8.0,8,8,5.116499960422516e-05,1.704930854961276,89.06547131203115,30.59660139285552,0.0,0.0,0.0,89.06547131203115,0.0,1021,8192,91.38837510347366,0.00010338239371776581,4.124507723376155,0.0039473287761211395,51.973172929137945,147.5247870516032,4.213675856590271e-05,0.09750698459558355,0.24117864031698616,7.40559224066853e-06,533020,147.5247870516032,1806.5438718903322,,,,,,,
9,True,23840,0.07412431389093399,0.0018035296598100103,-8.365524308828753e-06,2.387351173638308e-06,-0.0026634884416125715,-0.03826721993391402,-0.040930709132226184,1.0,1490.0,1.0,0.0,-1.9541787467896938,2.9923727437853813,3732871.623046875,0.3575867577455938,0.3575867577455938,0.24755142446694495,-0.03826721993391402,0.30615215495666337,0.0018035296598100103,-8.365524308828753e-06,2.387351173638308e-06,0.048913799633737653,1.8212108798325062,0.0,1.0,0.5,0.2,0.28,3.0,1.1328125,0.17242518021891662,245.15767288208008,254.0703125,137.4848289489746,5e-06,9,0,0.5703125,1.0,0.0,0.5703125,1.0,0.0,-0.24283941090106964,1.20761239528656,-1.6201815605163574,-0.24283941090106964,1.20761239528656,-1.6201815605163574,2511.375,8192.0,146.0,0.109375,2511.375,8192.0,146.0,0.109375,0.0,1110.375,1853.0,824.0,0.0,3,62,21.8671875,0.3125,0.6875,4.5625,8,4.5625,8.0,8,8,7.139332592487335e-05,1.5952213425189257,86.27011431381106,25.46319062024122,0.0,0.0,0.0,86.27011431381106,0.0,891,8192,88.48238595761359,9.399652481079102e-05,3.672763466835022,0.004055816680192947,45.216975037008524,137.43449348770082,4.0454789996147156e-05,0.09753782494005082,0.2752550456597904,8.748828001382591e-06,463584,137.43449348770082,1686.5634973998965,,,,,,,
10,True,44440,0.06419266760349274,0.0007600874805575586,2.874687714893298e-05,5.902574571337027e-07,0.004562901900499128,-0.022245631254918408,-0.01768272925983183,1.0,2777.5,1.0,0.0,-2.3985440246760845,3.395608238875866,4027739.1171875,0.2236445308662951,0.2236445308662951,0.27061393639410336,-0.022245631254918408,0.3851408375905292,0.0007600874805575586,2.874687714893298e-05,5.902574571337027e-07,0.0519899477949366,2.1921212933957577,0.0,1.0,0.5,0.2,0.28,3.0,0.765625,0.17519946130370329,245.15767288208008,254.0703125,137.48490524291992,5e-06,10,0,0.46875,1.0,0.0,0.46875,1.0,0.0,-0.11699692159891129,2.4748666286468506,-2.4748666286468506,-0.11699692159891129,2.4748666286468506,-2.4748666286468506,3056.7265625,8192.0,149.0,0.078125,3056.7265625,8192.0,149.0,0.078125,0.0,1335.25,1928.0,867.0,0.0,3,62,27.828125,0.375,0.625,3.75,8,3.75,8.0,8,8,7.042475044727325e-05,1.691794503480196,90.24618142470717,31.810699607958668,0.0,0.0,0.0,90.24618142470717,0.0,1438,8192,92.62000737339258,0.00010177865624427795,4.336612280458212,0.003899684175848961,55.41775877773762,152.420682227239,4.331022500991821e-05,0.0985777665909562,0.23672179791339434,6.936804463837575e-06,562173,152.420682227239,1844.149336511546,,,,,,,
