step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_adv,timing_per_token_ms_update_actor,timing_per_token_ms_gen,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,True,33704,0.08375786244869232,0.0031099966290639713,-0.0005075903345641564,6.299387109720556e-07,0.008443533937679604,-0.04634177945263218,-0.037898245442193,1.0,2106.5,1.0,0.0,-1.6996965184807777,2.8704556822776794,4947168.203125,0.547924451995641,0.547924451995641,0.29880396625238886,-0.04634177945263218,0.43180968108210904,0.0031099966290639713,-0.0005075903345641564,6.299387109720556e-07,0.07143983597052284,1.7154031470417976,0.0,1.0,0.5,0.2,0.5,3.0,2.3046875,0.17131911093336738,232.7461347579956,241.94140625,131.6770362854004,5e-06,1,0,0.328125,1.0,0.0,0.328125,1.0,0.0,-0.3847922682762146,1.6201815605163574,-2.4748666286468506,-0.3847922682762146,1.6201815605163574,-2.4748666286468506,2551.25,8192.0,137.0,0.078125,2551.25,8192.0,137.0,0.078125,0.0,1200.5,1760.0,891.0,0.0,3,62,23.9765625,0.5,0.5,2.625,8,2.625,8.0,8,8,0.0001361854374408722,1.528351753950119,84.48756133206189,25.50144158441981,0.0,0.0,0.0,84.48756133206189,0.0,983,8192,92.98152412101626,0.00011971034109592438,6.422920489683747,0.003976553678512573,47.23591041751206,146.68882348388433,3.579817712306976e-05,8.280622539715994e-06,0.0983622443224663,0.2847302918943418,480224,146.68882348388433,1636.8799905630126,,,,,,,
2,True,29720,0.08899623155593872,0.0032822237371874508,-0.00039527071692191384,0.0,0.0016393701307606534,-0.049431816034484655,-0.047792445751838386,1.0,1857.5,1.0,0.0,-1.6847485397011042,2.776387132704258,4209717.83984375,0.5075475107878447,0.5075475107878447,0.20808604724253313,-0.049431816034484655,0.5379243648025029,0.0032822237371874508,-0.00039527071692191384,0.0,0.08329597220290452,1.6130858194082975,0.0,1.0,0.5,0.2,0.5,3.0,1.75390625,0.1744481982968803,237.9392228126526,247.13671875,132.0355682373047,5e-06,2,0,0.5234375,1.0,0.0,0.5234375,1.0,0.0,-0.3297385573387146,1.6201815605163574,-2.4748666286468506,-0.3297385573387146,1.6201815605163574,-2.4748666286468506,2912.9375,8192.0,151.0,0.1015625,2912.9375,8192.0,151.0,0.1015625,0.0,1202.0625,1904.0,784.0,0.0,3,62,25.3515625,0.3125,0.6875,4.1875,8,4.1875,8.0,8,8,4.102103412151337e-05,1.6584317684173584,86.20977319031954,29.972918287763605,0.0,0.0,0.0,86.20977319031954,0.0,1406,8192,88.74058096855879,8.626282215118408e-05,4.065164329484105,0.0038048196583986282,51.391320364549756,144.23302558623254,3.6578625440597534e-05,7.223609618770178e-06,0.09756857602625638,0.2380022876621505,526720,144.23302558623254,1825.9341016357246,,,,,,,
3,True,36336,0.07323308289051056,0.002188342089766593,-0.0003161455699682847,1.4305333024822176e-06,0.005076185334473848,-0.01973431825172156,-0.014658132975455374,1.0,2271.0,1.0,0.0,-1.1816803999245167,2.416387863457203,4819142.421875,0.18510460760444403,0.18510460760444403,0.2602410439080539,-0.01973431825172156,0.4893688050213131,0.002188342089766593,-0.0003161455699682847,1.4305333024822176e-06,0.03799794468795881,1.1459020795300603,0.0,1.0,0.5,0.2,0.5,3.0,0.81640625,0.17632901483894914,243.86609888076782,253.07421875,131.9393653869629,5e-06,3,0,0.5234375,1.0,0.0,0.5234375,1.0,0.0,-0.1793442666530609,0.5400605201721191,-2.4748666286468506,-0.1793442666530609,0.5400605201721191,-2.4748666286468506,2758.078125,8192.0,137.0,0.1328125,2758.078125,8192.0,137.0,0.1328125,0.0,1230.8125,2029.0,781.0,0.0,3,62,22.609375,0.4375,0.5625,4.1875,8,4.1875,8.0,8,8,6.540678441524506e-05,1.4865874629467726,88.22860192321241,27.93879371949879,0.0,0.0,0.0,88.22860192321241,0.0,1792,8192,90.63243814371526,8.46032053232193e-05,4.00878088362515,0.0035553332418203354,50.34297423996031,145.0185096859932,3.9419159293174744e-05,6.963349854126765e-06,0.09859996756609238,0.2567243895594058,510578,145.0185096859932,1760.3890741449084,,,,,,,
4,True,23816,0.07349692285060883,0.003198699530912563,-0.0002362308201355745,6.605927183045424e-07,-0.003817203192738816,-0.033500576828373596,-0.03731778034125455,1.0,1488.5,1.0,0.0,-1.0886539234779775,2.4520229063928127,4938416.0078125,0.29462862107902765,0.29462862107902765,0.27483854976303235,-0.033500576828373596,0.3926344623528933,0.003198699530912563,-0.0002362308201355745,6.605927183045424e-07,0.05337950505781919,1.0714745642617345,0.0,1.0,0.5,0.2,0.5,3.0,1.095703125,0.1691909713486359,243.86609888076782,253.07421875,132.12142944335938,5e-06,4,0,0.5546875,1.0,0.0,0.5546875,1.0,0.0,-0.4897927939891815,1.6201815605163574,-2.4748666286468506,-0.4897927939891815,1.6201815605163574,-2.4748666286468506,2049.7578125,8192.0,138.0,0.0703125,2049.7578125,8192.0,138.0,0.0703125,0.0,1099.8125,1668.0,797.0,0.0,3,62,18.8828125,0.3125,0.6875,4.4375,8,4.4375,8.0,8,8,3.222748637199402e-05,1.4791246764361858,83.38041862286627,19.62513096802286,0.0,0.0,0.0,83.38041862286627,0.0,971,8192,85.73259690031409,8.383207023143768e-05,3.3063950277864933,0.003491915762424469,39.77775683812797,128.8492369968444,3.606453537940979e-05,8.661686892866014e-06,0.09866861014803104,0.3267634396606081,403145,128.8492369968444,1564.4058490228904,,,,,,,
5,True,35000,0.09715548902750015,0.0017198760906467214,-0.000296546099320949,9.085622991733544e-07,0.007770904543576762,-0.020762316416949034,-0.01299141175695695,1.0,2187.5,1.0,0.0,-2.336906187236309,3.3482106402516365,3461385.079345703,0.20654154010117054,0.20654154010117054,0.31879521577616243,-0.020762316416949034,0.1685998427700032,0.0017198760906467214,-0.000296546099320949,9.085622991733544e-07,0.03421940584667027,2.204309944063425,0.0,1.0,0.5,0.2,0.5,3.0,0.98046875,0.16605887141572684,243.86609888076782,253.07421875,132.27596282958984,5e-06,5,0,0.484375,1.0,0.0,0.484375,1.0,0.0,-0.3889053761959076,0.935412585735321,-2.4748666286468506,-0.3889053761959076,0.935412585735321,-2.4748666286468506,1512.75,8192.0,139.0,0.046875,1512.75,8192.0,139.0,0.046875,0.0,1219.5,1844.0,783.0,0.0,3,62,13.859375,0.4375,0.5625,3.875,8,3.875,8.0,8,8,3.279000520706177e-05,1.6542523205280304,76.0150242075324,14.627013757897657,0.0,0.0,0.0,76.0150242075324,0.0,1414,8192,78.34815806150436,9.081140160560608e-05,2.8611129075288773,0.003571605309844017,33.12277979776263,114.36479798145592,3.618746995925903e-05,1.0212523189004074e-05,0.09471011699881803,0.40462401907486556,349728,114.36479798145592,1529.0019576509367,,,,,,,
6,True,28784,0.08124590665102005,0.0019128751937387278,-0.00016341930518137815,6.689786573588208e-07,-0.0038857397594256327,-0.018154122153646313,-0.022039861942175776,1.0,1799.0,1.0,0.0,-1.575191010691924,2.867334857583046,5613963.3515625,0.17834121407940984,0.17834121407940984,0.30179576368116856,-0.018154122153646313,0.33023524000445514,0.0019128751937387278,-0.00016341930518137815,6.689786573588208e-07,0.033359767170622945,1.5082195687573403,0.0,1.0,0.5,0.2,0.5,3.0,1.0625,0.16931256683011614,243.86609888076782,253.07421875,132.0012664794922,5e-06,6,0,0.6953125,1.0,0.0,0.6953125,1.0,0.0,-0.2908112406730652,1.6201815605163574,-2.4748666286468506,-0.2908112406730652,1.6201815605163574,-2.4748666286468506,1990.390625,8192.0,120.0,0.0703125,1990.390625,8192.0,120.0,0.0703125,0.0,1160.9375,1582.0,899.0,0.0,3,62,17.1328125,0.1875,0.8125,5.5625,8,5.5625,8.0,8,8,6.503425538539886e-05,1.319837361574173,83.15398823097348,19.07455154089257,0.0,0.0,0.0,83.15398823097348,0.0,1009,8192,85.663738720119,8.827261626720428e-05,3.244774730876088,0.0035388488322496414,39.624288918450475,128.56542729213834,3.698468208312988e-05,8.77320780486809e-06,0.09823310835820828,0.3362395051227342,403370,128.56542729213834,1568.7343343223413,,,,,,,
7,True,36384,0.07414364814758301,0.0027745229344873223,-0.00019944059465615283,1.0814567303896183e-06,0.0013084341189824045,-0.032131957123056054,-0.03082352300407365,1.0,2274.0,1.0,0.0,-2.0065075531601906,3.065204009413719,3903434.71875,0.31228543701581657,0.31228543701581657,0.22899662937967274,-0.032131957123056054,0.37160748611260785,0.0027745229344873223,-0.00019944059465615283,1.0814567303896183e-06,0.055172016960568726,1.8689362481236458,0.0,1.0,0.5,0.2,0.5,3.0,1.16015625,0.16738221158488387,246.34305095672607,253.908203125,132.14416122436523,5e-06,7,0,0.578125,1.0,0.0,0.578125,1.0,0.0,-0.31729328632354736,1.6201815605163574,-2.4748666286468506,-0.31729328632354736,1.6201815605163574,-2.4748666286468506,3417.8828125,8192.0,146.0,0.1640625,3417.8828125,8192.0,146.0,0.1640625,0.0,1252.0625,1888.0,874.0,0.0,3,62,26.9296875,0.25,0.75,4.625,8,4.625,8.0,8,8,3.39411199092865e-05,1.5777222327888012,89.98003247380257,35.695546450981055,0.0,0.0,0.0,89.98003247380257,0.0,1729,8192,92.44455324299634,8.51992517709732e-05,4.589096821844578,0.0038524288684129715,62.388619277626276,159.45626892708242,3.541819751262665e-05,6.444850746734808e-06,0.10437190491327734,0.2113071488494484,597753,159.45626892708242,1874.347756980774,,,,,,,
8,True,28656,0.0752219706773758,0.0011193328500667121,0.00014593711080124194,9.79838887360529e-07,0.0026627974566508783,-0.015377834817627445,-0.012715037621092051,1.0,1791.0,1.0,0.0,-1.3729084704536945,2.6276131458580494,5287679.5703125,0.14047740923706442,0.14047740923706442,0.2144305687798434,-0.015377834817627445,0.3460016932968749,0.0011193328500667121,0.00014593711080124194,9.79838887360529e-07,0.023211047460790724,1.2695192187093198,0.0,1.0,0.5,0.2,0.5,3.0,0.71875,0.17707550562301735,246.34305095672607,253.908203125,132.43165969848633,5e-06,8,0,0.4765625,1.0,0.0,0.4765625,1.0,0.0,-0.13853998482227325,2.4748666286468506,-2.4748666286468506,-0.13853998482227325,2.4748666286468506,-2.4748666286468506,3337.890625,8192.0,155.0,0.1484375,3337.890625,8192.0,155.0,0.1484375,0.0,1203.5625,1860.0,878.0,0.0,3,62,29.6171875,0.375,0.625,3.8125,8,3.8125,8.0,8,8,3.60589474439621e-05,1.6514203231781721,88.73348882235587,34.15745899656031,0.0,0.0,0.0,88.73348882235587,0.0,892,8192,90.85470659285784,8.128583431243896e-05,4.475952489301562,0.0036553330719470978,57.20348060131073,152.5679090358317,3.612227737903595e-05,6.288139244988178e-06,0.09840510953148725,0.21264998617403824,581306,152.5679090358317,1905.0729726638517,,,,,,,
9,True,23840,0.07307777553796768,0.0019819593071588315,1.9348948374187103e-05,1.1507294743751117e-06,-0.0027793594053946435,-0.04648375768738333,-0.049263117340160534,1.0,1490.0,1.0,0.0,-1.52539798989892,2.7102913595736027,4739913.90234375,0.3322227268945426,0.3322227268945426,0.2556812075364757,-0.04648375768738333,0.26588914036664607,0.0019819593071588315,1.9348948374187103e-05,1.1507294743751117e-06,0.04156815249007195,1.406393639743328,0.0,1.0,0.5,0.2,0.5,3.0,0.548828125,0.17377192310614614,246.34305095672607,253.908203125,132.62032318115234,5e-06,9,0,0.546875,1.0,0.0,0.546875,1.0,0.0,-0.2298700511455536,1.6201815605163574,-2.4748666286468506,-0.2298700511455536,1.6201815605163574,-2.4748666286468506,2684.15625,8192.0,122.0,0.1171875,2684.15625,8192.0,122.0,0.1171875,0.0,1110.875,1853.0,824.0,0.0,3,62,22.8984375,0.3125,0.6875,4.375,8,4.375,8.0,8,8,6.470829248428345e-05,1.356108371168375,83.78285295143723,27.088910974998726,0.0,0.0,0.0,83.78285295143723,0.0,824,8192,86.00657826475799,0.00011319853365421295,3.826229829341173,0.0041778236627578735,47.43659054674208,137.3143424410373,3.9074569940567017e-05,8.600521369961285e-06,0.09765357364222561,0.2503305806781635,485764,137.3143424410373,1768.8028481387034,,,,,,,
10,True,44440,0.06793219596147537,0.001379581042783684,1.9339972823217977e-07,1.8897074482993048e-06,0.003121825480775442,-0.03122037140565226,-0.028098546084947884,1.0,2777.5,1.0,0.0,-2.5753540843725204,3.5626049861311913,3940123.3203125,0.30342235090211034,0.30342235090211034,0.27160376871804803,-0.03122037140565226,0.4298553913711601,0.001379581042783684,1.9339972823217977e-07,1.8897074482993048e-06,0.04916701240290422,2.328875955194235,0.0,1.0,0.5,0.2,0.5,3.0,1.09765625,0.17553311939339328,246.34305095672607,253.908203125,132.05320358276367,5e-06,10,0,0.484375,1.0,0.0,0.484375,1.0,0.0,-0.21715286374092102,2.4748666286468506,-2.4748666286468506,-0.21715286374092102,2.4748666286468506,-2.4748666286468506,2920.9453125,8192.0,160.0,0.09375,2920.9453125,8192.0,160.0,0.09375,0.0,1335.0625,1928.0,867.0,0.0,3,62,26.640625,0.375,0.625,3.875,8,3.875,8.0,8,8,7.484667003154755e-05,1.840640164911747,90.3626478612423,29.808691476660897,0.0,0.0,0.0,90.3626478612423,0.0,1438,8192,92.74835741519928,0.0001135505735874176,4.216747373342514,0.004006184637546539,53.131581980735064,150.1403539199382,4.1715800762176514e-05,7.353914480351377e-06,0.09753047985611345,0.24806919157485746,544769,150.1403539199382,1814.199133600338,,,,,,,
