step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_adv,timing_per_token_ms_gen,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,True,33704,0.09432670474052429,0.001679616831097519,-0.0003186447843290807,0.0,-0.0016402011970058084,-0.031036739474075148,-0.03267694087116979,1.0,2106.5,1.0,0.0,-1.7018043883144855,2.930354543030262,5146537.125,0.42481703753583133,0.42481703753583133,0.32189384150256617,-0.031036739474075148,0.37005723674897556,0.001679616831097519,-0.0003186447843290807,0.0,0.048796521907206625,1.72078656591475,0.0,1.0,0.2,0.181269246922,0.22140275816,3.0,2.2421875,0.16321515880676302,226.04230165481567,235.203125,249.30694198608398,5e-06,1,0,0.3984375,1.0,0.0,0.3984375,1.0,0.0,-0.2512708902359009,1.6201815605163574,-2.4748666286468506,-0.2512708902359009,1.6201815605163574,-2.4748666286468506,2147.9765625,8192.0,163.0,0.0625,2147.9765625,8192.0,163.0,0.0625,0.0,1201.0625,1760.0,891.0,0.0,3,62,20.609375,0.5,0.5,3.1875,8,3.1875,8.0,8,8,0.00014070048928260803,1.9121370632201433,84.09635633789003,21.37979095055198,0.0,0.0,0.0,84.09635633789003,0.0,957,8192,93.48554306477308,0.00011757202446460724,6.092099571600556,0.004225119948387146,43.31970128417015,142.9424746837467,5.291588604450226e-05,9.856185305922982e-06,0.34002037915324773,0.10105440992675173,428677,142.9424746837467,1499.473830113922,,,,,,,
2,True,29720,0.08635516464710236,0.0025686518147267634,1.6385698586418584e-05,2.8690645876849885e-06,0.006089278278523125,-0.04854941071243957,-0.042460131604457274,1.0,1857.5,1.0,0.0,-1.8560856580734253,2.941119335591793,4195287.8671875,0.5477435705251992,0.5477435705251992,0.20456418556256922,-0.04854941071243957,0.5047786223713334,0.0025686518147267634,1.6385698586418584e-05,2.8690645876849885e-06,0.10469912242842838,1.7647740244865417,0.0,1.0,0.2,0.181269246922,0.22140275816,3.0,1.67578125,0.1713299980000917,238.92705011367798,248.89453125,246.18669509887695,5e-06,2,0,0.53125,1.0,0.0,0.53125,1.0,0.0,-0.3503880202770233,1.6201815605163574,-2.4748666286468506,-0.3503880202770233,1.6201815605163574,-2.4748666286468506,3020.7578125,8192.0,145.0,0.1171875,3020.7578125,8192.0,145.0,0.1171875,0.0,1202.625,1904.0,784.0,0.0,3,62,25.4609375,0.1875,0.8125,4.25,8,4.25,8.0,8,8,6.558932363986969e-05,1.7069182191044092,86.60029467195272,31.141145452173078,0.0,0.0,0.0,86.60029467195272,0.0,972,8192,89.36815151385963,0.00018203631043434143,4.199120841920376,0.003801923245191574,53.99589203670621,147.6156416386366,3.973953425884247e-05,7.032875463040724e-06,0.23113030803492404,0.09988270665122599,540593,147.6156416386366,1831.0830546107466,,,,,,,
3,True,36336,0.07691822946071625,0.001646360815357184,-5.141733870672738e-05,1.1501376775413519e-06,0.006725559651385993,-0.01644823735114187,-0.009722677641548216,1.0,2271.0,1.0,0.0,-1.2374739442020655,2.4646751396358013,4767969.6171875,0.1627867661882192,0.1627867661882192,0.2616882013160817,-0.01644823735114187,0.3478692702294326,0.001646360815357184,-5.141733870672738e-05,1.1501376775413519e-06,0.04163236386375502,1.1931495438329875,0.0,1.0,0.2,0.181269246922,0.22140275816,3.0,1.01171875,0.17329339245885866,243.51248455047607,252.87890625,246.0414161682129,5e-06,3,0,0.515625,1.0,0.0,0.515625,1.0,0.0,-0.1603190302848816,2.4748666286468506,-2.4748666286468506,-0.1603190302848816,2.4748666286468506,-2.4748666286468506,2739.03125,8192.0,103.0,0.1328125,2739.03125,8192.0,103.0,0.1328125,0.0,1230.8125,2029.0,781.0,0.0,3,62,23.59375,0.375,0.625,4.125,8,4.125,8.0,8,8,5.5186450481414795e-05,1.1393128167837858,88.12034807913005,27.85124021738011,0.0,0.0,0.0,88.12034807913005,0.0,1393,8192,90.67243495956063,0.00010355189442634583,4.133439347147942,0.0036966707557439804,50.86083363741636,145.70195659808815,3.6152079701423645e-05,7.2749060411382305e-06,0.2586237006684635,0.10009216679933948,508140,145.70195659808815,1743.7651897897288,,,,,,,
4,True,23816,0.07646476477384567,0.0004364001943031326,2.419713723611494e-05,8.048315862652089e-07,0.0023517945082858205,-0.00930126546882093,-0.006949470960535109,1.0,1488.5,1.0,0.0,-1.129456810071133,2.5356007404625416,5136525.6171875,0.10260436218231916,0.10260436218231916,0.3003198393371948,-0.00930126546882093,0.14627112271250042,0.0004364001943031326,2.419713723611494e-05,8.048315862652089e-07,0.040202852338552475,1.1034835610771552,0.0,1.0,0.2,0.181269246922,0.22140275816,3.0,0.728515625,0.1654928539280956,243.51248455047607,252.87890625,246.18730926513672,5e-06,4,0,0.609375,1.0,0.0,0.609375,1.0,0.0,-0.11736950278282166,2.4748666286468506,-1.20761239528656,-0.11736950278282166,2.4748666286468506,-1.20761239528656,1690.1640625,8192.0,135.0,0.046875,1690.1640625,8192.0,135.0,0.046875,0.0,1099.625,1668.0,797.0,0.0,3,62,16.203125,0.3125,0.6875,4.875,8,4.875,8.0,8,8,2.9841437935829163e-05,1.5352105181664228,81.94593595527112,16.060313116948237,0.0,0.0,0.0,81.94593595527112,0.0,1310,8192,84.45652724988759,0.00010801292955875397,2.966036520898342,0.0038627292960882187,35.502316165715456,122.96032856404781,3.878772258758545e-05,1.0817152103480659e-05,0.3903861369314535,0.0994203643468661,357093,122.96032856404781,1452.0658986934827,,,,,,,
5,True,35000,0.09479301422834396,0.0017736562531354139,-0.00012396535134939768,2.3311617951549124e-06,0.0015686259721405804,-0.02408724243286997,-0.02251861651893705,1.0,2187.5,1.0,0.0,-2.4855294972658157,3.4878425300121307,3419808.453125,0.2590591365005821,0.2590591365005821,0.3132251757176814,-0.02408724243286997,0.22865267464173905,0.0017736562531354139,-0.00012396535134939768,2.3311617951549124e-06,0.06263314734678715,2.3235318548977375,0.0,1.0,0.2,0.181269246922,0.22140275816,3.0,1.60546875,0.1668493880745256,243.51248455047607,252.87890625,246.3798713684082,5e-06,5,0,0.4296875,1.0,0.0,0.4296875,1.0,0.0,-0.39227813482284546,1.6201815605163574,-2.4748666286468506,-0.39227813482284546,1.6201815605163574,-2.4748666286468506,1883.2109375,8192.0,142.0,0.0625,1883.2109375,8192.0,142.0,0.0625,0.0,1219.1875,1844.0,783.0,0.0,3,62,16.671875,0.4375,0.5625,3.4375,8,3.4375,8.0,8,8,3.452040255069733e-05,1.802708849310875,79.39983142912388,18.37366157604265,0.0,0.0,0.0,79.39983142912388,0.0,1310,8192,82.18201292306185,9.299255907535553e-05,3.162838988006115,0.003713015466928482,38.73569831624627,124.11466271989048,4.262849688529968e-05,9.350163726472921e-06,0.34093205555281597,0.09754473810898893,397107,124.11466271989048,1599.7586074749897,,,,,,,
6,True,28784,0.07800474017858505,0.0011417270561651094,2.6081893224727537e-05,2.338507556487457e-06,0.005451373304822482,-0.017280762898735702,-0.011829389550257474,1.0,1799.0,1.0,0.0,-1.823596059344709,3.0988493897020817,5579581.3515625,0.17602509981952608,0.17602509981952608,0.2738265106634804,-0.017280762898735702,0.29880949859278316,0.0011417270561651094,2.6081893224727537e-05,2.338507556487457e-06,0.03576054098084569,1.721258472185582,0.0,1.0,0.2,0.181269246922,0.22140275816,3.0,0.916015625,0.16945375510726224,243.51248455047607,252.87890625,246.1822509765625,5e-06,6,0,0.640625,1.0,0.0,0.640625,1.0,0.0,-0.21040213108062744,2.4748666286468506,-2.4748666286468506,-0.21040213108062744,2.4748666286468506,-2.4748666286468506,2379.78125,8192.0,137.0,0.109375,2379.78125,8192.0,137.0,0.109375,0.0,1161.5625,1582.0,899.0,0.0,3,62,18.828125,0.25,0.75,5.125,8,5.125,8.0,8,8,9.510666131973267e-05,1.6087259389460087,88.45801924914122,24.153087360289646,0.0,0.0,0.0,88.45801924914122,0.0,972,8192,91.54984656535089,9.206309914588928e-05,3.6499760635197163,0.00377054326236248,45.83781535923481,141.08516234718263,4.0626153349876404e-05,8.318133261479313e-06,0.3005457649907124,0.10112204794974279,453292,141.08516234718263,1606.4481638563034,,,,,,,
7,True,36384,0.07291143387556076,0.0022316384929581545,-0.00013655450368332822,3.933319931093138e-06,-0.005461706023197621,-0.044854662264697254,-0.05031636875355616,1.0,2274.0,1.0,0.0,-2.0523978862911463,3.115794815123081,4005412.4140625,0.4805145934224129,0.4805145934224129,0.23871912738499151,-0.044854662264697254,0.4149963420816465,0.0022316384929581545,-0.00013655450368332822,3.933319931093138e-06,0.09528389712795615,1.9112182687968016,0.0,1.0,0.2,0.181269246922,0.22140275816,3.0,1.61328125,0.16112416343206648,249.0159249305725,254.064453125,246.14939880371094,5e-06,7,0,0.546875,1.0,0.0,0.546875,1.0,0.0,-0.32707759737968445,2.4748666286468506,-2.4748666286468506,-0.32707759737968445,2.4748666286468506,-2.4748666286468506,3639.1171875,8192.0,152.0,0.2421875,3639.1171875,8192.0,152.0,0.2421875,0.0,1251.0625,1888.0,874.0,0.0,3,62,28.0,0.1875,0.8125,4.375,8,4.375,8.0,8,8,7.745064795017242e-05,1.6521305814385414,93.20233718119562,38.88430243152834,0.0,0.0,0.0,93.20233718119562,0.0,953,8192,95.75871027261019,8.957833051681519e-05,4.811765979975462,0.0037294961512088776,68.78511735238135,169.39046490378678,4.096701741218567e-05,5.958204103582718e-06,0.20557593654155087,0.10989038515069478,625943,169.39046490378678,1847.633514541487,,,,,,,
8,True,28656,0.07395556569099426,0.002184335793572245,-0.00018539562236696838,3.1558017212773848e-06,-0.005549634952330962,-0.039626765734283254,-0.04517640080302954,1.0,1791.0,1.0,0.0,-1.4386079856194556,2.680992130190134,5332991.0703125,0.38065615063533187,0.38065615063533187,0.18230312769123003,-0.039626765734283254,0.4204732481882557,0.002184335793572245,-0.00018539562236696838,3.1558017212773848e-06,0.07334657374303788,1.3346366453915834,0.0,1.0,0.2,0.181269246922,0.22140275816,3.0,1.14453125,0.16666019225321765,249.0159249305725,254.064453125,246.58890533447266,5e-06,8,0,0.4375,1.0,0.0,0.4375,1.0,0.0,-0.26259538531303406,2.4748666286468506,-2.4748666286468506,-0.26259538531303406,2.4748666286468506,-2.4748666286468506,3766.09375,8192.0,143.0,0.1484375,3766.09375,8192.0,143.0,0.1484375,0.0,1203.625,1860.0,878.0,0.0,3,62,31.7421875,0.375,0.625,3.5,8,3.5,8.0,8,8,2.9617920517921448e-05,1.771406987681985,90.92431449145079,40.020158327388344,0.0,0.0,0.0,90.92431449145079,0.0,1580,8192,93.60484866984189,9.772740304470062e-05,4.764286570250988,0.0038059595972299576,67.18134632334113,165.58919576369226,7.576867938041687e-05,5.98304669723192e-06,0.19417675946944754,0.10561045696018564,636124,165.58919576369226,1920.7895692294892,,,,,,,
9,True,23840,0.08101347833871841,0.002295636513736099,0.00013738209764824205,4.472935870580841e-06,-0.0016132602759171277,-0.038024018751457334,-0.03963727882364765,1.0,1490.0,1.0,0.0,-1.7280296981334686,2.7524033188819885,3907906.234375,0.32180735492147505,0.32180735492147505,0.237427827891218,-0.038024018751457334,0.26434648823158957,0.002295636513736099,0.00013738209764824205,4.472935870580841e-06,0.055133656540419906,1.6024295836687088,0.0,1.0,0.2,0.181269246922,0.22140275816,3.0,0.76171875,0.17054755978162267,249.0159249305725,254.064453125,246.07008743286133,5e-06,9,0,0.5703125,1.0,0.0,0.5703125,1.0,0.0,-0.32051587104797363,1.6201815605163574,-2.4748666286468506,-0.32051587104797363,1.6201815605163574,-2.4748666286468506,2472.3671875,8192.0,151.0,0.0625,2472.3671875,8192.0,151.0,0.0625,0.0,1111.5,1853.0,824.0,0.0,3,62,22.59375,0.25,0.75,4.5625,8,4.5625,8.0,8,8,0.000124417245388031,1.6235678158700466,85.81009530089796,25.009583784994902,0.0,0.0,0.0,85.81009530089796,0.0,824,8192,88.30509909056127,9.376555681228638e-05,3.6071255765855312,0.0038787424564361572,45.16472090780735,137.12155268527567,3.7336722016334534e-05,8.455300895802931e-06,0.27903767293668225,0.09845492693561064,458735,137.12155268527567,1672.7312046009952,,,,,,,
10,True,44440,0.07120101153850555,0.000950619545619702,2.045701450015258e-05,2.044373218268447e-06,-0.0006244434480322525,-0.017471857092459686,-0.018096300977049395,1.0,2777.5,1.0,0.0,-2.507076218724251,3.511642999947071,4127786.6484375,0.1884885645704344,0.1884885645704344,0.2697863313740645,-0.017471857092459686,0.3600781687701332,0.000950619545619702,2.045701450015258e-05,2.044373218268447e-06,0.035152645024936646,2.275627687573433,0.0,1.0,0.2,0.181269246922,0.22140275816,3.0,0.791015625,0.17298303474933868,249.0159249305725,254.064453125,246.0797462463379,5e-06,10,0,0.484375,1.0,0.0,0.484375,1.0,0.0,-0.12321770936250687,2.4748666286468506,-2.4748666286468506,-0.12321770936250687,2.4748666286468506,-2.4748666286468506,2817.1875,8192.0,130.0,0.0546875,2817.1875,8192.0,130.0,0.0546875,0.0,1335.375,1928.0,867.0,0.0,3,62,27.0078125,0.375,0.625,3.875,8,3.875,8.0,8,8,6.401538848876953e-05,1.519022911787033,85.87010806798935,28.611822229620884,0.0,0.0,0.0,85.87010806798935,0.0,1052,8192,89.06771864369512,0.00010192394256591797,3.9959087558090687,0.003864545375108719,52.07020787335932,145.18088756501675,3.9167702198028564e-05,7.2706336733130125e-06,0.24699866512394653,0.09796324534805188,531528,145.18088756501675,1830.5715336048086,,,,,,,
