step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_update_actor,timing_per_token_ms_gen,timing_per_token_ms_adv,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,True,25504,0.08557341247797012,0.003494641205179505,-0.00045878230985607615,2.0088712062715786e-06,-0.00017675268463790417,-0.09513407479971647,-0.09531082736793905,1.0,1594.0,1.0,0.0,-1.3791626524180174,2.4519665502011776,4566154.1171875,1.0,1.0,0.12475874620048805,-0.09513407479971647,0.6372148159483149,0.003494641205179505,-0.00045878230985607615,2.0088712062715786e-06,0.16256680246442556,1.3741591684520245,0.0,1.0,0.2,0.2,0.2,3.0,2.6796875,0.1706272794272046,246.74970197677612,254.0078125,219.88529586791992,5e-06,1,0,0.453125,1.0,0.0,0.453125,1.0,0.0,-0.313607782125473,1.6201815605163574,-2.4748666286468506,-0.313607782125473,1.6201815605163574,-2.4748666286468506,4133.0859375,8192.0,152.0,0.171875,4133.0859375,8192.0,152.0,0.171875,0.0,1160.8125,1695.0,798.0,0.0,3,62,34.5625,0.3125,0.6875,3.625,8,3.625,8.0,8,8,0.00013903994113206863,1.6561867883428931,96.80760546587408,45.6368704352426,0.0,0.0,0.0,96.80760546587408,0.0,904,8192,105.62784989364445,0.00012091174721717834,5.83489234559238,0.004027867689728737,69.90938499942422,181.4168275455013,3.72864305973053e-05,0.10316916290632969,0.19966136435896387,5.944148097572142e-06,677619,181.4168275455013,1867.5748252461472,,,,,,,
2,True,13024,0.08031623065471649,0.003804027708611102,-0.0002805736392019753,8.650519021102809e-07,0.0013650903056259267,-0.10192678635939956,-0.10056169639574364,1.0,814.0,1.0,0.0,-0.7390431154053658,1.8402591422200203,4551802.40625,0.9375,0.9375,0.12638992637549304,-0.10192678635939956,0.6630814376978639,0.003804027708611102,-0.0002805736392019753,8.650519021102809e-07,0.1734081474132836,0.7431287872313987,0.0,1.0,0.2,0.2,0.2,3.0,2.1640625,0.17599170236538034,246.74970197677612,254.0078125,227.02212142944336,5e-06,2,0,0.5234375,1.0,0.0,0.5234375,1.0,0.0,-0.3127060532569885,0.7245674133300781,-2.4748666286468506,-0.3127060532569885,0.7245674133300781,-2.4748666286468506,3444.8671875,8192.0,156.0,0.09375,3444.8671875,8192.0,156.0,0.09375,0.0,1002.375,1423.0,786.0,0.0,3,62,31.9140625,0.375,0.625,4.1875,8,4.1875,8.0,8,8,3.3126212656497955e-05,1.7018564715981483,90.83457917254418,36.22226946816227,0.0,0.0,0.0,90.83457917254418,0.0,874,8192,93.1647011525929,9.58666205406189e-05,4.415973162278533,0.004353438504040241,55.55445507355034,153.16933739650995,3.908853977918625e-05,0.09759288160245086,0.2112851347058302,7.647714443888578e-06,569247,153.16933739650995,1858.2276638253925,,,,,,,
3,True,24848,0.0717969611287117,0.003358360885613365,-9.795371154552868e-05,3.6909310665578232e-06,-0.013069819251541048,-0.10386717226356268,-0.11693699099123478,1.0,1553.0,1.0,0.0,-1.2663170014857315,2.524332467466593,4765344.8671875,1.0,1.0,0.15069764180832357,-0.10386717226356268,0.6711263766867714,0.003358360885613365,-9.795371154552868e-05,3.6909310665578232e-06,0.1979804509319365,1.2135121253086254,0.0,1.0,0.2,0.2,0.2,3.0,2.265625,0.17533923725013673,246.74970197677612,254.0078125,242.92525482177734,5e-06,3,0,0.515625,1.0,0.0,0.515625,1.0,0.0,-0.30398470163345337,2.4748666286468506,-2.4748666286468506,-0.30398470163345337,2.4748666286468506,-2.4748666286468506,3518.125,8192.0,130.0,0.125,3518.125,8192.0,130.0,0.125,0.0,1134.0625,1686.0,783.0,0.0,3,62,32.5,0.25,0.75,4.125,8,4.125,8.0,8,8,7.8568235039711e-05,1.4515211712568998,90.73131744284183,37.20350925321691,0.0,0.0,0.0,90.73131744284183,0.0,1333,8192,93.30450828839093,0.00020682625472545624,4.598894843831658,0.004288802854716778,59.067869337275624,157.0110266301781,6.859470158815384e-05,0.09919370816362535,0.2071960123654089,7.202261796729995e-06,595480,157.0110266301781,1896.2999375916015,,,,,,,
4,True,34728,0.08358071744441986,0.0025032785852090456,-0.00019539032925308675,5.517691761269816e-07,0.0051676673465408385,-0.09914850583299994,-0.09398083796259016,1.0,2170.5,1.0,0.0,-1.7689958475530148,2.876402407884598,4085702.4921875,1.0,1.0,0.14029387675837407,-0.09914850583299994,0.7389473905880781,0.0025032785852090456,-0.00019539032925308675,5.517691761269816e-07,0.16839518444612622,1.6647214889526367,0.0,1.0,0.2,0.2,0.2,3.0,2.421875,0.15973993777135764,247.6745729446411,254.02734375,281.78232192993164,5e-06,4,0,0.546875,1.0,0.0,0.546875,1.0,0.0,-0.31131264567375183,2.4748666286468506,-2.4748666286468506,-0.31131264567375183,2.4748666286468506,-2.4748666286468506,3291.84375,8192.0,130.0,0.1328125,3291.84375,8192.0,130.0,0.1328125,0.0,1240.75,2009.0,784.0,0.0,3,62,28.5546875,0.25,0.75,4.375,8,4.375,8.0,8,8,7.290113717317581e-05,1.4058604734018445,91.94526115059853,34.607954634826456,0.0,0.0,0.0,91.94526115059853,0.0,1378,8192,94.49987304583192,0.00011774618178606033,4.51993483863771,0.004087255336344242,63.366596795618534,162.42689082492143,3.71783971786499e-05,0.10922036360875488,0.22427560790835283,7.044902781148077e-06,580172,162.42689082492143,1785.94811811476,,,,,,,
5,True,26744,0.07813778519630432,0.002403739566943841,-3.664409683779013e-05,5.293380240800616e-07,0.0019208426128898282,-0.10170468431897461,-0.09978384210262448,1.0,1671.5,1.0,0.0,-1.7896610721945763,2.793333701789379,3813466.375,1.0,1.0,0.14015466012094885,-0.10170468431897461,0.7193555704126346,0.002403739566943841,-3.664409683779013e-05,5.293380240800616e-07,0.1720098229125142,1.6452204883098602,0.0,1.0,0.2,0.2,0.2,3.0,2.34375,0.16600925805267905,247.6745729446411,254.02734375,275.35763931274414,5e-06,5,0,0.4453125,1.0,0.0,0.4453125,1.0,0.0,-0.26048487424850464,1.6201815605163574,-2.4748666286468506,-0.26048487424850464,1.6201815605163574,-2.4748666286468506,4059.8203125,8192.0,166.0,0.171875,4059.8203125,8192.0,166.0,0.171875,0.0,1162.125,2003.0,798.0,0.0,3,62,35.7890625,0.3125,0.6875,3.5625,8,3.5625,8.0,8,8,3.5781413316726685e-05,1.9234354943037033,97.57564303744584,44.05984756095859,0.0,0.0,0.0,97.57564303744584,0.0,1485,8192,116.4032926261425,9.234994649887085e-05,5.139784975908697,0.004054105840623379,70.69284850079566,192.27513155620545,3.7756748497486115e-05,0.10576286151263023,0.22400023982385017,6.06530708087919e-06,668409,192.27513155620545,1738.157697748375,,,,,,,
6,True,27600,0.072577103972435,0.001867013538685569,-0.00021681143580565276,2.843246932116017e-06,-0.00023139716358855367,-0.10279443371109664,-0.103025829535909,1.0,1725.0,1.0,0.0,-1.4300350983976386,2.601559206843376,4154446.85546875,1.0,1.0,0.11298515658739552,-0.10279443371109664,0.7515587859315738,0.001867013538685569,-0.00021681143580565276,2.843246932116017e-06,0.18967495299875736,1.3340976872714236,0.0,1.0,0.2,0.2,0.2,3.0,2.078125,0.1747493661680328,247.6745729446411,254.05078125,222.48510360717773,5e-06,6,0,0.546875,1.0,0.0,0.546875,1.0,0.0,-0.20797325670719147,1.6201815605163574,-2.4748666286468506,-0.20797325670719147,1.6201815605163574,-2.4748666286468506,3642.5703125,8192.0,148.0,0.1328125,3642.5703125,8192.0,148.0,0.1328125,0.0,1186.6875,2002.0,824.0,0.0,3,62,31.640625,0.3125,0.6875,4.375,8,4.375,8.0,8,8,3.491900861263275e-05,1.6542712207883596,92.45216920506209,39.020410947276105,0.0,0.0,0.0,92.45216920506209,0.0,1095,8192,95.07861222047359,8.582696318626404e-05,4.678166314959526,0.0040549952536821365,62.036804009228945,161.99283390305936,3.7309713661670685e-05,0.10035963084588397,0.2039223938721018,6.559941848081173e-06,618145,161.99283390305936,1907.9393362854362,,,,,,,
7,True,19632,0.06959845125675201,0.0007635832434971235,5.809706226500566e-05,2.0625089405257313e-06,0.0008679801103426144,-0.11321696522645652,-0.1123489853926003,1.0,1227.0,1.0,0.0,-0.6850142609328032,2.1877032071352005,6320476.8984375,1.0,1.0,0.11543257315015183,-0.11321696522645652,0.9093415730272376,0.0007635832434971235,5.809706226500566e-05,2.0625089405257313e-06,0.22272992692887783,0.6394371334463358,0.0,1.0,0.2,0.2,0.2,3.0,1.3828125,0.1654186197308134,247.6745729446411,254.05078125,240.4805793762207,5e-06,7,0,0.4921875,1.0,0.0,0.4921875,1.0,0.0,-0.0744684636592865,2.4748666286468506,-2.4748666286468506,-0.0744684636592865,2.4748666286468506,-2.4748666286468506,3742.6328125,8192.0,130.0,0.15625,3742.6328125,8192.0,130.0,0.15625,0.0,1138.25,1711.0,783.0,0.0,3,62,32.34375,0.4375,0.5625,3.9375,8,3.9375,8.0,8,8,3.2277777791023254e-05,1.438073217868805,94.54926832020283,40.88304861829238,0.0,0.0,0.0,94.54926832020283,0.0,1555,8192,96.89199170377105,9.407661855220795e-05,4.845206434838474,0.003915018402040005,66.54966045357287,168.32894331309944,4.125107079744339e-05,0.10652155404387473,0.20225566415639695,6.2665059664219375e-06,624753,168.32894331309944,1855.7503769210123,,,,,,,
8,True,21944,0.07473289221525192,0.0015822300338186324,2.7426558631304943e-05,2.6478243739802565e-06,0.0011648136569419876,-0.10813786438666284,-0.10697305074427277,1.0,1371.5,1.0,0.0,-1.4582441037055105,2.704399324953556,4955364.9375,1.0,1.0,0.1058112092325317,-0.10813786438666284,0.7967937648060729,0.0015822300338186324,2.7426558631304943e-05,2.6478243739802565e-06,0.1986022493802011,1.290517424349673,0.0,1.0,0.2,0.2,0.2,3.0,2.3203125,0.17440522706692066,247.6745729446411,254.05078125,258.4548530578613,5e-06,8,0,0.4453125,1.0,0.0,0.4453125,1.0,0.0,-0.15900874137878418,2.4748666286468506,-1.6201815605163574,-0.15900874137878418,2.4748666286468506,-1.6201815605163574,4028.7265625,8192.0,174.0,0.1171875,4028.7265625,8192.0,174.0,0.1171875,0.0,1149.4375,1953.0,802.0,0.0,3,62,35.984375,0.25,0.75,3.5625,8,3.5625,8.0,8,8,3.919098526239395e-05,1.9192269872874022,92.62645747698843,43.69690806485596,0.0,0.0,0.0,92.62645747698843,0.0,966,8192,94.75927833467722,9.183213114738464e-05,5.090261583216488,0.004047838971018791,66.84475307539105,166.72984561230987,3.8183294236660004e-05,0.10085131083107558,0.183757038484705,6.107134030399275e-06,662805,166.72984561230987,1987.6615298414943,,,,,,,
9,True,24296,0.06064755097031593,0.0015772657261550194,0.00017815125011111377,2.247284555778606e-06,0.004115718795219436,-0.10463550593703985,-0.10051978740375489,1.0,1518.5,1.0,0.0,-1.8800052786828019,3.0500920936465263,4470454.8203125,1.0,1.0,0.11552277098143483,-0.10463550593703985,0.7905274086001487,0.0015772657261550194,0.00017815125011111377,2.247284555778606e-06,0.18171886121854186,1.7323549145366997,0.0,1.0,0.2,0.2,0.2,3.0,2.2578125,0.16303984410441216,247.6745729446411,254.05078125,274.209171295166,5e-06,9,0,0.53125,1.0,0.0,0.53125,1.0,0.0,-0.19713757932186127,0.935412585735321,-2.4748666286468506,-0.19713757932186127,0.935412585735321,-2.4748666286468506,3693.4921875,8192.0,130.0,0.171875,3693.4921875,8192.0,130.0,0.171875,0.0,1127.8125,1930.0,783.0,0.0,3,62,31.5078125,0.375,0.625,4.25,8,4.25,8.0,8,8,6.534811109304428e-05,1.4062493173405528,93.50652031507343,39.75054396232008,0.0,0.0,0.0,93.50652031507343,0.0,1930,8192,95.90102879609913,9.987223893404007e-05,4.792580832727253,0.004006862640380859,66.19520828872919,166.9283495703712,3.9587728679180145e-05,0.10726351024785691,0.20285051366973397,6.4927683286922455e-06,617127,166.9283495703712,1848.4787083449855,,,,,,,
10,True,28648,0.07472749799489975,0.0011904266029887367,-0.000389867450849124,4.596307690007961e-06,-0.0009098073605855461,-0.10112188989296556,-0.10203169740270823,1.0,1790.5,1.0,0.0,-2.20603902451694,3.531998533755541,5404740.7578125,1.0,1.0,0.21996125617722773,-0.10112188989296556,0.8605189571196618,0.0011904266029887367,-0.000389867450849124,4.596307690007961e-06,0.1811415827833116,2.0329941059462726,0.0,1.0,0.2,0.2,0.2,3.0,3.125,0.1689866985037098,247.6745729446411,254.05078125,289.8020133972168,5e-06,10,0,0.734375,1.0,0.0,0.734375,1.0,0.0,-0.15767833590507507,2.4748666286468506,-1.6201815605163574,-0.15767833590507507,2.4748666286468506,-1.6201815605163574,2174.2734375,8192.0,121.0,0.0703125,2174.2734375,8192.0,121.0,0.0703125,0.0,1148.0,1746.0,840.0,0.0,3,62,20.4609375,0.125,0.875,5.875,8,5.875,8.0,8,8,3.425590693950653e-05,1.3295137798413634,82.7968720421195,22.053650950008887,0.0,0.0,0.0,82.7968720421195,0.0,1735,8192,85.58933229465038,0.00010050926357507706,3.5216934038326144,0.003956868313252926,41.93673611339182,131.08209173288196,3.675464540719986e-05,0.09861643150372795,0.3075356792845684,9.304783088700382e-06,425251,131.08209173288196,1622.0789368641335,,,,,,,
