step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_adv,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,True,25504,0.0856575071811676,0.002968317650811514,-0.00033396819321751536,3.149463623230986e-06,0.004700441146269441,-0.05204671135288663,-0.04734627032303251,1.0,1594.0,1.0,0.0,-1.3256478440016508,2.42602177336812,4750407.1640625,0.5722995069809258,0.5722995069809258,0.12921854432830995,-0.05204671135288663,0.5292008088987362,0.002968317650811514,-0.00033396819321751536,3.149463623230986e-06,0.11487186222802848,1.3254908546805382,0.0,1.0,0.2,0.2,0.2,3.0,1.8046875,0.17454405028193526,244.3705415725708,253.97265625,118.96854782104492,5e-06,1,0,0.4609375,1.0,0.0,0.4609375,1.0,0.0,-0.2810590863227844,2.4748666286468506,-1.6201815605163574,-0.2810590863227844,2.4748666286468506,-1.6201815605163574,3979.75,8192.0,148.0,0.1328125,3979.75,8192.0,148.0,0.1328125,0.0,1160.9375,1695.0,798.0,0.0,3,62,34.7421875,0.1875,0.8125,3.6875,8,3.6875,8.0,8,8,0.0001250244677066803,1.6601610975340009,91.21283815521747,42.45690689179173,0.0,0.0,0.0,91.21283815521747,0.0,1279,8192,99.55785736069083,0.00012962706387043,7.707883568480611,0.004000898450613022,66.17761294543743,173.48729470465332,3.886595368385315e-05,0.19543834678821462,6.080318857237331e-06,0.10057265708842056,658008,173.48729470465332,1896.4155303712587,,,,,,,
2,True,13024,0.07914627343416214,0.0030912342208466725,-0.00047116725090745604,0.0,0.0037016850255895406,-0.05909405346028507,-0.055392368347384036,1.0,814.0,1.0,0.0,-0.5315233478322625,1.6700876466929913,4838610.765625,0.5674234973266721,0.5674234973266721,0.12861707779570034,-0.05909405346028507,0.4948368860365158,0.0030912342208466725,-0.00047116725090745604,0.0,0.11544755683280528,0.5407031530048698,0.0,1.0,0.2,0.2,0.2,3.0,1.5234375,0.176522250801106,244.3705415725708,253.97265625,119.07322311401367,5e-06,2,0,0.5390625,1.0,0.0,0.5390625,1.0,0.0,-0.26573190093040466,0.5400605201721191,-2.4748666286468506,-0.26573190093040466,0.5400605201721191,-2.4748666286468506,3486.6640625,8192.0,154.0,0.125,3486.6640625,8192.0,154.0,0.125,0.0,1001.6875,1423.0,786.0,0.0,3,62,31.265625,0.375,0.625,4.3125,8,4.3125,8.0,8,8,4.162825644016266e-05,1.6299633979797363,86.72709568589926,35.64936397288693,0.0,0.0,0.0,86.72709568589926,0.0,789,8192,88.97259302251041,0.00015147682279348373,4.396256851032376,0.003918549977242947,56.25568959489465,149.6619558762759,4.0133483707904816e-05,0.19935914975702154,6.820693805045607e-06,0.09791959672502024,574509,149.6619558762759,1919.3555123485794,,,,,,,
3,True,24848,0.07296179980039597,0.002792409376525029,-0.0002946161285137805,0.0,-0.007001969759585336,-0.040588349947938696,-0.047590319882147014,1.0,1553.0,1.0,0.0,-1.2563212169334292,2.5125156082212925,4797267.3125,0.4108144077472389,0.4108144077472389,0.15149160456471938,-0.040588349947938696,0.4565196547212902,0.002792409376525029,-0.0002946161285137805,0.0,0.08972720877500251,1.2051227577030659,0.0,1.0,0.2,0.2,0.2,3.0,1.3984375,0.17600102321879113,244.3705415725708,253.97265625,119.21408462524414,5e-06,3,0,0.53125,1.0,0.0,0.53125,1.0,0.0,-0.19386912882328033,1.6201815605163574,-2.4748666286468506,-0.19386912882328033,1.6201815605163574,-2.4748666286468506,3467.8828125,8192.0,132.0,0.1171875,3467.8828125,8192.0,132.0,0.1171875,0.0,1132.1875,1686.0,783.0,0.0,3,62,31.4921875,0.3125,0.6875,4.25,8,4.25,8.0,8,8,6.312411278486252e-05,1.4379512686282396,90.08333618286997,35.83397716223408,0.0,0.0,0.0,90.08333618286997,0.0,967,8192,92.35800442565233,9.112898260354996e-05,4.4726347997784615,0.003593794070184231,57.837556056678295,154.70099244080484,3.67211177945137e-05,0.20806553986616547,6.1034971785149865e-06,0.09822804348554165,588809,154.70099244080484,1903.0550182970005,,,,,,,
4,True,34728,0.0902319997549057,0.0006343698378259433,0.0001858926009425943,1.8367783809480898e-06,0.004500446702877525,-0.014768774628464598,-0.010268328042002395,1.0,2170.5,1.0,0.0,-1.7041686307638884,2.8212325274944305,4195053.1484375,0.14649312593974173,0.14649312593974173,0.13872067331919016,-0.014768774628464598,0.4215833648828581,0.0006343698378259433,0.0001858926009425943,1.8367783809480898e-06,0.040897025988670066,1.6180008202791214,0.0,1.0,0.2,0.2,0.2,3.0,0.5546875,0.16185990947089063,248.14095258712769,254.06640625,119.34662246704102,5e-06,4,0,0.609375,1.0,0.0,0.609375,1.0,0.0,-0.13326533138751984,2.4748666286468506,-2.4748666286468506,-0.13326533138751984,2.4748666286468506,-2.4748666286468506,3120.9765625,8192.0,147.0,0.140625,3120.9765625,8192.0,147.0,0.140625,0.0,1241.6875,2009.0,784.0,0.0,3,62,26.765625,0.3125,0.6875,4.875,8,4.875,8.0,8,8,6.463658064603806e-05,1.6398450583219528,87.33827532548457,32.14708639600576,0.0,0.0,0.0,87.33827532548457,0.0,1378,8192,89.69119617436081,9.653624147176743e-05,4.341631753370166,0.0037892870604991913,60.12917032465339,154.20439834427088,3.88026237487793e-05,0.2245170561456896,6.785717336022806e-06,0.10767712948591365,558421,154.20439834427088,1810.6519852737613,,,,,,,
5,True,26744,0.07052169740200043,0.0022842615708214,-4.58093617794475e-05,2.1143919752830698e-06,-0.0038377853779820725,-0.031848747785261367,-0.03568653324327897,1.0,1671.5,1.0,0.0,-1.627044152468443,2.6876117661595345,4240731.625,0.31813598051667213,0.31813598051667213,0.1429106722720495,-0.031848747785261367,0.3672969887208572,0.0022842615708214,-4.58093617794475e-05,2.1143919752830698e-06,0.06316731631522998,1.5060960501432419,0.0,1.0,0.2,0.2,0.2,3.0,1.421875,0.16480128173809097,248.14095258712769,254.06640625,119.3291130065918,5e-06,5,0,0.5,1.0,0.0,0.5,1.0,0.0,-0.21786819398403168,2.4748666286468506,-2.4748666286468506,-0.21786819398403168,2.4748666286468506,-2.4748666286468506,3896.6328125,8192.0,140.0,0.15625,3896.6328125,8192.0,140.0,0.15625,0.0,1161.25,2003.0,798.0,0.0,3,62,32.7890625,0.3125,0.6875,4.0,8,4.0,8.0,8,8,3.2191164791584015e-05,1.6111054699867964,94.48173013050109,41.340797088996624,0.0,0.0,0.0,94.48173013050109,0.0,840,8192,96.75682066287845,9.153783321380615e-05,4.810580777004361,0.0037115244194865227,69.02691030409187,170.7044587302953,4.015490412712097e-05,0.1939912477777858,5.73288974896321e-06,0.1066202513466632,647409,170.7044587302953,1896.2861451172596,,,,,,,
6,True,27600,0.07244769483804703,0.002119803338246129,-7.2710486165306065e-06,1.3407217238636804e-06,-0.002966788539197296,-0.045605211991642136,-0.04857200005790219,1.0,1725.0,1.0,0.0,-1.2290484607219696,2.493327710777521,4676193.1953125,0.4655518621439114,0.4655518621439114,0.10755362482220435,-0.045605211991642136,0.4264618178349175,0.002119803338246129,-7.2710486165306065e-06,1.3407217238636804e-06,0.11031855328474194,1.1514318296685815,0.0,1.0,0.2,0.2,0.2,3.0,1.73046875,0.16611752588847517,248.14095258712769,254.06640625,119.43904876708984,5e-06,6,0,0.5078125,1.0,0.0,0.5078125,1.0,0.0,-0.21402843296527863,2.4748666286468506,-2.4748666286468506,-0.21402843296527863,2.4748666286468506,-2.4748666286468506,3814.875,8192.0,150.0,0.15625,3814.875,8192.0,150.0,0.15625,0.0,1186.875,2002.0,824.0,0.0,3,62,32.734375,0.3125,0.6875,4.0625,8,4.0625,8.0,8,8,3.1713396310806274e-05,1.6387105640023947,89.98630699049681,39.820108377127326,0.0,0.0,0.0,89.98630699049681,0.0,941,8192,92.23508510179818,9.201373904943466e-05,4.860334728844464,0.0038135629147291183,67.68889504019171,164.81849845312536,3.5919249057769775e-05,0.18888865358833468,5.956607241729642e-06,0.10572689408736896,640224,164.81849845312536,1942.2091755740655,,,,,,,
7,True,19632,0.06854761391878128,0.001282680577787687,6.445444046221382e-05,4.063414337451832e-06,0.0059426485308904375,-0.032910802168771625,-0.026968153775669634,1.0,1227.0,1.0,0.0,-0.8403110895305872,2.3151333779096603,6041152.296875,0.2970537224318832,0.2970537224318832,0.09213837410332174,-0.032910802168771625,0.43570968801057436,0.001282680577787687,6.445444046221382e-05,4.063414337451832e-06,0.08705654455116019,0.7789388988167048,0.0,1.0,0.2,0.2,0.2,3.0,1.19921875,0.16733761647573936,248.14095258712769,254.06640625,119.69957733154297,5e-06,7,0,0.421875,1.0,0.0,0.421875,1.0,0.0,-0.1725749373435974,2.4748666286468506,-2.4748666286468506,-0.1725749373435974,2.4748666286468506,-2.4748666286468506,4170.53125,8192.0,124.0,0.1953125,4170.53125,8192.0,124.0,0.1953125,0.0,1139.5625,1711.0,783.0,0.0,3,62,35.3671875,0.4375,0.5625,3.375,8,3.375,8.0,8,8,2.9913149774074554e-05,1.3322576191276312,96.19202043861151,44.723451604673755,0.0,0.0,0.0,96.19202043861151,0.0,860,8192,98.36882652528584,8.677318692207336e-05,5.119511901400983,0.003867482766509056,71.71347277332097,175.23607912100852,4.416797310113907e-05,0.18427063871750046,5.690051915439723e-06,0.1055087786428573,679692,175.23607912100852,1939.3608993346675,,,,,,,
8,True,21944,0.06540732085704803,0.0016896204251679592,0.00011913129833374114,8.447988875559531e-06,-0.002297466970048845,-0.019615715413237922,-0.02191318292170763,1.0,1371.5,1.0,0.0,-1.3658251656452194,2.5543679408729076,4450495.3671875,0.1837105026934296,0.1837105026934296,0.10357640929758753,-0.019615715413237922,0.2806987579177237,0.0016896204251679592,0.00011913129833374114,8.447988875559531e-06,0.04059789836173877,1.2463108783995267,0.0,1.0,0.2,0.2,0.2,3.0,0.8125,0.17803019018577393,248.14095258712769,254.06640625,119.92709350585938,5e-06,8,0,0.4375,1.0,0.0,0.4375,1.0,0.0,-0.14644911885261536,2.4748666286468506,-1.6201815605163574,-0.14644911885261536,2.4748666286468506,-1.6201815605163574,4088.546875,8192.0,170.0,0.125,4088.546875,8192.0,170.0,0.125,0.0,1149.4375,1953.0,802.0,0.0,3,62,36.53125,0.3125,0.6875,3.5,8,3.5,8.0,8,8,3.1451694667339325e-05,1.8466836083680391,90.02975351922214,43.333705860473856,0.0,0.0,0.0,90.02975351922214,0.0,1566,8192,92.29729140922427,0.00010409299284219742,5.06126874871552,0.005233685486018658,66.0622579306364,163.4545917706564,3.633368760347366e-05,0.17636402643287896,7.806088169081407e-06,0.09853244170532618,670462,163.4545917706564,2050.912099614574,,,,,,,
9,True,24296,0.06677964329719543,0.0025469929569226224,5.044464046477515e-05,6.11830148500303e-06,0.0013662472629221156,-0.03529513391549699,-0.03392888596863486,1.0,1518.5,1.0,0.0,-1.9582668461371213,3.085902623832226,4361419.1328125,0.36376444925554097,0.36376444925554097,0.11367926577606038,-0.03529513391549699,0.38184897863271267,0.0025469929569226224,5.044464046477515e-05,6.11830148500303e-06,0.07714492152445018,1.8079722010879777,0.0,1.0,0.2,0.2,0.2,3.0,1.55078125,0.1723120312596636,248.14095258712769,254.06640625,119.51687622070312,5e-06,9,0,0.515625,1.0,0.0,0.515625,1.0,0.0,-0.26976266503334045,2.4748666286468506,-2.4748666286468506,-0.26976266503334045,2.4748666286468506,-2.4748666286468506,3806.0234375,8192.0,128.0,0.15625,3806.0234375,8192.0,128.0,0.15625,0.0,1127.8125,1930.0,783.0,0.0,3,62,32.375,0.25,0.75,4.125,8,4.125,8.0,8,8,0.00011644139885902405,1.39437544811517,88.49420220777392,39.525054121208086,0.0,0.0,0.0,88.49420220777392,0.0,1297,8192,90.8042874429375,9.705498814582825e-05,4.789929362945259,0.003854772076010704,64.0960004394874,159.72322092484683,3.718864172697067e-05,0.18639099503652207,6.103852504486247e-06,0.10149303904240235,631531,159.72322092484683,1976.9542473011759,,,,,,,
10,True,28648,0.0708278939127922,0.0032762100017862394,-3.939765008453833e-06,1.3017876767662528e-06,0.003122706610156456,-0.0490129612153396,-0.04589025367749855,1.0,1790.5,1.0,0.0,-2.108588207513094,3.4188843183219433,5403829.734375,0.51692647440359,0.51692647440359,0.23493991665599195,-0.0490129612153396,0.46842730155605705,0.0032762100017862394,-3.939765008453833e-06,1.3017876767662528e-06,0.11312720982823521,1.9647297612391412,0.0,1.0,0.2,0.2,0.2,3.0,1.953125,0.16796167728692915,248.14095258712769,254.06640625,119.62367630004883,5e-06,10,0,0.71875,1.0,0.0,0.71875,1.0,0.0,-0.561877965927124,2.4748666286468506,-2.4748666286468506,-0.561877965927124,2.4748666286468506,-2.4748666286468506,2194.40625,8192.0,115.0,0.0390625,2194.40625,8192.0,115.0,0.0390625,0.0,1147.1875,1746.0,840.0,0.0,3,62,21.4140625,0.0625,0.9375,5.75,8,5.75,8.0,8,8,2.9806047677993774e-05,1.209936697036028,78.69670203700662,21.151971246290486,0.0,0.0,0.0,78.69670203700662,0.0,1735,8192,81.05056038685143,8.612032979726791e-05,3.4093124521896243,0.0036391932517290115,42.442968770861626,126.93593368120492,3.543402999639511e-05,0.2885552768646538,8.508274615707819e-06,0.09922980419817833,427724,126.93593368120492,1684.8026701178785,,,,,,,
