step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_adv,timing_per_token_ms_update_actor,timing_per_token_ms_gen,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,True,27232,0.08199469745159149,0.0037481257459148765,-0.0004708223050329252,2.8982438493585505e-06,0.012104407764127245,-0.05302110855700448,-0.040916700672823936,1.0,1702.0,1.0,0.0,-1.031741227954626,2.3167982921004295,5079356.203125,0.5461047915741801,0.5461047915741801,0.15783538524871255,-0.05302110855700448,0.5563562836674791,0.0037481257459148765,-0.0004708223050329252,2.8982438493585505e-06,0.12232036062050611,0.997254241257906,0.0,1.0,0.2,0.2,0.2,3.0,1.46484375,0.16994210351560118,236.30726671218872,246.1015625,123.68758773803711,5e-06,1,0,0.671875,1.0,0.0,0.671875,1.0,0.0,-0.4598200023174286,2.4748666286468506,-2.4748666286468506,-0.4598200023174286,2.4748666286468506,-2.4748666286468506,2654.8984375,8192.0,163.0,0.1171875,2654.8984375,8192.0,163.0,0.1171875,0.0,1145.75,1992.0,781.0,0.0,3,62,22.1171875,0.0625,0.9375,5.375,8,5.375,8.0,8,8,0.00013137701898813248,1.8866738444194198,87.57925144396722,27.332635837199632,0.0,0.0,0.0,87.57925144396722,0.0,891,8192,95.78397026471794,0.00013651419430971146,6.5653461227193475,0.004088683053851128,48.76308009400964,151.15599880740047,3.6642886698246e-05,8.4045753990399e-06,0.10023593855080165,0.2818609770992827,486483,151.15599880740047,1609.2083802107834,,,,,,,
2,True,34928,0.07413676381111145,0.0018539999555287068,0.00011373265306247049,2.102966675465723e-06,-0.008813396110781468,-0.019612695396062918,-0.028426091063010972,1.0,2183.0,1.0,0.0,-1.1116383895277977,2.45421689376235,5669098.46875,0.22291349619627,0.22291349619627,0.17680274624706757,-0.019612695396062918,0.2745716677719148,0.0018539999555287068,0.00011373265306247049,2.102966675465723e-06,0.04862915305420756,1.0879657380282879,0.0,1.0,0.2,0.2,0.2,3.0,1.046875,0.16534378071403252,251.20408391952515,254.0625,123.9405288696289,5e-06,2,0,0.3203125,1.0,0.0,0.3203125,1.0,0.0,-0.10846871882677078,2.4748666286468506,-2.4748666286468506,-0.10846871882677078,2.4748666286468506,-2.4748666286468506,3731.34375,8192.0,90.0,0.1953125,3731.34375,8192.0,90.0,0.1953125,0.0,1230.0,1907.0,900.0,0.0,3,62,30.6796875,0.5,0.5,2.5625,8,2.5625,8.0,8,8,6.778724491596222e-05,1.0146082201972604,91.33968533575535,38.964850646785635,0.0,0.0,0.0,91.33968533575535,0.0,1361,8192,93.70337394345552,9.670853614807129e-05,4.879070026800036,0.0038103321567177773,68.11491890158504,166.7490940419957,3.604777157306671e-05,6.000031740263439e-06,0.10725880542315439,0.19619141467018317,635052,166.7490940419957,1904.2142437069624,,,,,,,
3,True,26488,0.07305066287517548,0.0011178291688338504,0.0001218555084392392,0.0,-0.0021766739955637604,-0.03014592337422073,-0.0323225969041232,1.0,1655.5,1.0,0.0,-1.1830755434930325,2.1813744381070137,3965143.5703125,0.3059568051248789,0.3059568051248789,0.2155144343332069,-0.03014592337422073,0.3284949980989573,0.0011178291688338504,0.0001218555084392392,0.0,0.052398829720914364,1.1474838089197874,0.0,1.0,0.2,0.2,0.2,3.0,1.0859375,0.17712919185169224,251.20408391952515,254.0625,159.40923309326172,5e-06,3,0,0.375,1.0,0.0,0.375,1.0,0.0,-0.10852429270744324,0.935412585735321,-2.4748666286468506,-0.10852429270744324,0.935412585735321,-2.4748666286468506,3658.9296875,8192.0,115.0,0.1640625,3658.9296875,8192.0,115.0,0.1640625,0.0,1137.5625,1930.0,816.0,0.0,3,62,31.7578125,0.5625,0.4375,3.0,8,3.0,8.0,8,8,3.422144800424576e-05,1.2336581675335765,88.05679845158011,38.21915776038804,0.0,0.0,0.0,88.05679845158011,0.0,1453,8192,90.42036681529135,8.817389607429504e-05,4.738774630241096,0.0036259684711694717,60.64492826722562,155.838292485103,3.7155114114284515e-05,5.905957431732291e-06,0.09877812442234905,0.193064413934427,613951,155.838292485103,1969.833569816254,,,,,,,
4,True,42992,0.07785379886627197,0.0018082549031532835,-0.00023243618053925275,2.529725520616921e-06,-0.004383588267955929,-0.024272996612126008,-0.028656584734562784,1.0,2687.0,1.0,0.0,-1.4628746397793293,2.7221404686570168,5038651.4921875,0.25975901540368795,0.25975901540368795,0.27973378789701964,-0.024272996612126008,0.40629384509120464,0.0018082549031532835,-0.00023243618053925275,2.529725520616921e-06,0.059225363889709115,1.3883418748155236,0.0,1.0,0.2,0.2,0.2,3.0,1.1953125,0.17417746545753393,251.20408391952515,254.0625,140.40374755859375,5e-06,4,0,0.578125,1.0,0.0,0.578125,1.0,0.0,-0.22895565629005432,2.4748666286468506,-1.20761239528656,-0.22895565629005432,2.4748666286468506,-1.20761239528656,3198.375,8192.0,124.0,0.0625,3198.375,8192.0,124.0,0.0625,0.0,1336.5625,1995.0,824.0,0.0,3,62,28.875,0.1875,0.8125,4.625,8,4.625,8.0,8,8,6.328988820314407e-05,1.3994553769007325,89.23810525797307,33.37877665664564,0.0,0.0,0.0,89.23810525797307,0.0,1076,8192,91.82875384297222,8.997414261102676e-05,4.472133542411029,0.0038322238251566887,57.71012924052775,154.04705609567463,4.141312092542648e-05,6.601909868446176e-06,0.09941931607472497,0.22430519854558031,580472,154.04705609567463,1884.0736548690807,,,,,,,
5,True,36600,0.07922341674566269,0.0014238639087125193,-8.481100013568721e-05,4.8463379016538966e-06,0.005853459821082652,-0.03326444132835604,-0.027410981594584882,1.0,2287.5,1.0,0.0,-1.3551080129109323,2.5165200605988503,4147987.3671875,0.3261264958418906,0.3261264958418906,0.2244220496931823,-0.03326444132835604,0.39875706245182474,0.0014238639087125193,-8.481100013568721e-05,4.8463379016538966e-06,0.07000947941560298,1.2867946429178119,0.0,1.0,0.2,0.2,0.2,3.0,1.109375,0.1742838158113324,251.20408391952515,254.0625,140.56608200073242,5e-06,5,0,0.5546875,1.0,0.0,0.5546875,1.0,0.0,-0.251775860786438,2.4748666286468506,-2.4748666286468506,-0.251775860786438,2.4748666286468506,-2.4748666286468506,3007.15625,8192.0,145.0,0.125,3007.15625,8192.0,145.0,0.125,0.0,1301.625,1990.0,825.0,0.0,3,62,26.65625,0.25,0.75,4.4375,8,4.4375,8.0,8,8,3.32975760102272e-05,1.572767767123878,88.13613982405514,30.7461866717058,0.0,0.0,0.0,88.13613982405514,0.0,1766,8192,90.6130749443546,0.00011363904923200607,4.296102458611131,0.004214470274746418,54.676932698115706,149.62637740559876,4.2098574340343475e-05,7.6414993268587e-06,0.09913790278957163,0.23540999840057206,551524,149.62637740559876,1843.003919372317,,,,,,,
6,True,32176,0.06839947402477264,0.002511092763597844,-0.0001549856557971907,1.0693449894461082e-06,-0.001643081195652485,-0.03237275223364122,-0.03401583342929371,1.0,2011.0,1.0,0.0,-1.563676405698061,2.667033039033413,4216352.8671875,0.35042286617681384,0.35042286617681384,0.19930528483376667,-0.03237275223364122,0.39194661036704315,0.002511092763597844,-0.0001549856557971907,1.0693449894461082e-06,0.08809454378206283,1.4986124522984028,0.0,1.0,0.2,0.2,0.2,3.0,1.44921875,0.1628618161424673,251.20408391952515,254.0625,145.42309951782227,5e-06,6,0,0.5078125,1.0,0.0,0.5078125,1.0,0.0,-0.31246981024742126,2.4748666286468506,-2.4748666286468506,-0.31246981024742126,2.4748666286468506,-2.4748666286468506,3762.234375,8192.0,139.0,0.1796875,3762.234375,8192.0,139.0,0.1796875,0.0,1245.6875,1939.0,874.0,0.0,3,62,30.921875,0.3125,0.6875,4.0625,8,4.0625,8.0,8,8,3.5713426768779755e-05,1.5111216036602855,91.5999411623925,39.81805799454742,0.0,0.0,0.0,91.5999411623925,0.0,1073,8192,93.98417309112847,9.746011346578598e-05,4.932335074990988,0.0041041867807507515,69.06195841636509,168.01559040229768,3.818795084953308e-05,6.402647650052498e-06,0.10773861166271734,0.1951636392335183,641014,168.01559040229768,1907.6027363447395,,,,,,,
7,True,48312,0.07836062461137772,0.002504932628653478,-6.25846800517138e-05,5.515314683179895e-06,0.0037286108708940446,-0.039547516498714685,-0.03581890615168959,1.0,3019.5,1.0,0.0,-1.7955817244946957,2.732532061636448,3361324.1171875,0.40445561637170613,0.40445561637170613,0.2829113899487289,-0.039547516498714685,0.40702124129478245,0.002504932628653478,-6.25846800517138e-05,5.515314683179895e-06,0.08536760613787919,1.6903114579617977,0.0,1.0,0.2,0.2,0.2,3.0,1.82421875,0.17203172595634317,251.20408391952515,254.0625,145.28345108032227,5e-06,7,0,0.6953125,1.0,0.0,0.6953125,1.0,0.0,-0.34892982244491577,1.6201815605163574,-2.4748666286468506,-0.34892982244491577,1.6201815605163574,-2.4748666286468506,2657.484375,8192.0,137.0,0.1171875,2657.484375,8192.0,137.0,0.1171875,0.0,1366.8125,1889.0,787.0,0.0,3,62,21.4765625,0.125,0.875,5.5625,8,5.5625,8.0,8,8,0.0003611687570810318,1.4883774807676673,86.9017477761954,27.243513197943685,0.0,0.0,0.0,86.9017477761954,0.0,1573,8192,89.45814806316048,0.00018024258315563202,4.02517653349787,0.004236016422510147,50.77050945069641,144.30646664462984,5.191098898649216e-05,8.223518127215832e-06,0.09856246132029355,0.2629899871917182,515110,144.30646664462984,1784.7779520113734,,,,,,,
8,True,25680,0.07258527725934982,0.0016680758872098522,-7.061714606848568e-05,6.568874425738613e-06,0.0006842304892415996,-0.03843504178803414,-0.03775081079220399,1.0,1605.0,1.0,0.0,-1.4848794573917985,2.605820905417204,4476646.4375,0.38625764288008213,0.38625764288008213,0.13444845344835615,-0.03843504178803414,0.39681511354617327,0.0016680758872098522,-7.061714606848568e-05,6.568874425738613e-06,0.06558189995121211,1.3950485428795218,0.0,1.0,0.2,0.2,0.2,3.0,1.328125,0.16373260854987723,251.20408391952515,254.0625,145.5405044555664,5e-06,8,0,0.4453125,1.0,0.0,0.4453125,1.0,0.0,-0.2034824937582016,1.6201815605163574,-1.6201815605163574,-0.2034824937582016,1.6201815605163574,-1.6201815605163574,3872.015625,8192.0,175.0,0.1484375,3872.015625,8192.0,175.0,0.1484375,0.0,1164.8125,1768.0,819.0,0.0,3,62,33.1640625,0.375,0.625,3.5625,8,3.5625,8.0,8,8,3.4487806260585785e-05,1.9059906844049692,91.2413630746305,40.84644406427833,0.0,0.0,0.0,91.2413630746305,0.0,1089,8192,93.46802432369441,0.00014231912791728973,4.926205269061029,0.004102642647922039,69.16868885885924,167.60505702532828,3.638956695795059e-05,6.363507924323094e-06,0.1072858490103507,0.1885888412521224,644714,167.60505702532828,1923.3130892422046,,,,,,,
9,True,38784,0.07253396511077881,0.0013429826467472594,3.171003953639229e-05,2.9833995540684555e-06,-0.002744793309830129,-0.03961865123710595,-0.042363444168586284,1.0,2424.0,1.0,0.0,-1.6588494777679443,2.895181033760309,5108968.8046875,0.41712775733321905,0.41712775733321905,0.25293134996450245,-0.03961865123710595,0.4348499488917972,0.0013429826467472594,3.171003953639229e-05,2.9833995540684555e-06,0.100740424124524,1.5619240459054708,0.0,1.0,0.2,0.2,0.2,3.0,1.40625,0.17366690792855194,251.20408391952515,254.0625,145.5648422241211,5e-06,9,0,0.4453125,1.0,0.0,0.4453125,1.0,0.0,-0.18462714552879333,2.4748666286468506,-2.4748666286468506,-0.18462714552879333,2.4748666286468506,-2.4748666286468506,2962.7578125,8192.0,122.0,0.109375,2962.7578125,8192.0,122.0,0.109375,0.0,1258.9375,1909.0,785.0,0.0,3,62,28.625,0.3125,0.6875,3.5625,8,3.5625,8.0,8,8,6.646011024713516e-05,1.4050741912797093,89.05034912005067,30.338147229871538,0.0,0.0,0.0,89.05034912005067,0.0,992,8192,91.3601677780971,0.00010691303759813309,4.172102512791753,0.004114423878490925,53.18324740789831,148.75258666742593,3.690272569656372e-05,7.613987787213232e-06,0.0984187843078042,0.24090774742202575,540377,148.75258666742593,1816.3616919420353,,,,,,,
10,True,26952,0.07142729312181473,0.0018688152467802865,-5.50417778413248e-05,2.181459535677277e-06,-0.004149718297412619,-0.02299808181123808,-0.027147799904923886,1.0,1684.5,1.0,0.0,-1.5916425306349993,2.819113701581955,4814921.1171875,0.23036134103313088,0.23036134103313088,0.2201555016297097,-0.02299808181123808,0.32235361406928825,0.0018688152467802865,-5.50417778413248e-05,2.181459535677277e-06,0.06024979765061289,1.4922369252890348,0.0,1.0,0.2,0.2,0.2,3.0,1.26953125,0.173353905581558,251.20408391952515,254.0625,145.58208465576172,5e-06,10,0,0.4375,1.0,0.0,0.4375,1.0,0.0,-0.2189687341451645,2.4748666286468506,-1.6201815605163574,-0.2189687341451645,2.4748666286468506,-1.6201815605163574,3156.875,8192.0,141.0,0.109375,3156.875,8192.0,141.0,0.109375,0.0,1173.0,1956.0,800.0,0.0,3,62,28.3828125,0.375,0.625,3.5,8,3.5,8.0,8,8,7.416587322950363e-05,1.5883233258500695,88.99126253277063,32.79075345918682,0.0,0.0,0.0,88.99126253277063,0.0,1057,8192,91.25900653284043,0.00010932795703411102,4.317678685300052,0.003992130048573017,55.03824309911579,150.6648139283061,3.7010759115219116e-05,7.203098473853563e-06,0.09930685625147195,0.22584390846575042,554224,150.6648139283061,1839.26155533477,,,,,,,
