step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_joint_loss,actor_continuation_loss,actor_pg_loss,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_loss_weight_ignored,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_update_actor,timing_per_token_ms_adv,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,True,33704,0.08614937961101532,0.005463523806611192,0.4348334852838889,2.690870019250724e-06,0.003550807887222618,0.002081201004330069,0.003550807887222618,2106.5,1.0,1.0,1.0,-1.7030165754258633,2.894421674311161,4995010.484375,0.35093064862303436,0.35093064862303436,0.3115389997582012,nan,nan,0.002906523659476079,-0.00021227220804576064,3.0850235361867817e-06,0.0,0.2,0.2,0.2,3.0,0.4248046875,0.1684148407336132,231.4693365097046,241.322265625,232.43257522583008,5e-06,1,0,0.3984375,1.0,0.0,0.3984375,1.0,0.0,-0.2933421730995178,1.6201815605163574,-1.6201815605163574,-0.2933421730995178,1.6201815605163574,-1.6201815605163574,2330.125,8192.0,148.0,0.09375,2330.125,8192.0,148.0,0.09375,0.0,1200.4375,1760.0,891.0,0.0,3,62,20.171875,0.4375,0.5625,3.1875,8,3.1875,8.0,8,8,0.00013891048729419708,1.6444255374372005,81.46973973885179,22.887030889687594,0.0,0.0,0.0,81.46973973885179,0.0,986,8192,89.96251368150115,0.00013206340372562408,6.302891809493303,0.004052452743053436,44.872368106618524,141.18203889764845,4.053674638271332e-05,0.3016285126921207,0.09929448234748917,8.967349269445016e-06,451912,141.18203889764845,1600.4585410741192,,,,,,,
2,True,29720,0.09325544536113739,0.007861306410632096,0.28282129263971,1.8967531332236831e-06,0.004568314307107357,0.005666409415425733,0.004568314307107357,1857.5,1.0,1.0,1.0,-1.6415113471448421,2.7320783138275146,4383446.1875,0.28292684676125646,0.28292684676125646,0.20097056861440452,nan,nan,0.0012593473111337516,-1.5582660267909887e-05,2.1235082954262907e-06,0.0,0.2,0.2,0.2,3.0,0.3994140625,0.17368627308049844,237.96916818618774,247.162109375,232.2212791442871,5e-06,2,0,0.515625,1.0,0.0,0.515625,1.0,0.0,-0.17245905101299286,1.6201815605163574,-2.4748666286468506,-0.17245905101299286,1.6201815605163574,-2.4748666286468506,2893.859375,8192.0,140.0,0.125,2893.859375,8192.0,140.0,0.125,0.0,1202.125,1904.0,784.0,0.0,3,62,24.765625,0.3125,0.6875,4.125,8,4.125,8.0,8,8,3.795325756072998e-05,1.5148212630301714,83.4002796690911,29.16571448931063,0.0,0.0,0.0,83.4002796690911,0.0,1026,8192,85.82092665880919,9.339861571788788e-05,4.0243742149323225,0.0037642624229192734,51.397116700187325,141.27880605868995,3.522448241710663e-05,0.23168920898996578,0.09803259423327597,7.179788174620862e-06,524286,141.27880605868995,1855.5012412201497,,,,,,,
3,True,36336,0.08586201071739197,0.010476361974724568,0.18754842784255743,5.582550102189998e-07,0.0008508273313054815,0.0005907743288844358,0.0008508273313054815,2271.0,1.0,1.0,1.0,-1.0479939049109817,2.282751590013504,4797915.90625,0.14779765624552965,0.14779765624552965,0.2618112900304058,nan,nan,0.0017029461932906997,-0.00036013925551969805,5.816226007482328e-07,0.0,0.2,0.2,0.2,3.0,0.3525390625,0.1738479866171524,241.85735034942627,251.791015625,231.5305938720703,5e-06,3,0,0.53125,1.0,0.0,0.53125,1.0,0.0,-0.16266939043998718,2.4748666286468506,-2.4748666286468506,-0.16266939043998718,2.4748666286468506,-2.4748666286468506,2691.71875,8192.0,114.0,0.1015625,2691.71875,8192.0,114.0,0.1015625,0.0,1230.8125,2029.0,781.0,0.0,3,62,22.6953125,0.375,0.625,4.25,8,4.25,8.0,8,8,5.729310214519501e-05,1.2377508450299501,85.77910418063402,27.020064006588655,0.0,0.0,0.0,85.77910418063402,0.0,1393,8192,88.32258307375014,0.0001004338264465332,3.9602938145399094,0.003812383860349655,49.92829020880163,142.24590387754142,3.604590892791748e-05,0.2563492862185817,0.0994421057209583,7.593119598213955e-06,502084,142.24590387754142,1764.8451952340254,,,,,,,
4,True,23816,0.08910264819860458,0.0019763531054195482,0.2098585738276597,3.252964063449326e-06,0.005481306565343402,0.004128201719140634,0.005481306565343402,1488.5,1.0,1.0,1.0,-0.8377491198480129,2.251925179734826,5255535.171875,0.16941388882696629,0.16941388882696629,0.28882554813032874,nan,nan,0.0015726844940218143,-4.980666466281036e-05,3.2855737117643002e-06,0.0,0.2,0.2,0.2,3.0,0.279296875,0.16505934884582307,241.85735034942627,251.791015625,231.03523635864258,5e-06,4,0,0.6484375,1.0,0.0,0.6484375,1.0,0.0,-0.24629764258861542,1.6201815605163574,-2.4748666286468506,-0.24629764258861542,1.6201815605163574,-2.4748666286468506,1566.7734375,8192.0,122.0,0.0390625,1566.7734375,8192.0,122.0,0.0390625,0.0,1099.625,1668.0,797.0,0.0,3,62,14.3359375,0.25,0.75,5.1875,8,5.1875,8.0,8,8,3.408454358577728e-05,1.3235156629234552,73.83308571018279,14.174861806750414,0.0,0.0,0.0,73.83308571018279,0.0,1310,8192,76.34760529361665,0.00010565482079982758,2.816195532679558,0.003671294078230858,33.31154442951083,112.50883162766695,3.5917386412620544e-05,0.3806968206635684,0.09760223273291405,1.0756826355280437e-05,341299,112.50883162766695,1516.7653732708013,,,,,,,
5,True,35000,0.09443335235118866,0.002873019680919242,0.5982388671254739,1.4917348494236649e-06,0.004367735018604435,0.0011451348545961082,0.004367735018604435,2187.5,1.0,1.0,1.0,-1.9708058908581734,2.995844043791294,3849480.8671875,0.2008286532945931,0.2008286532945931,0.3084266301218268,nan,nan,0.0018504079853300937,-0.0003634152610629826,1.5348967963291216e-06,0.0,0.2,0.2,0.2,3.0,0.345703125,0.16815394565511455,241.85735034942627,251.791015625,233.12198638916016,5e-06,5,0,0.453125,1.0,0.0,0.453125,1.0,0.0,-0.30962637066841125,1.6201815605163574,-2.4748666286468506,-0.30962637066841125,1.6201815605163574,-2.4748666286468506,1804.9609375,8192.0,108.0,0.0546875,1804.9609375,8192.0,108.0,0.0546875,0.0,1218.4375,1844.0,783.0,0.0,3,62,15.0859375,0.4375,0.5625,3.625,8,3.625,8.0,8,8,3.401748836040497e-05,1.2620311304926872,76.29763240739703,16.91126315535803,0.0,0.0,0.0,76.29763240739703,0.0,1414,8192,78.91103565506637,9.59690660238266e-05,3.124742094427347,0.003823142498731613,37.27232604287565,119.3419696148485,4.114769399166107e-05,0.3415544642805911,0.09631216435063927,9.87904882164269e-06,386995,119.3419696148485,1621.3700898726,,,,,,,
6,True,28784,0.08954156935214996,0.012220345115565578,0.3691286367829889,1.4098193901190825e-06,0.0006767987506464124,-0.0016897717723622918,0.0006767987506464124,1799.0,1.0,1.0,1.0,-1.2610721667297184,2.5661214403808117,6021734.640625,0.2635788391344249,0.2635788391344249,0.3123468746873065,nan,nan,0.0017379974306095392,0.00012971179967280477,1.4359312103806587e-06,0.0,0.2,0.2,0.2,3.0,0.3681640625,0.16683803665305963,241.85735034942627,251.791015625,231.75793838500977,5e-06,6,0,0.7109375,1.0,0.0,0.7109375,1.0,0.0,-0.27939286828041077,2.4748666286468506,-2.4748666286468506,-0.27939286828041077,2.4748666286468506,-2.4748666286468506,1840.703125,8192.0,139.0,0.046875,1840.703125,8192.0,139.0,0.046875,0.0,1161.4375,1582.0,899.0,0.0,3,62,17.234375,0.1875,0.8125,5.6875,8,5.6875,8.0,8,8,6.313063204288483e-05,1.5085270404815674,80.18612299859524,17.318827581155347,0.0,0.0,0.0,80.18612299859524,0.0,1304,8192,82.68491585552692,9.401142597198486e-05,3.1105370204895735,0.004095721989870071,37.66770715266466,123.51333824545145,3.7729740142822266e-05,0.3509397557638764,0.09802304385064996,1.0658337514039648e-05,384274,123.51333824545145,1555.5971745996892,,,,,,,
7,True,36384,0.08252047002315521,0.015240495022226241,0.3417641851119697,5.19560387601814e-07,0.0008788224222371355,-0.003108151637206902,0.0008788224222371355,2274.0,1.0,1.0,1.0,-1.7321972127538174,2.8039729446172714,4016427.4375,0.3792523256270215,0.3792523256270215,0.22332467646850107,nan,nan,0.0023846209996918333,8.576369003776563e-05,5.391556214817683e-07,0.0,0.2,0.2,0.2,3.0,0.60546875,0.1657468838875623,246.62862491607666,254.05078125,231.6736602783203,5e-06,7,0,0.5625,1.0,0.0,0.5625,1.0,0.0,-0.287942498922348,2.4748666286468506,-2.4748666286468506,-0.287942498922348,2.4748666286468506,-2.4748666286468506,3387.5703125,8192.0,148.0,0.15625,3387.5703125,8192.0,148.0,0.15625,0.0,1252.625,1888.0,874.0,0.0,3,62,28.140625,0.25,0.75,4.5,8,4.5,8.0,8,8,6.260722875595093e-05,1.6151125878095627,88.12331337295473,34.735073599091265,0.0,0.0,0.0,88.12331337295473,0.0,1826,8192,90.69169152714312,9.113363921642303e-05,4.552082061767578,0.00369819812476635,62.33470596931875,157.61323224939406,3.7647783756256104e-05,0.20915546385601572,0.1049503000603065,6.226499296679574e-06,593945,157.61323224939406,1884.185076098785,,,,,,,
8,True,28656,0.07711443305015564,0.008781274042121368,0.1857560133212246,0.0,0.0025112366065513925,0.002562732830483583,0.0025112366065513925,1791.0,1.0,1.0,1.0,-1.0788910932606086,2.320577345788479,5343612.6796875,0.2978111458942294,0.2978111458942294,0.2094003114898777,nan,nan,0.0013532569209928624,-0.00018140720999326732,0.0,0.0,0.2,0.2,0.2,3.0,0.34375,0.17522622324685602,246.62862491607666,254.05078125,231.43067932128906,5e-06,8,0,0.4921875,1.0,0.0,0.4921875,1.0,0.0,-0.20609284937381744,2.4748666286468506,-2.4748666286468506,-0.20609284937381744,2.4748666286468506,-2.4748666286468506,3310.96875,8192.0,140.0,0.078125,3310.96875,8192.0,140.0,0.078125,0.0,1204.25,1860.0,878.0,0.0,3,62,29.640625,0.375,0.625,3.9375,8,3.9375,8.0,8,8,3.205426037311554e-05,1.6398451328277588,87.30005796812475,33.687285880718264,0.0,0.0,0.0,87.30005796812475,0.0,1034,8192,89.7419211640954,0.00011163763701915741,4.31176077015698,0.0037102829664945602,57.43324972689152,151.52120495028794,3.583543002605438e-05,0.21175336043099027,0.09937442421617779,6.4197522380812115e-06,577948,151.52120495028794,1907.1522041737226,,,,,,,
9,True,23840,0.07788349688053131,0.0030097720555204432,0.39578981026897964,2.3459271005776827e-06,0.004011839089798741,0.0039388380537275225,0.004011839089798741,1490.0,1.0,1.0,1.0,-1.7371528819203377,2.703063003718853,3640110.71484375,0.18792557902634144,0.18792557902634144,0.2333018942420015,nan,nan,0.0009316621217294596,-0.00010954537019358668,2.4855503397702705e-06,0.0,0.2,0.2,0.2,3.0,0.3349609375,0.17439044891225336,246.62862491607666,254.05078125,231.66483306884766,5e-06,9,0,0.5078125,1.0,0.0,0.5078125,1.0,0.0,-0.16249224543571472,2.4748666286468506,-0.7245674133300781,-0.16249224543571472,2.4748666286468506,-0.7245674133300781,2944.34375,8192.0,101.0,0.1640625,2944.34375,8192.0,101.0,0.1640625,0.0,1110.875,1853.0,824.0,0.0,3,62,23.9296875,0.3125,0.6875,4.0625,8,4.0625,8.0,8,8,6.198696792125702e-05,1.1049083601683378,89.81128542684019,30.029013448845944,0.0,0.0,0.0,89.81128542684019,0.0,1098,8192,92.18972591124475,0.00010110624134540558,4.04761354252696,0.0038168765604496002,51.554403660818934,147.82472833059728,3.6461278796195984e-05,0.244615539093083,0.09932109793094342,7.353326655562663e-06,519068,147.82472833059728,1755.6873124743686,,,,,,,
10,True,44440,0.07349231839179993,0.01163202507814276,0.4892434917856008,2.504323902030592e-06,-0.00032206944888457656,-0.0027397180456318893,-0.00032206944888457656,2777.5,1.0,1.0,1.0,-2.0953321531414986,3.0772403925657272,4292877.046875,0.22595724335405976,0.22595724335405976,0.2433932314014602,nan,nan,0.0021947206059849123,3.063559506699676e-05,2.6855819896809408e-06,0.0,0.2,0.2,0.2,3.0,0.46875,0.1758534790641325,246.62862491607666,254.05078125,230.9238395690918,5e-06,10,0,0.4140625,1.0,0.0,0.4140625,1.0,0.0,-0.2184702306985855,2.4748666286468506,-2.4748666286468506,-0.2184702306985855,2.4748666286468506,-2.4748666286468506,3348.0703125,8192.0,155.0,0.09375,3348.0703125,8192.0,155.0,0.09375,0.0,1335.6875,1928.0,867.0,0.0,3,62,30.15625,0.4375,0.5625,3.3125,8,3.3125,8.0,8,8,6.937608122825623e-05,1.7572507578879595,88.17053550295532,33.70811024347495,0.0,0.0,0.0,88.17053550295532,0.0,1134,8192,90.81028755009174,0.00018268823623657227,4.564029274508357,0.0037559159100055695,58.996252946555614,154.407268576324,4.085153341293335e-05,0.21189978264086762,0.09840564875384784,6.264861297611876e-06,599521,154.407268576324,1941.3626234300457,,,,,,,
