step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_update_actor,timing_per_token_ms_adv,timing_per_token_ms_gen,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,True,33704,0.08592238277196884,0.0029581830640381668,-0.00033825208265625406,6.234786837922002e-07,-0.0046273539192043245,-0.03644155679648975,-0.041068910708418116,1.0,2106.5,1.0,0.0,-1.6835421789437532,2.8949945122003555,5114494.3515625,0.4623388045001775,0.4623388045001775,0.30820746881953925,-0.03644155679648975,0.2976968741457552,0.0029581830640381668,-0.00033825208265625406,6.234786837922002e-07,0.06183245748979971,1.7014728710055351,0.0,1.0,0.2,0.2,0.28,3.0,1.91796875,0.16847043556397862,230.50318574905396,240.26171875,144.96990203857422,5e-06,1,0,0.4375,1.0,0.0,0.4375,1.0,0.0,-0.3994683027267456,0.935412585735321,-1.6201815605163574,-0.3994683027267456,0.935412585735321,-1.6201815605163574,2229.0703125,8192.0,156.0,0.0859375,2229.0703125,8192.0,156.0,0.0859375,0.0,1200.9375,1760.0,891.0,0.0,3,62,18.6796875,0.4375,0.5625,3.5,8,3.5,8.0,8,8,0.0001372937113046646,1.7828656360507011,86.14406966231763,22.358881739608478,0.0,0.0,0.0,86.14406966231763,0.0,957,8192,94.42660776339471,0.00013162754476070404,6.316818665713072,0.005229802802205086,43.558557039126754,144.34806588478386,3.8135796785354614e-05,0.09921295969881344,1.1911877938974004e-05,0.3309486780271859,439041,144.34806588478386,1520.7720218102365,,,,,,,
2,True,29720,0.0844169408082962,0.0032053234390332364,1.3370821250191511e-07,3.6011745123687433e-06,0.005622382264846237,-0.04533344600349665,-0.03971106398967095,1.0,1857.5,1.0,0.0,-1.7575815171003342,2.826307535171509,4003595.1484375,0.5004600689280778,0.5004600689280778,0.20063905990494793,-0.04533344600349665,0.4608302903139512,0.0032053234390332364,1.3370821250191511e-07,3.6011745123687433e-06,0.09572104664403014,1.6703647337853909,0.0,1.0,0.2,0.2,0.28,3.0,1.65234375,0.17257856227079782,238.34098434448242,247.546875,138.18175888061523,5e-06,2,0,0.515625,1.0,0.0,0.515625,1.0,0.0,-0.4064732491970062,2.4748666286468506,-2.4748666286468506,-0.4064732491970062,2.4748666286468506,-2.4748666286468506,3005.4453125,8192.0,147.0,0.0859375,3005.4453125,8192.0,147.0,0.0859375,0.0,1202.1875,1904.0,784.0,0.0,3,62,26.1171875,0.1875,0.8125,4.125,8,4.125,8.0,8,8,3.5682693123817444e-05,1.6097562871873379,91.06289008073509,31.299384670099244,0.0,0.0,0.0,91.06289008073509,0.0,1860,8192,93.52457237429917,9.937211871147156e-05,4.211760280653834,0.003777751699090004,53.2811233997345,151.05595737323165,3.7262216210365295e-05,0.09892944444291994,7.014320513297085e-06,0.24311229974317233,538577,151.05595737323165,1782.7069165808362,,,,,,,
3,True,36336,0.0766165554523468,0.0020367749784782063,-0.0004318923643040762,1.0954885851788276e-06,0.003678474582557101,-0.015668841020669788,-0.011990366387180984,1.0,2271.0,1.0,0.0,-1.189807878807187,2.4278594590723515,4797696.265625,0.15216500055976212,0.15216500055976212,0.25846937400529,-0.015668841020669788,0.3063821386009795,0.0020367749784782063,-0.0004318923643040762,1.0954885851788276e-06,0.03325403144117445,1.1529204128310084,0.0,1.0,0.2,0.2,0.28,3.0,0.798828125,0.1630519616205256,245.75373601913452,253.927734375,137.97997283935547,5e-06,3,0,0.53125,1.0,0.0,0.53125,1.0,0.0,-0.28075382113456726,2.4748666286468506,-1.6201815605163574,-0.28075382113456726,2.4748666286468506,-1.6201815605163574,2806.203125,8192.0,144.0,0.140625,2806.203125,8192.0,144.0,0.140625,0.0,1230.8125,2029.0,781.0,0.0,3,62,21.734375,0.3125,0.6875,4.25,8,4.25,8.0,8,8,6.0597434639930725e-05,1.5768931526690722,93.50546148233116,29.30621773438179,0.0,0.0,0.0,93.50546148233116,0.0,1393,8192,95.90725122578442,9.687989950180054e-05,4.144300160929561,0.00376165471971035,54.965927669778466,155.05272442288697,3.5392120480537415e-05,0.10637098039969668,7.279616981352929e-06,0.2670068298072474,516738,155.05272442288697,1666.3299594487019,,,,,,,
4,True,23816,0.07881861180067062,0.002205424310886883,2.128715891558386e-06,0.0,0.0001532872556708753,-0.010946522634185385,-0.010793235458550043,1.0,1488.5,1.0,0.0,-1.056799991056323,2.451789217069745,5172184.23046875,0.10882070544175804,0.10882070544175804,0.2903334825085927,-0.010946522634185385,0.23296788735938453,0.002205424310886883,2.128715891558386e-06,0.0,0.0395785509608686,1.036855592392385,0.0,1.0,0.2,0.2,0.28,3.0,0.80859375,0.16544705241863733,245.75373601913452,253.927734375,138.33429336547852,5e-06,4,0,0.625,1.0,0.0,0.625,1.0,0.0,-0.25506794452667236,2.4748666286468506,-2.4748666286468506,-0.25506794452667236,2.4748666286468506,-2.4748666286468506,1605.6328125,8192.0,149.0,0.0390625,1605.6328125,8192.0,149.0,0.0390625,0.0,1099.5625,1668.0,797.0,0.0,3,62,15.2578125,0.25,0.75,5.0,8,5.0,8.0,8,8,3.3233314752578735e-05,1.6046591084450483,80.13482122309506,14.767991651431657,0.0,0.0,0.0,80.13482122309506,0.0,1310,8192,82.51694296114147,9.010173380374908e-05,2.871214099228382,0.00373074971139431,33.94738616608083,119.37293696030974,3.559701144695282e-05,0.09803874537155309,1.0774261653341545e-05,0.4015012721869856,346265,119.37293696030974,1450.349672284303,,,,,,,
5,True,35000,0.08883675187826157,0.0021698958007618785,-0.00010710537208069582,1.6685354466972058e-06,0.0004363842017482966,-0.027668712245940696,-0.027232327876845375,1.0,2187.5,1.0,0.0,-2.3506848141551018,3.3690364956855774,3544015.71875,0.2810898143798113,0.2810898143798113,0.3131456864616222,-0.027668712245940696,0.22821815214804858,0.0021698958007618785,-0.00010710537208069582,1.6685354466972058e-06,0.05347458040341735,2.2133877091109753,0.0,1.0,0.2,0.2,0.28,3.0,2.1640625,0.16667442021342704,245.75373601913452,253.927734375,138.32367324829102,5e-06,5,0,0.4296875,1.0,0.0,0.4296875,1.0,0.0,-0.3165470361709595,2.4748666286468506,-2.4748666286468506,-0.3165470361709595,2.4748666286468506,-2.4748666286468506,1788.4609375,8192.0,122.0,0.015625,1788.4609375,8192.0,122.0,0.015625,0.0,1219.0625,1844.0,783.0,0.0,3,62,17.109375,0.4375,0.5625,3.4375,8,3.4375,8.0,8,8,3.093108534812927e-05,1.61970966309309,80.98043479025364,17.5400873147737,0.0,0.0,0.0,80.98043479025364,0.0,906,8192,83.18139127269387,0.000108400359749794,3.132368203252554,0.005478959530591965,37.07268672250211,123.42365805618465,7.090158760547638e-05,0.09630194777810364,1.423243150794223e-05,0.36335969418841213,384963,123.42365805618465,1559.5186776296891,,,,,,,
6,True,28784,0.0689711645245552,0.001548458072647918,-2.405757641099626e-06,1.993959017454472e-06,-0.009846613567788154,-0.01191659700270975,-0.021763210621429607,1.0,1799.0,1.0,0.0,-1.6530127190053463,2.9501719027757645,5749870.125,0.13698989432305098,0.13698989432305098,0.323792917419236,-0.01191659700270975,0.2014269902644779,0.001548458072647918,-2.405757641099626e-06,1.993959017454472e-06,0.029293553554452956,1.584335288964212,0.0,1.0,0.2,0.2,0.28,3.0,1.203125,0.16699110229642744,245.75373601913452,253.927734375,137.97486114501953,5e-06,6,0,0.6953125,1.0,0.0,0.6953125,1.0,0.0,-0.20731282234191895,2.4748666286468506,-2.4748666286468506,-0.20731282234191895,2.4748666286468506,-2.4748666286468506,1940.5390625,8192.0,139.0,0.0859375,1940.5390625,8192.0,139.0,0.0859375,0.0,1161.4375,1582.0,899.0,0.0,3,62,16.9609375,0.1875,0.8125,5.5625,8,5.5625,8.0,8,8,6.350316107273102e-05,1.5068041067570448,78.63434110023081,18.260091933509102,0.0,0.0,0.0,78.63434110023081,0.0,1304,8192,81.07759417407215,9.501539170742035e-05,3.279262974858284,0.00375235453248024,39.84692026115954,124.25411424040794,4.6173110604286194e-05,0.10035667848161213,9.45051298562217e-06,0.32641378714062275,397053,124.25411424040794,1597.7458872379002,,,,,,,
7,True,36384,0.06597156822681427,0.0014419748367799912,5.103998717004288e-05,1.7241613363694341e-06,0.004511950333835557,-0.034364030085271224,-0.029852079809643328,1.0,2274.0,1.0,0.0,-1.9000169150531292,2.9844489842653275,4097404.7578125,0.3741091712145135,0.3741091712145135,0.24275258179884018,-0.034364030085271224,0.47101616305383415,0.0014419748367799912,5.103998717004288e-05,1.7241613363694341e-06,0.06098375943838619,1.7850531926378608,0.0,1.0,0.2,0.2,0.28,3.0,1.31640625,0.17557332790871816,245.75373601913452,253.927734375,138.1970443725586,5e-06,7,0,0.5859375,1.0,0.0,0.5859375,1.0,0.0,-0.274036705493927,0.935412585735321,-2.4748666286468506,-0.274036705493927,0.935412585735321,-2.4748666286468506,3171.609375,8192.0,146.0,0.1328125,3171.609375,8192.0,146.0,0.1328125,0.0,1251.6875,1888.0,874.0,0.0,3,62,26.6328125,0.3125,0.6875,4.6875,8,4.6875,8.0,8,8,6.360933184623718e-05,1.5224057417362928,93.48613151535392,33.23573395353742,0.0,0.0,0.0,93.48613151535392,0.0,1262,8192,95.96395597979426,9.352713823318481e-05,4.41373885050416,0.0037778597325086594,56.16802112944424,156.58004644699395,4.1114166378974915e-05,0.09920488664324235,6.672518258278538e-06,0.23638421931835243,566182,156.58004644699395,1807.9634437701677,,,,,,,
8,True,28656,0.07232131063938141,0.001687219901214121,5.409142136159062e-05,4.080139206052991e-06,0.0026836035831365734,-0.03830247532459907,-0.0356188717414625,1.0,1791.0,1.0,0.0,-1.2893361489987,2.5467807464301586,5468009.3828125,0.369059742661193,0.369059742661193,0.21731445621751733,-0.03830247532459907,0.5141707823712628,0.001687219901214121,5.409142136159062e-05,4.080139206052991e-06,0.07161525741685182,1.2061110804788768,0.0,1.0,0.2,0.2,0.28,3.0,1.06640625,0.17387392243062172,245.75373601913452,253.927734375,138.4389533996582,5e-06,8,0,0.5,1.0,0.0,0.5,1.0,0.0,-0.19849573075771332,2.4748666286468506,-2.4748666286468506,-0.19849573075771332,2.4748666286468506,-2.4748666286468506,3092.6796875,8192.0,153.0,0.0625,3092.6796875,8192.0,153.0,0.0625,0.0,1203.9375,1860.0,878.0,0.0,3,62,29.578125,0.3125,0.6875,4.0,8,4.0,8.0,8,8,3.327801823616028e-05,1.717078149318695,90.17642835341394,32.08860540461319,0.0,0.0,0.0,90.17642835341394,0.0,892,8192,92.25239370577037,8.915364742279053e-05,4.282432924956083,0.003823738545179367,54.15690386481583,150.72439266741276,3.590434789657593e-05,0.09847300631640776,6.9526690604697504e-06,0.23304121300998168,549967,150.72439266741276,1824.4127253295783,,,,,,,
9,True,23840,0.08268818259239197,0.0016605824621365173,-0.00011246702399603237,7.061987048473384e-07,-0.0042840782552957535,-0.022127329561044462,-0.026411407976411283,1.0,1490.0,1.0,0.0,-1.4948280490934849,2.4652536883950233,3809515.2578125,0.1622501413221471,0.1622501413221471,0.26297245960221194,-0.022127329561044462,0.11867509891789871,0.0016605824621365173,-0.00011246702399603237,7.061987048473384e-07,0.02288564172340557,1.4065628722310066,0.0,1.0,0.2,0.2,0.28,3.0,0.4267578125,0.16927932124985134,245.75373601913452,253.927734375,138.2836036682129,5e-06,9,0,0.609375,1.0,0.0,0.609375,1.0,0.0,-0.22067876160144806,1.20761239528656,-2.4748666286468506,-0.22067876160144806,1.20761239528656,-2.4748666286468506,2145.3671875,8192.0,114.0,0.0390625,2145.3671875,8192.0,114.0,0.0390625,0.0,1110.8125,1853.0,824.0,0.0,3,62,20.3203125,0.3125,0.6875,4.875,8,4.875,8.0,8,8,6.281770765781403e-05,1.2629614435136318,83.83493275009096,21.121482710106648,0.0,0.0,0.0,83.83493275009096,0.0,959,8192,86.03707752935588,8.789636194705963e-05,3.356803175061941,0.0040471237152814865,40.509379640221596,129.9455940462649,3.552436828613281e-05,0.09719350859356751,9.710199393176644e-06,0.31330984836277254,416791,129.9455940462649,1603.7134735465088,,,,,,,
10,True,44440,0.06676173955202103,0.001747545020407415,3.834627048604489e-05,1.1221228533031535e-06,0.0005974163068458438,-0.025251944629417267,-0.024654528562678024,1.0,2777.5,1.0,0.0,-2.3675645738840103,3.3720386400818825,4145053.796875,0.26239241170696914,0.26239241170696914,0.2607562677706552,-0.025251944629417267,0.4065786598648239,0.001747545020407415,3.834627048604489e-05,1.1221228533031535e-06,0.04893224313855171,2.1839163042604923,0.0,1.0,0.2,0.2,0.28,3.0,1.0078125,0.17582437143166985,245.75373601913452,253.927734375,138.36405563354492,5e-06,10,0,0.4453125,1.0,0.0,0.4453125,1.0,0.0,-0.18604841828346252,1.6201815605163574,-2.4748666286468506,-0.18604841828346252,1.6201815605163574,-2.4748666286468506,3122.296875,8192.0,163.0,0.0859375,3122.296875,8192.0,163.0,0.0859375,0.0,1334.875,1928.0,867.0,0.0,3,62,28.9140625,0.4375,0.5625,3.5625,8,3.5625,8.0,8,8,6.483867764472961e-05,1.9181677158921957,87.92485298402607,31.67885164610925,0.0,0.0,0.0,87.92485298402607,0.0,1438,8192,90.18977900780737,9.229220449924469e-05,4.461574142798781,0.004086090251803398,56.07959733530879,150.77320236712694,3.824755549430847e-05,0.09829592990108776,7.162070700316902e-06,0.225669651768298,570518,150.77320236712694,1891.9741407720805,,,,,,,
