step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_update_actor,timing_per_token_ms_adv,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,True,27136,0.08368989080190659,0.0015204042247205507,-0.0002481804656753184,1.1033046121156076e-06,0.0047803912093513645,-0.025124911655439064,-0.020344520424259827,1.0,1696.0,1.0,0.0,-1.348699314694386,2.5629819743335247,5049805.75,0.25981066399253905,0.25981066399253905,0.21371099238933255,-0.025124911655439064,0.39828835464774137,0.0015204042247205507,-0.0002481804656753184,1.1033046121156076e-06,0.04188958628219552,1.3013971876353025,0.0,1.0,0.2,0.2,0.2,3.0,0.904296875,0.17446741392219917,244.30928468704224,253.85546875,137.63783264160156,5e-06,1,0,0.3828125,1.0,0.0,0.3828125,1.0,0.0,-0.18505403399467468,1.6201815605163574,-2.4748666286468506,-0.18505403399467468,1.6201815605163574,-2.4748666286468506,3218.65625,8192.0,122.0,0.15625,3218.65625,8192.0,122.0,0.15625,0.0,1213.3125,1824.0,785.0,0.0,3,62,27.453125,0.5,0.5,3.0625,8,3.0625,8.0,8,8,0.0001386590301990509,1.3860989632084966,92.20419885031879,34.01190210693312,0.0,0.0,0.0,92.20419885031879,0.0,1167,8192,100.70159112662077,0.0001314273104071617,7.214089409448206,0.003978395834565163,56.6947256475687,164.6544894054532,3.729574382305145e-05,0.2444284569614182,0.09993922996899075,7.012959524486795e-06,567292,164.6544894054532,1722.6739521297613,,,,,,,
2,True,18728,0.08624369651079178,0.0023885429445726913,-0.00012521248618213576,2.1645935817105055e-06,-0.004290298311389051,-0.029398091253824532,-0.03368838927417528,1.0,1170.5,1.0,0.0,-1.3011071449145675,2.353608638048172,3739408.6875,0.33201525267213583,0.33201525267213583,0.1313704661279872,-0.029398091253824532,0.3098965525106392,0.0023885429445726913,-0.00012521248618213576,2.1645935817105055e-06,0.05422120448201895,1.2486352724954486,0.0,1.0,0.2,0.2,0.2,3.0,1.5703125,0.17645519376779922,244.30928468704224,253.85546875,138.44825744628906,5e-06,2,0,0.421875,1.0,0.0,0.421875,1.0,0.0,-0.17973503470420837,2.4748666286468506,-2.4748666286468506,-0.17973503470420837,2.4748666286468506,-2.4748666286468506,3757.8359375,8192.0,178.0,0.0859375,3757.8359375,8192.0,178.0,0.0859375,0.0,1106.8125,1831.0,787.0,0.0,3,62,34.5546875,0.4375,0.5625,3.375,8,3.375,8.0,8,8,3.581307828426361e-05,2.0258745225146413,89.25451776571572,39.90308494926285,0.0,0.0,0.0,89.25451776571572,0.0,1101,8192,91.38411914277822,0.00010309461504220963,4.749193460680544,0.0037586502730846405,61.23410201724619,157.40233003813773,4.0053389966487885e-05,0.1899865887380707,0.09834038947644629,6.036295456031863e-06,622675,157.40233003813773,1977.972625465993,,,,,,,
3,True,40560,0.08417186141014099,0.001398012924255454,0.00021004396432999783,0.0,-0.0010994722542818636,-0.00840676789812278,-0.009506240137852728,1.0,2535.0,1.0,0.0,-1.2291445814771578,2.512397337704897,5163754.21875,0.09876226913183928,0.09876226913183928,0.3133818791633125,-0.00840676789812278,0.17028754025470366,0.001398012924255454,0.00021004396432999783,0.0,0.0263334117771592,1.1868812756147236,0.0,1.0,0.2,0.2,0.2,3.0,0.7421875,0.1722470990803323,244.30928468704224,253.85546875,137.84016799926758,5e-06,3,0,0.4609375,1.0,0.0,0.4609375,1.0,0.0,-0.18066512048244476,2.4748666286468506,-2.4748666286468506,-0.18066512048244476,2.4748666286468506,-2.4748666286468506,2376.2890625,8192.0,108.0,0.0859375,2376.2890625,8192.0,108.0,0.0859375,0.0,1278.0,1684.0,880.0,0.0,3,62,20.1171875,0.4375,0.5625,3.6875,8,3.6875,8.0,8,8,6.317626684904099e-05,1.243081258609891,84.3667833507061,23.949644698113843,0.0,0.0,0.0,84.3667833507061,0.0,1021,8192,86.75094231404364,8.624233305454254e-05,3.7188216000795364,0.0036476626992225647,46.01298498362303,136.51688640844077,3.51686030626297e-05,0.2852101402661175,0.0983711028428132,7.798333506266319e-06,467749,136.51688640844077,1713.1543661219896,,,,,,,
4,True,23984,0.07803661376237869,0.002103826067468617,0.000228671067937114,2.0410161596373655e-06,-0.0038425267848651856,-0.033827330502390396,-0.03766985738184303,1.0,1499.0,1.0,0.0,-1.3807997703552246,2.493356343358755,4851684.1875,0.34657558565959334,0.34657558565959334,0.21556021043242776,-0.033827330502390396,0.3206220309385929,0.002103826067468617,0.000228671067937114,2.0410161596373655e-06,0.06811761335120536,1.3394990246742964,0.0,1.0,0.2,0.2,0.2,3.0,2.1015625,0.17438582669107938,244.30928468704224,253.85546875,138.04500579833984,5e-06,4,0,0.3828125,1.0,0.0,0.3828125,1.0,0.0,-0.2747552692890167,2.4748666286468506,-1.6201815605163574,-0.2747552692890167,2.4748666286468506,-1.6201815605163574,3277.3046875,8192.0,117.0,0.1015625,3277.3046875,8192.0,117.0,0.1015625,0.0,1145.75,1888.0,786.0,0.0,3,62,29.4140625,0.375,0.625,3.0625,8,3.0625,8.0,8,8,3.82130965590477e-05,1.3129222374409437,89.75268267933279,34.449935673445,0.0,0.0,0.0,89.75268267933279,0.0,1119,8192,91.90163550246507,8.677691221237183e-05,4.341444377787411,0.003690117970108986,55.567409937269986,151.8510307809338,3.569945693016052e-05,0.2190768316725231,0.09814945118399505,6.517904181232544e-06,566151,151.8510307809338,1864.1658113495175,,,,,,,
5,True,38112,0.07806763797998428,0.002926754499640083,-5.458995372009667e-05,0.0,0.0020422072266228497,-0.053004239380243234,-0.05096203234279528,1.0,2382.0,1.0,0.0,-1.192115121986717,2.5191418193280697,5613801.1015625,0.5343490978702903,0.5343490978702903,0.2153980713012793,-0.053004239380243234,0.4467001379088927,0.002926754499640083,-5.458995372009667e-05,0.0,0.11244856414850801,1.1270597567781806,0.0,1.0,0.2,0.2,0.2,3.0,1.6015625,0.1724131988047614,244.30928468704224,253.85546875,138.36835098266602,5e-06,5,0,0.484375,1.0,0.0,0.484375,1.0,0.0,-0.4182349741458893,2.4748666286468506,-2.4748666286468506,-0.4182349741458893,2.4748666286468506,-2.4748666286468506,2890.875,8192.0,133.0,0.0625,2890.875,8192.0,133.0,0.0625,0.0,1272.5625,1932.0,791.0,0.0,3,62,28.5,0.25,0.75,3.875,8,3.875,8.0,8,8,3.487430512905121e-05,1.618673580698669,84.89681291487068,30.201983906175883,0.0,0.0,0.0,84.89681291487068,0.0,1754,8192,87.45336897205561,0.00011348165571689606,4.090806006453931,0.0036927806213498116,52.17993221990764,143.7611920516938,3.890227526426315e-05,0.2363400164635913,0.09791325568548308,6.929333898802469e-06,532920,143.7611920516938,1853.4904740090499,,,,,,,
6,True,33984,0.08161235600709915,0.0018232168895337963,-0.00016005968473109533,6.136836532277812e-07,0.0006070064919185825,-0.022061354655306786,-0.021454348228871822,1.0,2124.0,1.0,0.0,-1.3579091384308413,2.594595741480589,4885719.89453125,0.22453092131763697,0.22453092131763697,0.2594324209610902,-0.022061354655306786,0.327322332960152,0.0018232168895337963,-0.00016005968473109533,6.136836532277812e-07,0.04903429397381842,1.2762581693241373,0.0,1.0,0.2,0.2,0.2,3.0,0.890625,0.17436685148083722,244.30928468704224,253.85546875,138.5637092590332,5e-06,6,0,0.484375,1.0,0.0,0.484375,1.0,0.0,-0.20925341546535492,2.4748666286468506,-2.4748666286468506,-0.20925341546535492,2.4748666286468506,-2.4748666286468506,2775.3515625,8192.0,125.0,0.09375,2775.3515625,8192.0,125.0,0.09375,0.0,1255.0,1759.0,868.0,0.0,3,62,27.1875,0.375,0.625,3.875,8,3.875,8.0,8,8,3.632623702287674e-05,1.342261235229671,86.06733954139054,28.320795388113766,0.0,0.0,0.0,86.06733954139054,0.0,973,8192,88.25538568012416,0.00011735782027244568,3.9945077216252685,0.004205619916319847,50.45361239463091,142.74602161440998,4.055071622133255e-05,0.24843526490203707,0.09780011513153301,8.152243070296378e-06,515885,142.74602161440998,1807.003074991206,,,,,,,
7,True,37880,0.08766914159059525,0.0021802598785143346,-0.00012881074022175198,8.14650661595806e-07,0.004611358133843169,-0.036914207114023156,-0.032302849169354886,1.0,2367.5,1.0,0.0,-1.2706700544222258,2.612314835190773,5381207.1015625,0.37776601128280163,0.37776601128280163,0.3010552714729331,-0.036914207114023156,0.3028503113117732,0.0021802598785143346,-0.00012881074022175198,8.14650661595806e-07,0.08689233753830194,1.2164879504125565,0.0,1.0,0.2,0.2,0.2,3.0,1.75,0.16666530885375141,244.30928468704224,253.85546875,138.8347282409668,5e-06,7,0,0.5625,1.0,0.0,0.5625,1.0,0.0,-0.5097640156745911,1.20761239528656,-2.4748666286468506,-0.5097640156745911,1.20761239528656,-2.4748666286468506,1668.6875,8192.0,118.0,0.0546875,1668.6875,8192.0,118.0,0.0546875,0.0,1253.5625,2031.0,800.0,0.0,3,62,16.1171875,0.3125,0.6875,4.5,8,4.5,8.0,8,8,5.298759788274765e-05,1.4610741790384054,83.54584905784577,16.461052563157864,0.0,0.0,0.0,83.54584905784577,0.0,1069,8192,85.79662638250738,0.00014148559421300888,3.0242948727682233,0.004103119485080242,36.22750645317137,125.1152875777334,3.853067755699158e-05,0.4016846435377139,0.0968525602413898,1.0969499863868386e-05,374048,125.1152875777334,1494.8133327336443,,,,,,,
8,True,37008,0.07880154997110367,0.003536207710567396,3.307432439214608e-05,6.29284176056899e-06,0.001390065939631313,-0.058317925679148175,-0.05692786004510708,1.0,2313.0,1.0,0.0,-1.7922784946858883,2.906801998615265,4336395.3359375,0.5917611275799572,0.5917611275799572,0.18628012751005654,-0.058317925679148175,0.4613648834799927,0.003536207710567396,3.307432439214608e-05,6.29284176056899e-06,0.1401694263331592,1.667148556560278,0.0,1.0,0.2,0.2,0.2,3.0,1.51171875,0.17453643800967047,244.30928468704224,253.85546875,139.73875427246094,5e-06,8,0,0.5078125,1.0,0.0,0.5078125,1.0,0.0,-0.3768578767776489,2.4748666286468506,-2.4748666286468506,-0.3768578767776489,2.4748666286468506,-2.4748666286468506,3393.7578125,8192.0,133.0,0.109375,3393.7578125,8192.0,133.0,0.109375,0.0,1271.8125,1935.0,876.0,0.0,3,62,30.484375,0.125,0.875,4.0625,8,4.0625,8.0,8,8,3.543868660926819e-05,1.5518576726317406,96.51370387431234,36.297169625344395,0.0,0.0,0.0,96.51370387431234,0.0,1066,8192,98.5853407010436,0.0001095971092581749,4.588437647558749,0.00417582131922245,59.20975938811898,162.43021465465426,3.933534026145935e-05,0.22694547365462697,0.09914677397109306,6.992415047099431e-06,597193,162.43021465465426,1838.3063805884346,,,,,,,
9,True,35768,0.07036018371582031,0.002203795274908771,-0.0001474044024689647,1.583623429723957e-06,-0.0007468526600860059,-0.03308465193549637,-0.03383150458103046,1.0,2235.5,1.0,0.0,-1.966037429869175,3.133609652519226,4730593.1171875,0.3621658245101571,0.3621658245101571,0.2670582083579518,-0.03308465193549637,0.4332183998212463,0.002203795274908771,-0.0001474044024689647,1.583623429723957e-06,0.061520394403487444,1.858927596360445,0.0,1.0,0.2,0.2,0.2,3.0,1.4375,0.17449745637847608,244.30928468704224,253.85546875,137.97197723388672,5e-06,9,0,0.4609375,1.0,0.0,0.4609375,1.0,0.0,-0.2931469678878784,1.6201815605163574,-2.4748666286468506,-0.2931469678878784,1.6201815605163574,-2.4748666286468506,3148.5,8192.0,132.0,0.1171875,3148.5,8192.0,132.0,0.1171875,0.0,1259.75,1782.0,880.0,0.0,3,62,26.6796875,0.375,0.625,3.6875,8,3.6875,8.0,8,8,8.147489279508591e-05,1.4950673058629036,89.43165806028992,32.742419351016,0.0,0.0,0.0,89.43165806028992,0.0,1081,8192,91.81084780860692,0.00013725273311138153,4.41068481374532,0.0038082776591181755,56.1839151410386,152.45400115754455,5.824770778417587e-05,0.22781395855319728,0.09957167516346942,6.749201885523903e-06,564256,152.45400115754455,1850.5778651781761,,,,,,,
10,True,19984,0.07401539385318756,0.0011629358396021416,-0.00024098907125846836,5.76293382437143e-06,-0.0008122939034365118,-0.012533621513284743,-0.013345915329409763,1.0,1249.0,1.0,0.0,-1.5663319560699165,2.7237402014434338,4596169.4921875,0.11797673488035798,0.11797673488035798,0.1506217972646902,-0.012533621513284743,0.2309552565518803,0.0011629358396021416,-0.00024098907125846836,5.76293382437143e-06,0.03317964868620038,1.473172437865287,0.0,1.0,0.2,0.2,0.2,3.0,0.765625,0.17206854296566843,245.2322187423706,253.9921875,138.27810287475586,5e-06,10,0,0.4140625,1.0,0.0,0.4140625,1.0,0.0,-0.13099868595600128,2.4748666286468506,-1.20761239528656,-0.13099868595600128,2.4748666286468506,-1.20761239528656,3892.8671875,8192.0,162.0,0.1640625,3892.8671875,8192.0,162.0,0.1640625,0.0,1091.25,1485.0,819.0,0.0,3,62,33.1796875,0.4375,0.5625,3.3125,8,3.3125,8.0,8,8,3.92422080039978e-05,1.7631529476493597,92.60558666381985,41.30443582448788,0.0,0.0,0.0,92.60558666381985,0.0,1362,8192,94.98377550952137,0.0001796577125787735,4.8662812896072865,0.003884389065206051,65.60684455186129,165.49733004998416,7.438566535711288e-05,0.1906206172537541,0.10283736392612985,6.088699047452378e-06,637967,165.49733004998416,1927.4238436575342,,,,,,,
