step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_update_actor,timing_per_token_ms_adv,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,True,33704,0.08828407526016235,0.00333005881839199,-0.0005393212302351458,0.0,-0.008507113918312825,-0.03247914489475079,-0.024746686525759287,0.5,2106.5,1.0,0.0,-1.678998727351427,2.9059895277023315,5145467.1015625,0.40949863113928586,0.40949863113928586,0.31318660548851185,-0.016239572447375394,0.22344040174494004,0.00333005881839199,-0.0005393212302351458,0.0,0.05900366144487634,1.7012891694903374,0.0,1.0,0.2,0.2,0.2,3.0,1.1953125,0.1664584268757312,231.68857192993164,241.609375,251.11019134521484,5e-06,1,0,0.421875,1.0,0.0,0.421875,1.0,0.0,-0.279509037733078,2.4748666286468506,-2.4748666286468506,-0.279509037733078,2.4748666286468506,-2.4748666286468506,2299.6015625,8192.0,162.0,0.0625,2299.6015625,8192.0,162.0,0.0625,0.0,1201.0,1760.0,891.0,0.0,3,62,19.546875,0.4375,0.5625,3.375,8,3.375,8.0,8,8,0.00014216452836990356,1.9130138847976923,82.10427044518292,23.152538278125576,0.0,0.0,0.0,82.10427044518292,0.0,1133,8192,91.8056915961206,0.00012618862092494965,6.50003475882113,0.004187304526567459,45.05618444830179,143.4069102331996,3.9054080843925476e-05,0.31189401559414365,0.10055455747182246,9.345055708209658e-06,448077,143.4069102331996,1562.25735311975,,,,,,,
2,True,29720,0.0876014456152916,0.002649487112648785,-0.00020636361608694642,3.191871428498416e-06,0.0063878680630296,-0.04394493828294799,-0.015584601205773652,0.5,1857.5,1.0,0.0,-1.7550012059509754,2.8421339839696884,4225847.796875,0.5027934312820435,0.5027934312820435,0.19790171280347324,-0.021972469141473994,0.3573083620697264,0.002649487112648785,-0.00020636361608694642,3.191871428498416e-06,0.09940431895665824,1.6799609139561653,0.0,1.0,0.2,0.2,0.2,3.0,0.994140625,0.17017508852984004,232.95039129257202,242.83984375,251.01762008666992,5e-06,2,0,0.515625,1.0,0.0,0.515625,1.0,0.0,-0.4073202311992645,1.6201815605163574,-2.4748666286468506,-0.4073202311992645,1.6201815605163574,-2.4748666286468506,2780.3671875,8192.0,140.0,0.0546875,2780.3671875,8192.0,140.0,0.0546875,0.0,1202.8125,1904.0,784.0,0.0,3,62,25.8359375,0.1875,0.8125,4.125,8,4.125,8.0,8,8,3.617815673351288e-05,1.5433755815029144,86.31323884613812,28.954799126688158,0.0,0.0,0.0,86.31323884613812,0.0,1860,8192,88.923882516101,0.00012329965829849243,3.9770504776388407,0.004396485164761543,51.81364848650992,144.7592605482787,4.104152321815491e-05,0.24986549808254024,0.10162587695232084,8.623146090418387e-06,509847,144.7592605482787,1761.0168705924027,,,,,,,
3,True,36336,0.08270251750946045,0.002569197073171381,-0.0003196971302941165,5.734576120630663e-07,0.004215931578073651,-0.01393493966315873,-0.0027515382098499686,0.5,2271.0,1.0,0.0,-1.157705845311284,2.391883961856365,4759353.6953125,0.1311543813208118,0.1311543813208118,0.2877169068728102,-0.006967469831579365,0.18722917306210785,0.002569197073171381,-0.0003196971302941165,5.734576120630663e-07,0.04442093340912834,1.1224879822693765,0.0,1.0,0.2,0.2,0.2,3.0,0.697265625,0.1718929029706327,239.43340301513672,248.640625,250.78590393066406,5e-06,3,0,0.5390625,1.0,0.0,0.5390625,1.0,0.0,-0.19556596875190735,1.20761239528656,-2.4748666286468506,-0.19556596875190735,1.20761239528656,-2.4748666286468506,2560.4921875,8192.0,133.0,0.1171875,2560.4921875,8192.0,133.0,0.1171875,0.0,1230.8125,2029.0,781.0,0.0,3,62,21.9921875,0.375,0.625,4.3125,8,4.3125,8.0,8,8,6.90016895532608e-05,1.4843116328120232,88.50915309041739,26.200060801944346,0.0,0.0,0.0,88.50915309041739,0.0,1393,8192,91.56800730340183,9.353645145893097e-05,4.02768699079752,0.003970738500356674,48.485148176550865,144.11618882790208,3.79662960767746e-05,0.27938966599866916,0.09991025553239807,8.18224782521822e-06,485287,144.11618882790208,1683.6658114082893,,,,,,,
4,True,23816,0.07887284457683563,0.0005026555318181636,-5.905612806600402e-05,7.051629040688567e-07,-0.00020425848197191954,0.0,-0.00020425848197191954,0.5,1488.5,1.0,0.0,-1.0235987361520529,2.414850991219282,5053760.26171875,0.0,0.0,0.3008316596809819,0.0,0.0,0.0005026555318181636,-5.905612806600402e-05,7.051629040688567e-07,0.0,1.0094864293932915,0.0,1.0,0.2,0.2,0.2,3.0,0.27392578125,0.16753164958776973,239.43340301513672,248.640625,251.43421173095703,5e-06,4,0,0.6015625,1.0,0.0,0.6015625,1.0,0.0,-0.09734031558036804,0.7245674133300781,-1.20761239528656,-0.09734031558036804,0.7245674133300781,-1.20761239528656,1770.5703125,8192.0,147.0,0.046875,1770.5703125,8192.0,147.0,0.046875,0.0,1099.625,1668.0,797.0,0.0,3,62,16.140625,0.375,0.625,4.8125,8,4.8125,8.0,8,8,4.009529948234558e-05,1.6923285368829966,84.40248741023242,17.15496190218255,0.0,0.0,0.0,84.40248741023242,0.0,967,8192,87.1482753995806,0.00011644326150417328,3.421567277982831,0.004869328811764717,36.306597935035825,126.92658429220319,3.92962247133255e-05,0.3845348003140787,0.0988243884073542,1.325402183476385e-05,367385,126.92658429220319,1447.2342498173082,,,,,,,
5,True,35000,0.0943899154663086,0.0017776599524950143,-3.593442977489758e-05,0.0,0.003421638102736324,-0.027844964002724737,-0.010500843898626044,0.5,2187.5,1.0,0.0,-2.337284442037344,3.3290011510252953,3438317.6826171875,0.3077375160064548,0.3077375160064548,0.31058465114838985,-0.013922482001362368,0.19199160369195126,0.0017776599524950143,-3.593442977489758e-05,0.0,0.05924779502674937,2.2035424299538136,0.0,1.0,0.2,0.2,0.2,3.0,0.982421875,0.16608020910100985,239.43340301513672,248.640625,251.4869384765625,5e-06,5,0,0.46875,1.0,0.0,0.46875,1.0,0.0,-0.3460703492164612,1.20761239528656,-2.4748666286468506,-0.3460703492164612,1.20761239528656,-2.4748666286468506,1797.671875,8192.0,139.0,0.0625,1797.671875,8192.0,139.0,0.0625,0.0,1219.3125,1844.0,783.0,0.0,3,62,14.953125,0.4375,0.5625,3.75,8,3.75,8.0,8,8,3.494136035442352e-05,1.659228963777423,78.55147123336792,17.486366530851228,0.0,0.0,0.0,78.55147123336792,0.0,1034,8192,81.2873807400465,9.339489042758942e-05,3.2807964645326138,0.003931999206542969,37.58006936311722,122.18372248113155,3.798678517341614e-05,0.35326672840760404,0.09731382579644725,1.0181936656903283e-05,386174,122.18372248113155,1580.3005185884545,,,,,,,
6,True,28784,0.074957937002182,0.0015093952179086045,3.715518235480886e-05,0.0,-0.004875542646914255,-0.02018910465267254,-0.014970095042372122,0.5,1799.0,1.0,0.0,-1.6377180041745305,2.923736423254013,5726049.078125,0.21432977891527116,0.21432977891527116,0.30352737856995265,-0.01009455232633627,0.2719085557237405,0.0015093952179086045,3.715518235480886e-05,0.0,0.04208387670223601,1.574422818608582,0.0,1.0,0.2,0.2,0.2,3.0,0.71484375,0.1685995571265409,239.43340301513672,248.640625,251.01133728027344,5e-06,6,0,0.6875,1.0,0.0,0.6875,1.0,0.0,-0.2305285632610321,1.20761239528656,-2.4748666286468506,-0.2305285632610321,1.20761239528656,-2.4748666286468506,2097.6015625,8192.0,127.0,0.1015625,2097.6015625,8192.0,127.0,0.1015625,0.0,1161.4375,1582.0,899.0,0.0,3,62,17.2734375,0.25,0.75,5.5,8,5.5,8.0,8,8,6.626173853874207e-05,1.3819720316678286,81.69323505274951,20.394658590317704,0.0,0.0,0.0,81.69323505274951,0.0,1304,8192,84.16737349517643,9.024515748023987e-05,3.574970956891775,0.004083085805177689,41.7705434281379,129.54785632528365,3.76235693693161e-05,0.3134806996650804,0.10013146951420664,9.787887546361893e-06,417157,129.54785632528365,1610.0497987112742,,,,,,,
7,True,36384,0.07623759657144547,0.001934380597958807,-0.000203419295871754,1.1189582096449158e-06,0.002959717472549528,-0.03458556499390397,-0.014333064900711179,0.5,2274.0,1.0,0.0,-1.8963596653193235,2.960218019783497,3993315.9765625,0.3693438549526036,0.3693438549526036,0.24351077382239986,-0.017292782496951986,0.34350805324050304,0.001934380597958807,-0.000203419295871754,1.1189582096449158e-06,0.08288357488345355,1.7830591090023518,0.0,1.0,0.2,0.2,0.2,3.0,0.78515625,0.17208244885047447,244.11176538467407,253.58203125,251.2208709716797,5e-06,7,0,0.59375,1.0,0.0,0.59375,1.0,0.0,-0.2787460684776306,2.4748666286468506,-2.4748666286468506,-0.2787460684776306,2.4748666286468506,-2.4748666286468506,3170.6640625,8192.0,139.0,0.125,3170.6640625,8192.0,139.0,0.125,0.0,1252.8125,1888.0,874.0,0.0,3,62,26.59375,0.1875,0.8125,4.75,8,4.75,8.0,8,8,6.384402513504028e-05,1.532787136733532,92.4034898802638,33.522939758579014,0.0,0.0,0.0,92.4034898802638,0.0,874,8192,95.10687326453626,9.162351489067078e-05,4.520124113187194,0.0037553049623966217,58.78250488638878,158.44720433466136,4.273839294910431e-05,0.2343428482906929,0.10381841362472741,6.632412222422306e-06,566205,158.44720433466136,1786.7307989988276,,,,,,,
8,True,28656,0.07238228619098663,0.0014713979635416763,-1.952261834503588e-05,0.0,-0.0007742124871583655,-0.02596740869921632,-0.013757916865870357,0.5,1791.0,1.0,0.0,-1.3028191851917654,2.5102479457855225,5299355.796875,0.2564057761337608,0.2564057761337608,0.21772929716128073,-0.01298370434960816,0.36805603591625563,0.0014713979635416763,-1.952261834503588e-05,0.0,0.053903716965578496,1.2321234093979,0.0,1.0,0.2,0.2,0.2,3.0,0.712890625,0.17479513110810535,244.11176538467407,253.58203125,251.63272094726562,5e-06,8,0,0.4765625,1.0,0.0,0.4765625,1.0,0.0,-0.1405259370803833,1.6201815605163574,-2.4748666286468506,-0.1405259370803833,1.6201815605163574,-2.4748666286468506,3347.3359375,8192.0,159.0,0.1171875,3347.3359375,8192.0,159.0,0.1171875,0.0,1203.25,1860.0,878.0,0.0,3,62,30.1171875,0.4375,0.5625,3.8125,8,3.8125,8.0,8,8,3.2629817724227905e-05,1.863652354106307,90.95885048620403,35.348922021104954,0.0,0.0,0.0,90.95885048620403,0.0,892,8192,93.5538320504129,9.336508810520172e-05,4.595015844330192,0.004298193380236626,58.98436216823757,157.16731261089444,3.641657531261444e-05,0.21834955515093135,0.10126505372460202,7.379189459181297e-06,582475,157.16731261089444,1853.041164615626,,,,,,,
9,True,23840,0.0823809951543808,0.0015530119271716103,2.202194312417305e-05,1.16524040549848e-06,0.0006631059804931283,-0.045718331763055176,-0.02219605987193063,0.5,1490.0,1.0,0.0,-1.8830911666154861,2.986433818936348,4008386.87109375,0.4306826504180208,0.4306826504180208,0.24615298361248905,-0.022859165881527588,0.24402523057244652,0.0015530119271716103,2.202194312417305e-05,1.16524040549848e-06,0.06991519301664084,1.7968028709292412,0.0,1.0,0.2,0.2,0.2,3.0,0.84765625,0.1711182033520568,244.11176538467407,253.58203125,251.2017059326172,5e-06,9,0,0.5546875,1.0,0.0,0.5546875,1.0,0.0,-0.2574005126953125,1.20761239528656,-2.4748666286468506,-0.2574005126953125,1.20761239528656,-2.4748666286468506,2605.4921875,8192.0,126.0,0.0703125,2605.4921875,8192.0,126.0,0.0703125,0.0,1110.4375,1853.0,824.0,0.0,3,62,22.8046875,0.3125,0.6875,4.4375,8,4.4375,8.0,8,8,6.108358502388e-05,1.4058170095086098,86.92903422005475,27.005145570336026,0.0,0.0,0.0,86.92903422005475,0.0,824,8192,89.48715727031231,9.806081652641296e-05,3.8301085345447063,0.003989808261394501,47.04587060585618,140.398859962821,3.868900239467621e-05,0.2683248944396671,0.09891087695890409,8.388311852885278e-06,475639,140.398859962821,1693.8848368354054,,,,,,,
10,True,44440,0.06698361039161682,0.0017266984086745651,-2.9067468126697804e-05,1.0902176654781215e-06,0.0011012918403139338,-0.025458877986238804,-0.011628147462033667,0.5,2777.5,1.0,0.0,-2.2912808433175087,3.293654516339302,4154325.0390625,0.26510277739726007,0.26510277739726007,0.2695163238716434,-0.012729438993119402,0.26383376212536475,0.0017266984086745651,-2.9067468126697804e-05,1.0902176654781215e-06,0.06606249453034252,2.128940224647522,0.0,1.0,0.2,0.2,0.2,3.0,0.72265625,0.17338166314890055,244.11176538467407,253.58203125,251.48505783081055,5e-06,10,0,0.4453125,1.0,0.0,0.4453125,1.0,0.0,-0.1930357664823532,2.4748666286468506,-2.4748666286468506,-0.1930357664823532,2.4748666286468506,-2.4748666286468506,3134.296875,8192.0,139.0,0.078125,3134.296875,8192.0,139.0,0.078125,0.0,1335.6875,1928.0,867.0,0.0,3,62,29.21875,0.375,0.625,3.5625,8,3.5625,8.0,8,8,5.9058889746665955e-05,1.5761144701391459,88.56769834086299,32.584664520807564,0.0,0.0,0.0,88.56769834086299,0.0,1928,8192,91.49536689184606,9.763427078723907e-05,4.509227799251676,0.004325207322835922,57.247952334582806,153.28811225667596,3.850087523460388e-05,0.22805993891135387,0.10005619485279033,7.559463160238819e-06,572158,153.28811225667596,1866.283013003448,,,,,,,
