step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_adv,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,0.0877305269241333,0.0021497953075595433,-0.00029377252398532505,1.3741857287641324e-06,0.00347713845258113,0.4306640625,0.32576532819632253,201.3070945739746,205.318359375,133.6229476928711,5e-06,1,0,0.4140625,1.0,0.0,0.4140625,1.0,0.0,-0.26325884461402893,1.6201815605163574,-2.4748666286468506,-0.26325884461402893,1.6201815605163574,-2.4748666286468506,2111.6484375,8192.0,150.0,0.0703125,2111.6484375,8192.0,150.0,0.0703125,0.0,1200.9375,1760.0,891.0,0.0,3,62,19.5703125,0.5,0.5,3.3125,8,3.3125,8.0,8,8,0.00014577433466911316,1.7396288253366947,82.16736852750182,20.540325704889256,0.0,0.0,0.0,82.16736852750182,0.0,957,8192,90.23920602537692,0.0001467280089855194,6.139263052493334,0.0044448841363191605,21.672789627686143,118.09190723486245,3.6928802728652954e-05,0.3338594552736751,1.0482945339434968e-05,0.05111374381250992,424011,118.09190723486245,1795.2584979287462,,,,,,,
2,0.09279638528823853,0.0034727851234492846,-0.0006884875392643153,6.569542279066809e-07,0.0033642484922893345,0.71875,0.3349831898881632,203.94924974441528,207.974609375,134.04555892944336,5e-06,2,0,0.5234375,1.0,0.0,0.5234375,1.0,0.0,-0.4033382534980774,1.20761239528656,-2.4748666286468506,-0.4033382534980774,1.20761239528656,-2.4748666286468506,2693.3984375,8192.0,132.0,0.0625,2693.3984375,8192.0,132.0,0.0625,0.0,1201.9375,1904.0,784.0,0.0,3,62,25.765625,0.25,0.75,4.1875,8,4.1875,8.0,8,8,3.3292919397354126e-05,1.5007674228399992,87.52790808491409,27.731332739218487,0.0,0.0,0.0,87.52790808491409,0.0,962,8192,89.76751281134784,0.00011048279702663422,3.833567915484309,0.0037276819348335266,25.138049576431513,118.7710582409054,3.7962570786476135e-05,0.2603805972686338,7.476252519205714e-06,0.05041696415070008,498603,118.7710582409054,2099.0088300327966,,,,,,,
3,0.08075876533985138,0.0012201273402752122,6.295016135027254e-06,0.0,0.002454670197039377,0.3994140625,0.33899751173240095,212.25334787368774,216.939453125,133.97003555297852,5e-06,3,0,0.53125,1.0,0.0,0.53125,1.0,0.0,-0.1943066269159317,2.4748666286468506,-1.6201815605163574,-0.1943066269159317,2.4748666286468506,-1.6201815605163574,2604.1171875,8192.0,108.0,0.1171875,2604.1171875,8192.0,108.0,0.1171875,0.0,1230.8125,2029.0,781.0,0.0,3,62,22.328125,0.375,0.625,4.25,8,4.25,8.0,8,8,5.6589022278785706e-05,1.1839801762253046,90.52152851782739,26.627216513865278,0.0,0.0,0.0,90.52152851782739,0.0,1393,8192,92.92460185661912,0.00010747089982032776,3.8660671077668667,0.0037336647510528564,25.27448058500886,122.09463069401681,3.742612898349762e-05,0.27877910237280246,7.606203566828875e-06,0.05148904821227748,490871,122.09463069401681,2010.2071532948046,,,,,,,
4,0.07762455940246582,0.001143369900091784,8.294216672766197e-05,8.040446459744999e-07,0.0065258719405392185,0.3173828125,0.3218913471407171,212.25334787368774,216.939453125,134.11140823364258,5e-06,4,0,0.625,1.0,0.0,0.625,1.0,0.0,-0.297880083322525,2.4748666286468506,-2.4748666286468506,-0.297880083322525,2.4748666286468506,-2.4748666286468506,1557.0859375,8192.0,145.0,0.0625,1557.0859375,8192.0,145.0,0.0625,0.0,1099.6875,1668.0,797.0,0.0,3,62,15.046875,0.25,0.75,5.0,8,5.0,8.0,8,8,3.497302532196045e-05,1.5964373964816332,77.77322471700609,14.553730199113488,0.0,0.0,0.0,77.77322471700609,0.0,1310,8192,80.30098421312869,0.00010849907994270325,2.8366898465901613,0.0037363171577453613,17.291913555935025,100.45905064605176,3.573112189769745e-05,0.40290097293686966,1.0987003025125523e-05,0.05084854912689272,340067,100.45905064605176,1692.5652682014734,,,,,,,
5,0.10088106989860535,0.002400181139819324,-0.0004592674076775438,2.663015209236619e-06,0.004642329746275209,0.583984375,0.3195328768198781,212.25334787368774,216.939453125,134.32132720947266,5e-06,5,0,0.484375,1.0,0.0,0.484375,1.0,0.0,-0.3398582339286804,0.935412585735321,-2.4748666286468506,-0.3398582339286804,0.935412585735321,-2.4748666286468506,1571.25,8192.0,130.0,0.0234375,1571.25,8192.0,130.0,0.0234375,0.0,1219.375,1844.0,783.0,0.0,3,62,14.4453125,0.4375,0.5625,3.875,8,3.875,8.0,8,8,3.4129247069358826e-05,1.5581300184130669,74.87074979394674,15.11423396297323,0.0,0.0,0.0,74.87074979394674,0.0,1386,8192,77.27145213261247,0.0001008305698633194,2.8740714862942696,0.003633003681898117,17.796509804204106,97.97122086398304,3.983639180660248e-05,0.3842057086943738,1.0170782984037282e-05,0.04982225589082896,357200,97.97122086398304,1822.9843256516808,,,,,,,
6,0.07386912405490875,0.001380039348077844,-5.4371687724596995e-05,0.0,-0.009678216389147565,0.62109375,0.3338160819275693,212.25334787368774,216.939453125,134.57625579833984,5e-06,6,0,0.6875,1.0,0.0,0.6875,1.0,0.0,-0.17581972479820251,1.6201815605163574,-2.4748666286468506,-0.17581972479820251,1.6201815605163574,-2.4748666286468506,2046.75,8192.0,110.0,0.0859375,2046.75,8192.0,110.0,0.0859375,0.0,1161.25,1582.0,899.0,0.0,3,62,17.59375,0.25,0.75,5.5,8,5.5,8.0,8,8,6.0789287090301514e-05,1.2439765818417072,80.46746020950377,19.03590144624468,0.0,0.0,0.0,80.46746020950377,0.0,1066,8192,82.59002999030054,0.00011689215898513794,3.307205908000469,0.003799140453338623,20.943485286086798,106.87045986391604,3.6776065826416016e-05,0.3152483739094774,9.252114960008725e-06,0.051004045759835755,410624,106.87045986391604,1921.1295643476683,,,,,,,
7,0.08015953749418259,0.002503200976207154,-0.000250212984724385,1.6914567595449626e-06,-0.008703615982085466,0.755859375,0.3468248275390965,215.50272130966187,219.556640625,121.01753616333008,5e-06,7,0,0.53125,1.0,0.0,0.53125,1.0,0.0,-0.22731755673885345,1.6201815605163574,-1.6201815605163574,-0.22731755673885345,1.6201815605163574,-1.6201815605163574,3561.328125,8192.0,158.0,0.1328125,3561.328125,8192.0,158.0,0.1328125,0.0,1251.3125,1888.0,874.0,0.0,3,62,30.6953125,0.3125,0.6875,4.25,8,4.25,8.0,8,8,6.306171417236328e-05,1.7649562656879425,90.85607745870948,37.24030759143352,0.0,0.0,0.0,90.85607745870948,0.0,1087,8192,93.10315803997219,9.9940225481987e-05,4.67779054492712,0.003913452848792076,31.270112683996558,129.08086991868913,3.579072654247284e-05,0.20424077665892768,6.352822236999692e-06,0.05076168664551451,616018,129.08086991868913,2386.1707795587495,,,,,,,
8,0.07188348472118378,0.0010668891682144022,-5.691740147995006e-05,5.451183824334294e-07,-0.004114888492040336,0.5830078125,0.34718969045945625,215.50272130966187,219.556640625,129.13079261779785,5e-06,8,0,0.46875,1.0,0.0,0.46875,1.0,0.0,-0.12116480618715286,2.4748666286468506,-1.6201815605163574,-0.12116480618715286,2.4748666286468506,-1.6201815605163574,3476.15625,8192.0,155.0,0.109375,3476.15625,8192.0,155.0,0.109375,0.0,1203.8125,1860.0,878.0,0.0,3,62,30.578125,0.375,0.625,3.75,8,3.75,8.0,8,8,3.235228359699249e-05,1.7234427314251661,92.34883525036275,36.620598846522626,0.0,0.0,0.0,92.34883525036275,0.0,1081,8192,94.53539546765387,9.703263640403748e-05,4.559668499976397,0.0036488696932792664,30.416587617248297,129.5409626867622,4.167482256889343e-05,0.21246391818291996,6.09123607475889e-06,0.05077589262957201,599036,129.5409626867622,2312.148943375173,,,,,,,
9,0.08048126846551895,0.0009435287975065876,-8.147520588863699e-05,1.2154399087194179e-06,0.0028601155572687276,0.427734375,0.33237659108152495,215.50272130966187,219.556640625,136.54268646240234,5e-06,9,0,0.5625,1.0,0.0,0.5625,1.0,0.0,-0.18235594034194946,2.4748666286468506,-0.935412585735321,-0.18235594034194946,2.4748666286468506,-0.935412585735321,2387.6640625,8192.0,130.0,0.0625,2387.6640625,8192.0,130.0,0.0625,0.0,1111.125,1853.0,824.0,0.0,3,62,22.671875,0.25,0.75,4.5,8,4.5,8.0,8,8,6.198883056640625e-05,1.450217828154564,83.27827695012093,24.00397795670142,0.0,0.0,0.0,83.27827695012093,0.0,1072,8192,85.70719571225345,0.00010727532207965851,3.5395872984081507,0.003797421231865883,22.74584599584341,112.03244095109403,3.750808537006378e-05,0.2804362125385803,8.479320371704234e-06,0.050789549946618606,447845,112.03244095109403,1998.729101133749,,,,,,,
10,0.07368366420269012,0.001190632305224426,7.424098511421562e-05,1.7304338371104677e-06,0.0013814009580528364,0.609375,0.3444529834340705,215.50272130966187,219.556640625,138.74253845214844,5e-06,10,0,0.453125,1.0,0.0,0.453125,1.0,0.0,-0.18709014356136322,2.4748666286468506,-2.4748666286468506,-0.18709014356136322,2.4748666286468506,-2.4748666286468506,3091.75,8192.0,140.0,0.1015625,3091.75,8192.0,140.0,0.1015625,0.0,1336.125,1928.0,867.0,0.0,3,62,28.4453125,0.375,0.625,3.625,8,3.625,8.0,8,8,6.439536809921265e-05,1.5962175317108631,87.74879989027977,31.586713754411903,0.0,0.0,0.0,87.74879989027977,0.0,1052,8192,90.14194854721427,0.00011250004172325134,4.313046766445041,0.00380011647939682,28.577149521559477,123.07181511819363,4.497915506362915e-05,0.22777843390478256,6.704888912918196e-06,0.050421247356165974,566768,123.07181511819363,2302.5905624927077,,,,,,,
