step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,textcraft_is_prefix_non_terminal,textcraft_is_raw,textcraft_prefix_action_len,textcraft_valid_action_count,textcraft_fail_invalid_action,textcraft_could_not_find_count,textcraft_invalid_action_count,textcraft_not_enough_items_count,textcraft_continuation_success,textcraft_continuation_reward_sum,textcraft_success,textcraft_replay_success,textcraft_max_turn_count,textcraft_is_prefix,textcraft_done,textcraft_replay_done,textcraft_turn_count,textcraft_fail_max_turn,textcraft_fail_could_not_find,textcraft_fail_not_enough_items,textcraft_is_prefix_terminal_like,textcraft_success_raw_mean,textcraft_success_prefix_mean,textcraft_success_prefix_non_terminal_mean,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_agent_loop_response_length_min,timing_s_agent_loop_response_length_max,timing_s_agent_loop_response_length_mean,timing_s_agent_loop_llm_response_length_min,timing_s_agent_loop_llm_response_length_max,timing_s_agent_loop_llm_response_length_mean,timing_s_agent_loop_num_turns_min,timing_s_agent_loop_num_turns_max,timing_s_agent_loop_num_turns_mean,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_update_actor,timing_per_token_ms_gen,timing_per_token_ms_adv,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,True,35696,0.110114187002182,0.0016420422689407133,0.00022565882722247466,2.697220679692691e-06,0.006945636196178384,-0.03465586942911614,-0.027710233291145414,1.0,2231.0,1.0,0.0,-1.2822468969970942,2.4609517380595207,4700914.46875,0.36620499682612717,0.36620499682612717,0.283674597404254,-0.03465586942911614,0.38357286871065877,0.0016420422689407133,0.00022565882722247466,2.697220679692691e-06,0.07788493670523167,1.2775029251351953,0.0,1.0,0.2,0.2,0.2,3.0,1.609375,0.16189022385697704,206.6282777786255,216.1796875,223.64515686035156,5e-06,1,0,0.5390625,1.0,0.0,0.5390625,1.0,0.0,-0.214436337351799,2.4748666286468506,-2.4748666286468506,-0.214436337351799,2.4748666286468506,-2.4748666286468506,1769.6484375,8131.0,124.0,0.0,1630.578125,7616.0,113.0,1769.6484375,8131.0,124.0,0.0,0.0,1199.125,2005.0,781.0,0.0,3,32,13.75,0.25,0.75,4.3125,8,4.3125,8.0,8,8,0.75,0.25,2.0625,4.9609375,0.3125,2.625,1.2890625,1.3828125,0.5390625,0.5390625,0.5390625,0.125,0.0,0.75,0.6640625,0.125,6.25,0.0,0.3046875,0.1875,0.0,0.28125,0.625,0.625,0.0001489054411649704,1.5481923501938581,77.8824590202421,18.58550990051299,1.765042543411255e-05,0.04069279879331589,0.009701986360596493,77.8824590202421,0.010592985898256302,1055,8131,124.0,8131.0,1769.6484375,113.0,7616.0,1630.578125,3.0,32.0,13.75,86.36205764859915,0.00012313202023506165,3.8264715131372213,0.004231678321957588,37.38225102983415,127.61663957498968,5.002319812774658e-05,0.09837356818192002,0.38126418845815574,1.113590766903837e-05,380003,127.61663957498968,1488.8458169152145,
2,True,39616,0.10317720472812653,0.0019668566528707743,5.616257271867653e-05,2.2272328692451993e-06,0.0014080593246035278,-0.033922122354852036,-0.03251406323397532,1.0,2476.0,1.0,0.0,-1.2339775445288979,2.3333040550351143,3822402.1640625,0.35883290227502584,0.35883290227502584,0.21037797585186097,-0.033922122354852036,0.3774275165626503,0.0019668566528707743,5.616257271867653e-05,2.2272328692451993e-06,0.07773856335552409,1.2154183508828282,0.0,1.0,0.2,0.2,0.2,3.0,1.140625,0.17053310431297714,226.42923021316528,235.671875,223.67022705078125,5e-06,2,0,0.4453125,1.0,0.0,0.4453125,1.0,0.0,-0.20471322536468506,1.6201815605163574,-2.4748666286468506,-0.20471322536468506,1.6201815605163574,-2.4748666286468506,2613.65625,8192.0,136.0,0.015625,2402.78125,7680.0,120.0,2613.65625,8192.0,136.0,0.015625,0.0,1292.375,1992.0,911.0,0.0,3,32,17.71875,0.375,0.625,3.5625,8,3.5625,8.0,8,8,0.8125,0.1875,1.625,5.7265625,0.546875,2.3671875,2.53125,1.2734375,0.4453125,0.4453125,0.4453125,0.125,0.0,0.8125,0.5703125,0.125,8.2578125,0.0,0.3828125,0.203125,0.0,0.2916666666666667,0.4807692307692308,0.4807692307692308,7.107481360435486e-05,1.488788915798068,82.8544808384031,27.828928671529866,2.5114044547080994e-05,0.05098032206296921,0.011190852543222718,82.8544808384031,0.029309239238500595,1398,7920,136.0,8192.0,2613.65625,120.0,7680.0,2402.78125,3.0,32.0,17.71875,85.13490729406476,0.0001166369765996933,3.904732946306467,0.003954155370593071,48.725263429805636,137.80052479542792,6.004050374031067e-05,0.09745598439473738,0.25447740621395065,7.9087536313895e-06,499972,137.80052479542792,1814.1150069719783,
3,True,25752,0.11352230608463287,0.002649198373546824,-0.00022490505924110948,8.677180858285283e-07,-0.0026281552854925394,-0.025618551517254673,-0.028246706759091467,1.0,1609.5,1.0,0.0,-1.4103615824133158,2.5636922046542168,4640416.8828125,0.2891708556562662,0.2891708556562662,0.2961920343980866,-0.025618551517254673,0.2409440393539351,0.002649198373546824,-0.00022490505924110948,8.677180858285283e-07,0.04233960493002087,1.4185956809669733,0.0,1.0,0.2,0.2,0.2,3.0,1.45703125,0.16185257916352894,226.42923021316528,235.671875,223.70481491088867,5e-06,3,0,0.5234375,1.0,0.0,0.5234375,1.0,0.0,-0.30548009276390076,1.20761239528656,-1.6201815605163574,-0.30548009276390076,1.20761239528656,-1.6201815605163574,1678.9921875,8129.0,115.0,0.0,1537.4296875,7553.0,104.0,1678.9921875,8129.0,115.0,0.0,0.0,1147.6875,1817.0,784.0,0.0,3,32,13.640625,0.3125,0.6875,4.1875,8,4.1875,8.0,8,8,0.625,0.375,1.75,4.8359375,0.375,1.8828125,1.296875,0.703125,0.5234375,0.5234375,0.5234375,0.1875,0.0,0.625,0.7109375,0.1875,6.1328125,0.0,0.328125,0.15625,0.0,0.3541666666666667,0.625,0.625,4.569254815578461e-05,1.3733405321836472,75.20883892849088,17.478308991121594,1.720339059829712e-05,0.0498143769800663,0.010056870785774663,75.20883892849088,0.0023806169629096985,960,8129,115.0,8129.0,1678.9921875,104.0,7553.0,1537.4296875,3.0,32.0,13.640625,77.57229590415955,9.580329060554504e-05,2.9059330336749554,0.003948358818888664,35.170926943421364,115.68621980957687,3.866665065288544e-05,0.0972069343267177,0.3609507931383668,1.0912645464916226e-05,361815,115.68621980957687,1563.7774343200028,
4,True,30384,0.10923559218645096,0.002316849771887064,-0.0001346173237379844,4.190461368125398e-06,0.0013677049282705411,-0.0361103710019961,-0.03474266598641407,1.0,1899.0,1.0,0.0,-1.2695265607326292,2.5587614327669144,4783548.53125,0.37893727980554104,0.37893727980554104,0.1434159657319823,-0.0361103710019961,0.4313088844973666,0.002316849771887064,-0.0001346173237379844,4.190461368125398e-06,0.09206925821490586,1.2347709403838962,0.0,1.0,0.2,0.2,0.2,3.0,1.5625,0.16978297766928116,226.42923021316528,235.671875,223.27534866333008,5e-06,4,0,0.375,1.0,0.0,0.375,1.0,0.0,-0.1442398577928543,2.4748666286468506,-2.4748666286468506,-0.1442398577928543,2.4748666286468506,-2.4748666286468506,2538.359375,7843.0,162.0,0.0,2317.5390625,7319.0,143.0,2538.359375,7843.0,162.0,0.0,0.0,1214.1875,2035.0,802.0,0.0,3,32,21.359375,0.4375,0.5625,3.0,8,3.0,8.0,8,8,0.6875,0.3125,1.875,8.4765625,0.5546875,4.3671875,1.546875,2.2109375,0.375,0.375,0.375,0.0625,0.0,0.6875,0.4375,0.0625,10.0234375,0.0,0.578125,0.3203125,0.0,0.25,0.4318181818181818,0.4318181818181818,6.022118031978607e-05,1.790313109755516,74.65928927436471,27.58347647068149,3.281049430370331e-05,0.04898751899600029,0.01701581293309573,74.65928927436471,0.008205816149711609,1619,7843,162.0,7843.0,2538.359375,143.0,7319.0,2317.5390625,3.0,32.0,21.359375,77.17258045636117,0.00011035799980163574,3.640488762408495,0.004387388005852699,45.069927299395204,125.93136835098267,3.666803240776062e-05,0.09383195433808539,0.2375198684446806,9.134188042814046e-06,480326,125.93136835098267,1907.0943415038812,
5,True,40064,0.0947568267583847,0.0017777273769752355,-0.00013235727237770334,3.077814312746341e-06,0.00234002369143127,-0.04099814617075026,-0.03865812288131565,1.0,2504.0,1.0,0.0,-1.579174429178238,2.677268087863922,4205797.4140625,0.4263836797326803,0.4263836797326803,0.19216463976724918,-0.04099814617075026,0.5773016157154292,0.0017777273769752355,-0.00013235727237770334,3.077814312746341e-06,0.08419407648034394,1.492391750216484,0.0,1.0,0.2,0.2,0.2,3.0,1.38671875,0.1714435944105085,226.42923021316528,235.671875,223.8302116394043,5e-06,5,0,0.2578125,1.0,0.0,0.2578125,1.0,0.0,-0.08726099133491516,2.4748666286468506,-2.4748666286468506,-0.08726099133491516,2.4748666286468506,-2.4748666286468506,2963.4921875,8192.0,132.0,0.0234375,2718.140625,7632.0,121.0,2963.4921875,8192.0,132.0,0.0234375,0.0,1290.0,1997.0,919.0,0.0,3,32,22.2734375,0.5,0.5,2.0625,8,2.0625,8.0,8,8,0.6875,0.3125,2.125,7.734375,0.6328125,2.859375,2.734375,1.515625,0.2578125,0.2578125,0.2578125,0.125,0.0,0.6875,0.3828125,0.125,10.46875,0.0,0.4921875,0.296875,0.0,0.2,0.2840909090909091,0.2840909090909091,6.160326302051544e-05,1.671099491417408,85.85735043697059,32.94170999270864,2.7684494853019714e-05,0.046275293454527855,0.015308886475395411,85.85735043697059,0.0006535816937685013,1350,8192,132.0,8192.0,2963.4921875,121.0,7632.0,2718.140625,3.0,32.0,22.2734375,88.2951523065567,9.009242057800293e-05,4.166858958080411,0.003838907927274704,52.14722973294556,144.6440971251577,3.925524652004242e-05,0.09578017645968398,0.23276790818095391,7.051022279991815e-06,544447,144.6440971251577,1882.022878295893,
6,True,30256,0.09357064217329025,0.0024424102211924037,-6.442571839215816e-05,1.1069391803175677e-06,-0.0017928735760506243,-0.025037382351001725,-0.026830255752429366,1.0,1891.0,1.0,0.0,-1.636595655232668,2.8698881790041924,4730407.34375,0.24710470694117248,0.24710470694117248,0.17541794896580998,-0.025037382351001725,0.4028168432442696,0.0024424102211924037,-6.442571839215816e-05,1.1069391803175677e-06,0.06590886227786541,1.525031542405486,0.0,1.0,0.2,0.2,0.2,3.0,1.52734375,0.17203210066921926,226.42923021316528,235.671875,223.8120574951172,5e-06,6,0,0.484375,1.0,0.0,0.484375,1.0,0.0,-0.14048966765403748,2.4748666286468506,-2.4748666286468506,-0.14048966765403748,2.4748666286468506,-2.4748666286468506,2864.859375,8192.0,139.0,0.0078125,2626.8046875,7632.0,123.0,2864.859375,8192.0,139.0,0.0078125,0.0,1232.125,1697.0,891.0,0.0,3,32,19.4921875,0.375,0.625,3.875,8,3.875,8.0,8,8,0.75,0.25,1.625,6.0625,0.6171875,2.703125,3.0546875,1.1484375,0.484375,0.484375,0.484375,0.0,0.0,0.75,0.484375,0.0,9.1171875,0.0,0.421875,0.2265625,0.0,0.40625,0.5104166666666666,0.5104166666666666,3.562308847904205e-05,1.720732083544135,82.35204593650997,31.002307287839358,0.0006289556622505188,0.7657954525202513,0.06871325621614233,82.35204593650997,0.0025724172592163086,1330,8061,139.0,8192.0,2864.859375,123.0,7632.0,2626.8046875,3.0,32.0,19.4921875,84.7366648670286,0.00011317804455757141,4.085985654965043,0.005260288715362549,50.51187114417553,139.37361044809222,3.7375837564468384e-05,0.0963206000300822,0.2310777276017818,1.0030793829612766e-05,524414,139.37361044809222,1881.3245861751955,
7,True,27432,0.09261660277843475,0.0013152398605598137,-9.080290948304537e-05,4.150128347646387e-06,0.0003342432319186628,-0.038783082040026784,-0.038448838458862156,1.0,1714.5,1.0,0.0,-2.0606676638126373,3.0805970951914787,3810709.7421875,0.4037487329915166,0.4037487329915166,0.18390590977323878,-0.038783082040026784,0.45982526176866156,0.0013152398605598137,-9.080290948304537e-05,4.150128347646387e-06,0.09960459973081015,1.961978241801262,0.0,1.0,0.2,0.2,0.2,3.0,1.4375,0.17181296110312372,226.42923021316528,235.671875,223.90208053588867,5e-06,7,0,0.3203125,1.0,0.0,0.3203125,1.0,0.0,-0.11191817373037338,2.4748666286468506,-1.6201815605163574,-0.11191817373037338,2.4748666286468506,-1.6201815605163574,2833.8125,7982.0,136.0,0.0,2599.9765625,7532.0,125.0,2833.8125,7982.0,136.0,0.0,0.0,1183.5625,1816.0,825.0,0.0,3,32,21.390625,0.5,0.5,2.5625,8,2.5625,8.0,8,8,0.5,0.5,1.625,7.7109375,0.546875,3.9453125,2.234375,2.0078125,0.3203125,0.3203125,0.3203125,0.125,0.0,0.5,0.4453125,0.125,9.9453125,0.0,0.6171875,0.3671875,0.0,0.296875,0.34375,0.34375,3.1363219022750854e-05,1.5193726606667042,80.19046634063125,30.400719471435877,2.5663524866104126e-05,0.5173738226294518,0.04085188760655001,80.19046634063125,0.020089900121092796,1030,7730,136.0,7982.0,2833.8125,125.0,7532.0,2599.9765625,3.0,32.0,21.390625,82.5642571952194,0.00012093596160411835,3.9620378613471985,0.005286607891321182,48.68724175170064,135.25187364593148,3.8351863622665405e-05,0.09468099845923302,0.22762030280325588,1.0280749034119726e-05,514224,135.25187364593148,1900.9866042453468,
8,True,27200,0.10774592310190201,0.0009657926852923993,0.00010051733095650661,9.723388529891963e-07,0.004519338639511261,-0.028095243585994467,-0.02357590475003235,1.0,1700.0,1.0,0.0,-1.8410732075572014,3.0029663667082787,4842086.3671875,0.31931209191679955,0.31931209191679955,0.21757985520085926,-0.028095243585994467,0.5257104528863268,0.0009657926852923993,0.00010051733095650661,9.723388529891963e-07,0.08619076630566269,1.7833696715533733,0.0,1.0,0.2,0.2,0.2,3.0,1.3046875,0.1649373216316154,226.42923021316528,235.671875,224.2326889038086,5e-06,8,0,0.5,1.0,0.0,0.5,1.0,0.0,-0.13528189063072205,2.4748666286468506,-2.4748666286468506,-0.13528189063072205,2.4748666286468506,-2.4748666286468506,1882.9453125,8154.0,94.0,0.0,1717.8671875,7680.0,83.0,1882.9453125,8154.0,94.0,0.0,0.0,1176.125,1906.0,784.0,0.0,3,32,16.015625,0.375,0.625,4.0,8,4.0,8.0,8,8,0.5625,0.4375,1.5,5.765625,0.4453125,2.578125,1.5234375,1.34375,0.5,0.5,0.5,0.125,0.0,0.5625,0.625,0.125,7.2890625,0.0,0.4453125,0.28125,0.0,0.5,0.5,0.5,3.206171095371246e-05,1.1027944330126047,80.43278984725475,19.906019560061395,1.9494444131851196e-05,0.34340682439506054,0.01843091876071412,80.43278984725475,0.0164601132273674,1201,8154,94.0,8154.0,1882.9453125,83.0,7680.0,1717.8671875,3.0,32.0,16.015625,82.71023737639189,9.014084935188293e-05,3.184103012084961,0.003886306658387184,37.0228461176157,122.95066015608609,3.6465004086494446e-05,0.09455192452163443,0.3431717985718513,9.925162767454328e-06,391561,122.95066015608609,1592.3501325772168,
9,True,36912,0.08732954412698746,0.0018316682653676253,-0.00017017497312110663,5.638740844915446e-06,-0.00044417515164241195,-0.03710329128080048,-0.03754746643244289,1.0,2307.0,1.0,0.0,-1.6145687261596322,2.6498320885002613,4204879.828125,0.3942843433469534,0.3942843433469534,0.19076267709268496,-0.03710329128080048,0.5342371119207077,0.0018316682653676253,-0.00017017497312110663,5.638740844915446e-06,0.08178846992086619,1.5031487727537751,0.0,1.0,0.2,0.2,0.2,3.0,1.2890625,0.16812696417653433,226.42923021316528,235.671875,224.16610717773438,5e-06,9,0,0.4921875,1.0,0.0,0.4921875,1.0,0.0,-0.2386561930179596,2.4748666286468506,-2.4748666286468506,-0.2386561930179596,2.4748666286468506,-2.4748666286468506,2312.421875,8192.0,115.0,0.0078125,2108.9765625,7632.0,104.0,2312.421875,8192.0,115.0,0.0078125,0.0,1281.1875,1991.0,780.0,0.0,3,32,17.7734375,0.25,0.75,3.9375,8,3.9375,8.0,8,8,0.6875,0.3125,1.9375,5.890625,0.484375,3.2109375,2.3359375,2.0078125,0.4921875,0.4921875,0.4921875,0.0625,0.0,0.6875,0.5546875,0.0625,8.2265625,0.0,0.453125,0.3125,0.0,0.675,0.4090909090909091,0.4090909090909091,6.864964962005615e-05,1.3086652588099241,79.2094374615699,24.534013303142274,2.8289854526519775e-05,0.043594636023044586,0.01205270245554857,79.2094374615699,0.00234089232981205,1685,8173,115.0,8192.0,2312.421875,104.0,7632.0,2108.9765625,3.0,32.0,17.7734375,81.39887928403914,0.00010118447244167328,3.692741844803095,0.004006946459412575,44.26523485966027,129.39183415658772,3.715790808200836e-05,0.09623253705505926,0.2750055045239337,8.711094041533309e-06,459982,129.39183415658772,1777.47692888926,
10,True,29536,0.09953990578651428,0.0013610758887807606,2.0117259396101872e-05,9.66803781921044e-07,-0.001117877138312906,-0.020561403478495777,-0.021679280675016344,1.0,1846.0,1.0,0.0,-1.4622513484209776,2.614737920463085,4405155.78125,0.20562119968235493,0.20562119968235493,0.2806122210198393,-0.020561403478495777,0.2280574686294699,0.0013610758887807606,2.0117259396101872e-05,9.66803781921044e-07,0.035089942160993814,1.3694061860442162,0.0,1.0,0.2,0.2,0.2,3.0,0.919921875,0.16325322728571962,226.42923021316528,235.671875,224.2803955078125,5e-06,10,0,0.578125,1.0,0.0,0.578125,1.0,0.0,-0.09212762117385864,0.7245674133300781,-2.4748666286468506,-0.09212762117385864,0.7245674133300781,-2.4748666286468506,1520.78125,7407.0,121.0,0.0,1372.8046875,6880.0,110.0,1520.78125,7407.0,121.0,0.0,0.0,1154.9375,1747.0,779.0,0.0,3,32,13.296875,0.375,0.625,4.625,8,4.625,8.0,8,8,0.625,0.375,1.875,4.875,0.3125,2.203125,1.0859375,0.5390625,0.578125,0.578125,0.578125,0.125,0.0,0.625,0.703125,0.125,5.9609375,0.0,0.296875,0.125,0.0,0.625,0.55,0.55,6.50603324174881e-05,1.3980954121798277,69.68699551187456,15.13849687842594,2.6211142539978027e-05,0.0326030720025301,0.009710984828416258,69.68699551187456,0.0053057242184877396,967,7407,121.0,7407.0,1520.78125,110.0,6880.0,1372.8046875,3.0,32.0,13.296875,71.98421919345856,0.00012250803411006927,2.8721639085561037,0.004379648715257645,32.55011172965169,107.45204788818955,3.924034535884857e-05,0.09503904245836893,0.36979461211064707,1.2787594207332272e-05,342492,107.45204788818955,1593.6969407804304,
